Date,Open,High,Low,Close,Volume
2009-12-01,18.08,18.08,17.86,17.93,11515.0
2009-12-02,17.93,18.53,17.86,18.08,7875.0
2009-12-03,17.93,18.23,17.93,18.23,5240.0
2009-12-04,18.15,18.15,17.86,17.86,5581.0
2009-12-07,17.93,17.93,17.86,17.86,8083.0
2009-12-08,17.86,18.23,17.86,18.15,9329.0
2009-12-09,18.01,18.23,17.78,17.78,15395.0
2009-12-10,17.86,18.01,17.71,17.78,23689.0
2009-12-11,17.71,17.78,17.63,17.71,6987.0
2009-12-14,17.63,17.71,17.48,17.48,18185.0
2009-12-15,17.41,17.41,17.19,17.26,14773.0
2009-12-16,17.26,17.63,17.26,17.34,26104.0
2009-12-17,17.34,17.41,17.19,17.19,14138.0
2009-12-18,17.26,17.56,17.19,17.34,7351.0
2009-12-21,17.19,17.48,17.19,17.26,23128.0
2009-12-22,17.19,17.19,16.96,17.19,34432.0
2009-12-23,17.11,17.71,17.11,17.71,30938.0
2009-12-28,17.11,17.63,17.11,17.34,17801.0
2009-12-29,17.34,17.71,17.34,17.71,20708.0
2009-12-30,17.48,18.15,17.48,18.15,12065.0
2010-01-04,17.86,17.86,17.34,17.63,7926.0
2010-01-05,17.86,17.86,17.71,17.71,1456.0
2010-01-07,17.86,18.45,17.86,18.38,14039.0
2010-01-08,18.45,18.97,18.45,18.97,24498.0
2010-01-11,18.97,19.12,18.75,18.97,18300.0
2010-01-12,18.97,18.97,18.53,18.67,26468.0
2010-01-13,18.67,18.67,18.53,18.6,4443.0
2010-01-14,18.6,18.6,18.53,18.6,14507.0
2010-01-15,18.53,18.9,18.53,18.9,23621.0
2010-01-18,18.97,18.97,18.67,18.82,7737.0
2010-01-19,18.82,18.82,18.6,18.67,5871.0
2010-01-20,18.6,18.6,18.53,18.53,4992.0
2010-01-21,18.53,18.9,18.38,18.6,22277.0
2010-01-22,18.6,18.82,18.53,18.67,27088.0
2010-01-25,18.6,18.82,18.53,18.6,6654.0
2010-01-26,18.53,18.53,18.38,18.45,8580.0
2010-01-27,18.45,18.53,18.38,18.53,14592.0
2010-01-28,18.6,18.82,18.6,18.82,6286.0
2010-01-29,18.82,18.9,18.6,18.75,8536.0
2010-02-01,18.67,18.97,18.67,18.82,5909.0
2010-02-02,18.82,19.27,18.82,19.2,21290.0
2010-02-03,19.12,19.12,18.9,18.9,12150.0
2010-02-04,19.12,19.12,18.82,18.82,2400.0
2010-02-05,18.75,18.82,18.6,18.67,7228.0
2010-02-08,18.53,18.75,18.53,18.75,3100.0
2010-02-09,18.53,19.05,18.53,18.75,4100.0
2010-02-10,19.05,19.12,18.6,18.75,5700.0
2010-02-11,18.67,19.05,18.67,18.75,2000.0
2010-02-12,18.82,18.9,18.38,18.53,22700.0
2010-02-15,18.38,18.75,18.38,18.38,14900.0
2010-02-16,18.45,18.75,18.45,18.75,10500.0
2010-02-17,18.75,19.2,18.3,19.2,23836.0
2010-02-18,18.97,19.12,18.6,18.97,18105.0
2010-02-19,18.82,18.97,18.82,18.97,3551.0
2010-02-22,18.75,19.2,18.75,19.05,1908.0
2010-02-23,19.05,19.05,18.75,18.75,8337.0
2010-02-24,18.75,18.97,18.75,18.75,4622.0
2010-02-25,18.9,19.27,18.75,18.75,12132.0
2010-02-26,18.97,18.97,18.82,18.97,3068.0
2010-03-01,18.67,18.97,18.67,18.97,5197.0
2010-03-02,18.75,19.2,18.67,18.82,10977.0
2010-03-03,18.75,18.82,18.75,18.75,2128.0
2010-03-04,18.97,19.2,18.97,19.05,9405.0
2010-03-05,19.05,19.42,18.82,19.42,8340.0
2010-03-08,19.27,19.27,19.05,19.27,6322.0
2010-03-09,19.27,19.27,18.82,19.27,11425.0
2010-03-10,18.97,19.34,18.97,19.34,5556.0
2010-03-11,18.97,18.97,18.97,18.97,3099.0
2010-03-12,19.12,19.57,19.12,19.57,14113.0
2010-03-15,19.2,19.34,19.2,19.2,13079.0
2010-03-16,19.34,19.57,19.34,19.42,7195.0
2010-03-17,19.34,19.49,19.34,19.42,3776.0
2010-03-18,19.27,19.64,19.05,19.34,17934.0
2010-03-19,19.34,19.64,19.34,19.64,560.0
2010-03-22,20.24,20.83,20.24,20.53,38327.0
2010-03-23,20.61,21.35,20.61,21.28,25707.0
2010-03-24,21.13,21.28,20.83,21.28,14110.0
2010-03-25,21.2,21.2,20.91,21.06,5677.0
2010-03-26,21.2,21.28,20.91,21.13,9740.0
2010-03-29,21.2,21.2,20.83,20.83,13075.0
2010-03-30,20.83,20.91,20.83,20.83,3374.0
2010-03-31,20.46,21.35,20.46,21.35,17473.0
2010-04-06,22.54,23.96,22.32,22.99,69423.0
2010-04-07,23.29,23.36,22.69,22.84,26445.0
2010-04-08,22.84,22.84,22.69,22.69,11487.0
2010-04-09,22.69,23.21,22.39,23.06,17028.0
2010-04-12,23.36,23.36,22.69,22.99,15536.0
2010-04-13,22.39,22.92,22.02,22.32,16444.0
2010-04-14,22.32,22.92,22.32,22.77,9214.0
2010-04-15,22.39,22.84,22.39,22.84,2117.0
2010-04-16,22.47,22.84,22.17,22.84,10553.0
2010-04-19,22.1,22.69,21.95,21.95,7745.0
2010-04-20,21.95,22.32,21.95,22.32,2237.0
2010-04-21,22.32,22.62,21.95,22.02,3711.0
2010-04-22,22.32,22.32,22.32,22.32,0.0
2010-04-23,22.54,22.84,21.58,22.1,14640.0
2010-04-26,22.02,22.25,21.5,22.25,5749.0
2010-04-27,22.25,22.32,21.43,21.87,13935.0
2010-04-28,21.87,22.32,21.58,21.58,4499.0
2010-04-29,21.58,22.02,21.58,21.73,2399.0
2010-04-30,21.73,22.32,21.73,22.32,6300.0
2010-05-03,21.58,22.25,21.58,22.25,5152.0
2010-05-04,22.17,22.69,21.13,22.39,39969.0
2010-05-05,21.89,22.2,21.42,21.89,26500.0
2010-05-06,21.35,21.89,21.04,21.04,9936.0
2010-05-07,20.96,20.96,19.79,19.95,21224.0
2010-05-10,20.1,21.74,20.1,21.27,67433.0
2010-05-11,21.27,21.27,20.73,21.11,2599.0
2010-05-12,21.11,21.66,21.11,21.58,6865.0
2010-05-14,21.35,21.74,21.11,21.74,11493.0
2010-05-17,21.97,22.2,21.35,21.74,21094.0
2010-05-18,21.74,22.9,21.74,22.12,12123.0
2010-05-19,22.36,22.36,21.58,21.58,3439.0
2010-05-20,20.88,20.96,20.57,20.88,12042.0
2010-05-21,20.57,21.19,20.34,21.19,3517.0
2010-05-25,20.49,20.73,20.42,20.42,7672.0
2010-05-26,20.49,20.96,20.34,20.65,8590.0
