Date,Open,High,Low,Close,Volume
2013-04-22,7.59,8.35,7.17,7.17,67975.0
2013-04-23,7.47,7.51,6.67,6.88,62125.0
2013-04-24,7.34,7.34,6.41,6.41,36528.0
2013-04-25,6.41,6.54,5.99,5.99,81049.0
2013-04-26,6.16,6.5,6.16,6.33,13812.0
2013-04-29,6.71,7.17,6.71,6.83,41251.0
2013-04-30,7.38,7.38,6.62,6.62,18894.0
2013-05-02,6.92,7.09,6.67,6.92,7247.0
2013-05-03,6.88,6.88,6.75,6.79,13007.0
2013-05-06,7.09,7.09,6.75,6.75,14020.0
2013-05-07,6.75,6.83,6.75,6.83,3193.0
2013-05-08,6.88,7.05,6.88,7.05,25417.0
2013-05-13,6.79,6.92,6.5,6.5,36598.0
2013-05-14,6.67,6.79,6.58,6.58,14509.0
2013-05-15,6.5,6.58,6.45,6.45,6281.0
2013-05-16,6.58,6.58,6.41,6.41,11695.0
2013-05-17,6.37,6.58,6.37,6.58,10261.0
2013-05-20,6.75,7.8,6.75,7.8,160037.0
2013-05-21,8.23,9.28,7.76,7.76,87260.0
2013-05-22,8.73,8.73,7.21,7.43,69865.0
2013-05-23,7.43,7.43,7.13,7.38,23544.0
2013-05-24,7.51,7.51,7.26,7.3,12118.0
2013-05-27,7.43,8.4,7.34,8.4,72213.0
2013-05-28,8.23,8.23,7.68,8.23,29343.0
2013-05-29,7.97,8.02,7.64,7.64,22916.0
2013-05-30,7.89,8.02,7.76,7.76,11726.0
2013-05-31,8.27,8.27,7.8,7.89,13712.0
2013-06-03,8.1,8.1,8.06,8.1,5436.0
2013-06-04,8.1,8.1,8.02,8.02,6163.0
2013-06-05,8.02,8.02,7.93,8.02,7715.0
2013-06-07,8.1,8.1,7.76,7.85,7626.0
2013-06-10,8.02,8.02,7.76,7.8,22447.0
2013-06-11,7.85,7.85,7.72,7.85,22459.0
2013-06-12,7.59,7.85,7.51,7.51,18086.0
2013-06-13,7.59,7.76,7.59,7.76,3793.0
2013-06-14,7.51,7.85,7.47,7.85,4901.0
2013-06-17,7.93,7.93,7.59,7.59,13549.0
2013-06-18,7.68,8.02,7.51,7.51,8024.0
2013-06-19,7.55,8.02,7.55,7.93,23441.0
2013-06-20,7.76,8.02,7.59,7.93,11062.0
2013-06-21,7.93,7.93,7.93,7.93,0.0
2013-06-24,7.76,7.76,7.64,7.64,889.0
2013-06-25,8.06,8.06,7.59,7.85,15632.0
2013-06-26,7.89,7.89,7.76,7.76,1140.0
2013-06-27,7.8,7.8,7.76,7.76,5096.0
2013-06-28,7.85,7.85,7.55,7.55,30256.0
2013-07-01,7.59,7.97,7.51,7.68,9837.0
2013-07-02,7.68,7.89,7.38,7.8,12602.0
2013-07-03,7.59,7.76,7.59,7.76,5594.0
2013-07-04,7.59,7.59,7.59,7.59,4444.0
2013-07-05,7.76,7.8,7.76,7.8,5942.0
2013-07-08,7.59,7.59,7.51,7.59,3237.0
2013-07-09,7.59,7.72,7.59,7.72,860.0
2013-07-10,7.59,7.59,7.51,7.51,5554.0
2013-07-11,7.59,7.72,7.59,7.72,4507.0
2013-07-12,7.76,7.76,7.55,7.55,320.0
2013-07-15,7.8,7.8,7.8,7.8,9485.0
2013-07-16,7.8,7.8,7.8,7.8,865.0
2013-07-17,7.8,7.85,7.59,7.59,3081.0
2013-07-18,7.8,7.93,7.8,7.85,18074.0
2013-07-19,7.93,7.97,7.93,7.97,4741.0
2013-07-22,7.72,8.35,7.68,8.02,15023.0
2013-07-23,8.27,8.27,8.02,8.02,1628.0
2013-07-24,8.02,8.4,8.02,8.31,5736.0
2013-07-25,8.02,8.02,8.02,8.02,2311.0
2013-07-26,8.02,8.02,7.76,8.02,2133.0
2013-07-29,8.02,8.02,7.76,7.76,1919.0
2013-07-30,8.02,8.14,8.02,8.14,5867.0
2013-07-31,8.18,8.18,8.14,8.14,2618.0
2013-08-01,8.18,8.18,8.18,8.18,6812.0
2013-08-02,8.18,8.18,8.18,8.18,1444.0
2013-08-05,8.27,8.27,8.14,8.14,4856.0
2013-08-06,8.14,8.27,8.02,8.27,6198.0
2013-08-07,8.23,8.31,8.23,8.31,5630.0
2013-08-08,8.27,8.27,8.27,8.27,3941.0
2013-08-09,8.31,8.35,8.31,8.35,3022.0
2013-08-12,8.44,8.56,8.31,8.31,13145.0
2013-08-13,8.27,8.27,8.27,8.27,593.0
2013-08-14,8.35,8.4,8.27,8.27,16000.0
2013-08-15,8.31,8.78,8.27,8.78,18676.0
2013-08-16,8.69,9.7,8.52,9.7,30815.0
