Date,Open,High,Low,Close,Volume
2010-01-04,36.48,37.49,36.17,36.71,20591.0
2010-01-05,37.18,37.18,36.48,36.56,5472.0
2010-01-07,36.56,38.49,36.17,38.26,40929.0
2010-01-08,38.18,38.18,37.18,37.49,20503.0
2010-01-11,37.25,37.95,36.79,37.25,42777.0
2010-01-12,37.33,37.33,36.33,36.4,21678.0
2010-01-13,36.17,36.63,36.02,36.4,16964.0
2010-01-14,36.56,36.56,34.31,35.63,75017.0
2010-01-15,35.01,36.33,35.01,35.01,33991.0
2010-01-18,35.01,35.4,34.85,35.24,18726.0
2010-01-19,35.24,35.71,34.47,34.78,19603.0
2010-01-20,34.78,35.24,34.16,34.16,31862.0
2010-01-21,34.16,34.85,33.3,34.08,38710.0
2010-01-22,34.23,34.7,33.92,34.23,11000.0
2010-01-25,34.23,34.85,33.69,34.54,27165.0
2010-01-26,34.31,34.31,32.61,33.46,85024.0
2010-01-27,33.3,33.3,31.91,32.68,63352.0
2010-01-28,33.07,33.3,32.37,32.37,26689.0
2010-01-29,32.37,33.3,32.3,32.53,28194.0
2010-02-01,32.92,33.69,32.53,33.61,29829.0
2010-02-02,34.0,36.02,33.69,35.32,62160.0
2010-02-03,32.53,33.3,28.66,29.04,433795.0
2010-02-04,29.43,34.08,29.04,31.76,447785.0
2010-02-05,32.14,32.14,30.36,30.9,70742.0
2010-02-08,32.53,32.53,29.43,29.97,81257.0
2010-02-09,30.05,30.59,29.43,30.13,44306.0
2010-02-10,30.21,32.45,30.21,30.9,122432.0
2010-02-11,30.9,32.07,30.36,31.83,35241.0
2010-02-12,32.68,33.3,30.98,30.98,45853.0
2010-02-15,31.37,33.15,31.37,33.15,43380.0
2010-02-16,33.15,33.15,31.76,32.53,29336.0
2010-02-17,33.15,33.15,32.14,32.53,17832.0
2010-02-18,32.14,32.92,31.76,32.92,12894.0
2010-02-19,32.92,33.07,31.91,32.92,22810.0
2010-02-22,32.53,32.92,31.06,31.52,21021.0
2010-02-23,30.9,31.45,29.97,30.52,33071.0
2010-02-24,31.37,31.37,29.04,30.44,42191.0
2010-02-25,30.91,30.99,29.23,30.32,42790.0
2010-02-26,29.99,31.24,28.73,29.99,39641.0
2010-03-01,29.82,29.9,28.47,29.15,47993.0
2010-03-02,29.4,29.4,28.22,28.73,17198.0
2010-03-03,29.06,29.06,27.38,27.38,25381.0
2010-03-04,27.3,27.72,26.04,26.79,85508.0
2010-03-05,26.54,27.3,26.21,27.3,34449.0
2010-03-08,27.47,28.14,25.2,25.95,46228.0
2010-03-09,25.95,25.95,25.03,25.2,73558.0
2010-03-10,25.62,26.29,25.2,26.21,67523.0
2010-03-11,26.46,26.88,25.62,26.21,47505.0
2010-03-12,26.71,26.79,24.78,25.87,164541.0
2010-03-15,26.12,26.12,24.95,25.37,149069.0
2010-03-16,26.04,27.05,24.44,26.88,333414.0
2010-03-17,27.21,28.56,26.63,27.89,164326.0
2010-03-18,28.56,28.56,26.96,27.72,81404.0
2010-03-19,28.14,28.56,27.72,28.05,121519.0
2010-03-22,28.56,31.08,28.56,30.66,93851.0
2010-03-23,31.5,35.28,31.41,33.85,204270.0
2010-03-24,34.86,35.02,32.84,34.27,87313.0
2010-03-25,34.44,34.94,33.85,34.52,49675.0
2010-03-26,34.27,35.02,34.02,34.77,61605.0
2010-03-29,35.19,37.38,34.86,36.7,77229.0
2010-03-30,37.38,39.9,35.7,37.38,98504.0
2010-03-31,37.38,37.63,35.36,36.12,88856.0
2010-04-01,37.8,39.31,37.04,37.54,62694.0
2010-04-06,37.38,38.64,36.96,38.05,42277.0
2010-04-07,37.38,37.71,37.04,37.54,30966.0
2010-04-08,37.54,37.54,36.12,36.37,36015.0
