Date,Open,High,Low,Close,Volume
2019-01-03,18.47,18.86,8.32,9.14,298280.0
2019-01-04,8.83,9.14,8.23,8.95,115564.0
2019-01-07,9.11,10.39,8.77,9.62,186580.0
2019-01-08,10.01,14.43,9.72,12.99,129572.0
2019-01-09,13.08,16.16,12.99,15.39,91765.0
2019-01-10,15.45,16.84,13.47,13.71,67377.0
2019-01-11,13.71,14.91,12.8,14.8,44023.0
2019-01-14,14.8,14.8,13.47,13.47,14706.0
2019-01-15,13.48,16.84,13.48,14.84,27929.0
2019-01-16,14.34,15.87,12.51,15.87,38592.0
2019-01-17,14.62,14.62,13.57,13.81,19483.0
2019-01-18,13.81,13.85,12.93,13.47,12242.0
2019-01-21,13.79,13.79,12.41,12.89,19120.0
2019-01-22,12.7,12.89,12.7,12.75,33908.0
2019-01-23,12.75,12.88,12.75,12.88,21702.0
2019-01-24,12.88,12.89,12.7,12.89,7797.0
2019-01-25,12.89,12.89,12.22,12.75,11344.0
2019-01-28,12.75,13.08,12.27,12.65,14633.0
2019-01-29,12.51,13.28,12.51,13.28,32167.0
2019-01-30,13.3,13.3,12.75,13.1,10071.0
2019-01-31,13.1,13.2,12.7,13.08,709.0
2019-02-01,13.08,13.42,12.75,12.99,4652.0
2019-02-04,12.99,13.47,12.6,12.89,4394.0
2019-02-05,12.89,13.47,12.89,13.47,31489.0
2019-02-06,13.55,13.64,13.33,13.47,3360.0
2019-02-07,13.47,13.62,13.18,13.62,6064.0
2019-02-08,13.64,13.95,13.6,13.95,29789.0
2019-02-11,13.95,14.24,13.47,13.47,11233.0
2019-02-12,13.47,14.43,13.47,13.85,13340.0
2019-02-13,13.85,14.05,13.29,13.29,16870.0
2019-02-14,13.29,14.09,13.29,14.05,5821.0
2019-02-15,14.09,14.09,13.32,13.76,24757.0
2019-02-18,13.95,13.95,13.47,13.66,3214.0
2019-02-19,13.66,13.66,12.46,12.75,12215.0
2019-02-20,12.75,13.45,12.75,12.99,7605.0
2019-02-21,12.99,13.42,12.92,12.94,5618.0
2019-02-22,12.94,13.76,12.51,13.57,24791.0
2019-02-25,13.58,13.76,13.32,13.47,11257.0
2019-02-26,13.47,13.57,13.12,13.57,6418.0
2019-02-27,13.18,13.18,12.89,13.08,9712.0
2019-02-28,13.51,13.76,13.18,13.37,35116.0
2019-03-01,13.37,13.37,12.07,12.81,57593.0
2019-03-04,12.82,13.45,12.82,13.27,29062.0
2019-03-05,12.99,12.99,12.61,12.84,12489.0
2019-03-06,12.84,12.99,12.51,12.64,26464.0
2019-03-07,12.64,12.75,11.64,12.41,6047.0
2019-03-08,12.41,12.42,11.98,12.27,5681.0
2019-03-11,12.27,12.51,12.14,12.41,9429.0
2019-03-12,12.51,12.51,12.03,12.12,12594.0
2019-03-13,12.22,12.7,12.22,12.41,17603.0
2019-03-14,12.41,12.41,12.34,12.34,9432.0
2019-03-15,12.34,12.41,12.33,12.34,5202.0
2019-03-18,12.51,15.3,12.51,14.62,151980.0
2019-03-19,14.7,20.2,14.7,19.55,171800.0
2019-03-20,18.28,19.15,16.38,18.29,94206.0
2019-03-21,18.61,18.76,17.8,18.66,85399.0
2019-03-22,18.86,23.09,18.86,21.65,193890.0
2019-03-25,21.65,25.98,21.17,24.53,171293.0
2019-03-26,25.0,25.98,22.03,23.57,103947.0
2019-03-27,23.28,25.68,22.32,23.3,80694.0
2019-03-28,23.01,23.56,21.17,22.59,74216.0
2019-03-29,21.94,22.12,20.22,21.16,73629.0
2019-04-01,21.26,24.15,21.26,23.09,64138.0
2019-04-02,23.67,28.09,23.47,27.13,75536.0
2019-04-03,27.52,28.67,24.82,26.75,104857.0
2019-04-04,26.36,27.52,25.21,25.21,57861.0
2019-04-05,25.21,27.52,25.21,26.36,19962.0
2019-04-08,26.36,28.86,25.21,25.98,35346.0
2019-04-09,26.94,29.25,25.21,28.29,64803.0
2019-04-10,28.29,30.79,26.55,26.55,78189.0
2019-04-11,27.52,28.48,26.55,27.32,25997.0
2019-04-12,27.52,27.52,26.17,26.75,19940.0
2019-04-15,26.75,27.71,25.98,27.13,17032.0
2019-04-16,27.13,27.71,24.05,24.63,34783.0
2019-04-17,24.82,27.52,23.28,23.86,21073.0
2019-04-18,25.98,29.82,25.98,27.13,47661.0
2019-04-23,27.32,27.32,25.21,26.55,16238.0
2019-04-24,26.55,26.55,24.24,24.63,17942.0
2019-04-25,24.63,26.55,23.09,26.17,23559.0
2019-04-26,26.17,26.55,24.05,24.24,25407.0
2019-04-29,24.63,25.59,21.94,25.01,86044.0
2019-04-30,25.01,25.59,24.05,24.24,5848.0
2019-05-02,24.24,25.4,22.32,25.4,21680.0
2019-05-03,25.4,28.29,23.86,25.4,73594.0
2019-05-06,25.4,25.78,24.24,25.4,12890.0
2019-05-07,25.01,25.01,23.28,24.24,13469.0
2019-05-08,24.24,24.44,23.47,24.05,6798.0
2019-05-09,24.05,24.05,23.09,23.67,6102.0
2019-05-10,23.67,25.78,23.47,25.01,12748.0
2019-05-13,25.59,25.78,25.01,25.01,6454.0
2019-05-14,25.01,26.75,24.24,25.21,29504.0
2019-05-15,25.21,26.36,24.24,24.63,5380.0
2019-05-16,25.01,25.01,24.44,24.44,2089.0
2019-05-17,24.44,25.21,24.44,24.82,6644.0
2019-05-20,24.63,24.63,22.51,22.9,19403.0
2019-05-21,23.47,24.05,22.71,22.71,14867.0
2019-05-22,22.71,23.09,21.55,21.94,9515.0
2019-05-23,21.94,21.94,20.2,20.4,8585.0
2019-05-24,20.4,20.59,18.28,18.95,25957.0
2019-05-27,18.95,22.13,18.95,20.4,14904.0
2019-05-28,20.4,21.94,20.2,20.78,20075.0
2019-05-29,20.59,20.59,18.47,18.95,7989.0
2019-05-31,20.01,20.01,18.76,18.76,4578.0
2019-06-03,18.76,19.15,18.57,19.15,2381.0
2019-06-04,19.15,19.15,17.32,17.99,10485.0
2019-06-05,17.7,18.09,17.7,18.09,6470.0
2019-06-07,18.38,19.24,17.99,18.47,31694.0
2019-06-11,17.41,17.41,16.55,16.93,9942.0
2019-06-12,16.93,16.93,16.16,16.55,7056.0
2019-06-13,16.55,17.7,16.55,17.22,6649.0
2019-06-14,17.22,19.24,17.22,18.38,11729.0
2019-06-18,18.28,18.38,17.7,18.38,1038.0
2019-06-19,18.28,20.2,17.22,19.24,49081.0
2019-06-20,19.43,19.43,18.28,18.28,3944.0
2019-06-24,18.28,18.28,16.84,17.03,9980.0
2019-06-25,17.03,17.41,16.84,16.93,6671.0
2019-06-26,16.93,17.03,16.55,16.64,4603.0
2019-06-27,16.64,17.12,16.55,16.55,2452.0
2019-06-28,16.26,16.36,15.78,16.36,6580.0
2019-07-01,16.07,18.47,15.3,18.28,72056.0
2019-07-02,18.28,18.86,17.99,18.38,4198.0
