Date,Open,High,Low,Close,Volume
2016-10-11,7.15,7.5,6.65,7.0,2138630.0
2016-10-12,7.0,7.3,6.65,6.65,1067903.0
2016-10-13,6.65,6.65,6.25,6.55,888873.0
2016-10-14,6.65,7.0,6.55,7.0,325912.0
2016-10-17,7.15,7.15,6.6,6.85,291117.0
2016-10-18,6.85,6.95,6.65,6.75,253743.0
2016-10-19,6.7,6.75,6.25,6.5,419667.0
2016-10-20,6.35,6.5,5.95,6.15,422039.0
2016-10-21,6.1,6.4,6.0,6.25,639912.0
2016-10-24,6.3,6.65,6.15,6.3,179838.0
2016-10-25,6.3,6.35,5.9,6.0,405236.0
2016-10-26,6.0,6.05,5.9,5.9,152786.0
2016-10-27,5.95,6.0,5.7,5.95,175229.0
2016-10-28,5.75,6.0,5.65,6.0,220250.0
2016-10-31,6.0,6.15,5.9,6.1,250323.0
2016-11-01,6.1,6.25,5.9,6.0,62363.0
2016-11-02,6.0,6.0,5.75,5.95,143259.0
2016-11-03,6.2,6.2,5.75,5.9,230346.0
2016-11-04,5.9,5.9,5.65,5.7,152476.0
2016-11-07,5.75,6.1,5.65,6.0,121779.0
2016-11-08,6.0,6.0,5.75,5.85,76905.0
2016-11-09,5.5,5.8,5.4,5.75,332538.0
2016-11-10,5.75,6.0,5.7,6.0,282770.0
2016-11-11,5.95,6.05,5.9,6.05,145045.0
2016-11-14,6.0,6.15,5.95,6.05,160718.0
2016-11-15,6.0,6.15,5.95,6.05,154097.0
2016-11-16,6.1,6.25,6.0,6.0,325095.0
2016-11-17,6.0,6.15,5.95,6.05,331518.0
2016-11-18,6.05,6.05,5.95,6.0,109430.0
2016-11-21,5.95,5.95,5.75,5.9,157308.0
2016-11-22,5.85,5.95,5.65,5.7,355929.0
2016-11-23,5.8,5.8,5.5,5.65,158486.0
2016-11-24,5.55,5.8,5.55,5.75,224643.0
2016-11-25,5.75,6.05,5.7,6.0,133851.0
2016-11-28,6.0,6.05,5.8,5.8,124103.0
2016-11-29,5.75,6.05,5.75,6.0,201178.0
2016-11-30,5.9,6.05,5.9,5.9,100281.0
2016-12-01,5.95,6.0,5.8,5.9,124921.0
2016-12-02,5.85,5.9,5.65,5.85,142723.0
2016-12-05,5.9,5.9,5.7,5.8,187585.0
2016-12-06,5.75,5.75,5.55,5.55,144473.0
2016-12-07,5.6,5.65,5.35,5.5,270874.0
2016-12-08,5.5,5.6,5.35,5.5,49472.0
2016-12-09,5.55,5.6,5.35,5.6,72818.0
2016-12-12,5.6,5.65,5.45,5.5,167593.0
2016-12-13,5.5,5.95,5.45,5.85,149592.0
2016-12-14,6.3,6.65,5.9,6.1,877126.0
2016-12-15,6.1,6.15,5.8,6.05,222614.0
2016-12-16,6.0,6.1,5.65,5.9,204726.0
2016-12-19,5.9,5.95,5.65,5.7,129402.0
2016-12-20,5.7,6.1,5.6,6.0,478513.0
2016-12-21,6.0,6.0,5.65,5.85,179055.0
2016-12-22,5.85,5.95,5.7,5.95,89983.0
2016-12-23,5.9,5.95,5.75,5.8,320157.0
2016-12-27,5.8,6.15,5.7,6.15,526990.0
2016-12-28,6.15,6.2,5.95,6.1,179858.0
2016-12-29,6.0,6.3,5.9,6.2,477198.0
2016-12-30,6.1,6.25,6.05,6.15,113822.0
2017-01-02,6.05,6.15,6.0,6.15,80225.0
2017-01-03,6.0,6.25,6.0,6.1,195833.0
2017-01-04,6.1,6.15,6.0,6.05,197218.0
2017-01-05,6.05,6.1,6.0,6.1,63505.0
2017-01-09,6.1,6.3,6.05,6.1,346868.0
2017-01-10,6.1,6.15,6.0,6.05,105269.0
2017-01-11,6.05,6.15,6.0,6.05,55066.0
2017-01-12,6.0,6.05,5.9,6.0,92458.0
2017-01-13,5.9,5.95,5.85,5.95,67089.0
2017-01-16,5.95,6.0,5.85,5.9,76562.0
2017-01-17,5.9,5.9,5.75,5.9,61437.0
2017-01-18,5.8,5.9,5.75,5.9,25221.0
2017-01-19,5.75,5.85,5.7,5.8,85953.0
2017-01-20,5.8,5.8,5.75,5.8,34754.0
2017-01-23,5.75,5.8,5.6,5.6,63333.0
2017-01-24,5.6,5.7,5.55,5.65,65260.0
2017-01-25,5.65,5.8,5.65,5.65,67576.0
2017-01-26,5.65,5.7,5.55,5.6,101344.0
2017-01-27,5.55,5.6,5.45,5.5,149294.0
2017-01-30,5.6,5.6,5.45,5.5,54394.0
2017-01-31,5.5,5.5,5.35,5.45,99570.0
2017-02-01,5.4,5.6,5.4,5.45,76360.0
2017-02-02,5.45,5.5,5.25,5.25,140035.0
2017-02-03,5.2,5.4,5.2,5.3,123584.0
2017-02-06,5.3,5.45,5.3,5.4,58753.0
2017-02-07,5.3,5.35,5.2,5.35,92381.0
2017-02-08,5.35,5.5,5.15,5.5,108813.0
2017-02-09,5.5,5.55,5.35,5.55,73531.0
2017-02-10,5.5,5.5,5.35,5.5,70740.0
2017-02-13,5.25,5.5,5.25,5.5,132140.0
2017-02-14,5.3,5.45,5.25,5.35,35890.0
2017-02-15,5.3,5.4,5.25,5.35,41055.0
2017-02-16,5.35,5.35,5.25,5.35,29357.0
2017-02-17,5.25,5.3,5.2,5.3,29922.0
2017-02-20,5.15,5.3,5.15,5.2,35004.0
2017-02-21,5.15,5.2,5.1,5.2,66160.0
2017-02-22,5.2,5.35,4.95,5.2,273132.0
2017-02-23,5.25,5.25,5.1,5.1,37906.0
2017-02-24,5.15,5.15,5.0,5.15,28767.0
2017-02-27,5.15,5.15,4.92,5.0,89065.0
2017-02-28,5.0,5.1,4.96,5.05,56961.0
2017-03-01,5.0,5.15,5.0,5.05,17646.0
2017-03-02,5.0,5.05,4.96,4.96,26012.0
2017-03-03,4.96,5.0,4.93,5.0,12397.0
2017-03-06,5.0,5.1,4.92,5.1,61580.0
2017-03-07,5.0,5.15,4.91,5.05,50050.0
2017-03-08,5.05,5.8,4.92,5.5,290548.0
2017-03-09,5.4,5.4,5.1,5.35,17925.0
2017-03-10,5.35,5.35,5.05,5.05,12322.0
2017-03-13,5.05,5.4,5.0,5.05,34213.0
2017-03-14,5.4,5.65,5.1,5.4,178871.0
2017-03-15,5.5,5.5,5.35,5.45,9177.0
2017-03-16,5.35,5.4,5.25,5.4,13203.0
2017-03-17,5.4,5.5,5.3,5.5,55548.0
2017-03-20,5.25,5.45,5.25,5.45,12274.0
2017-03-21,5.3,5.4,5.05,5.1,40609.0
2017-03-22,5.0,5.25,5.0,5.2,56093.0
2017-03-23,5.3,5.35,5.05,5.1,40808.0
2017-03-24,5.1,5.35,5.1,5.3,55345.0
2017-03-27,5.3,5.5,5.2,5.25,44972.0
2017-03-28,5.3,5.3,5.15,5.25,50825.0
2017-03-29,5.25,5.5,5.05,5.35,65247.0
2017-03-30,5.3,5.3,5.15,5.25,18611.0
2017-03-31,5.05,5.2,5.05,5.1,24548.0
2017-04-03,5.1,5.2,5.0,5.1,56050.0
2017-04-04,5.3,5.3,4.95,5.05,44605.0
2017-04-05,4.95,4.95,4.8,4.94,88858.0
2017-04-06,4.9,5.0,4.85,5.0,100579.0
2017-04-07,5.0,5.55,5.0,5.3,240653.0
2017-04-10,5.2,5.2,5.1,5.15,47794.0
2017-04-11,5.15,5.35,5.15,5.25,36608.0
2017-04-12,5.25,5.3,5.1,5.2,28438.0
2017-04-13,5.1,5.1,5.1,5.1,3100.0
2017-04-18,5.05,5.15,5.0,5.1,23052.0
2017-04-19,5.1,5.1,4.9,5.1,62537.0
2017-04-20,4.96,5.15,4.95,5.05,36008.0
2017-04-21,5.0,5.1,5.0,5.05,23944.0
2017-04-24,4.95,5.1,4.95,5.05,45252.0
2017-04-25,5.05,5.1,5.0,5.1,116200.0
2017-04-26,5.15,5.15,5.0,5.1,25336.0
2017-04-27,5.0,5.1,4.95,5.1,40511.0
2017-04-28,5.1,5.1,5.05,5.05,4000.0
2017-05-02,5.0,5.1,4.95,5.05,61550.0
2017-05-03,5.05,5.1,4.95,4.99,49971.0
2017-05-04,5.05,5.05,4.9,4.9,21926.0
