Date,Open,High,Low,Close,Volume
2018-01-02,42.78,43.67,42.59,43.17,1749.0
2018-01-03,43.17,43.17,42.19,42.19,240.0
2018-01-04,45.04,45.04,42.68,43.47,1001.0
2018-01-05,42.78,42.78,42.78,42.78,680.0
2018-01-08,42.78,42.78,40.72,42.78,2599.0
2018-01-09,41.31,42.49,41.31,42.39,3736.0
2018-01-10,42.19,44.06,42.19,43.67,1922.0
2018-01-11,43.67,44.65,43.08,44.16,1117.0
2018-01-12,43.57,44.16,43.57,43.86,279.0
2018-01-15,44.25,44.84,44.25,44.65,1087.0
2018-01-16,44.74,44.74,44.65,44.65,199.0
2018-01-17,44.65,46.12,43.86,44.16,3360.0
2018-01-18,43.76,46.02,43.76,45.92,5435.0
2018-01-19,44.84,47.98,44.84,47.69,4673.0
2018-01-22,47.69,47.69,47.0,47.1,2104.0
2018-01-23,47.79,48.57,47.79,48.57,2354.0
2018-01-24,48.47,48.47,47.1,47.1,1029.0
2018-01-25,47.2,47.2,45.14,45.14,1555.0
2018-01-26,45.33,47.98,45.33,46.61,736.0
2018-01-29,46.61,48.08,46.61,48.08,53.0
2018-01-30,48.08,48.08,47.1,47.1,550.0
2018-01-31,47.1,47.1,47.1,47.1,650.0
2018-02-01,47.1,47.1,47.1,47.1,0.0
2018-02-02,47.1,47.1,47.1,47.1,1245.0
2018-02-05,47.1,47.1,43.18,45.14,4975.0
2018-02-06,42.59,45.14,42.59,44.35,2686.0
2018-02-07,45.14,45.14,45.14,45.14,17.0
2018-02-08,45.14,45.14,45.14,45.14,0.0
2018-02-09,46.12,46.51,45.33,45.33,1199.0
2018-02-12,45.33,45.33,45.33,45.33,0.0
2018-02-13,44.16,44.16,44.16,44.16,720.0
2018-02-14,43.67,45.14,43.67,45.14,555.0
2018-02-15,42.98,42.98,42.98,42.98,1000.0
2018-02-16,44.65,44.65,43.76,43.76,400.0
2018-02-19,43.18,46.32,43.18,44.16,977.0
2018-02-20,44.16,44.45,44.16,44.45,1098.0
2018-02-21,45.24,46.61,45.14,46.61,4900.0
2018-02-22,46.61,51.42,46.61,50.24,15847.0
2018-02-23,50.04,51.02,50.04,51.02,4074.0
2018-02-26,51.42,51.42,47.3,50.04,1805.0
2018-02-27,47.88,49.85,47.88,49.26,2377.0
2018-02-28,49.06,49.26,48.08,49.26,225.0
2018-03-01,48.08,48.08,48.08,48.08,480.0
2018-03-02,47.98,49.06,46.22,49.06,3080.0
2018-03-05,49.06,49.06,46.71,48.96,94.0
2018-03-06,47.1,48.96,47.1,48.96,1300.0
2018-03-07,47.1,48.87,47.1,48.87,300.0
2018-03-08,47.39,47.59,47.39,47.59,16.0
2018-03-09,48.08,48.08,47.1,47.1,1204.0
2018-03-12,47.2,47.2,47.1,47.1,600.0
2018-03-13,47.69,47.69,47.69,47.69,374.0
2018-03-14,47.79,48.96,47.79,48.96,4430.0
2018-03-15,50.83,50.83,50.83,50.83,3120.0
2018-03-16,50.04,50.04,50.04,50.04,42.0
2018-03-19,50.04,50.04,49.65,49.65,328.0
2018-03-20,51.42,51.61,51.42,51.61,500.0
2018-03-21,51.03,51.03,49.46,49.46,61.0
2018-03-22,49.65,49.65,49.46,49.46,1117.0
2018-03-23,48.96,48.96,46.22,46.22,503.0
2018-03-26,45.43,46.71,45.43,46.71,76.0
2018-03-27,48.77,48.77,48.77,48.77,3.0
2018-03-28,48.77,48.77,48.77,48.77,0.0
2018-04-03,48.57,48.57,48.57,48.57,1.0
2018-04-04,50.44,50.44,46.71,46.71,200.0
2018-04-05,46.71,46.71,46.71,46.71,703.0
2018-04-06,47.1,47.1,47.1,47.1,340.0
2018-04-09,47.2,50.83,47.2,50.83,844.0
2018-04-10,46.32,46.51,46.32,46.41,1500.0
2018-04-11,46.41,47.88,46.41,46.71,900.0
2018-04-12,48.96,48.96,48.96,48.96,2.0
2018-04-13,47.1,48.77,47.1,48.77,872.0
2018-04-16,48.77,48.77,48.77,48.77,470.0
2018-04-18,48.77,48.77,48.77,48.77,200.0
2018-04-20,47.98,49.06,47.98,49.06,591.0
2018-04-23,49.26,49.26,47.0,47.1,2980.0
2018-04-24,46.32,48.47,46.32,48.47,552.0
2018-04-25,48.57,48.57,48.47,48.47,660.0
2018-04-26,48.47,48.47,48.47,48.47,45.0
2018-04-27,48.47,48.87,47.39,48.87,1655.0
2018-04-30,49.26,50.04,48.96,50.04,1365.0
2018-05-02,50.04,50.04,48.18,48.18,215.0
2018-05-03,48.28,49.06,48.28,49.06,1656.0
2018-05-04,48.18,48.28,48.18,48.28,1220.0
2018-05-07,48.08,50.04,48.08,49.46,835.0
2018-05-08,46.9,48.08,44.06,46.22,3778.0
2018-05-09,46.12,46.12,46.12,46.12,400.0
2018-05-11,44.74,49.06,44.74,49.06,425.0
2018-05-14,49.06,49.06,46.12,48.87,125.0
2018-05-15,45.63,45.63,45.63,45.63,11.0
2018-05-16,45.73,45.73,45.63,45.63,336.0
2018-05-17,44.65,46.12,44.65,46.12,1144.0
2018-05-18,47.1,47.1,46.12,46.61,2595.0
2018-05-21,45.14,45.14,45.14,45.14,11.0
2018-05-22,44.16,44.16,44.16,44.16,200.0
2018-05-23,45.24,45.73,45.24,45.73,153.0
2018-05-24,45.73,45.73,45.73,45.73,0.0
2018-05-25,48.08,48.08,48.08,48.08,17.0
2018-05-28,47.98,47.98,47.98,47.98,110.0
2018-05-29,47.98,47.98,47.98,47.98,0.0
2018-05-30,47.79,47.79,47.79,47.79,204.0
2018-05-31,47.69,47.69,44.65,45.73,182.0
2018-06-01,45.73,45.73,44.94,44.94,402.0
2018-06-04,44.55,47.98,44.55,47.59,3802.0
2018-06-05,47.98,48.08,46.22,46.22,991.0
2018-06-06,46.22,46.22,46.22,46.22,0.0
2018-06-08,45.04,47.2,45.04,46.61,925.0
2018-06-11,46.61,46.61,46.61,46.61,33.0
2018-06-12,46.61,46.61,46.51,46.51,606.0
2018-06-13,46.51,46.51,46.51,46.51,5.0
2018-06-14,46.71,46.71,46.71,46.71,55.0
2018-06-15,47.1,47.1,46.61,46.61,772.0
2018-06-18,46.41,46.61,46.41,46.61,269.0
2018-06-19,45.53,47.79,45.53,47.49,454.0
2018-06-20,45.53,45.73,45.43,45.43,592.0
2018-06-21,45.43,45.53,45.14,45.14,442.0
2018-06-25,45.14,46.02,45.14,46.02,365.0
2018-06-26,46.02,46.02,46.02,46.02,0.0
2018-06-27,45.24,45.24,45.24,45.24,150.0
2018-06-28,45.24,45.24,45.24,45.24,0.0
2018-06-29,45.24,45.24,45.14,45.24,305.0
2018-07-02,44.55,44.55,42.78,42.78,180.0
2018-07-03,42.88,47.98,42.88,47.98,82.0
2018-07-05,44.25,44.25,44.25,44.25,51.0
2018-07-06,45.04,45.04,45.04,45.04,10.0
2018-07-09,45.04,45.04,44.16,44.35,554.0
2018-07-10,44.35,44.35,44.35,44.35,0.0
2018-07-11,44.16,44.16,44.16,44.16,362.0
2018-07-12,44.16,44.16,44.16,44.16,82.0
2018-07-13,43.18,47.0,43.18,47.0,192.0
2018-07-16,46.71,46.71,46.71,46.71,200.0
2018-07-17,46.71,46.71,46.71,46.71,0.0
2018-07-19,43.08,44.25,43.08,44.25,942.0
2018-07-20,44.25,44.25,44.25,44.25,0.0
2018-07-23,42.68,44.16,42.68,43.67,656.0
2018-07-24,43.37,43.37,43.37,43.37,204.0
2018-07-25,43.37,44.16,43.37,44.16,206.0
2018-07-26,45.14,45.14,45.04,45.14,730.0
2018-07-27,44.65,45.63,44.65,45.63,2799.0
2018-07-30,45.63,45.63,45.63,45.63,0.0
2018-07-31,45.63,45.63,45.53,45.53,1931.0
2018-08-01,44.16,44.16,44.16,44.16,320.0
2018-08-02,47.3,47.3,43.76,43.76,139.0
2018-08-03,45.14,45.14,43.76,43.76,391.0
2018-08-06,43.76,43.76,43.76,43.76,88.0
2018-08-07,43.76,44.25,43.76,44.25,83.0
2018-08-08,43.86,44.16,43.57,43.57,983.0
2018-08-09,47.3,47.3,47.3,47.3,45.0
2018-08-10,47.2,47.2,44.25,44.25,1003.0
2018-08-13,44.25,44.25,43.47,43.67,1733.0
2018-08-14,43.67,45.14,43.67,43.67,782.0
2018-08-15,44.16,45.04,44.16,45.04,1512.0
2018-08-16,43.37,47.49,43.17,43.17,2640.0
2018-08-17,44.35,46.02,44.35,44.65,1371.0
2018-08-20,45.24,45.33,45.24,45.33,301.0
2018-08-21,43.76,45.04,43.76,45.04,217.0
2018-08-22,44.35,46.31,44.25,46.31,12114.0
2018-08-23,46.32,49.85,46.32,49.06,10763.0
2018-08-24,48.77,48.77,46.12,48.38,3468.0
2018-08-27,48.08,48.96,47.1,48.96,3640.0
2018-08-28,48.96,48.96,48.57,48.96,1839.0
2018-08-29,49.06,49.06,47.59,48.96,1515.0
2018-08-30,48.57,48.57,48.57,48.57,150.0
2018-08-31,47.59,47.59,46.71,46.71,340.0
2018-09-03,46.61,47.49,45.24,46.12,4801.0
2018-09-04,45.82,46.22,45.82,46.12,5494.0
2018-09-05,46.12,46.41,46.12,46.41,3500.0
2018-09-06,46.41,47.0,45.14,47.0,1158.0
2018-09-07,45.63,45.63,45.63,45.63,951.0
2018-09-10,47.89,47.89,45.73,45.73,1769.0
2018-09-11,46.51,46.51,46.51,46.51,50.0
2018-09-12,45.63,45.63,45.63,45.63,400.0
2018-09-13,46.41,46.61,46.41,46.61,667.0
2018-09-14,47.49,47.49,47.49,47.49,500.0
2018-09-17,47.49,47.49,47.49,47.49,800.0
2018-09-18,46.71,48.38,46.41,48.18,1143.0
2018-09-19,48.18,48.18,48.18,48.18,0.0
2018-09-20,48.28,48.28,47.49,47.59,430.0
2018-09-21,47.59,49.06,47.2,47.2,1680.0
2018-09-24,47.69,49.06,47.69,47.69,215.0
2018-09-25,47.59,49.06,47.2,47.49,2950.0
2018-09-26,48.77,48.77,48.77,48.77,20.0
2018-09-27,47.1,48.57,47.1,48.57,2573.0
2018-09-28,48.08,48.08,47.2,47.49,374.0
2018-10-01,47.49,49.06,47.49,48.87,213.0
2018-10-02,47.1,48.57,47.1,48.57,410.0
2018-10-03,47.98,49.06,47.2,49.06,1735.0
2018-10-04,48.57,48.57,48.57,48.57,250.0
2018-10-05,48.18,48.18,48.08,48.08,1160.0
2018-10-08,48.57,49.46,48.28,48.28,2799.0
2018-10-09,48.18,48.96,48.18,48.96,2638.0
2018-10-10,48.96,49.85,48.87,49.06,4074.0
2018-10-11,48.38,48.38,46.51,47.1,9429.0
2018-10-12,47.69,48.77,46.81,46.81,540.0
2018-10-15,48.08,48.08,47.98,47.98,211.0
2018-10-16,46.51,46.51,46.51,46.51,25.0
2018-10-17,46.51,46.51,46.51,46.51,100.0
2018-10-18,46.81,46.81,46.81,46.81,50.0
2018-10-19,47.98,48.08,47.79,48.08,308.0
2018-10-22,47.1,47.88,47.1,47.88,535.0
2018-10-23,47.79,47.79,46.51,46.51,160.0
2018-10-24,46.61,47.79,45.43,47.69,732.0
2018-10-25,47.59,47.59,45.33,45.33,1100.0
2018-10-26,45.24,47.79,45.14,47.2,1438.0
2018-10-29,45.63,46.22,45.63,46.22,80.0
2018-10-31,47.0,47.0,46.9,46.9,150.0
2018-11-01,46.9,50.24,46.9,50.24,7306.0
2018-11-02,50.24,51.22,49.26,49.26,1992.0
2018-11-05,48.38,51.02,48.38,51.02,4983.0
2018-11-06,51.02,52.01,50.83,51.81,1350.0
2018-11-07,52.01,52.2,52.01,52.2,695.0
2018-11-08,52.4,52.4,50.04,50.44,4762.0
2018-11-09,50.63,50.83,48.96,50.83,6142.0
2018-11-12,51.02,51.02,51.02,51.02,61.0
2018-11-13,48.18,48.18,47.98,48.08,747.0
2018-11-14,48.08,48.08,46.41,48.08,456.0
2018-11-15,48.08,48.08,48.08,48.08,0.0
2018-11-16,47.98,50.04,47.98,50.04,814.0
2018-11-19,49.06,50.63,49.06,50.63,750.0
2018-11-20,50.63,50.63,50.63,50.63,0.0
2018-11-23,51.02,51.02,51.02,51.02,53.0
2018-11-26,50.63,51.02,50.63,51.02,1014.0
2018-11-27,51.02,51.02,51.02,51.02,0.0
2018-11-28,51.02,51.02,51.02,51.02,8.0
2018-11-30,48.18,48.18,48.18,48.18,253.0
2018-12-03,48.18,48.18,48.18,48.18,230.0
2018-12-04,49.26,49.26,48.08,48.08,554.0
2018-12-07,46.32,47.1,46.32,46.61,1071.0
2018-12-10,46.32,46.41,45.04,45.14,6213.0
2018-12-11,45.14,46.71,45.14,46.71,329.0
2018-12-12,49.06,49.26,46.12,49.26,311.0
2018-12-13,49.26,49.26,49.26,49.26,0.0
2018-12-14,50.44,50.44,49.26,49.26,34.0
2018-12-17,49.26,50.44,49.26,50.44,20.0
2018-12-18,50.44,50.44,50.44,50.44,0.0
2018-12-19,49.85,49.85,49.85,49.85,11.0
2018-12-20,46.41,48.77,46.12,47.1,2930.0
2018-12-21,48.77,48.77,46.22,48.47,146.0
2018-12-27,48.47,48.47,45.63,48.28,3375.0
2018-12-28,45.63,48.28,45.63,48.28,2584.0
2019-01-02,49.06,50.04,49.06,50.04,300.0
2019-01-03,45.63,45.63,45.63,45.63,200.0
2019-01-04,49.06,49.06,46.71,46.71,520.0
2019-01-08,46.71,47.1,46.71,47.1,33.0
2019-01-10,48.08,49.06,48.08,49.06,583.0
2019-01-11,49.06,49.06,49.06,49.06,0.0
2019-01-14,49.06,49.06,46.71,46.71,312.0
2019-01-15,48.96,48.96,48.38,48.96,439.0
2019-01-16,49.85,49.85,49.85,49.85,20.0
2019-01-17,49.65,49.65,49.65,49.65,20.0
2019-01-18,49.65,49.65,49.65,49.65,0.0
2019-01-21,50.04,50.04,48.08,49.65,661.0
2019-01-23,49.85,49.85,49.85,49.85,200.0
2019-01-24,49.85,49.85,49.85,49.85,500.0
2019-01-25,46.71,51.02,46.61,51.02,2180.0
2019-01-28,50.83,50.83,49.26,49.26,205.0
2019-01-29,49.06,49.06,49.06,49.06,50.0
2019-01-30,49.06,49.06,49.06,49.06,100.0
2019-02-04,49.06,49.06,49.06,49.06,20.0
2019-02-05,48.28,53.97,48.28,53.97,916.0
2019-02-06,53.97,53.97,49.26,53.58,157.0
2019-02-07,52.99,53.18,52.99,53.18,260.0
2019-02-08,53.18,53.18,53.18,53.18,258.0
2019-02-11,53.18,53.18,53.18,53.18,630.0
2019-02-12,50.24,52.59,50.24,51.61,1407.0
2019-02-13,52.01,52.99,51.02,51.02,663.0
2019-02-14,52.01,53.58,52.01,53.58,102.0
2019-02-15,53.38,53.38,53.38,53.38,4.0
2019-02-18,53.38,53.38,53.38,53.38,0.0
2019-02-19,53.38,53.38,53.38,53.38,10.0
2019-02-20,53.18,53.18,51.42,53.18,75.0
2019-02-21,53.18,53.18,49.46,49.46,260.0
2019-02-22,52.99,52.99,52.59,52.59,90.0
2019-02-25,49.26,50.83,49.26,50.83,170.0
2019-02-26,50.83,50.83,49.26,49.26,315.0
2019-02-27,50.04,50.63,50.04,50.63,369.0
2019-02-28,49.45,50.83,49.45,50.83,248.0
2019-03-01,50.83,52.99,50.63,52.99,801.0
2019-03-04,52.99,52.99,50.04,52.4,217.0
2019-03-05,50.24,50.63,50.24,50.63,57.0
2019-03-06,52.2,60.84,52.2,58.68,15965.0
2019-03-07,58.48,58.48,55.93,57.11,2767.0
2019-03-08,57.11,57.89,56.91,56.91,1477.0
2019-03-11,56.13,57.89,56.13,56.91,2031.0
2019-03-12,57.89,57.89,57.7,57.89,538.0
2019-03-13,57.89,57.89,56.32,56.32,646.0
2019-03-14,56.52,56.52,56.52,56.52,2.0
2019-03-15,56.52,57.89,56.52,57.7,1251.0
2019-03-18,57.89,58.88,57.89,58.88,4535.0
2019-03-19,59.66,59.66,57.89,59.07,2071.0
2019-03-20,59.07,59.27,56.91,59.27,120.0
2019-03-21,59.27,59.27,59.27,59.27,0.0
2019-03-22,59.27,62.8,59.27,61.62,1198.0
2019-03-25,62.8,62.8,62.41,62.41,1096.0
2019-03-26,62.8,73.59,62.41,73.4,1689.0
2019-03-27,70.65,70.65,67.9,68.49,1207.0
2019-03-28,68.69,68.69,64.57,64.76,2321.0
2019-03-29,64.76,64.76,64.76,64.76,68.0
2019-04-01,64.76,64.76,64.76,64.76,0.0
2019-04-02,66.23,66.23,66.23,66.23,2.0
2019-04-03,66.23,67.71,64.27,67.71,908.0
2019-04-04,67.22,68.69,66.72,66.72,243.0
2019-04-05,66.72,68.69,63.29,66.23,2060.0
2019-04-08,66.23,66.23,63.29,64.27,264.0
2019-04-09,64.76,64.76,64.76,64.76,48.0
2019-04-10,61.33,63.78,61.33,62.8,1494.0
2019-04-11,62.8,63.78,62.8,63.78,101.0
2019-04-12,63.78,63.78,63.78,63.78,3.0
2019-04-15,65.74,65.74,65.74,65.74,120.0
2019-04-16,65.74,66.23,65.74,65.74,2776.0
2019-04-17,65.74,65.74,63.29,64.76,1983.0
2019-04-23,68.2,71.14,65.25,66.72,1317.0
2019-04-24,69.18,69.18,66.72,67.71,1293.0
2019-04-25,67.71,70.65,67.71,69.18,1094.0
2019-04-26,70.65,77.03,70.65,77.03,2213.0
2019-04-29,76.54,76.54,69.18,69.18,2019.0
2019-04-30,71.63,73.59,70.16,73.59,1417.0
2019-05-02,70.65,74.58,70.65,73.59,5637.0
2019-05-03,73.59,76.05,72.61,73.59,1515.0
2019-05-06,73.59,73.59,70.65,72.12,463.0
2019-05-07,72.61,76.05,72.61,74.08,1915.0
2019-05-08,74.58,83.9,74.58,78.5,8132.0
2019-05-09,84.5,84.5,81.0,81.5,5869.0
2019-05-10,84.0,84.0,81.5,83.0,4901.0
2019-05-13,84.0,85.5,83.0,84.0,4333.0
2019-05-14,80.5,85.5,80.5,83.5,3316.0
2019-05-15,83.5,85.0,77.5,83.0,5562.0
2019-05-16,83.0,83.0,81.5,83.0,2464.0
