Date,Open,High,Low,Close,Volume
2017-05-11,58.08,62.9,56.88,62.66,1725835.0
2017-05-12,62.66,63.38,61.21,62.18,636927.0
2017-05-15,64.35,66.52,63.38,63.62,93272.0
2017-05-16,64.59,65.07,61.7,62.18,450010.0
2017-05-17,63.38,63.38,60.97,62.66,88562.0
2017-05-18,62.66,63.87,61.7,62.42,94859.0
2017-05-19,62.66,64.59,62.18,62.66,36205.0
2017-05-22,63.38,63.62,62.66,62.66,26959.0
2017-05-23,63.62,65.31,62.9,63.14,46688.0
2017-05-24,62.9,63.62,62.42,62.66,113357.0
2017-05-26,62.66,63.62,62.66,63.62,24781.0
2017-05-29,65.31,68.69,64.59,65.07,129941.0
2017-05-30,65.07,65.55,63.14,64.59,125124.0
2017-05-31,64.59,65.55,63.87,64.11,132588.0
2017-06-01,64.11,65.31,62.66,63.62,23196.0
2017-06-02,65.07,65.07,63.87,64.59,69368.0
2017-06-05,64.59,64.59,63.38,64.35,116492.0
2017-06-06,64.35,64.35,64.35,64.35,0.0
2017-06-07,64.35,66.03,64.35,64.59,15341.0
2017-06-08,65.31,65.55,63.38,65.07,14051.0
2017-06-09,65.07,65.55,63.62,65.55,50904.0
2017-06-12,65.55,65.55,63.62,65.31,77840.0
2017-06-13,65.31,65.55,64.35,64.59,77433.0
2017-06-14,65.07,65.55,64.35,65.55,203095.0
2017-06-15,65.55,65.55,63.87,64.11,11422.0
2017-06-16,64.83,65.79,64.11,65.07,52802.0
2017-06-19,65.07,65.55,64.11,64.83,6555.0
2017-06-20,65.07,65.55,64.83,65.55,342188.0
2017-06-21,67.24,67.24,65.31,65.31,70577.0
2017-06-22,65.79,66.28,65.31,66.03,32123.0
2017-06-23,66.03,66.03,66.03,66.03,0.0
2017-06-26,67.24,69.41,66.28,67.24,27377.0
2017-06-27,67.24,67.24,66.28,66.76,31387.0
2017-06-28,66.52,67.24,66.28,67.0,51096.0
2017-06-29,67.24,67.24,66.28,67.0,27819.0
2017-06-30,67.0,67.0,64.11,66.52,73905.0
2017-07-03,66.52,67.24,65.31,66.03,107807.0
2017-07-04,67.24,67.24,64.83,64.83,12991.0
2017-07-05,65.07,66.52,65.07,66.52,9281.0
2017-07-06,67.24,67.24,66.03,66.03,2480.0
2017-07-07,66.52,66.52,65.55,66.03,6360.0
2017-07-10,66.03,67.24,65.79,67.0,22890.0
2017-07-11,67.0,67.0,66.03,67.0,9294.0
2017-07-12,67.48,71.34,66.52,67.24,31065.0
2017-07-13,67.24,67.24,65.55,67.0,13626.0
2017-07-14,67.24,67.24,66.52,67.24,12286.0
2017-07-17,67.24,67.24,65.55,66.52,5191.0
2017-07-18,66.52,66.76,65.55,66.28,19041.0
2017-07-19,65.31,66.28,65.31,65.31,22543.0
2017-07-20,65.31,66.03,65.07,65.55,14842.0
2017-07-21,65.07,66.28,65.07,65.07,14716.0
2017-07-24,65.31,65.31,64.35,65.07,5079.0
2017-07-25,65.31,65.31,63.14,64.59,6786.0
2017-07-26,64.59,64.83,64.35,64.35,10199.0
2017-07-27,64.35,67.0,64.35,66.52,9863.0
2017-07-28,66.28,66.28,64.35,64.83,2539.0
2017-07-31,64.59,66.03,64.59,65.55,7080.0
2017-08-01,66.03,66.28,65.31,66.03,52984.0
2017-08-02,66.03,66.52,65.79,66.52,8507.0
2017-08-03,65.79,66.52,65.79,66.28,3162.0
2017-08-04,67.24,67.24,66.28,67.0,8819.0
2017-08-07,67.0,67.24,66.52,67.24,13837.0
2017-08-08,67.24,70.37,67.24,69.65,69927.0
2017-08-09,68.93,68.93,67.48,68.93,11731.0
2017-08-10,68.93,68.93,67.48,68.2,6220.0
2017-08-11,68.2,68.2,66.52,67.24,97791.0
2017-08-14,67.0,69.65,67.0,68.44,21648.0
2017-08-15,67.96,67.96,65.79,67.24,13561.0
2017-08-16,68.44,68.44,67.48,68.44,1454.0
2017-08-17,68.2,69.41,67.96,69.41,12180.0
2017-08-18,68.44,69.41,66.76,68.93,15260.0
2017-08-21,68.93,69.17,67.24,69.17,10632.0
2017-08-22,69.17,69.41,67.48,68.44,23688.0
2017-08-23,68.44,68.44,67.48,68.44,11518.0
2017-08-24,68.44,68.44,67.48,68.2,19392.0
2017-08-25,67.48,69.89,65.07,65.31,67865.0
2017-08-28,64.11,65.31,62.9,63.87,47539.0
2017-08-29,63.62,63.62,59.53,62.66,64529.0
2017-08-30,62.42,62.66,61.46,61.94,8664.0
2017-08-31,61.94,62.66,59.53,61.7,29923.0
2017-09-01,62.66,62.66,62.18,62.66,6557.0
2017-09-04,63.14,63.62,60.97,62.18,11238.0
2017-09-05,61.7,61.7,60.25,60.73,22410.0
2017-09-06,60.73,60.73,59.29,59.29,32266.0
2017-09-07,59.29,60.73,59.29,60.01,7408.0
2017-09-08,62.66,64.59,60.73,61.46,74525.0
2017-09-11,61.46,61.94,60.73,61.7,20301.0
2017-09-12,61.7,61.7,60.73,61.21,2895.0
2017-09-13,60.97,61.7,60.25,60.25,26986.0
2017-09-14,60.25,60.97,57.84,60.97,29427.0
2017-09-15,61.21,61.7,59.05,60.25,14660.0
2017-09-18,59.53,61.46,59.29,61.46,9429.0
2017-09-19,61.7,61.7,60.01,60.25,3064.0
2017-09-20,61.7,61.7,59.05,60.49,3859.0
2017-09-21,60.73,60.73,59.77,60.01,3037.0
2017-09-22,59.77,60.73,59.29,60.01,3044.0
2017-09-25,59.29,60.25,59.29,60.25,5139.0
2017-09-26,60.25,61.21,60.25,60.49,86916.0
2017-09-27,60.49,60.49,59.29,60.25,3602.0
2017-09-28,60.73,60.73,59.53,59.53,4350.0
2017-09-29,60.49,61.7,59.77,61.7,38665.0
2017-10-02,61.7,63.62,59.77,61.21,32936.0
2017-10-03,61.21,61.7,60.73,61.7,154594.0
2017-10-04,61.7,61.94,61.21,61.94,279832.0
2017-10-05,61.7,61.7,61.21,61.7,400970.0
2017-10-06,61.7,61.7,59.53,61.21,8454.0
2017-10-09,60.73,61.46,60.01,60.73,2222.0
2017-10-10,59.77,59.77,59.53,59.53,130193.0
2017-10-11,59.77,59.77,59.05,59.29,4218.0
2017-10-12,59.05,59.77,57.12,59.05,59557.0
2017-10-13,58.56,60.01,58.08,59.53,27572.0
2017-10-16,59.53,59.77,58.08,58.8,53225.0
2017-10-17,58.8,58.8,58.08,58.8,43534.0
2017-10-18,58.32,58.8,57.84,58.08,6604.0
2017-10-19,57.12,58.32,57.12,58.32,2200.0
