Date,Open,High,Low,Close,Volume
2014-09-26,59.11,59.32,52.94,54.85,12407145.0
2014-09-29,55.07,56.13,52.3,53.58,2564187.0
2014-09-30,52.73,55.07,52.73,54.85,1397753.0
2014-10-01,54.64,55.28,53.37,55.28,679106.0
2014-10-02,54.85,54.85,52.94,53.58,474621.0
2014-10-03,54.22,54.43,53.15,53.79,637370.0
2014-10-06,54.0,54.43,52.73,52.73,205347.0
2014-10-07,52.73,52.73,50.6,52.09,387396.0
2014-10-08,51.88,52.73,50.6,51.66,146094.0
2014-10-09,51.88,52.73,49.75,50.6,341779.0
2014-10-10,50.18,50.6,47.63,48.05,526772.0
2014-10-13,47.63,48.48,46.14,48.26,171332.0
2014-10-14,49.11,52.09,48.05,52.09,338088.0
2014-10-15,49.96,52.3,48.48,48.48,210761.0
2014-10-16,48.48,51.03,46.99,51.03,223312.0
2014-10-17,50.81,51.24,48.69,50.39,172141.0
2014-10-20,50.18,52.3,48.9,51.45,156125.0
2014-10-21,52.09,52.09,50.39,50.81,148515.0
2014-10-22,51.45,51.45,49.75,50.39,418615.0
2014-10-23,50.18,50.81,49.75,50.18,61138.0
2014-10-24,50.18,51.03,48.9,49.33,57833.0
2014-10-27,49.54,50.39,48.69,49.33,34136.0
2014-10-28,50.18,52.3,50.18,51.88,839613.0
2014-10-29,51.66,53.15,51.03,53.15,283944.0
2014-10-30,53.15,53.58,52.09,52.73,68929.0
2014-10-31,52.94,53.37,51.03,51.88,260579.0
2014-11-03,51.88,51.88,51.45,51.45,49943.0
2014-11-04,51.45,52.09,51.24,51.24,78430.0
2014-11-05,52.52,52.73,51.66,52.73,87723.0
2014-11-06,54.0,56.98,54.0,54.22,825393.0
2014-11-07,54.64,55.07,54.22,55.07,204494.0
2014-11-10,55.28,55.92,54.43,55.07,319820.0
2014-11-11,55.28,55.49,54.85,54.85,479501.0
2014-11-12,55.49,55.49,54.43,54.43,100778.0
2014-11-13,54.85,55.28,54.43,54.85,371723.0
2014-11-14,54.64,54.64,54.0,54.43,44891.0
2014-11-17,54.0,54.43,53.37,53.79,88290.0
2014-11-18,53.58,53.79,52.73,53.37,329138.0
2014-11-19,53.58,54.64,52.94,53.37,155048.0
2014-11-20,53.37,54.22,53.15,54.22,114198.0
2014-11-21,54.0,55.07,52.94,53.37,273761.0
2014-11-24,53.79,55.07,53.58,54.64,240813.0
2014-11-25,54.85,54.85,54.43,54.85,747000.0
2014-11-26,54.85,54.85,54.22,54.85,77642.0
2014-11-27,54.85,55.7,54.64,54.85,116434.0
2014-11-28,54.85,55.49,54.43,54.85,113011.0
2014-12-01,55.28,55.28,53.79,54.85,130351.0
2014-12-02,54.43,55.28,53.79,55.07,94814.0
2014-12-03,55.07,55.07,54.22,54.22,43851.0
2014-12-04,54.85,55.07,54.0,54.43,145507.0
2014-12-05,54.64,55.07,54.43,55.07,104986.0
2014-12-08,54.85,55.07,54.64,54.85,69791.0
2014-12-09,55.07,55.07,53.58,55.07,143735.0
2014-12-10,55.07,55.07,53.79,54.43,89022.0
2014-12-11,54.0,54.43,53.79,54.43,486614.0
2014-12-12,54.43,54.85,53.79,54.22,138385.0
2014-12-15,54.43,54.85,54.0,54.43,379491.0
2014-12-16,54.64,55.07,53.79,55.07,132084.0
2014-12-17,55.28,55.28,54.22,54.85,86385.0
2014-12-18,54.43,56.34,54.43,55.7,202816.0
2014-12-19,56.77,56.77,55.28,55.7,65664.0
2014-12-22,55.7,56.55,55.28,55.7,83272.0
2014-12-23,56.13,56.34,55.07,56.13,141492.0
2014-12-29,56.13,57.19,55.7,57.19,105494.0
2014-12-30,57.19,57.62,56.98,57.62,81383.0
2015-01-02,57.83,58.04,57.41,57.62,87798.0
2015-01-05,58.04,58.04,57.19,57.83,99716.0
2015-01-07,57.62,57.83,56.34,57.41,128628.0
2015-01-08,57.41,57.83,56.98,57.19,119141.0
2015-01-09,57.62,57.83,56.98,57.83,225432.0
2015-01-12,57.83,59.96,57.62,59.96,852380.0
2015-01-13,59.96,59.96,58.89,59.11,229971.0
2015-01-14,59.11,59.74,58.47,59.74,70140.0
2015-01-15,59.96,61.02,58.68,60.81,364458.0
2015-01-16,60.81,62.72,60.59,62.3,503784.0
2015-01-19,62.93,63.57,62.51,63.36,320961.0
2015-01-20,63.36,63.78,62.72,63.78,570646.0
2015-01-21,63.78,64.21,62.3,63.36,195219.0
2015-01-22,63.36,63.36,62.08,62.93,190809.0
2015-01-23,63.15,63.15,61.23,61.66,347378.0
2015-01-26,61.66,63.36,61.23,62.08,278108.0
2015-01-27,62.3,62.3,61.02,61.87,196167.0
2015-01-28,61.87,62.3,61.23,61.66,347894.0
2015-01-29,61.44,62.51,60.81,62.3,84199.0
2015-01-30,62.51,63.15,62.51,63.15,395081.0
2015-02-02,63.15,63.15,61.66,62.72,152876.0
2015-02-03,63.15,64.42,62.72,62.72,214046.0
2015-02-04,62.93,64.0,62.3,64.0,574525.0
2015-02-05,64.21,64.21,62.93,63.78,78326.0
2015-02-06,64.0,64.42,63.57,64.21,150204.0
2015-02-09,64.42,64.42,63.15,63.15,156353.0
2015-02-10,65.48,71.01,65.06,70.59,1599440.0
2015-02-11,69.95,74.41,69.95,73.56,1137305.0
2015-02-12,73.99,77.18,73.35,77.18,844044.0
2015-02-13,77.82,78.24,75.26,75.9,588017.0
2015-02-16,75.9,75.9,73.14,74.63,151300.0
2015-02-17,74.84,75.26,72.5,73.14,673789.0
2015-02-18,73.35,74.2,72.93,73.78,197887.0
2015-02-19,73.99,75.69,72.93,75.69,203202.0
2015-02-20,75.69,76.75,74.2,76.54,550546.0
2015-02-23,76.54,76.54,75.26,76.33,114037.0
2015-02-24,76.54,77.39,74.41,76.97,200485.0
2015-02-25,77.18,79.52,76.54,78.88,311267.0
2015-02-26,78.88,79.52,77.39,79.52,190409.0
2015-02-27,79.52,79.52,78.67,79.52,201181.0
2015-03-02,79.52,79.94,76.97,77.39,103299.0
2015-03-03,78.03,78.03,74.84,75.9,155446.0
2015-03-04,75.26,75.48,72.29,75.26,230010.0
2015-03-05,75.26,77.39,73.56,75.05,369154.0
2015-03-06,75.05,75.9,74.2,74.84,57269.0
2015-03-09,73.99,75.48,71.23,74.63,240574.0
2015-03-10,73.56,74.41,71.86,72.5,55678.0
2015-03-11,71.86,74.2,71.86,73.14,368825.0
2015-03-12,73.14,73.99,71.23,72.5,42594.0
2015-03-13,72.71,74.2,71.65,72.29,120177.0
2015-03-16,72.29,74.41,72.29,73.56,157298.0
2015-03-17,73.35,73.99,72.5,72.71,250731.0
2015-03-18,72.71,73.99,72.71,73.99,90294.0
2015-03-19,74.41,75.26,74.2,74.84,147853.0
2015-03-20,73.78,75.9,73.78,74.41,214709.0
2015-03-23,74.41,76.33,73.99,75.9,214904.0
2015-03-24,76.54,78.24,75.05,75.9,274472.0
2015-03-25,76.75,76.75,74.2,74.84,168809.0
2015-03-26,75.05,75.05,73.35,74.2,127247.0
2015-03-27,74.84,75.48,73.99,75.48,134506.0
2015-03-30,75.69,76.54,75.26,76.54,150531.0
2015-03-31,76.33,78.88,75.9,76.12,317890.0
2015-04-01,75.9,77.82,74.84,77.6,112792.0
2015-04-02,77.6,79.94,77.6,78.24,165939.0
2015-04-07,79.09,80.79,78.88,80.58,180808.0
2015-04-08,80.58,83.13,80.37,81.64,122848.0
2015-04-09,82.49,83.13,81.22,82.28,127210.0
2015-04-10,82.07,82.07,79.73,79.73,93080.0
2015-04-13,79.73,82.49,79.73,81.86,190674.0
2015-04-14,82.71,83.34,81.86,82.07,135476.0
2015-04-15,82.28,84.19,82.07,84.19,256282.0
2015-04-16,84.19,84.19,81.22,82.92,88947.0
2015-04-17,82.92,83.34,80.58,80.79,134864.0
2015-04-20,81.43,82.49,80.15,80.79,90036.0
2015-04-21,81.01,82.07,81.01,81.64,91199.0
2015-04-22,81.64,82.07,80.37,81.64,86694.0
2015-04-23,81.64,81.64,80.15,80.58,72228.0
2015-04-24,80.79,81.01,80.15,80.37,125362.0
2015-04-27,82.49,83.34,80.15,80.15,1029831.0
2015-04-28,81.01,82.49,80.37,81.86,224270.0
2015-04-29,78.24,79.52,77.39,78.03,15190640.0
2015-04-30,78.45,78.67,77.6,78.03,173567.0
2015-05-04,78.45,79.73,78.03,78.88,267035.0
2015-05-05,79.3,79.73,77.39,78.03,286990.0
2015-05-06,77.82,78.03,75.26,76.54,307228.0
2015-05-07,76.54,76.54,73.78,76.12,662764.0
2015-05-08,76.54,78.45,76.54,78.03,221290.0
2015-05-11,78.45,79.94,78.24,79.94,159675.0
2015-05-12,79.3,79.52,78.45,79.3,110388.0
2015-05-13,81.48,83.87,80.61,83.43,212683.0
2015-05-15,83.43,86.26,83.43,85.17,419425.0
2015-05-18,86.91,88.43,85.82,86.04,267292.0
2015-05-19,86.26,86.91,85.39,85.82,180719.0
2015-05-20,85.82,86.26,83.65,85.82,232601.0
2015-05-21,86.26,87.13,85.82,86.91,458178.0
2015-05-22,87.34,87.78,86.47,87.78,278090.0
2015-05-25,87.78,88.21,86.69,87.78,89493.0
2015-05-26,87.13,88.21,86.91,86.91,261549.0
2015-05-27,87.78,90.17,87.34,89.08,211036.0
2015-05-28,89.08,89.3,87.78,89.08,498215.0
2015-05-29,89.3,90.39,88.43,89.95,744256.0
2015-06-01,89.95,91.69,88.86,89.52,243888.0
2015-06-02,89.73,90.17,88.21,89.3,146526.0
2015-06-03,89.52,89.95,88.21,89.08,147792.0
2015-06-04,88.86,88.86,86.04,86.47,132977.0
2015-06-05,86.04,86.91,85.17,86.91,85382.0
2015-06-08,86.47,86.47,83.65,84.08,191510.0
2015-06-09,83.87,84.08,82.78,83.65,69578.0
2015-06-10,83.43,85.17,83.43,84.74,102388.0
2015-06-11,85.17,86.91,85.17,85.61,109568.0
2015-06-12,85.82,86.26,83.22,84.3,63437.0
2015-06-15,84.08,84.3,80.61,81.48,147102.0
2015-06-16,80.83,81.48,78.44,81.48,77390.0
2015-06-17,82.56,83.0,80.83,82.56,129400.0
2015-06-18,82.13,82.13,78.44,79.74,608577.0
2015-06-22,80.83,80.83,78.65,80.17,180679.0
2015-06-23,80.39,80.39,78.22,79.09,277069.0
2015-06-24,79.09,79.52,76.7,77.35,253368.0
2015-06-25,77.35,79.74,76.48,79.74,297111.0
2015-06-26,79.74,80.83,78.22,80.83,85495.0
2015-06-29,78.0,80.83,74.74,80.83,330214.0
2015-06-30,79.52,79.96,78.22,78.44,76160.0
2015-07-01,78.65,80.83,78.22,80.83,58583.0
2015-07-02,79.96,80.39,78.87,79.09,30362.0
2015-07-03,79.74,79.96,78.0,79.09,46553.0
2015-07-06,76.26,78.65,76.26,77.78,88619.0
2015-07-07,77.57,79.74,77.13,78.22,62508.0
2015-07-08,78.22,79.3,77.57,78.22,119180.0
2015-07-09,79.09,79.96,78.65,78.87,162788.0
2015-07-10,79.96,81.69,79.52,81.04,110076.0
2015-07-13,81.69,83.43,81.69,83.22,97549.0
2015-07-14,83.65,84.3,82.56,82.56,95374.0
2015-07-15,82.56,83.43,82.56,83.22,34659.0
2015-07-16,83.87,84.3,82.56,84.3,112009.0
2015-07-17,84.52,84.74,81.91,82.78,460093.0
2015-07-20,83.43,83.43,81.69,81.69,88473.0
2015-07-21,81.69,81.69,76.48,76.48,695534.0
2015-07-22,76.48,77.35,75.39,76.26,1206880.0
2015-07-23,76.48,76.7,75.39,75.83,262330.0
2015-07-24,76.05,76.26,74.96,74.96,215611.0
2015-07-27,74.74,74.74,71.7,71.92,215932.0
2015-07-28,72.35,73.87,71.27,73.0,452751.0
2015-07-29,73.44,75.39,73.44,75.18,201342.0
2015-07-30,75.61,75.83,74.52,75.39,189091.0
2015-07-31,75.39,76.05,74.96,76.05,56097.0
2015-08-03,76.48,78.22,76.26,77.57,182413.0
2015-08-04,77.78,77.78,76.48,76.91,69416.0
2015-08-05,77.35,78.22,76.91,77.78,55961.0
2015-08-06,77.78,77.78,76.7,76.91,43403.0
2015-08-07,76.91,77.78,76.91,77.35,23934.0
2015-08-10,77.35,78.22,76.91,77.78,71567.0
2015-08-11,78.0,78.65,77.35,78.65,50629.0
2015-08-12,77.13,78.44,77.13,77.57,63344.0
2015-08-13,77.78,78.65,77.78,78.65,66615.0
2015-08-14,76.91,78.22,76.91,77.35,36444.0
2015-08-17,77.35,77.78,76.05,77.13,55197.0
2015-08-18,76.91,77.13,75.18,76.91,104536.0
2015-08-19,75.61,76.05,73.0,75.61,79984.0
2015-08-20,75.39,75.39,72.57,73.0,532118.0
2015-08-21,72.13,73.0,71.27,71.7,213483.0
2015-08-24,70.4,70.4,66.49,68.44,371518.0
2015-08-25,67.79,71.27,67.79,70.4,299867.0
2015-08-26,69.53,71.27,66.92,69.53,68929.0
2015-08-27,71.27,71.92,68.88,69.53,180474.0
2015-08-28,69.53,70.4,67.79,69.53,62169.0
2015-08-31,69.53,70.4,68.66,70.4,558383.0
