Date,Open,High,Low,Close,Volume
2019-06-28,10.06,10.65,9.25,9.6,231951.0
2019-07-01,10.0,10.0,8.9,9.78,197398.0
2019-07-02,9.9,10.0,9.2,9.6,95530.0
2019-07-03,9.6,9.8,8.85,9.22,166563.0
2019-07-04,9.22,9.38,8.56,9.32,107290.0
2019-07-05,9.48,9.58,9.1,9.18,77869.0
2019-07-08,9.2,9.44,9.0,9.3,87706.0
2019-07-09,9.3,9.3,9.0,9.18,71737.0
2019-07-10,9.18,9.38,9.0,9.02,99223.0
2019-07-11,9.12,9.24,9.02,9.1,12830.0
2019-07-12,9.18,9.18,8.96,9.08,44472.0
2019-07-15,9.14,9.14,8.9,9.0,26698.0
2019-07-16,9.06,9.06,8.32,8.74,60221.0
2019-07-17,8.6,8.7,8.46,8.58,9415.0
2019-07-18,8.58,8.58,8.22,8.44,31968.0
2019-07-19,8.44,8.7,8.1,8.54,15265.0
2019-07-22,8.56,8.92,8.56,8.8,26459.0
2019-07-23,8.8,9.34,8.4,8.64,119526.0
2019-07-24,8.64,8.64,7.82,8.0,91677.0
2019-07-25,8.0,8.48,7.86,8.36,44781.0
2019-07-26,8.4,8.68,8.3,8.52,35341.0
2019-07-29,8.52,8.52,8.06,8.08,20366.0
2019-07-30,8.08,8.26,7.96,8.24,15822.0
2019-07-31,8.54,8.62,8.3,8.62,16795.0
2019-08-01,8.62,9.1,8.32,9.0,27505.0
2019-08-02,9.0,9.0,8.5,8.9,6668.0
2019-08-06,8.64,9.0,8.6,8.76,9712.0
2019-08-07,8.76,9.0,8.2,8.84,3761.0
2019-08-08,8.56,8.84,8.48,8.84,7882.0
2019-08-09,8.9,9.28,8.54,8.9,9795.0
2019-08-12,8.9,9.18,8.6,8.88,5332.0
2019-08-13,8.88,8.88,8.54,8.58,11509.0
2019-08-14,8.42,8.58,8.32,8.32,10451.0
2019-08-15,8.4,8.58,7.98,8.18,24456.0
2019-08-16,8.18,8.54,7.9,8.5,10948.0
2019-08-19,8.5,8.78,8.12,8.78,9997.0
2019-08-20,8.78,8.84,8.52,8.6,10807.0
2019-08-21,8.74,8.74,8.5,8.6,6517.0
2019-08-22,9.02,9.54,8.44,9.5,84574.0
2019-08-23,9.48,9.48,9.02,9.38,12550.0
2019-08-26,9.3,9.96,9.2,9.54,39719.0
2019-08-27,9.54,9.78,9.22,9.5,3840.0
2019-08-28,9.54,9.66,9.2,9.6,9111.0
2019-08-29,9.6,9.6,9.2,9.46,3001.0
2019-08-30,9.4,9.7,9.2,9.64,7706.0
2019-09-02,9.64,9.86,9.5,9.8,23879.0
2019-09-03,9.8,9.8,9.5,9.7,15136.0
2019-09-04,9.7,9.7,9.28,9.68,4818.0
2019-09-05,9.58,9.88,9.4,9.8,6038.0
2019-09-06,9.62,9.74,9.4,9.4,5335.0
2019-09-09,9.7,9.7,9.32,9.54,8247.0
2019-09-10,9.54,9.94,9.28,9.72,21578.0
2019-09-11,9.76,9.88,9.0,9.08,22429.0
2019-09-12,9.7,9.7,9.1,9.26,6879.0
2019-09-13,9.26,9.26,8.9,9.26,6748.0
2019-09-16,9.26,9.58,8.94,9.5,40889.0
2019-09-17,9.5,9.5,9.3,9.4,5702.0
2019-09-18,9.6,9.6,9.0,9.44,11950.0
2019-09-19,9.44,9.44,9.1,9.12,8984.0
2019-09-20,9.22,9.48,9.0,9.46,13524.0
2019-09-23,9.46,9.46,9.42,9.42,482.0
2019-09-24,9.06,9.58,9.06,9.54,54488.0
2019-09-25,9.54,9.54,9.32,9.52,1465.0
2019-09-26,9.54,10.0,9.54,9.78,13053.0
2019-09-27,9.78,9.78,9.56,9.76,12149.0
2019-09-30,9.78,9.88,9.6,9.68,18436.0
2019-10-01,9.7,9.86,9.38,9.5,5353.0
2019-10-02,9.5,9.74,9.1,9.4,18734.0
2019-10-03,9.4,9.46,9.16,9.3,4254.0
2019-10-04,9.46,9.46,9.16,9.28,1875.0
2019-10-07,9.28,9.3,9.18,9.28,3766.0
2019-10-08,9.34,9.34,9.1,9.24,10620.0
2019-10-09,9.24,9.5,9.14,9.38,7960.0
2019-10-10,9.4,9.76,9.12,9.56,87261.0
2019-10-11,9.86,9.86,9.4,9.52,8150.0
2019-10-14,9.52,9.7,9.24,9.44,31779.0
2019-10-15,9.5,9.64,9.24,9.6,1504.0
2019-10-16,9.5,9.52,9.1,9.48,9790.0
2019-10-17,9.28,9.76,9.28,9.76,19127.0
2019-10-18,9.7,9.7,9.44,9.54,9147.0
2019-10-21,9.5,9.5,9.24,9.4,6689.0
2019-10-22,9.3,9.4,9.3,9.4,2619.0
2019-10-23,9.4,9.56,9.3,9.42,8105.0
2019-10-24,9.58,9.6,9.4,9.4,16446.0
2019-10-25,9.42,9.5,9.3,9.5,8612.0
2019-10-28,9.5,9.88,9.3,9.76,46822.0
2019-10-29,9.8,9.84,9.62,9.62,10776.0
2019-10-30,9.6,11.0,9.6,11.0,30142.0
2019-10-31,10.9,10.9,9.7,10.2,32609.0
2019-11-01,10.2,10.2,9.6,10.1,1102.0
2019-11-04,10.2,10.9,9.6,10.4,24060.0
2019-11-05,10.4,10.6,9.9,10.1,13507.0
2019-11-06,10.1,10.3,9.85,10.2,47642.0
2019-11-07,10.2,11.9,9.85,10.7,58324.0
2019-11-08,11.5,11.5,10.4,11.1,32366.0
2019-11-11,11.2,11.7,10.7,11.7,27475.0
2019-11-12,12.0,14.6,12.0,14.3,173236.0
2019-11-13,14.6,15.4,12.3,12.9,119867.0
2019-11-14,12.8,14.7,12.1,13.7,82617.0
2019-11-15,13.9,14.8,12.8,13.7,31518.0
2019-11-18,13.9,14.6,13.7,14.3,75966.0
2019-11-19,14.4,14.8,13.9,14.5,43291.0
2019-11-20,14.4,14.5,13.3,14.2,24345.0
2019-11-21,14.2,14.5,14.0,14.2,20052.0
2019-11-22,14.2,14.5,13.8,14.2,4250.0
2019-11-25,14.5,14.9,13.8,14.7,56569.0
2019-11-26,14.8,14.8,13.9,14.3,23199.0
2019-11-27,14.3,14.4,13.8,14.2,8136.0
2019-11-28,14.2,14.6,13.7,14.1,29342.0
2019-11-29,13.6,14.2,13.5,13.9,18378.0
2019-12-02,13.9,13.9,13.1,13.6,6484.0
2019-12-03,13.6,13.9,12.5,13.1,30931.0
2019-12-04,13.1,13.8,13.0,13.8,22669.0
2019-12-05,13.7,13.7,13.1,13.7,17190.0
2019-12-06,13.7,13.7,12.6,13.3,30894.0
2019-12-09,13.0,13.5,12.9,13.4,5336.0
2019-12-10,13.5,13.5,12.6,13.3,9955.0
2019-12-11,13.4,13.4,12.9,12.9,6952.0
