Date,Open,High,Low,Close,Volume
2013-10-23,15.84,19.97,13.87,17.81,911828.0
2013-10-24,18.94,20.53,17.34,19.03,452227.0
2013-10-25,19.03,19.03,17.06,17.62,119879.0
2013-10-28,17.81,17.81,15.56,16.03,160179.0
2013-10-29,15.94,15.94,15.09,15.84,107212.0
2013-10-30,15.75,16.4,15.47,15.75,44912.0
2013-10-31,15.94,16.22,15.56,16.12,14025.0
2013-11-01,16.12,16.12,15.19,16.12,22765.0
2013-11-04,15.94,16.59,15.56,16.59,27432.0
2013-11-05,16.59,16.87,15.84,16.78,42911.0
2013-11-06,16.78,16.78,16.12,16.12,98676.0
2013-11-07,16.31,16.4,15.75,16.12,39127.0
2013-11-08,16.12,16.12,15.37,15.37,58368.0
2013-11-11,16.87,18.65,16.31,18.0,499772.0
2013-11-12,18.56,19.59,18.0,18.56,395506.0
2013-11-13,18.56,18.56,17.34,17.34,104573.0
2013-11-14,17.34,18.65,17.34,18.56,73623.0
2013-11-15,18.84,18.84,17.9,18.56,57899.0
2013-11-18,18.75,19.31,15.94,17.06,169735.0
2013-11-19,17.25,18.0,16.5,16.59,49215.0
2013-11-20,16.59,17.25,16.22,16.59,25099.0
2013-11-21,16.69,16.78,16.22,16.5,12968.0
2013-11-22,16.5,17.34,16.4,16.78,30513.0
2013-11-25,17.06,17.53,16.97,17.25,27662.0
2013-11-26,17.34,17.34,16.69,16.69,15122.0
2013-11-27,16.69,16.78,16.4,16.5,19232.0
2013-11-28,16.4,16.69,16.22,16.69,17966.0
2013-11-29,16.69,16.69,15.94,16.22,56470.0
2013-12-02,16.03,16.22,15.65,15.75,32441.0
2013-12-03,15.94,15.94,15.37,15.37,36035.0
2013-12-04,15.56,15.56,14.81,15.37,36559.0
2013-12-05,15.09,15.84,15.09,15.47,29182.0
2013-12-06,15.84,15.94,15.47,15.56,12409.0
2013-12-09,15.56,15.56,15.0,15.28,23765.0
2013-12-10,15.28,15.56,15.0,15.19,12726.0
2013-12-11,15.28,15.75,15.28,15.75,11159.0
2013-12-12,15.0,15.47,15.0,15.37,14293.0
2013-12-13,15.47,15.47,15.19,15.19,8080.0
2013-12-16,15.09,15.56,14.9,15.56,58725.0
2013-12-17,15.47,15.47,14.9,15.19,17772.0
2013-12-18,14.9,15.28,14.34,14.81,37174.0
2013-12-19,14.34,15.0,13.97,15.0,65795.0
2013-12-20,14.15,14.9,14.15,14.34,24523.0
2013-12-23,14.01,15.28,14.01,14.72,18102.0
2013-12-27,14.72,14.81,14.34,14.44,23888.0
2013-12-30,13.97,14.44,13.97,14.25,28287.0
2014-01-02,14.53,15.37,14.53,15.0,18521.0
2014-01-03,15.09,15.56,15.09,15.19,7211.0
2014-01-07,15.0,15.37,15.0,15.0,4320.0
2014-01-08,15.0,15.09,14.81,15.09,11514.0
2014-01-09,15.09,15.19,14.81,15.19,17885.0
2014-01-10,15.19,16.03,15.19,15.19,17965.0
2014-01-13,15.75,15.75,15.0,15.19,15164.0
2014-01-14,15.65,16.03,14.9,15.47,35150.0
2014-01-15,15.65,15.94,15.19,15.94,21613.0
2014-01-16,15.94,16.78,15.94,16.78,21723.0
2014-01-17,16.87,17.06,16.4,16.78,31256.0
2014-01-20,16.69,16.78,16.03,16.59,13889.0
2014-01-21,16.59,16.87,16.12,16.5,21493.0
2014-01-22,16.69,16.69,15.47,16.03,26125.0
2014-01-23,16.03,16.12,15.65,15.84,12376.0
2014-01-24,15.56,16.22,15.09,15.56,16768.0
2014-01-27,15.09,15.56,14.44,15.37,14502.0
2014-01-28,14.34,15.65,14.34,15.37,4608.0
2014-01-29,15.28,15.37,15.0,15.28,4430.0
2014-01-30,15.75,15.75,14.62,15.28,13714.0
2014-01-31,15.0,15.84,14.9,14.9,6504.0
2014-02-03,15.94,15.94,14.72,14.72,5795.0
2014-02-04,14.72,14.72,14.34,14.62,8172.0
2014-02-05,14.62,15.0,14.34,15.0,8904.0
2014-02-06,15.0,15.0,14.25,14.62,31855.0
2014-02-07,14.34,14.9,14.06,14.81,7576.0
2014-02-10,14.81,15.0,14.25,15.0,6579.0
2014-02-11,15.09,15.09,14.81,14.9,14433.0
2014-02-12,15.0,15.28,14.9,15.19,10374.0
2014-02-13,15.28,15.94,15.19,15.94,22763.0
2014-02-14,15.84,16.03,15.47,15.94,45048.0
2014-02-17,16.31,16.4,15.56,15.84,56010.0
