Date,Open,High,Low,Close,Volume
2017-04-04,28.6,28.6,26.2,27.0,1720447.0
2017-04-05,27.4,27.4,26.2,26.6,323705.0
2017-04-06,26.6,26.8,25.6,26.4,151499.0
2017-04-07,26.7,26.8,25.2,26.0,305468.0
2017-04-10,26.0,26.2,25.5,26.0,210847.0
2017-04-11,26.5,27.3,25.8,26.2,229136.0
2017-04-12,26.9,27.2,26.0,27.2,123496.0
2017-04-13,27.0,27.4,26.6,27.1,73042.0
2017-04-18,27.1,27.3,26.5,26.9,162291.0
2017-04-19,27.4,27.4,26.0,26.0,33832.0
2017-04-20,25.9,26.1,25.1,25.9,28780.0
2017-04-21,25.5,25.9,25.2,25.3,26343.0
2017-04-24,25.3,25.8,23.6,24.3,29131.0
2017-04-25,23.5,24.2,22.5,23.4,445118.0
2017-04-26,23.4,23.6,23.0,23.5,48398.0
2017-04-27,23.5,24.5,23.5,23.8,35203.0
2017-04-28,25.0,25.0,23.1,23.2,33643.0
2017-05-02,23.2,24.0,21.3,22.7,14799.0
2017-05-03,23.0,23.5,22.7,22.7,19360.0
2017-05-04,23.7,26.0,23.7,25.0,142064.0
2017-05-05,25.9,25.9,24.6,25.0,122924.0
2017-05-08,25.9,26.9,24.0,24.0,56988.0
2017-05-09,24.0,25.0,22.8,24.3,34589.0
2017-05-10,23.6,24.2,23.6,23.8,6307.0
2017-05-11,23.6,23.9,23.6,23.6,4701.0
2017-05-12,23.9,23.9,22.9,23.5,7294.0
2017-05-15,23.0,25.3,22.7,24.5,16753.0
2017-05-16,24.7,25.0,23.8,24.0,16942.0
2017-05-17,24.5,25.3,23.9,23.9,9452.0
2017-05-18,23.9,23.9,22.2,22.6,8363.0
2017-05-19,23.0,24.6,22.8,22.8,4892.0
2017-05-22,22.9,24.6,22.9,24.0,9499.0
2017-05-23,24.0,24.0,23.2,23.2,6921.0
2017-05-24,23.3,23.7,23.0,23.3,5272.0
2017-05-26,23.9,24.9,23.9,24.3,10811.0
2017-05-29,24.2,24.5,24.1,24.2,2880.0
2017-05-30,24.2,25.0,24.2,24.6,10463.0
2017-05-31,24.5,25.2,24.5,24.8,7730.0
2017-06-01,24.8,25.0,24.6,24.6,5350.0
2017-06-02,24.8,25.0,24.7,24.9,3870.0
2017-06-05,25.1,25.1,24.2,25.0,10054.0
2017-06-06,25.0,25.0,25.0,25.0,0.0
2017-06-07,24.5,25.0,24.5,24.7,6547.0
2017-06-08,24.7,24.7,24.1,24.3,9133.0
2017-06-09,24.1,24.5,24.1,24.5,4028.0
2017-06-12,24.5,25.0,24.0,24.7,10521.0
2017-06-13,25.0,25.0,24.2,24.3,9829.0
2017-06-14,24.1,24.7,24.0,24.0,13891.0
2017-06-15,24.2,24.2,23.5,23.5,2217.0
2017-06-16,23.6,24.4,23.0,23.5,15891.0
2017-06-19,23.5,23.5,22.6,23.0,11314.0
2017-06-20,22.8,22.8,22.1,22.4,7054.0
2017-06-21,22.2,23.3,21.6,23.1,7957.0
2017-06-22,22.5,23.5,22.5,22.7,16204.0
2017-06-23,22.7,22.7,22.7,22.7,0.0
2017-06-26,23.0,23.8,22.7,23.4,12138.0
2017-06-27,23.4,23.4,23.1,23.1,4210.0
2017-06-28,23.0,23.0,22.1,22.4,3389.0
2017-06-29,21.9,22.5,21.9,22.5,3326.0
2017-06-30,22.5,23.3,22.2,23.3,9227.0
2017-07-03,22.0,25.2,21.3,23.4,53415.0
2017-07-04,23.5,23.5,23.0,23.0,10839.0
2017-07-05,23.5,23.5,22.7,22.7,2804.0
2017-07-06,23.5,23.5,22.5,22.5,6129.0
2017-07-07,22.5,23.2,22.1,22.2,7279.0
2017-07-10,22.3,23.2,22.3,22.9,1166.0
2017-07-11,22.5,23.5,22.5,22.6,9332.0
2017-07-12,23.2,23.7,22.8,23.2,13288.0
2017-07-13,23.2,23.4,23.0,23.0,4948.0
2017-07-14,22.6,23.1,22.2,22.3,9637.0
2017-07-17,22.3,22.8,22.0,22.6,20605.0
2017-07-18,22.5,22.7,22.1,22.1,9490.0
2017-07-19,22.2,22.5,22.2,22.2,1497.0
2017-07-20,22.2,23.2,22.2,22.2,7825.0
2017-07-21,22.5,22.7,22.4,22.5,2571.0
2017-07-24,22.5,23.0,21.6,21.7,17249.0
2017-07-25,21.6,22.3,21.6,22.3,5664.0
2017-07-26,22.7,23.5,22.2,22.5,9180.0
2017-07-27,23.0,23.0,21.5,21.9,3361.0
2017-07-28,21.9,22.3,21.9,22.3,1266.0
2017-07-31,22.3,22.4,22.2,22.2,3029.0
2017-08-01,22.2,22.8,22.0,22.3,4487.0
2017-08-02,22.3,22.9,22.0,22.0,12037.0
2017-08-03,22.0,22.2,22.0,22.0,12136.0
2017-08-04,21.8,22.5,21.7,21.9,4315.0
2017-08-07,21.9,22.0,21.7,21.9,3653.0
2017-08-08,21.6,21.7,21.0,21.1,11319.0
2017-08-09,21.1,21.3,20.5,20.5,9617.0
2017-08-10,20.5,21.5,20.5,21.0,8374.0
2017-08-11,20.6,21.5,20.5,21.0,10229.0
2017-08-14,20.6,21.0,20.6,20.8,83198.0
2017-08-15,21.0,21.1,20.5,20.6,33479.0
2017-08-16,20.9,21.5,20.9,21.3,137222.0
2017-08-17,21.1,21.3,20.7,20.7,74911.0
2017-08-18,21.4,21.4,20.8,20.9,10258.0
2017-08-21,20.8,20.9,20.6,20.9,46781.0
2017-08-22,21.2,21.2,20.0,20.0,2754.0
2017-08-23,20.8,21.9,20.6,20.6,86961.0
2017-08-24,21.8,22.4,21.5,21.9,6920.0
2017-08-25,22.3,22.4,21.1,21.4,4818.0
2017-08-28,21.4,22.0,21.0,21.6,10615.0
2017-08-29,21.8,21.8,20.6,21.4,30486.0
2017-08-30,21.0,21.4,20.7,20.9,39858.0
2017-08-31,20.6,21.6,20.6,21.2,11022.0
2017-09-01,21.3,21.9,20.1,20.3,79433.0
2017-09-04,20.5,22.9,20.5,21.0,164410.0
2017-09-05,21.1,22.6,21.1,22.3,44562.0
2017-09-06,22.3,22.4,21.7,22.0,19121.0
2017-09-07,22.0,23.4,22.0,22.5,47548.0
2017-09-08,22.8,23.0,22.2,22.5,40355.0
2017-09-11,22.4,24.8,22.2,23.0,107438.0
2017-09-12,23.0,23.7,22.5,22.9,51594.0
2017-09-13,22.9,23.1,22.2,22.2,28463.0
2017-09-14,22.2,22.9,21.9,21.9,14841.0
