Date,Open,High,Low,Close,Volume
2009-12-03,7.09,7.09,7.03,7.05,19062.0
2009-12-04,7.07,7.09,7.01,7.05,10560.0
2009-12-07,7.03,7.03,7.01,7.03,10440.0
2009-12-08,7.07,7.09,7.05,7.05,2808.0
2009-12-09,7.01,7.03,6.95,6.95,13980.0
2009-12-10,6.95,6.99,6.93,6.93,22512.0
2009-12-11,6.97,6.97,6.95,6.95,10728.0
2009-12-14,6.97,7.01,6.97,7.01,21474.0
2009-12-15,7.03,7.03,6.95,6.95,12786.0
2009-12-16,6.99,7.16,6.93,6.93,45948.0
2009-12-17,6.88,6.88,6.72,6.78,115662.0
2009-12-18,6.76,6.76,6.72,6.72,28860.0
2009-12-21,6.7,6.72,6.63,6.68,39216.0
2009-12-22,6.68,6.68,6.59,6.66,26334.0
2009-12-23,6.59,6.61,6.59,6.59,36066.0
2009-12-28,6.59,6.63,6.59,6.61,7560.0
2009-12-29,6.63,6.66,6.55,6.66,14910.0
2009-12-30,6.68,7.11,6.68,7.07,203190.0
2010-01-04,7.09,7.26,7.09,7.26,103770.0
2010-01-05,7.28,7.43,7.26,7.34,144450.0
2010-01-07,7.34,7.55,7.34,7.34,63642.0
2010-01-08,7.39,7.47,7.26,7.36,39282.0
2010-01-11,7.39,7.39,7.18,7.32,35130.0
2010-01-12,7.3,7.3,7.11,7.28,13548.0
2010-01-13,7.18,7.28,7.09,7.24,20400.0
2010-01-14,7.18,7.26,7.09,7.26,25590.0
2010-01-15,7.14,7.22,7.14,7.22,3600.0
2010-01-18,7.18,7.18,7.09,7.09,25788.0
2010-01-19,7.09,7.18,7.09,7.18,15108.0
2010-01-20,7.18,7.22,7.11,7.22,15510.0
2010-01-21,7.11,7.16,7.11,7.16,8202.0
2010-01-22,7.14,7.18,7.11,7.18,9960.0
2010-01-25,7.11,7.11,7.03,7.09,3948.0
2010-01-26,7.01,7.05,6.97,7.05,11352.0
2010-01-27,6.93,6.93,6.88,6.93,12966.0
2010-01-28,6.95,7.01,6.88,6.93,19650.0
2010-01-29,6.88,7.09,6.88,7.07,7512.0
2010-02-01,7.05,7.07,7.05,7.07,8400.0
2010-02-02,6.93,7.05,6.93,7.05,4950.0
2010-02-03,7.05,7.07,6.91,7.07,7410.0
2010-02-04,7.07,7.09,7.07,7.09,5232.0
2010-02-05,7.09,7.09,6.97,7.07,4464.0
2010-02-08,6.91,7.26,6.91,7.18,49350.0
2010-02-09,7.18,7.18,7.14,7.18,27732.0
2010-02-10,7.28,7.28,6.66,6.82,11790.0
2010-02-11,6.84,6.84,6.76,6.8,1350.0
2010-02-12,6.76,6.76,6.76,6.76,3000.0
2010-02-15,6.76,6.76,6.72,6.76,7320.0
2010-02-16,6.8,6.8,6.8,6.8,1200.0
2010-02-17,6.82,6.84,6.82,6.82,3000.0
2010-02-18,6.93,6.93,6.84,6.93,12900.0
2010-02-19,7.01,7.01,6.97,6.99,14424.0
2010-02-22,7.01,7.05,7.01,7.01,2106.0
2010-02-23,6.97,6.97,6.8,6.93,14160.0
2010-02-24,6.82,6.82,6.82,6.82,600.0
2010-02-25,6.88,7.03,6.88,7.03,5310.0
2010-02-26,6.99,7.01,6.95,6.99,1224.0
2010-03-01,6.91,6.91,6.91,6.91,3276.0
2010-03-02,6.86,6.93,6.86,6.93,10530.0
2010-03-03,6.93,6.93,6.93,6.93,1200.0
2010-03-04,6.99,6.99,6.88,6.99,2160.0
2010-03-05,6.86,7.01,6.86,7.01,18060.0
2010-03-08,7.01,7.05,7.01,7.05,7752.0
2010-03-09,6.91,6.91,6.91,6.91,1200.0
2010-03-10,6.88,6.88,6.88,6.88,1560.0
2010-03-11,6.86,6.86,6.86,6.86,4956.0
2010-03-12,6.86,6.95,6.8,6.91,19332.0
2010-03-15,6.82,6.84,6.78,6.78,8400.0
2010-03-16,6.78,6.8,6.72,6.8,7230.0
2010-03-17,6.8,6.8,6.76,6.76,15330.0
2010-03-18,6.76,6.76,6.76,6.76,2400.0
2010-03-19,6.74,6.74,6.7,6.74,3912.0
2010-03-22,6.7,6.84,6.68,6.68,11730.0
2010-03-23,6.82,6.82,6.82,6.82,90.0
2010-03-24,6.68,6.76,6.68,6.76,9624.0
2010-03-25,6.76,6.76,6.74,6.74,6120.0
2010-03-26,6.72,6.72,6.59,6.7,11922.0
2010-03-29,6.76,6.76,6.68,6.68,15240.0
2010-03-30,6.68,6.68,6.63,6.68,7506.0
2010-03-31,6.68,6.68,6.68,6.68,18.0
2010-04-01,3.32,3.34,3.31,3.34,43740.0
2010-04-06,6.59,6.59,6.51,6.59,16446.0
2010-04-07,6.68,6.68,6.68,6.68,1800.0
2010-04-08,6.55,6.59,6.55,6.59,2400.0
2010-04-09,6.53,6.8,6.51,6.8,8400.0
2010-04-12,6.76,6.76,6.57,6.57,0.0
2010-04-13,6.59,6.68,6.59,6.68,17400.0
2010-04-14,6.68,6.68,6.47,6.59,15720.0
2010-04-15,6.55,6.68,6.55,6.68,16800.0
2010-04-16,6.72,6.72,6.66,6.66,4242.0
2010-04-19,6.68,6.68,6.51,6.51,8400.0
2010-04-20,6.53,6.59,6.53,6.57,18000.0
2010-04-21,6.53,6.57,6.53,6.57,23520.0
2010-04-22,3.25,3.25,3.21,3.21,7200.0
2010-04-23,6.43,6.55,6.43,6.55,1860.0
2010-04-26,6.55,6.55,6.51,6.51,39162.0
2010-04-27,6.51,6.51,6.41,6.41,5706.0
2010-04-28,6.34,6.51,6.26,6.26,18834.0
2010-04-29,6.26,6.41,6.26,6.41,9120.0
2010-04-30,6.41,6.41,6.2,6.3,3912.0
2010-05-03,6.34,6.38,6.24,6.38,2610.0
2010-05-04,6.41,6.41,6.09,6.26,25836.0
2010-05-05,6.01,6.13,5.88,6.13,24978.0
2010-05-06,6.51,6.78,6.41,6.78,26730.0
2010-05-07,6.6,6.6,6.04,6.58,51588.0
2010-05-10,6.6,6.97,6.6,6.97,12360.0
2010-05-11,6.97,6.97,6.51,6.88,28596.0
2010-05-12,6.88,6.88,6.88,6.88,1200.0
2010-05-14,6.97,7.11,6.88,6.88,6912.0
2010-05-17,7.02,7.02,6.97,6.97,192.0
