Date,Open,High,Low,Close,Volume
2018-05-25,13.0,13.0,11.0,11.15,772221.0
2018-05-28,11.25,11.28,10.33,11.0,121368.0
2018-05-29,11.0,11.0,10.5,10.7,24985.0
2018-05-30,11.0,11.49,10.9,11.49,41911.0
2018-05-31,11.7,11.7,10.9,10.9,10791.0
2018-06-01,10.7,11.5,10.6,10.99,19514.0
2018-06-04,11.1,11.25,10.51,11.0,9743.0
2018-06-05,11.0,11.8,11.0,11.2,39165.0
2018-06-06,11.2,11.2,11.2,11.2,0.0
2018-06-07,11.2,11.2,11.0,11.18,59761.0
2018-06-08,11.2,11.94,11.2,11.6,11690.0
2018-06-11,11.0,11.95,11.0,11.95,13130.0
2018-06-12,11.95,12.0,11.2,11.85,8790.0
2018-06-13,11.5,11.65,11.0,11.5,8985.0
2018-06-14,11.2,11.2,11.0,11.2,4254.0
2018-06-15,11.0,11.75,11.0,11.02,3050.0
2018-06-18,11.02,11.9,10.58,11.4,16965.0
2018-06-19,10.58,11.95,10.58,10.8,7379.0
2018-06-20,10.8,11.0,10.41,11.0,5718.0
2018-06-21,11.2,11.96,11.01,11.1,14369.0
2018-06-22,11.1,11.1,11.1,11.1,0.0
2018-06-25,11.1,11.8,10.61,11.44,12046.0
2018-06-26,11.0,11.7,10.7,10.93,11205.0
2018-06-27,10.9,11.96,10.9,11.18,33220.0
2018-06-28,11.2,11.2,11.2,11.2,5903.0
2018-06-29,11.4,11.4,11.4,11.4,204.0
2018-07-02,11.4,11.9,11.4,11.75,21773.0
2018-07-03,11.88,11.88,11.0,11.0,1450.0
2018-07-04,10.97,12.5,10.97,12.4,24075.0
2018-07-05,12.41,12.5,11.05,11.7,6682.0
2018-07-06,11.21,11.31,11.21,11.31,520.0
2018-07-09,11.9,11.9,11.85,11.85,2122.0
2018-07-10,11.8,12.2,11.4,11.99,8219.0
2018-07-11,12.18,12.2,11.99,11.99,2700.0
2018-07-12,12.2,12.2,11.42,11.42,2640.0
2018-07-13,11.4,11.4,11.01,11.4,14092.0
2018-07-16,11.78,11.78,11.3,11.3,6973.0
2018-07-17,11.78,11.78,11.2,11.76,3889.0
2018-07-18,11.38,11.38,11.3,11.3,1060.0
2018-07-19,11.3,11.76,11.3,11.3,3187.0
2018-07-20,11.5,11.5,11.5,11.5,1300.0
2018-07-23,11.49,11.99,11.49,11.99,5355.0
2018-07-24,11.99,11.99,11.96,11.96,2949.0
2018-07-25,11.7,11.8,11.5,11.5,9448.0
2018-07-26,11.98,11.98,11.5,11.5,1420.0
2018-07-27,11.5,11.98,11.5,11.98,4016.0
2018-07-30,11.89,11.9,11.61,11.61,1004.0
2018-07-31,11.61,11.7,11.61,11.7,1780.0
2018-08-01,11.9,12.0,11.7,11.7,4832.0
2018-08-02,11.95,11.95,11.5,11.5,662.0
2018-08-03,11.8,11.9,11.8,11.9,100.0
2018-08-06,11.95,11.95,11.08,11.95,5629.0
2018-08-07,11.88,11.88,11.3,11.5,3805.0
2018-08-08,11.3,11.5,11.05,11.4,15585.0
2018-08-09,11.25,11.5,11.25,11.5,8172.0
2018-08-10,11.4,11.5,11.05,11.06,19585.0
2018-08-13,11.28,11.28,10.6,11.0,2597.0
2018-08-14,11.05,11.29,11.05,11.25,880.0
2018-08-15,10.62,11.5,10.62,11.5,1463.0
2018-08-16,10.65,11.0,10.65,10.8,1890.0
2018-08-17,11.5,11.5,10.0,11.0,8580.0
2018-08-20,11.0,11.0,10.0,10.48,6401.0
2018-08-21,10.3,10.8,10.26,10.26,5089.0
2018-08-22,10.25,10.5,10.25,10.4,3122.0
2018-08-23,10.0,10.0,10.0,10.0,5598.0
2018-08-24,10.1,10.5,10.0,10.38,8466.0
2018-08-27,10.3,10.37,9.51,9.6,6180.0
2018-08-28,9.8,9.8,8.4,8.5,20423.0
2018-08-29,8.5,9.5,8.2,9.5,5970.0
2018-08-30,9.5,9.5,8.72,9.4,3080.0
2018-08-31,9.4,10.0,9.0,9.0,7600.0
2018-09-03,9.0,9.0,8.5,9.0,11362.0
2018-09-04,8.5,8.7,8.44,8.7,2390.0
2018-09-05,8.0,8.3,8.0,8.3,4820.0
2018-09-06,8.3,9.1,8.3,9.1,14872.0
2018-09-07,9.1,9.1,8.05,8.05,377.0
2018-09-10,8.0,8.0,8.0,8.0,500.0
2018-09-11,7.6,9.1,7.6,8.0,19374.0
2018-09-12,8.0,8.3,7.6,8.3,6385.0
2018-09-13,8.4,8.4,7.8,7.8,1200.0
2018-09-14,8.5,8.9,7.6,7.8,1590.0
2018-09-17,8.0,8.05,8.0,8.05,1380.0
2018-09-18,8.05,8.8,8.05,8.1,6350.0
2018-09-19,9.3,9.3,8.9,8.9,580.0
2018-09-20,9.0,9.0,8.9,8.9,120.0
2018-09-21,8.6,8.6,8.6,8.6,66.0
2018-09-24,8.7,9.4,8.7,9.4,944.0
2018-09-25,8.9,8.9,8.7,8.7,931.0
2018-09-26,8.05,8.25,8.05,8.25,4314.0
2018-09-27,9.38,9.4,8.15,9.0,992.0
2018-09-28,9.0,9.4,9.0,9.2,2450.0
2018-10-01,9.92,9.92,9.2,9.2,5463.0
2018-10-02,9.2,9.36,9.2,9.36,4847.0
2018-10-03,9.36,9.37,9.36,9.37,2167.0
2018-10-04,9.0,9.06,8.8,8.8,1898.0
2018-10-05,8.3,9.92,8.2,9.0,20686.0
2018-10-08,9.9,9.92,8.85,9.3,11427.0
2018-10-09,9.0,9.2,8.5,9.0,23620.0
2018-10-10,9.0,9.0,8.4,8.4,6125.0
2018-10-11,8.4,8.4,8.4,8.4,2602.0
2018-10-12,8.5,8.5,8.5,8.5,350.0
2018-10-15,9.0,9.0,8.19,8.19,485.0
2018-10-16,8.19,8.19,7.6,8.0,11657.0
2018-10-17,8.5,8.96,8.5,8.9,4826.0
2018-10-18,8.96,9.0,8.96,9.0,9156.0
2018-10-19,9.2,9.93,8.8,8.8,13986.0
2018-10-22,8.8,9.6,8.33,8.7,7699.0
2018-10-23,8.3,8.3,8.29,8.29,1703.0
2018-10-24,7.5,8.0,7.5,7.67,28354.0
2018-10-25,7.63,8.9,7.5,7.5,2589.0
2018-10-26,7.5,7.5,7.0,7.01,1860.0
2018-10-29,8.2,8.9,8.1,8.1,1845.0
2018-10-30,7.0,8.7,7.0,8.7,504.0
2018-10-31,8.7,8.7,8.6,8.6,1033.0
2018-11-01,8.6,8.6,8.6,8.6,0.0
2018-11-02,7.0,7.0,7.0,7.0,9012.0
2018-11-05,8.0,8.0,6.7,6.7,2311.0
2018-11-06,7.87,7.9,6.9,7.87,4384.0
2018-11-07,7.5,7.5,6.95,7.5,1120.0
2018-11-08,7.5,7.5,6.0,7.23,5830.0
2018-11-09,7.1,7.1,7.1,7.1,25.0
2018-11-12,7.23,7.23,7.23,7.23,135.0
2018-11-13,7.57,7.9,7.5,7.9,47615.0
2018-11-14,7.85,7.85,6.5,7.0,3155.0
2018-11-15,6.5,7.0,6.4,6.4,1435.0
2018-11-16,7.5,7.5,6.8,6.8,1181.0
2018-11-19,6.12,6.12,6.12,6.12,150.0
2018-11-20,6.11,6.11,4.5,5.13,68109.0
2018-11-21,5.88,5.88,4.4,5.36,4025.0
2018-11-22,5.35,5.35,4.9,5.21,5900.0
2018-11-23,5.0,5.0,4.95,4.95,3822.0
2018-11-26,4.9,4.9,4.5,4.8,3450.0
2018-11-27,4.8,4.8,3.82,4.79,8427.0
2018-11-28,4.0,4.0,3.82,4.0,4216.0
2018-11-29,4.0,4.0,3.5,3.9,8147.0
2018-11-30,3.9,3.9,3.5,3.9,13221.0
2018-12-03,3.5,4.39,3.4,4.39,7592.0
2018-12-04,3.9,3.9,3.7,3.7,5000.0
2018-12-05,3.7,4.13,3.6,4.13,7881.0
2018-12-06,4.14,4.14,3.66,3.66,9925.0
2018-12-07,3.65,4.12,3.51,4.0,6418.0
2018-12-10,3.9,4.11,3.43,3.6,13001.0
2018-12-11,3.6,4.79,3.4,4.79,26543.0
2018-12-12,4.86,5.5,4.6,5.25,30979.0
2018-12-13,5.04,5.4,4.3,4.89,7235.0
2018-12-14,4.64,5.1,4.64,4.64,4295.0
2018-12-17,4.6,4.6,4.6,4.6,1000.0
2018-12-18,5.07,5.2,4.4,4.4,270.0
2018-12-19,4.33,4.33,4.3,4.3,2899.0
2018-12-20,4.35,4.99,4.35,4.35,1363.0
2018-12-21,4.4,4.4,3.6,4.3,4008.0
2018-12-27,4.3,4.8,4.3,4.5,9100.0
2018-12-28,3.6,4.3,3.0,4.1,17582.0
2019-01-02,4.47,4.47,4.1,4.4,15248.0
2019-01-03,4.93,4.95,4.75,4.8,703.0
2019-01-04,4.95,5.75,4.8,5.75,11841.0
2019-01-07,5.5,5.75,4.9,5.15,12916.0
2019-01-08,5.13,5.15,4.8,5.15,901.0
2019-01-09,4.8,4.9,4.8,4.9,6453.0
2019-01-10,4.9,5.18,4.9,5.18,2151.0
2019-01-11,4.8,5.04,4.8,5.04,2500.0
2019-01-14,4.98,4.98,4.98,4.98,1000.0
2019-01-15,4.2,5.14,4.2,5.14,930.0
2019-01-16,5.14,5.2,4.5,4.89,11786.0
2019-01-17,4.88,5.14,4.8,4.8,8953.0
2019-01-18,5.0,5.0,4.51,4.8,9093.0
2019-01-21,4.8,4.8,4.6,4.6,3459.0
2019-01-22,4.6,4.6,4.2,4.2,5400.0
2019-01-23,4.72,5.1,4.72,4.88,2289.0
2019-01-24,4.6,4.6,4.5,4.5,4350.0
2019-01-25,4.5,4.5,4.4,4.4,3344.0
2019-01-28,4.25,4.48,4.0,4.47,12022.0
2019-01-29,4.47,4.47,4.0,4.47,4960.0
2019-01-30,4.47,4.47,4.47,4.47,0.0
2019-01-31,4.15,4.45,4.0,4.17,1374.0
2019-02-01,4.45,5.1,4.25,4.9,5559.0
2019-02-04,4.96,5.35,4.96,5.1,2790.0
2019-02-05,5.35,5.99,5.3,5.99,10551.0
2019-02-06,5.99,5.99,5.5,5.7,2140.0
2019-02-07,5.7,5.71,5.1,5.7,4802.0
2019-02-08,5.5,6.0,5.5,5.58,2215.0
2019-02-11,5.58,5.9,5.1,5.4,6464.0
2019-02-12,5.25,5.25,5.2,5.2,1050.0
2019-02-13,5.09,5.49,5.05,5.49,1376.0
2019-02-14,5.49,5.49,5.49,5.49,8.0
2019-02-15,5.79,6.81,5.69,6.2,21321.0
2019-02-18,6.26,6.26,6.2,6.2,176.0
2019-02-19,6.2,6.2,5.41,5.41,7162.0
2019-02-20,5.42,5.42,5.36,5.36,4582.0
2019-02-21,5.25,5.25,5.04,5.2,2527.0
2019-02-22,5.49,5.49,4.5,4.5,16220.0
2019-02-25,4.8,4.8,4.41,4.41,6011.0
2019-02-26,4.58,5.17,4.58,4.91,2775.0
2019-02-27,4.99,4.99,4.89,4.9,5234.0
2019-02-28,4.9,4.9,4.9,4.9,0.0
2019-03-01,4.9,4.9,4.6,4.8,6080.0
2019-03-04,4.5,4.99,4.5,4.5,4840.0
2019-03-05,4.52,4.77,4.51,4.77,3293.0
2019-03-06,4.7,4.7,4.6,4.6,2194.0
2019-03-07,4.6,4.6,4.6,4.6,200.0
2019-03-08,5.2,5.2,4.61,4.61,410.0
2019-03-11,5.71,5.71,5.2,5.4,494.0
2019-03-12,5.1,5.35,5.1,5.2,3026.0
2019-03-13,5.0,5.5,4.61,5.5,13576.0
2019-03-14,5.5,5.5,4.76,5.2,2895.0
2019-03-15,5.26,5.37,5.26,5.37,3289.0
2019-03-18,5.37,5.37,5.37,5.37,1165.0
2019-03-19,5.5,5.9,5.25,5.7,4570.0
2019-03-20,5.9,5.9,5.15,5.8,2842.0
2019-03-21,5.5,5.8,5.5,5.7,9200.0
2019-03-22,6.6,6.6,5.28,5.8,5103.0
