Date,Open,High,Low,Close,Volume
2018-12-06,42.74,42.74,42.0,42.7,95014.0
2018-12-07,42.2,43.71,42.2,43.3,68690.0
2018-12-10,42.06,43.3,42.06,42.85,35924.0
2018-12-11,42.85,45.0,42.85,43.59,27327.0
2018-12-12,44.0,44.0,43.1,43.74,8260.0
2018-12-13,43.74,43.74,43.2,43.4,30656.0
2018-12-14,43.0,43.29,42.8,42.8,8010.0
2018-12-17,43.24,43.24,42.76,42.76,436.0
2018-12-18,42.8,43.6,42.8,43.35,65697.0
2018-12-19,43.3,43.5,43.3,43.5,23121.0
2018-12-20,43.0,43.29,43.0,43.29,2156.0
2018-12-21,43.29,43.5,43.0,43.0,36016.0
2018-12-27,43.0,43.49,43.0,43.4,18111.0
2018-12-28,43.4,44.5,43.0,44.5,82185.0
2019-01-02,44.76,44.76,44.0,44.0,46721.0
2019-01-03,44.0,44.7,43.8,44.7,40127.0
2019-01-04,44.6,45.08,44.4,45.0,96797.0
2019-01-07,45.16,45.16,42.51,44.9,3037.0
2019-01-08,44.9,44.9,42.54,44.9,1528.0
2019-01-09,42.51,44.9,42.51,44.9,1810.0
2019-01-10,44.9,44.9,44.9,44.9,0.0
2019-01-11,43.1,44.81,43.1,44.8,411.0
2019-01-14,43.3,44.9,43.3,44.79,10597.0
2019-01-15,45.0,45.1,44.0,44.2,32988.0
2019-01-16,44.9,44.9,43.6,44.0,17852.0
2019-01-17,44.5,44.5,42.7,44.19,4990.0
2019-01-18,44.19,44.19,43.4,43.98,2901.0
2019-01-21,44.0,44.0,43.12,43.79,664.0
2019-01-22,43.1,43.45,43.1,43.45,1650.0
2019-01-23,43.0,43.44,42.01,43.0,2902.0
2019-01-24,43.0,43.4,42.99,43.24,8823.0
2019-01-25,43.25,43.25,42.0,43.19,4840.0
2019-01-28,42.01,43.0,41.98,42.98,7665.0
2019-01-29,42.98,42.99,41.61,42.91,2435.0
2019-01-30,42.92,42.92,41.33,42.87,4698.0
2019-01-31,42.0,42.0,40.0,41.99,32686.0
2019-02-01,41.56,41.56,40.3,41.49,61983.0
2019-02-04,41.39,42.43,40.8,41.0,19645.0
2019-02-05,41.24,41.24,40.01,41.22,21891.0
2019-02-06,42.03,42.03,41.01,41.95,1645.0
2019-02-07,41.01,41.74,41.0,41.72,3910.0
2019-02-08,42.13,42.13,42.1,42.1,192.0
2019-02-11,42.11,42.69,42.1,42.69,3085.0
2019-02-12,41.31,41.99,40.57,41.99,823.0
2019-02-13,42.65,42.65,41.17,41.99,6394.0
2019-02-14,42.0,42.99,42.0,42.99,284.0
2019-02-15,42.99,42.99,42.0,42.94,908.0
2019-02-18,42.99,42.99,41.36,42.88,436.0
2019-02-19,41.24,43.0,39.36,43.0,1368.0
2019-02-20,43.0,43.0,41.21,43.0,1519.0
2019-02-21,42.0,43.0,41.0,42.6,1808.0
2019-02-22,41.03,42.59,41.03,42.59,693.0
2019-02-25,42.56,42.56,41.03,42.49,216.0
2019-02-26,40.88,42.46,40.88,42.46,591.0
2019-02-27,41.51,42.1,41.51,42.1,1020.0
2019-02-28,41.4,41.79,41.4,41.79,770.0
2019-03-01,41.4,41.4,41.4,41.4,4110.0
2019-03-04,42.38,42.39,41.81,42.37,329.0
2019-03-05,42.35,42.35,41.99,41.99,3480.0
2019-03-06,41.9,41.9,41.9,41.9,31.0
2019-03-07,41.9,41.9,41.9,41.9,0.0
2019-03-08,42.35,42.6,40.5,42.6,4401.0
2019-03-11,41.06,42.6,41.06,42.6,865.0
2019-03-12,42.6,42.6,40.97,42.55,1338.0
2019-03-13,40.9,41.95,40.9,41.95,570.0
2019-03-14,41.75,41.75,40.58,41.74,4222.0
2019-03-15,41.75,41.75,41.75,41.75,1051.0
2019-03-18,41.74,41.89,41.01,41.89,600.0
2019-03-19,40.6,41.9,40.01,41.5,1756.0
2019-03-20,41.5,41.8,40.23,41.74,9812.0
2019-03-21,42.5,42.5,41.8,41.8,597.0
2019-03-22,42.25,42.25,40.0,41.8,1988.0
2019-03-25,42.0,42.6,40.8,42.6,398.0
2019-03-26,42.5,42.72,42.5,42.72,170.0
2019-03-27,42.9,42.9,42.9,42.9,150.0
2019-03-28,42.0,44.0,41.62,43.42,3186.0
2019-03-29,41.78,43.42,41.51,43.42,3623.0
2019-04-01,42.05,43.5,42.0,42.05,2855.0
2019-04-02,43.0,44.0,41.4,42.2,3345.0
2019-04-03,42.8,42.8,41.0,42.6,4813.0
2019-04-04,42.0,42.6,41.2,42.6,3185.0
2019-04-05,41.4,42.6,41.2,41.2,2041.0
2019-04-08,42.6,42.6,41.6,42.4,856.0
2019-04-09,41.8,42.4,41.2,42.2,8319.0
2019-04-10,42.6,42.6,41.0,42.6,12.0
2019-04-11,42.6,43.0,41.2,43.0,3089.0
2019-04-12,41.6,43.0,41.4,43.0,2603.0
2019-04-15,41.4,43.0,41.4,43.0,3667.0
2019-04-16,41.0,43.4,40.8,43.4,9750.0
2019-04-17,42.4,43.6,42.4,43.6,2120.0
2019-04-18,43.6,44.0,42.4,43.2,4665.0
2019-04-23,42.2,43.0,41.4,43.0,8750.0
2019-04-24,42.6,42.8,42.2,42.8,3075.0
2019-04-25,42.6,42.8,42.6,42.8,660.0
2019-04-26,41.8,42.8,41.8,42.6,2025.0
2019-04-29,42.0,43.0,42.0,43.0,2106.0
2019-04-30,43.0,43.0,42.0,43.0,4005.0
2019-05-02,42.0,43.0,42.0,43.0,3238.0
2019-05-03,42.6,43.0,42.6,43.0,4341.0
2019-05-06,43.0,43.0,42.4,42.6,984.0
2019-05-07,42.6,42.6,42.6,42.6,0.0
2019-05-08,41.6,42.2,41.0,41.8,6058.0
2019-05-09,41.0,41.6,40.6,41.6,3501.0
2019-05-10,41.8,41.8,39.8,40.4,5921.0
2019-05-13,41.0,41.4,41.0,41.0,4991.0
2019-05-14,42.8,43.4,42.0,43.4,220387.0
2019-05-15,44.2,44.2,41.6,44.0,23650.0
2019-05-16,42.8,44.0,42.8,43.2,130244.0
2019-05-17,44.4,44.4,43.0,44.0,3002.0
2019-05-20,44.0,44.0,44.0,44.0,2.0
2019-05-21,43.2,44.0,43.2,44.0,1150.0
2019-05-22,43.2,44.0,43.0,44.0,2852.0
2019-05-23,42.4,43.0,42.0,43.0,26893.0
2019-05-24,44.0,44.0,42.2,43.0,1608.0
2019-05-27,42.0,43.0,42.0,43.0,5231.0
2019-05-28,44.0,45.0,43.6,44.2,32089.0
2019-05-29,44.2,44.2,44.2,44.2,0.0
2019-05-31,43.2,43.6,43.0,43.6,1300.0
2019-06-03,44.0,44.0,43.6,44.0,3750.0
2019-06-04,43.6,43.8,42.4,43.8,2807.0
2019-06-05,43.0,43.6,42.8,43.6,1350.0
2019-06-07,43.6,43.6,42.4,43.4,373.0
2019-06-11,42.6,43.8,41.2,43.6,9796.0
2019-06-12,43.6,43.6,42.4,43.6,740.0
2019-06-13,42.6,43.2,42.6,43.2,1100.0
2019-06-14,43.2,43.2,43.2,43.2,1205.0
2019-06-18,44.0,44.0,42.2,43.2,92158.0
2019-06-19,43.4,43.4,42.2,42.2,35914.0
2019-06-20,43.4,43.4,42.6,43.0,2315.0
