Date,Open,High,Low,Close,Volume
2019-06-20,75.5,80.0,75.0,79.0,353444.0
2019-06-24,80.0,83.6,79.8,81.4,109915.0
2019-06-25,81.6,94.4,81.6,85.4,55347.0
2019-06-26,86.0,87.6,82.0,85.8,34240.0
2019-06-27,85.8,89.0,84.2,87.0,9446.0
2019-06-28,87.0,87.0,85.0,87.0,11854.0
2019-07-01,87.0,87.0,82.0,83.6,13595.0
2019-07-02,84.6,85.0,83.6,85.0,13358.0
2019-07-03,85.2,87.0,84.0,87.0,13012.0
2019-07-04,86.8,86.8,84.2,85.0,7998.0
2019-07-05,85.0,87.0,85.0,85.2,29992.0
2019-07-08,85.2,87.0,85.0,87.0,3792.0
2019-07-09,86.2,87.4,86.0,87.0,3993.0
2019-07-10,87.0,93.0,86.0,90.0,8217.0
2019-07-11,92.0,92.0,89.0,90.0,9177.0
2019-07-12,90.0,91.0,89.2,91.0,4447.0
2019-07-15,91.8,92.6,91.2,92.0,5705.0
2019-07-16,92.6,92.6,91.2,92.0,42501.0
2019-07-17,93.0,93.0,92.8,92.8,6483.0
2019-07-18,92.0,92.0,91.6,91.6,707.0
2019-07-19,91.2,93.0,91.2,91.2,3454.0
2019-07-22,91.8,93.0,89.0,89.2,4575.0
2019-07-23,89.2,92.0,89.0,91.2,2123.0
2019-07-24,92.6,93.0,92.6,93.0,6667.0
2019-07-25,93.0,94.0,92.6,94.0,2005.0
2019-07-26,93.8,95.0,93.6,95.0,4105.0
2019-07-29,95.2,105.5,95.2,100.0,6981.0
2019-07-30,102.0,102.0,98.2,98.2,1929.0
2019-07-31,98.4,99.8,97.4,98.8,1598.0
2019-08-01,99.8,99.8,98.8,99.4,820.0
2019-08-02,99.8,100.0,99.2,99.2,1981.0
2019-08-06,99.4,102.5,99.4,99.8,2577.0
2019-08-07,100.0,108.0,100.0,102.5,4274.0
2019-08-08,103.0,103.0,102.0,103.0,3358.0
2019-08-09,103.0,103.0,103.0,103.0,461.0
2019-08-12,105.0,125.0,100.5,109.5,12303.0
2019-08-13,108.0,108.0,101.0,104.5,10753.0
2019-08-14,105.5,105.5,104.0,105.5,9974.0
2019-08-15,105.5,105.5,104.0,104.0,12716.0
