Date,Open,High,Low,Close,Volume
2010-01-04,50.46,52.63,50.46,52.45,3760.0
2010-01-05,52.81,54.07,52.63,53.89,5781.0
2010-01-07,53.89,55.34,53.53,54.44,12317.0
2010-01-08,54.98,54.98,54.26,54.26,6435.0
2010-01-11,54.26,54.62,53.53,53.53,9650.0
2010-01-12,53.89,54.26,53.53,53.53,6028.0
2010-01-13,54.62,54.62,54.26,54.26,2126.0
2010-01-14,54.07,54.26,54.07,54.07,6911.0
2010-01-15,53.53,54.26,53.17,54.26,4114.0
2010-01-18,53.89,53.89,52.99,53.89,2450.0
2010-01-19,52.81,54.26,52.45,54.26,5203.0
2010-01-20,54.26,54.26,52.99,54.26,2396.0
2010-01-21,53.35,54.26,52.81,52.81,4235.0
2010-01-22,52.08,54.26,52.08,54.26,6724.0
2010-01-25,54.26,54.26,54.26,54.26,41.0
2010-01-26,52.99,54.07,51.54,52.08,2381.0
2010-01-27,53.89,53.89,52.08,53.53,1900.0
2010-01-28,54.07,54.07,52.81,53.53,1751.0
2010-01-29,52.99,53.53,52.81,53.53,1970.0
2010-02-01,53.53,53.53,52.63,52.81,2125.0
2010-02-02,51.0,52.81,50.82,52.08,4710.0
2010-02-03,52.27,52.45,50.82,51.36,5988.0
2010-02-04,51.72,52.45,51.72,52.08,5108.0
2010-02-05,52.27,52.27,51.18,51.18,7530.0
2010-02-08,52.08,52.08,51.18,52.08,1600.0
2010-02-09,52.08,52.45,52.08,52.08,200.0
2010-02-10,52.08,52.08,51.36,51.72,600.0
2010-02-11,51.72,51.72,51.54,51.72,1100.0
2010-02-12,53.17,53.17,53.17,53.17,86.0
2010-02-15,54.07,54.07,54.07,54.07,85.0
2010-02-16,52.81,52.81,52.08,52.81,900.0
2010-02-17,54.26,55.7,52.81,53.17,21044.0
2010-02-18,54.26,54.26,53.53,53.53,7155.0
2010-02-19,53.89,54.07,53.17,53.6,5281.0
2010-02-22,53.89,53.89,52.81,53.89,6056.0
2010-02-23,53.89,58.96,53.89,58.78,63084.0
2010-02-24,59.32,59.32,57.15,58.23,26658.0
2010-02-25,58.23,58.96,57.87,58.41,3622.0
2010-02-26,58.6,59.32,58.6,59.32,13064.0
2010-03-01,60.04,60.77,59.32,60.4,12913.0
2010-03-02,60.77,60.77,60.77,60.77,3820.0
2010-03-03,60.58,60.77,60.22,60.22,2345.0
2010-03-04,60.4,60.4,59.68,59.86,1723.0
2010-03-05,60.77,60.77,59.32,59.32,1508.0
2010-03-08,60.4,60.4,59.32,59.32,7552.0
2010-03-09,60.4,60.77,60.4,60.77,6218.0
2010-03-10,60.77,60.95,59.68,60.95,3025.0
2010-03-11,60.95,60.95,59.32,60.58,4445.0
