Date,Open,High,Low,Close,Volume
2010-01-04,113.83,117.78,112.65,114.62,181892.0
2010-01-05,115.41,115.41,110.27,111.46,149960.0
2010-01-07,112.25,112.25,110.67,111.46,140653.0
2010-01-08,112.65,113.83,111.06,113.83,152301.0
2010-01-11,114.62,114.62,111.46,111.85,152095.0
2010-01-12,111.85,112.65,109.09,110.27,202754.0
2010-01-13,109.88,110.67,109.09,109.09,155995.0
2010-01-14,110.27,111.46,109.09,110.27,180123.0
2010-01-15,109.48,110.27,107.51,109.09,127173.0
2010-01-18,109.88,112.25,108.3,112.25,147232.0
2010-01-19,112.25,112.65,109.48,111.85,255307.0
2010-01-20,111.85,113.04,109.48,109.88,72850.0
2010-01-21,111.06,111.46,109.09,109.09,107613.0
2010-01-22,109.09,110.27,107.51,109.88,117071.0
2010-01-25,108.69,112.25,108.3,112.25,94075.0
2010-01-26,111.06,111.85,107.9,109.09,105962.0
2010-01-27,109.09,111.46,107.51,109.88,68279.0
2010-01-28,113.04,115.02,113.04,114.23,174374.0
2010-01-29,113.44,115.02,112.65,114.62,120159.0
2010-02-01,114.62,114.62,113.44,114.23,138524.0
2010-02-02,114.23,114.23,111.85,111.85,90042.0
2010-02-03,111.85,112.65,110.67,111.46,105757.0
2010-02-04,111.06,111.06,107.9,108.69,85005.0
2010-02-05,108.3,108.69,104.74,107.11,109371.0
2010-02-08,106.32,106.72,102.76,103.95,148229.0
2010-02-09,103.55,105.93,103.55,105.53,97897.0
2010-02-10,105.93,105.93,103.55,103.95,57622.0
2010-02-11,103.95,105.93,103.95,105.93,97918.0
2010-02-12,105.93,106.72,103.55,106.32,75428.0
2010-02-15,106.32,106.32,101.58,103.16,88400.0
2010-02-16,103.16,107.51,103.16,104.34,129239.0
2010-02-17,103.95,108.3,100.39,107.51,138221.0
2010-02-18,107.51,108.3,102.37,105.53,392290.0
2010-02-19,103.95,107.51,102.37,106.72,348378.0
2010-02-22,107.51,109.09,106.72,106.72,82639.0
2010-02-23,106.72,107.9,104.74,105.93,144926.0
2010-02-24,104.34,108.3,104.34,108.3,518789.0
2010-02-25,107.51,107.51,105.93,105.93,83291.0
2010-02-26,105.93,107.11,105.53,105.53,67185.0
2010-03-01,105.93,107.9,105.93,107.51,86669.0
2010-03-02,106.72,110.27,106.72,109.48,84841.0
2010-03-03,110.27,115.41,109.88,114.62,275601.0
2010-03-04,114.62,116.99,113.44,115.81,142446.0
2010-03-05,116.99,120.15,116.99,120.15,372626.0
2010-03-08,120.15,121.34,117.78,119.36,101026.0
2010-03-09,118.57,120.15,116.6,120.15,189898.0
2010-03-10,120.15,120.15,118.18,119.36,236749.0
2010-03-11,118.57,119.36,117.78,118.57,79910.0
2010-03-12,117.78,118.57,116.2,116.99,194258.0
2010-03-15,116.2,117.39,115.81,117.39,96524.0
2010-03-16,116.99,120.55,116.99,119.36,137569.0
2010-03-17,119.36,119.36,114.62,118.57,282739.0
2010-03-18,116.99,117.78,114.62,115.41,258886.0
2010-03-19,116.2,116.6,114.23,115.81,163677.0
2010-03-22,115.81,121.74,114.62,119.76,283292.0
2010-03-23,107.51,113.04,106.72,109.09,1448617.0
2010-03-24,110.27,111.46,107.9,111.46,507413.0
2010-03-25,111.46,112.25,109.88,111.85,210716.0
2010-03-26,111.06,112.65,110.67,111.85,156814.0
2010-03-29,111.85,111.85,110.67,111.46,117200.0
2010-03-30,111.46,111.46,110.27,111.06,282630.0
2010-03-31,110.27,111.06,109.09,109.09,166802.0
2010-04-01,109.48,110.67,109.09,110.67,81382.0
2010-04-06,110.67,111.46,109.88,109.88,129467.0
2010-04-07,109.88,110.67,109.48,109.48,85778.0
2010-04-08,109.88,114.62,109.88,114.62,264846.0
2010-04-09,113.44,114.62,111.06,114.62,318661.0
2010-04-12,113.83,114.62,113.44,113.83,282480.0
2010-04-13,114.23,114.62,111.85,111.85,146705.0
2010-04-14,107.9,109.88,106.32,108.69,6319757.0
2010-04-15,108.69,108.69,107.51,108.3,193041.0
