Date,Open,High,Low,Close,Volume
2014-06-02,29.3,39.0,29.3,34.0,2072734.0
2014-06-03,34.5,37.0,34.1,35.0,355220.0
2014-06-04,38.5,38.5,35.0,36.5,531056.0
2014-06-05,37.5,42.0,37.5,38.3,566383.0
2014-06-09,38.7,39.4,35.6,35.8,84842.0
2014-06-10,35.5,36.0,34.0,35.1,176148.0
2014-06-11,35.1,36.6,34.2,36.0,65579.0
2014-06-12,37.0,37.0,35.5,36.0,145302.0
2014-06-13,35.0,36.0,34.0,35.4,64548.0
2014-06-16,35.4,36.3,34.0,34.0,43813.0
2014-06-17,34.0,35.5,34.0,35.5,70072.0
2014-06-18,35.5,36.0,34.5,35.0,360332.0
2014-06-19,35.5,36.6,35.5,36.5,1469945.0
2014-06-23,36.5,37.3,36.5,36.8,17912.0
2014-06-24,36.8,37.2,35.3,37.0,750538.0
2014-06-25,38.0,38.0,35.1,35.8,215015.0
2014-06-26,36.5,36.5,35.0,35.0,481386.0
2014-06-27,35.1,36.3,35.0,35.0,321633.0
2014-06-30,36.0,39.5,34.5,34.5,53304.0
2014-07-01,34.8,35.9,34.5,34.7,91447.0
2014-07-02,35.0,35.0,33.6,34.0,430592.0
2014-07-03,34.9,36.0,34.0,36.0,121018.0
2014-07-04,36.9,40.7,35.7,40.5,673789.0
2014-07-07,40.5,40.7,39.0,39.5,556862.0
2014-07-08,37.6,39.9,37.6,39.5,23277.0
2014-07-09,39.0,40.8,37.6,40.5,54613.0
2014-07-10,38.5,40.4,38.5,39.5,44120.0
2014-07-11,41.0,41.2,39.1,40.2,8228.0
2014-07-14,40.5,40.6,39.1,40.0,52377.0
2014-07-15,40.2,41.0,38.2,40.9,31129.0
2014-07-16,40.9,40.9,39.7,40.8,22503.0
2014-07-17,41.0,41.0,39.8,40.2,14244.0
2014-07-18,40.0,41.0,40.0,40.5,22625.0
2014-07-21,41.0,41.5,40.0,40.1,10131.0
2014-07-22,41.0,41.0,40.1,40.2,10535.0
2014-07-23,40.3,40.6,40.2,40.6,7528.0
2014-07-24,40.4,41.0,40.1,40.6,19708.0
2014-07-25,41.0,41.5,40.1,41.0,102680.0
2014-07-28,41.0,41.7,40.7,41.0,27860.0
2014-07-29,40.8,41.2,40.8,41.1,62170.0
2014-07-30,41.1,41.4,41.0,41.0,15688.0
2014-07-31,41.1,41.2,40.2,40.9,92062.0
2014-08-01,40.5,42.0,40.5,40.7,61150.0
2014-08-04,40.7,41.8,40.7,41.1,24733.0
2014-08-05,42.1,46.9,42.1,45.0,65028.0
2014-08-06,46.6,46.6,43.0,44.3,78518.0
2014-08-07,44.4,44.4,40.6,42.4,56459.0
2014-08-08,42.5,42.5,40.2,40.3,21563.0
2014-08-11,40.2,41.3,40.2,40.7,10343.0
2014-08-12,40.8,41.1,40.2,40.4,15842.0
2014-08-13,40.0,40.4,39.1,40.4,53084.0
2014-08-14,40.4,42.2,40.4,42.1,17492.0
2014-08-15,42.1,44.0,42.1,42.9,58521.0
2014-08-18,43.5,44.8,43.0,44.1,54567.0
2014-08-19,44.1,46.0,44.0,45.0,59993.0
2014-08-20,45.2,46.1,44.0,45.5,29236.0
2014-08-21,46.0,46.2,44.0,45.0,45773.0
2014-08-22,45.0,46.0,43.1,43.1,30769.0
2014-08-25,43.0,46.0,43.0,44.0,178298.0
2014-08-26,45.8,45.9,43.0,44.0,157788.0
2014-08-27,46.0,49.6,44.9,48.5,1461905.0
2014-08-28,49.9,53.25,49.5,53.25,247854.0
2014-08-29,54.5,58.25,53.25,56.25,347021.0
2014-09-01,59.5,62.5,57.25,58.75,155788.0
2014-09-02,61.25,61.75,59.0,59.25,360864.0
2014-09-03,61.75,61.75,59.5,60.75,121370.0
2014-09-04,61.0,61.25,59.75,60.75,76916.0
2014-09-05,61.0,61.25,60.75,61.0,533140.0
2014-09-08,61.5,70.0,60.5,67.25,135993.0
2014-09-09,67.25,68.0,63.25,66.0,71755.0
2014-09-10,67.0,67.0,64.0,67.0,192144.0
2014-09-11,70.0,73.0,67.0,67.0,160745.0
2014-09-12,67.0,67.5,64.75,66.0,121387.0
2014-09-15,66.0,67.75,64.75,65.5,42028.0
2014-09-16,65.5,66.0,63.0,63.5,103177.0
2014-09-17,62.25,67.0,60.5,62.5,100547.0
2014-09-18,62.5,63.5,60.5,62.25,34180.0
2014-09-19,64.0,64.0,62.0,63.0,79805.0
2014-09-22,64.0,64.0,61.5,62.5,133164.0
2014-09-23,63.0,63.0,61.75,62.5,60496.0
2014-09-24,64.0,64.0,60.25,60.25,75825.0
2014-09-25,60.0,62.25,57.25,57.75,135540.0
2014-09-26,57.0,57.75,55.0,55.75,141375.0
2014-09-29,55.75,56.25,53.75,55.75,60271.0
2014-09-30,56.0,56.0,50.5,54.25,89442.0
2014-10-01,54.0,55.75,51.25,54.75,87476.0
2014-10-02,54.5,54.75,52.5,54.5,38939.0
2014-10-03,53.0,55.25,53.0,55.0,37673.0
2014-10-06,55.0,56.5,54.5,54.75,23635.0
2014-10-07,54.0,59.0,54.0,58.5,93052.0
2014-10-08,60.0,63.0,58.5,62.75,112695.0
2014-10-09,63.25,66.5,62.5,63.0,115900.0
2014-10-10,62.75,64.0,58.5,62.0,26144.0
2014-10-13,62.0,62.5,58.0,59.0,29776.0
2014-10-14,59.25,62.0,59.0,59.0,6887.0
2014-10-15,58.0,62.0,58.0,59.25,37623.0
2014-10-16,58.5,60.0,54.25,59.5,35714.0
2014-10-17,59.5,60.5,57.25,60.0,22630.0
2014-10-20,61.0,63.0,59.0,60.0,39042.0
2014-10-21,60.0,61.75,59.0,61.75,151528.0
2014-10-22,61.75,63.0,60.5,62.5,23198.0
2014-10-23,63.0,66.5,62.25,66.0,126015.0
2014-10-24,66.0,69.0,66.0,67.75,44532.0
2014-10-27,68.0,68.0,62.75,64.75,48503.0
2014-10-28,65.0,69.5,65.0,69.5,61500.0
2014-10-29,70.0,70.0,65.25,70.0,207059.0
2014-10-30,70.0,72.5,69.25,71.0,108124.0
2014-10-31,71.0,71.0,69.25,70.5,40191.0
2014-11-03,70.5,74.0,67.0,72.0,59705.0
2014-11-04,72.0,75.75,70.0,75.75,35346.0
2014-11-05,76.0,76.25,74.0,76.0,31972.0
2014-11-06,73.0,76.5,73.0,76.5,13092.0
2014-11-07,76.5,76.5,72.75,75.25,201725.0
2014-11-10,75.25,75.25,73.25,75.0,24022.0
2014-11-11,74.75,74.75,73.25,73.25,16367.0
2014-11-12,73.75,73.75,71.5,72.0,29818.0
2014-11-13,73.5,74.0,70.5,72.0,35730.0
2014-11-14,72.0,73.5,70.0,73.25,13308.0
2014-11-17,73.75,74.25,71.0,74.25,12281.0
2014-11-18,74.0,77.25,73.5,75.0,24889.0
2014-11-19,74.0,75.25,73.0,75.25,12899.0
2014-11-20,75.0,75.0,70.75,73.0,15595.0
2014-11-21,73.0,73.0,71.25,72.75,22140.0
2014-11-24,73.0,73.0,71.25,72.75,11872.0
2014-11-25,72.5,73.0,70.5,73.0,39524.0
2014-11-26,71.75,73.5,71.5,71.5,46000.0
2014-11-27,71.5,74.0,71.0,71.5,21500.0
2014-11-28,70.0,74.0,70.0,73.5,61995.0
2014-12-01,73.5,77.75,72.0,73.0,13940.0
2014-12-02,75.0,75.0,72.0,74.0,7733.0
2014-12-03,74.5,75.0,71.75,73.25,40054.0
2014-12-04,72.0,73.25,71.5,72.25,234668.0
2014-12-05,72.25,73.5,72.0,72.75,349778.0
2014-12-08,72.75,73.5,72.0,73.0,121936.0
2014-12-09,73.0,73.25,70.0,70.5,234300.0
2014-12-10,71.5,72.5,70.0,70.5,27510.0
2014-12-11,70.0,71.75,67.25,69.0,57143.0
2014-12-12,70.0,70.0,64.25,69.5,190267.0
2014-12-15,69.75,69.75,67.0,69.25,17039.0
2014-12-16,68.25,69.75,66.5,68.0,44374.0
2014-12-17,68.0,70.0,66.5,70.0,86482.0
2014-12-18,70.25,71.5,70.0,71.0,14652.0
2014-12-19,69.0,72.0,68.0,71.75,7024.0
2014-12-22,71.5,72.5,70.5,72.25,10901.0
2014-12-23,73.0,73.0,71.0,72.0,8361.0
2014-12-29,72.25,75.0,71.75,74.5,67157.0
2014-12-30,74.5,82.5,73.5,76.0,136755.0
2015-01-02,77.5,80.5,77.5,78.25,38475.0
2015-01-05,82.0,82.0,79.0,81.5,29642.0
2015-01-07,80.0,81.0,79.0,79.5,136526.0
2015-01-08,79.5,79.75,78.25,79.5,36390.0
2015-01-09,79.5,79.5,76.0,77.25,21366.0
2015-01-12,80.0,80.0,77.5,78.5,100713.0
2015-01-13,80.0,80.0,77.75,78.0,53211.0
2015-01-14,78.5,78.5,76.0,78.0,62781.0
2015-01-15,78.0,78.0,76.25,77.0,15173.0
2015-01-16,78.0,78.5,76.0,76.0,7419.0
2015-01-19,77.75,81.5,77.0,78.0,22631.0
2015-01-20,80.0,80.0,77.0,78.0,9111.0
2015-01-21,78.0,78.0,76.0,77.5,35775.0
2015-01-22,78.0,78.0,76.0,77.0,24945.0
2015-01-23,77.0,79.0,77.0,78.0,21703.0
2015-01-26,78.0,79.25,77.0,78.0,22720.0
2015-01-27,78.25,78.75,76.5,77.25,7196.0
2015-01-28,79.5,79.5,77.0,78.0,14313.0
2015-01-29,80.0,80.0,77.25,78.5,19658.0
2015-01-30,78.5,79.0,76.0,78.0,58245.0
2015-02-02,79.5,79.75,76.0,77.0,33265.0
2015-02-03,78.0,79.0,76.5,77.75,24686.0
2015-02-04,77.0,78.0,76.0,76.75,25606.0
2015-02-05,78.0,78.0,76.5,76.5,20059.0
2015-02-06,77.75,78.25,75.0,78.0,22677.0
2015-02-09,78.25,78.75,75.5,77.0,20401.0
2015-02-10,77.0,77.75,71.0,74.0,79069.0
2015-02-11,74.25,74.5,64.25,72.5,329701.0
2015-02-12,71.25,71.5,68.0,71.0,176455.0
2015-02-13,69.5,69.5,66.0,68.25,82234.0
2015-02-16,71.5,73.75,71.5,73.0,159063.0
2015-02-17,73.5,73.5,70.25,72.0,24054.0
2015-02-18,72.0,72.0,70.25,71.5,57734.0
2015-02-19,70.0,72.0,69.0,71.5,29532.0
2015-02-20,71.0,73.0,71.0,71.5,27318.0
2015-02-23,70.0,71.5,67.75,71.0,31599.0
2015-02-24,69.0,71.0,69.0,70.5,21054.0
2015-02-25,70.0,70.5,69.0,70.0,7712.0
2015-02-26,70.0,70.25,68.25,70.25,28241.0
2015-02-27,71.0,71.0,69.0,70.5,27085.0
2015-03-02,70.5,70.5,66.25,67.75,14667.0
2015-03-03,67.75,68.0,65.0,66.0,61040.0
2015-03-04,64.75,68.0,63.75,65.0,22532.0
2015-03-05,65.25,67.25,65.25,66.75,363027.0
2015-03-06,66.75,67.75,63.75,67.0,44572.0
2015-03-09,67.0,68.0,64.25,65.0,103623.0
2015-03-10,65.0,65.5,62.75,63.5,60539.0
2015-03-11,63.25,65.75,63.25,65.75,22835.0
2015-03-12,66.0,66.75,64.5,66.0,21911.0
2015-03-13,66.0,67.0,64.25,66.0,21688.0
2015-03-16,65.75,67.25,64.25,67.25,29225.0
2015-03-17,67.5,67.75,64.75,66.75,24810.0
2015-03-18,64.0,67.25,64.0,66.75,16791.0
2015-03-19,66.75,67.5,65.0,65.5,16355.0
2015-03-20,66.0,66.75,63.5,66.0,133601.0
2015-03-23,66.0,68.0,66.0,66.5,31284.0
2015-03-24,66.5,69.25,65.25,68.5,124319.0
2015-03-25,70.0,71.5,68.5,71.0,89808.0
2015-03-26,70.5,71.5,69.5,70.75,152034.0
2015-03-27,70.5,71.0,68.5,71.0,38665.0
2015-03-30,70.75,70.75,69.0,70.0,11850.0
2015-03-31,69.5,70.0,69.0,70.0,110517.0
2015-04-01,70.0,71.5,67.75,71.0,58198.0
2015-04-02,71.5,71.5,71.0,71.0,30373.0
2015-04-07,72.0,74.75,72.0,74.5,61709.0
2015-04-08,75.0,75.0,73.0,75.0,27844.0
2015-04-09,73.0,77.0,73.0,76.0,26491.0
2015-04-10,76.0,79.0,75.0,76.25,61429.0
2015-04-13,78.0,79.75,76.25,79.0,20842.0
2015-04-14,80.0,80.0,77.75,79.0,5673.0
2015-04-15,78.5,80.5,78.5,80.0,26401.0
2015-04-16,82.0,82.0,79.5,80.0,13076.0
2015-04-17,77.0,80.0,76.0,77.75,24972.0
2015-04-20,75.0,80.0,75.0,79.0,14069.0
2015-04-21,77.5,79.5,77.5,78.75,4185.0
2015-04-22,79.0,79.0,76.5,78.5,33931.0
2015-04-23,79.0,79.0,77.0,78.5,15556.0
2015-04-24,78.0,79.0,76.25,77.75,24186.0
