Date,Open,High,Low,Close,Volume
2011-02-25,4.61,4.61,4.11,4.36,153208.0
2011-02-28,4.26,4.3,4.2,4.26,45531.0
2011-03-01,4.36,4.48,4.36,4.48,14353.0
2011-03-02,4.51,4.51,4.33,4.45,138263.0
2011-03-03,4.45,4.45,4.39,4.39,12998.0
2011-03-04,4.3,4.39,4.17,4.17,15948.0
2011-03-07,4.42,4.42,4.11,4.26,35045.0
2011-03-08,4.2,4.3,4.08,4.2,33248.0
2011-03-09,4.26,4.3,4.01,4.08,33251.0
2011-03-10,3.98,4.08,3.95,3.95,22646.0
2011-03-11,3.92,4.04,3.7,3.92,16361.0
2011-03-14,3.79,4.01,3.14,3.42,110007.0
2011-03-15,3.42,3.76,3.39,3.76,45101.0
2011-03-16,3.57,4.42,3.57,4.11,61989.0
2011-03-17,3.95,4.11,3.76,3.98,22933.0
2011-03-18,3.82,3.92,3.82,3.92,7177.0
2011-03-21,3.89,3.98,3.73,3.98,20254.0
2011-03-22,3.67,3.82,3.61,3.82,41369.0
2011-03-23,3.61,3.82,3.45,3.67,28611.0
2011-03-24,3.57,3.76,3.14,3.76,136897.0
2011-03-25,3.7,3.76,3.45,3.7,82969.0
2011-03-28,3.57,3.64,3.07,3.48,149448.0
2011-03-29,3.48,3.61,3.48,3.51,23762.0
2011-03-30,3.48,3.57,3.14,3.39,20892.0
2011-03-31,3.39,3.39,3.26,3.26,6858.0
2011-04-01,3.26,3.32,3.17,3.32,18978.0
2011-04-04,3.17,3.32,3.17,3.32,19471.0
2011-04-05,3.32,3.32,3.14,3.14,37653.0
2011-04-06,3.23,3.23,3.17,3.2,24735.0
2011-04-07,3.2,3.2,3.14,3.14,6004.0
2011-04-08,3.04,3.14,3.04,3.1,32302.0
2011-04-11,3.04,3.1,3.04,3.1,9744.0
2011-04-12,3.1,3.1,3.1,3.1,2392.0
2011-04-13,3.01,3.01,2.95,3.01,31287.0
2011-04-14,3.04,3.04,3.04,3.04,5901.0
2011-04-15,3.04,3.13,3.04,3.13,16905.0
2011-04-18,3.14,3.48,3.13,3.29,29462.0
2011-04-19,3.23,3.45,3.14,3.45,44361.0
2011-04-20,3.35,3.35,3.35,3.35,319.0
2011-04-21,3.35,3.39,3.35,3.39,6379.0
2011-04-26,3.14,3.2,2.83,2.94,126883.0
2011-04-27,2.95,2.95,2.94,2.94,14034.0
2011-04-28,2.87,2.97,2.87,2.88,23094.0
2011-04-29,2.88,2.98,2.84,2.84,35436.0
2011-05-02,2.85,2.95,2.78,2.78,46282.0
2011-05-03,2.78,2.88,2.78,2.88,26314.0
2011-05-04,2.74,2.82,2.74,2.82,2392.0
2011-05-05,2.88,2.88,2.88,2.88,6379.0
2011-05-06,2.82,2.88,2.8,2.88,11012.0
2011-05-09,2.77,2.77,2.13,2.54,158610.0
2011-05-10,2.51,2.57,2.32,2.44,55567.0
2011-05-11,2.51,2.54,2.48,2.48,20885.0
2011-05-12,2.41,2.45,2.35,2.45,22785.0
2011-05-13,2.41,2.45,2.41,2.45,16745.0
2011-05-16,2.3,2.38,2.3,2.38,5598.0
2011-05-17,2.45,2.45,2.26,2.41,35962.0
2011-05-18,2.41,2.41,2.41,2.41,159.0
2011-05-19,2.4,2.4,2.4,2.4,1595.0
2011-05-20,2.41,2.45,2.37,2.37,3827.0
2011-05-23,2.45,2.45,2.45,2.45,14927.0
2011-05-24,2.54,2.54,2.45,2.51,10845.0
2011-05-25,2.51,2.51,2.48,2.48,3572.0
2011-05-26,2.48,2.51,2.41,2.51,45247.0
2011-05-27,2.51,2.51,2.35,2.44,23443.0
2011-05-30,2.45,2.45,2.36,2.45,4322.0
2011-05-31,2.36,2.36,2.36,2.36,2233.0
2011-06-01,2.35,2.45,2.26,2.32,24719.0
2011-06-03,2.32,2.32,2.32,2.32,718.0
2011-06-07,2.32,2.32,2.32,2.32,1595.0
2011-06-08,2.26,2.3,2.23,2.24,22939.0
2011-06-09,2.23,2.23,2.2,2.2,6381.0
2011-06-10,2.26,2.29,2.26,2.29,12758.0
2011-06-13,2.19,2.19,2.07,2.19,28797.0
2011-06-14,2.13,2.13,2.13,2.13,5103.0
2011-06-15,2.04,2.04,2.04,2.04,4784.0
2011-06-16,2.04,2.04,2.04,2.04,7974.0
2011-06-17,2.04,2.51,2.04,2.51,36680.0
2011-06-20,2.35,2.51,2.35,2.51,22646.0
2011-06-21,2.48,2.7,2.48,2.6,50714.0
2011-06-22,2.57,2.63,2.54,2.6,11961.0
2011-06-23,2.53,2.98,2.51,2.51,35006.0
2011-06-27,2.43,3.32,2.35,2.82,35723.0
2011-06-28,2.82,3.14,2.51,2.82,38117.0
2011-06-29,2.73,2.73,2.48,2.48,13875.0
2011-06-30,2.57,2.57,2.51,2.51,478.0
2011-07-01,2.48,2.48,2.41,2.48,10463.0
2011-07-04,2.48,2.73,2.45,2.73,28700.0
