Date,Open,High,Low,Close,Volume
2014-03-28,75.53,78.41,75.53,77.33,29150.0
2014-03-31,77.33,77.33,76.97,77.33,6860.0
2014-04-01,76.97,76.97,76.61,76.61,33000.0
2014-04-02,76.25,78.05,76.25,77.69,4880.0
2014-04-03,77.69,77.69,76.61,76.97,39675.0
2014-04-04,77.69,77.69,77.33,77.33,6145.0
2014-04-07,77.69,77.69,77.33,77.33,2590.0
2014-04-08,77.69,78.41,77.33,77.33,7029.0
2014-04-09,77.33,77.33,77.33,77.33,400.0
2014-04-10,77.33,77.33,77.33,77.33,800.0
2014-04-11,76.97,77.33,76.97,77.33,1002.0
2014-04-14,77.33,77.69,76.97,77.69,5447.0
2014-04-15,77.33,77.33,76.61,76.61,6160.0
2014-04-16,77.33,77.33,77.33,77.33,6900.0
2014-04-17,76.97,76.97,76.97,76.97,710.0
2014-04-22,77.69,77.69,76.97,76.97,3740.0
2014-04-23,77.69,77.69,76.61,76.61,20450.0
2014-04-24,76.97,76.97,76.97,76.97,1002.0
2014-04-25,77.33,77.69,77.33,77.69,1030.0
2014-04-28,76.97,76.97,76.97,76.97,500.0
2014-04-29,76.97,76.97,76.97,76.97,1100.0
2014-04-30,77.33,77.33,76.25,76.25,6500.0
2014-05-02,76.97,76.97,76.97,76.97,1000.0
2014-05-05,76.97,77.69,76.97,77.69,12475.0
2014-05-06,77.69,77.69,77.33,77.33,11000.0
2014-05-07,76.97,76.97,76.97,76.97,3475.0
2014-05-08,77.33,77.33,77.33,77.33,850.0
2014-05-09,77.69,78.05,77.69,77.69,6500.0
2014-05-12,78.41,78.41,78.41,78.41,150.0
2014-05-13,78.41,78.41,77.69,77.69,50150.0
2014-05-14,78.77,78.77,77.69,78.77,3880.0
2014-05-15,79.49,79.85,79.49,79.85,480.0
2014-05-16,79.85,79.85,77.69,77.69,264.0
2014-05-19,78.05,78.05,78.05,78.05,130.0
2014-05-20,79.49,79.49,79.13,79.13,1000.0
2014-05-21,79.85,79.85,79.85,79.85,129.0
2014-05-22,80.57,82.37,80.57,82.37,526.0
2014-05-23,79.85,79.85,79.85,79.85,500.0
2014-05-26,80.21,80.21,79.85,79.85,1875.0
2014-05-27,79.13,81.65,79.13,81.65,1876.0
2014-05-28,82.01,82.01,82.01,82.01,20382.0
2014-05-30,79.85,80.21,79.13,79.13,26195.0
2014-06-02,79.13,79.13,79.13,79.13,2000.0
2014-06-03,79.13,79.13,79.13,79.13,0.0
2014-06-04,80.21,80.21,79.13,79.13,894.0
2014-06-05,79.13,79.13,78.77,79.13,559.0
2014-06-09,79.13,79.13,79.13,79.13,1000.0
2014-06-10,79.13,79.13,79.13,79.13,600.0
2014-06-11,79.13,79.13,79.13,79.13,18241.0
2014-06-12,78.41,78.41,78.05,78.41,400.0
2014-06-13,78.05,78.05,77.69,77.87,3156.0
2014-06-16,77.69,78.05,77.69,78.05,1440.0
2014-06-17,78.05,78.05,78.05,78.05,494.0
2014-06-18,77.87,77.87,77.87,77.87,7.0
2014-06-19,77.87,77.87,77.87,77.87,0.0
2014-06-23,80.93,80.93,78.95,78.95,300.0
2014-06-24,79.13,79.13,78.95,78.95,2500.0
2014-06-25,78.95,78.95,78.95,78.95,0.0
2014-06-27,78.41,78.59,78.41,78.59,58.0
2014-06-30,78.59,78.59,78.59,78.59,0.0
2014-07-01,79.49,79.49,79.49,79.49,263.0
2014-07-02,79.13,79.49,79.13,79.13,51300.0
2014-07-03,79.31,80.57,79.13,80.39,3120.0
2014-07-04,80.39,80.39,80.39,80.39,0.0
2014-07-08,80.57,80.75,80.57,80.57,2137.0
2014-07-09,80.93,80.93,80.75,80.93,1074.0
2014-07-10,81.65,81.65,81.65,81.65,5.0
2014-07-11,81.65,81.65,81.65,81.65,0.0
2014-07-14,81.65,81.83,81.65,81.83,250.0
2014-07-15,80.75,80.75,80.75,80.75,250.0
2014-07-16,81.83,81.83,81.29,81.29,23103.0
2014-07-17,80.57,80.57,80.57,80.57,700.0
2014-07-18,80.75,80.75,80.57,80.57,479.0
2014-07-21,80.75,80.75,80.75,80.75,50.0
2014-07-22,80.75,80.75,80.75,80.75,0.0
2014-07-24,80.57,80.57,80.57,80.57,1000.0
2014-07-25,79.67,79.67,79.67,79.67,232.0
2014-07-28,80.39,80.39,80.39,80.39,64.0
2014-07-30,79.67,80.39,79.67,80.39,178.0
2014-08-06,79.85,79.85,79.85,79.85,54.0
2014-08-07,79.85,79.85,79.85,79.85,0.0
2014-08-12,80.21,80.57,80.21,80.57,2022.0
2014-08-13,80.57,80.57,80.57,80.57,0.0
2014-08-18,80.57,80.57,80.57,80.57,59.0
2014-08-19,80.57,80.57,80.57,80.57,1941.0
2014-08-20,79.49,79.49,79.49,79.49,20000.0
2014-08-21,80.57,80.57,79.85,79.85,4850.0
2014-08-22,80.57,80.57,80.57,80.57,28000.0
2014-08-26,80.57,80.57,80.57,80.57,650.0
2014-08-28,79.85,79.85,79.85,79.85,1850.0
2014-08-29,80.93,81.11,80.93,80.93,1275.0
2014-09-01,80.93,80.93,80.93,80.93,0.0
2014-09-02,80.75,80.75,80.57,80.57,18428.0
2014-09-03,80.57,80.57,80.39,80.57,20000.0
2014-09-04,79.85,80.21,79.85,80.21,1355.0
2014-09-05,80.21,80.21,80.21,80.21,9000.0
2014-09-08,80.57,80.57,80.57,80.57,4600.0
2014-09-09,80.57,80.57,80.57,80.57,510.0
2014-09-12,79.13,80.39,72.12,80.39,5235.0
2014-09-15,80.57,80.57,80.57,80.57,2500.0
2014-09-16,80.57,80.57,79.13,79.13,2000.0
2014-09-17,80.21,80.21,79.13,79.31,9050.0
2014-09-18,79.85,79.85,79.85,79.85,30.0
2014-09-22,79.85,80.03,79.85,79.85,15064.0
2014-09-24,80.57,80.57,80.39,80.39,12302.0
2014-09-25,80.39,80.39,80.39,80.39,500.0
2014-09-29,81.11,81.11,79.85,79.85,1946.0
2014-10-02,79.85,80.57,79.85,80.57,2100.0
2014-10-03,80.39,80.57,79.67,79.67,11642.0
2014-10-06,79.67,79.67,79.49,79.49,2054.0
2014-10-07,81.65,81.65,81.65,81.65,500.0
2014-10-09,81.47,81.47,81.47,81.47,100.0
2014-10-10,81.47,81.47,81.47,81.47,0.0
2014-10-13,82.01,82.01,82.01,82.01,100.0
2014-10-14,80.57,80.57,79.85,79.85,5400.0
2014-10-15,79.31,80.03,79.31,80.03,1000.0
2014-10-16,79.13,79.13,78.95,78.95,15180.0
2014-10-20,79.31,79.31,79.31,79.31,261.0
2014-10-21,79.31,79.31,79.13,79.13,1978.0
2014-10-22,80.21,80.21,80.21,80.21,300.0
2014-10-23,80.21,80.21,80.21,80.21,0.0
2014-10-24,80.39,80.39,79.85,79.85,1040.0
2014-10-27,80.57,82.73,80.57,81.29,10921.0
2014-10-28,82.01,82.01,81.29,81.29,4702.0
2014-10-29,82.01,82.01,81.65,81.65,500.0
2014-10-30,83.81,83.81,83.81,83.81,300.0
2014-10-31,83.09,83.81,83.09,83.81,51.0
2014-11-03,83.09,83.09,83.09,83.09,10200.0
2014-11-04,83.09,83.09,83.09,83.09,0.0
2014-11-05,82.91,82.91,82.91,82.91,51.0
2014-11-06,82.91,82.91,82.91,82.91,0.0
2014-11-07,83.45,83.45,82.91,82.91,1100.0
2014-11-10,83.09,83.09,81.65,82.19,1506.0
2014-11-11,82.19,82.19,82.19,82.19,412.0
2014-11-12,82.19,82.37,80.39,81.83,4801.0
2014-11-13,81.65,82.37,81.65,82.37,1000.0
2014-11-14,82.37,82.37,82.37,82.37,0.0
2014-11-17,81.11,81.11,80.93,80.93,1000.0
2014-11-18,81.47,82.01,81.47,82.01,5669.0
2014-11-19,82.01,82.01,82.01,82.01,0.0
2014-11-20,82.01,82.01,81.65,81.65,1400.0
2014-11-24,82.01,82.01,82.01,82.01,22003.0
2014-11-25,82.01,82.01,82.01,82.01,663.0
2014-11-26,82.01,82.01,81.29,81.29,17300.0
2014-11-27,82.01,82.01,82.01,82.01,170.0
2014-11-28,82.01,82.01,82.01,82.01,500.0
2014-12-01,82.01,82.01,81.83,81.83,450.0
2014-12-02,81.65,81.65,80.93,80.93,2500.0
2014-12-03,81.65,81.65,81.29,81.29,21371.0
2014-12-04,82.01,82.01,82.01,82.01,700.0
2014-12-05,82.01,82.01,81.65,82.01,24549.0
2014-12-09,82.01,82.01,82.01,82.01,89.0
2014-12-10,82.01,82.01,82.01,82.01,19.0
2014-12-11,81.83,81.83,81.83,81.83,980.0
2014-12-12,81.83,81.83,81.83,81.83,0.0
2014-12-15,82.73,82.73,82.73,82.73,20.0
2014-12-16,82.37,82.37,82.37,82.37,30.0
2014-12-17,82.37,82.37,82.37,82.37,1470.0
2014-12-22,82.19,82.19,82.19,82.19,61.0
2014-12-23,82.73,83.81,82.73,83.63,527.0
2014-12-29,83.81,83.81,83.81,83.81,40.0
2014-12-30,83.81,83.81,83.81,83.81,0.0
2015-01-07,84.53,85.24,83.09,83.09,16519.0
2015-01-08,82.73,82.73,82.73,82.73,60.0
2015-01-09,83.45,83.45,83.09,83.09,18068.0
2015-01-12,83.09,83.09,83.09,83.09,17392.0
2015-01-13,83.27,83.45,83.27,83.45,523.0
2015-01-14,83.45,83.45,83.45,83.45,0.0
2015-01-15,83.81,83.81,83.81,83.81,341.0
2015-01-22,84.17,84.17,84.17,84.17,100.0
2015-01-23,84.17,84.17,84.17,84.17,0.0
2015-01-26,85.24,85.24,85.24,85.24,1.0
2015-01-27,85.24,85.24,85.24,85.24,0.0
2015-01-30,85.24,85.24,84.53,84.53,403.0
2015-02-02,84.17,84.53,84.17,84.53,304.0
2015-02-03,84.53,84.53,84.35,84.35,1947.0
2015-02-04,84.53,84.53,84.53,84.53,2000.0
2015-02-05,84.17,84.17,84.17,84.17,10800.0
2015-02-06,84.17,84.17,83.81,84.17,1730.0
2015-02-09,83.81,83.81,83.09,83.09,2325.0
2015-02-10,83.81,83.81,83.81,83.81,203.0
2015-02-11,83.81,83.81,83.81,83.81,4100.0
2015-02-12,84.17,84.17,83.63,84.17,5871.0
2015-02-13,84.35,84.35,84.17,84.17,790.0
2015-02-16,83.81,84.89,83.81,84.89,8150.0
2015-02-17,84.89,84.89,84.17,84.17,411.0
2015-02-18,84.35,84.89,83.99,84.17,2300.0
2015-02-19,83.81,84.17,83.81,84.17,6089.0
2015-02-20,84.17,84.17,83.09,83.27,3869.0
2015-02-23,84.17,84.17,83.63,83.81,4641.0
2015-02-24,83.81,83.81,83.81,83.81,43.0
2015-02-25,84.71,85.24,84.71,85.24,1349.0
2015-02-26,86.32,86.32,83.99,83.99,1300.0
2015-02-27,84.17,86.14,84.17,84.89,2924.0
2015-03-02,86.32,87.58,85.6,85.6,2655.0
2015-03-03,85.78,87.76,85.6,86.14,2456.0
2015-03-04,88.84,90.64,86.86,88.48,2243.0
2015-03-05,88.84,89.02,86.5,86.5,10044.0
2015-03-06,87.22,87.22,86.32,86.86,886.0
2015-03-09,86.68,87.04,86.68,87.04,2405.0
2015-03-10,86.68,86.68,85.6,85.96,6656.0
2015-03-11,86.32,86.32,85.96,85.96,3640.0
2015-03-12,86.32,86.32,85.78,85.78,1150.0
2015-03-13,86.32,86.32,85.78,85.78,5888.0
2015-03-16,85.78,85.78,83.99,84.71,3579.0
2015-03-17,85.06,85.06,83.81,85.06,8396.0
2015-03-18,85.42,85.96,85.42,85.42,933.0
2015-03-19,86.32,86.32,85.06,85.42,5134.0
2015-03-20,85.78,85.78,85.6,85.6,1000.0
2015-03-23,85.24,85.78,85.06,85.78,1718.0
2015-03-24,85.42,86.14,85.42,85.96,962.0
2015-03-25,85.96,85.96,85.96,85.96,0.0
2015-03-26,86.32,86.32,85.96,85.96,2112.0
2015-03-27,85.96,85.96,85.6,85.78,2045.0
2015-03-30,85.78,87.04,85.78,86.32,17578.0
2015-03-31,88.16,88.16,85.59,86.69,5886.0
2015-04-01,86.14,86.32,85.96,86.32,2008.0
2015-04-02,86.69,86.69,86.69,86.69,93.0
2015-04-07,86.69,86.69,86.69,86.69,165.0
2015-04-08,86.69,86.69,86.69,86.69,1173.0
2015-04-09,87.43,87.43,86.51,86.51,607.0
2015-04-10,87.06,87.06,85.59,85.96,2314.0
2015-04-13,85.96,86.14,85.96,85.96,12782.0
2015-04-14,85.96,85.96,85.77,85.96,1822.0
2015-04-15,85.96,85.96,85.59,85.96,6750.0
2015-04-16,85.96,85.96,85.96,85.96,3000.0
2015-04-17,86.32,86.32,85.96,85.96,3611.0
2015-04-20,86.32,86.32,86.14,86.14,21.0
2015-04-21,85.59,85.96,85.59,85.96,1447.0
2015-04-22,85.96,85.96,85.22,85.22,85.0
2015-04-23,85.41,85.41,85.22,85.22,500.0
2015-04-24,85.59,85.96,85.22,85.96,1050.0
2015-04-27,86.69,86.69,85.96,86.32,808.0
2015-04-28,86.14,86.14,85.22,85.22,678.0
2015-04-29,85.22,85.22,84.85,85.22,1667.0
2015-04-30,85.59,86.14,85.59,85.59,800.0
2015-05-04,85.22,86.14,84.49,86.14,1054.0
2015-05-05,85.96,86.14,85.59,85.77,819.0
2015-05-06,85.96,85.96,85.22,85.22,2548.0
2015-05-07,85.22,85.22,84.12,84.12,2263.0
2015-05-08,84.49,84.85,84.49,84.85,814.0
2015-05-11,84.85,85.22,83.57,84.49,15839.0
2015-05-12,84.49,84.67,84.12,84.49,6424.0
2015-05-13,83.75,84.49,83.75,84.3,1963.0
2015-05-15,83.94,84.67,83.94,84.49,269.0
2015-05-18,84.49,84.49,84.12,84.12,4201.0
2015-05-19,84.12,84.49,84.12,84.49,9123.0
2015-05-20,84.49,84.49,84.49,84.49,1185.0
2015-05-21,84.49,84.49,84.49,84.49,1818.0
2015-05-22,84.49,84.85,84.3,84.85,1588.0
2015-05-25,84.3,84.85,84.3,84.3,1253.0
2015-05-26,84.67,84.67,84.49,84.49,5398.0
2015-05-27,84.49,84.49,84.49,84.49,3650.0
2015-05-28,84.49,84.49,84.3,84.3,1224.0
2015-05-29,84.67,84.67,84.49,84.67,6138.0
2015-06-01,85.77,85.77,84.49,84.49,753.0
2015-06-02,84.49,84.49,83.75,83.75,1524.0
2015-06-03,84.3,84.49,84.3,84.49,380.0
2015-06-04,84.49,84.49,84.49,84.49,333.0
2015-06-05,84.67,84.67,83.57,83.57,1605.0
2015-06-08,83.57,83.57,83.57,83.57,200.0
2015-06-09,83.75,83.75,83.57,83.75,1420.0
2015-06-10,83.57,83.57,83.02,83.57,3708.0
2015-06-11,83.57,83.57,83.57,83.57,0.0
2015-06-15,83.02,83.39,82.65,83.02,1220.0
2015-06-16,83.02,83.02,83.02,83.02,0.0
2015-06-18,83.02,83.2,82.28,82.28,2414.0
2015-06-22,81.73,86.14,81.55,84.3,3004.0
2015-06-23,84.12,84.3,84.12,84.3,2000.0
2015-06-24,84.49,84.49,84.12,84.12,790.0
2015-06-25,84.67,84.67,83.75,83.75,554.0
2015-06-26,83.94,83.94,83.75,83.75,122.0
2015-06-29,84.88,84.88,84.88,84.88,1300.0
2015-06-30,84.88,84.88,84.88,84.88,600.0
2015-07-01,84.69,84.69,84.69,84.69,1000.0
2015-07-02,84.32,84.32,84.13,84.13,1300.0
2015-07-03,86.01,86.01,84.13,84.13,1129.0
2015-07-06,84.13,84.88,84.13,84.88,452.0
2015-07-07,84.88,84.88,82.63,83.75,636.0
2015-07-08,84.88,84.88,83.94,83.94,7150.0
2015-07-09,84.69,84.88,84.32,84.88,2107.0
2015-07-10,84.88,84.88,84.88,84.88,635.0
2015-07-13,83.75,83.75,83.75,83.75,14419.0
2015-07-14,84.88,84.88,84.88,84.88,397.0
2015-07-15,85.07,85.63,85.07,85.63,953.0
2015-07-16,85.63,86.38,85.63,86.38,222.0
2015-07-17,86.38,86.38,86.38,86.38,0.0
2015-07-20,86.38,86.38,86.38,86.38,504.0
2015-07-21,86.38,86.38,86.38,86.38,11.0
2015-07-22,86.38,86.38,86.01,86.01,303.0
2015-07-23,86.38,86.38,86.38,86.38,317.0
2015-07-24,86.57,86.57,86.57,86.57,10.0
2015-07-27,86.38,87.32,85.63,85.63,946.0
2015-07-28,85.63,85.63,85.63,85.63,0.0
2015-07-29,86.76,87.13,86.76,87.13,112.0
2015-07-30,87.13,87.13,87.13,87.13,4.0
2015-07-31,86.94,86.94,86.94,86.94,8.0
2015-08-03,86.94,86.94,86.94,86.94,0.0
2015-08-05,86.76,86.76,85.25,85.25,11.0
2015-08-06,86.76,87.13,86.01,87.13,117.0
2015-08-07,87.13,87.13,86.38,86.38,106.0
2015-08-10,86.38,86.38,86.38,86.38,20196.0
2015-08-11,87.32,87.32,87.32,87.32,100.0
2015-08-12,86.76,86.76,85.44,85.44,433.0
2015-08-13,85.44,86.19,85.25,86.19,867.0
2015-08-14,86.19,86.19,86.19,86.19,0.0
2015-08-17,86.38,86.38,86.38,86.38,210.0
2015-08-18,85.07,85.63,84.13,84.32,690.0
2015-08-19,84.13,84.13,81.69,83.56,2344.0
2015-08-20,83.75,84.5,83.38,84.5,609.0
2015-08-21,83.38,84.88,83.38,83.38,956.0
2015-08-24,83.94,83.94,78.87,82.44,2039.0
2015-08-25,82.44,84.13,82.44,84.13,1473.0
2015-08-26,82.81,82.81,82.63,82.63,300.0
2015-08-27,84.32,84.32,84.32,84.32,53.0
2015-08-28,84.5,86.01,84.32,86.01,2382.0
2015-08-31,86.19,86.19,84.88,85.07,1053.0
2015-09-01,84.88,86.01,84.88,85.25,3214.0
2015-09-02,85.44,85.44,85.44,85.44,303.0
2015-09-03,85.44,86.01,85.44,86.01,100.0
