Date,Open,High,Low,Close,Volume
2014-12-09,6.99,7.02,6.53,6.55,3116292.0
2014-12-10,6.64,7.02,6.57,6.62,2432410.0
2014-12-11,6.76,6.88,6.6,6.78,7441944.0
2014-12-12,6.88,6.88,6.6,6.64,1882810.0
2014-12-15,6.67,6.67,6.5,6.5,1189185.0
2014-12-16,6.53,6.55,6.2,6.31,1137597.0
2014-12-17,6.31,6.31,6.15,6.22,867315.0
2014-12-18,6.25,6.57,6.25,6.48,904502.0
2014-12-19,6.55,7.03,6.38,6.55,2756879.0
2014-12-22,6.55,6.68,6.42,6.42,2920456.0
2014-12-23,6.38,6.73,6.38,6.6,1009361.0
2014-12-29,6.64,6.86,6.64,6.68,554537.0
2014-12-30,6.68,6.77,6.51,6.64,619287.0
2015-01-02,6.64,6.86,6.64,6.77,567501.0
2015-01-05,6.77,6.86,6.64,6.64,425040.0
2015-01-07,6.64,6.77,6.51,6.73,1279724.0
2015-01-08,6.73,6.9,6.64,6.86,779567.0
2015-01-09,6.81,6.86,6.73,6.77,768548.0
2015-01-12,6.86,6.86,6.77,6.81,477270.0
2015-01-13,6.77,6.81,6.6,6.64,1269633.0
2015-01-14,6.55,6.55,6.29,6.29,764327.0
2015-01-15,6.51,6.51,6.25,6.33,5528563.0
2015-01-16,6.46,6.46,6.29,6.38,2028682.0
2015-01-19,6.42,6.42,6.25,6.33,1216861.0
2015-01-20,6.46,6.6,6.38,6.51,3612267.0
2015-01-21,6.55,6.81,6.51,6.51,6575523.0
2015-01-22,6.55,6.99,6.55,6.81,4473058.0
2015-01-23,6.99,6.99,6.86,6.9,4865504.0
2015-01-26,6.94,7.25,6.9,7.12,2095109.0
2015-01-27,7.16,7.38,7.03,7.03,2032872.0
2015-01-28,7.16,7.34,7.03,7.25,2633581.0
2015-01-29,7.25,7.29,7.12,7.16,2477620.0
2015-01-30,7.16,7.34,7.16,7.21,1383550.0
2015-02-02,7.21,7.43,7.21,7.43,1489317.0
2015-02-03,7.47,7.51,7.34,7.47,1937512.0
2015-02-04,7.47,7.47,7.21,7.21,2262447.0
2015-02-05,7.25,8.04,7.21,7.82,1784255.0
2015-02-06,7.69,8.08,7.6,7.86,2437236.0
2015-02-09,7.86,7.91,7.69,7.86,1831501.0
2015-02-10,7.86,8.12,7.82,8.08,1474769.0
2015-02-11,8.26,8.34,8.08,8.3,2190479.0
2015-02-12,8.26,8.65,8.17,8.52,2659921.0
2015-02-13,8.65,8.74,8.47,8.65,2583964.0
2015-02-16,8.69,8.69,8.47,8.6,1064175.0
2015-02-17,8.56,8.56,8.21,8.3,1360272.0
2015-02-18,8.3,8.39,8.21,8.34,2628970.0
2015-02-19,8.34,8.43,8.17,8.26,1703155.0
2015-02-20,8.21,8.43,8.08,8.39,1172950.0
2015-02-23,8.39,8.65,8.3,8.56,1261838.0
2015-02-24,8.6,9.04,8.56,8.95,2914733.0
2015-02-25,8.95,9.0,8.74,8.87,2260796.0
2015-02-26,8.87,9.13,8.74,9.13,2698185.0
2015-02-27,9.17,9.3,9.04,9.08,2788882.0
2015-03-02,9.08,9.08,8.82,8.82,1409375.0
2015-03-03,8.82,8.95,8.65,8.65,817148.0
2015-03-04,8.52,8.56,8.3,8.52,2525605.0
2015-03-05,8.56,8.69,8.47,8.56,784113.0
2015-03-06,8.56,8.6,7.99,8.04,2348485.0
2015-03-09,8.04,8.17,7.6,7.82,1818374.0
2015-03-10,7.82,8.04,7.47,7.56,2428811.0
2015-03-11,7.47,7.82,7.47,7.64,4590389.0
2015-03-12,7.64,7.77,7.47,7.56,2291167.0
