Date,Open,High,Low,Close,Volume
2010-01-04,38.36,39.34,38.19,39.18,64756.0
2010-01-05,39.34,40.99,39.18,40.83,42363.0
2010-01-07,41.16,41.98,41.16,41.98,83602.0
2010-01-08,42.14,42.64,40.99,41.65,67013.0
2010-01-11,41.98,42.14,41.65,41.65,60782.0
2010-01-12,41.98,41.98,41.16,41.65,137134.0
2010-01-13,41.48,41.65,41.16,41.48,28917.0
2010-01-14,41.32,41.98,41.16,41.32,84370.0
2010-01-15,41.32,41.65,40.83,41.16,39249.0
2010-01-18,41.16,41.32,40.83,41.16,55148.0
2010-01-19,41.16,41.16,40.66,41.16,48114.0
2010-01-20,41.32,41.32,40.99,40.99,25666.0
2010-01-21,40.99,41.32,40.83,41.16,66217.0
2010-01-22,41.16,41.81,40.17,40.83,93075.0
2010-01-25,40.17,41.32,39.67,41.16,48327.0
2010-01-26,40.99,40.99,40.5,40.99,39861.0
2010-01-27,40.66,41.16,40.5,41.16,42016.0
2010-01-28,41.48,41.65,40.17,40.5,77069.0
2010-01-29,40.5,40.99,40.33,40.33,60388.0
2010-02-01,41.32,41.81,40.66,41.16,179665.0
2010-02-02,41.81,43.62,41.81,43.62,183052.0
2010-02-03,43.79,45.44,43.79,44.78,181418.0
2010-02-04,44.78,44.78,42.8,43.46,279790.0
2010-02-05,43.3,43.62,42.14,43.3,130228.0
2010-02-08,43.79,44.28,42.14,43.13,97593.0
2010-02-09,43.3,43.62,42.8,43.46,37834.0
2010-02-10,43.95,44.28,42.8,44.12,79340.0
2010-02-11,44.12,45.93,43.79,45.93,120245.0
2010-02-12,46.09,46.75,44.94,45.44,83493.0
2010-02-15,45.76,45.93,43.79,44.78,50461.0
2010-02-16,45.11,45.11,43.62,44.12,44576.0
2010-02-17,44.28,44.94,44.12,44.78,29692.0
2010-02-18,44.78,44.78,44.28,44.61,13679.0
2010-02-19,44.45,44.45,43.95,44.12,42599.0
2010-02-22,44.12,44.61,44.12,44.45,53693.0
2010-02-23,44.61,45.11,44.45,45.11,30678.0
2010-02-24,45.11,45.27,44.78,44.78,24299.0
2010-02-25,45.27,45.27,44.78,44.94,41143.0
2010-02-26,44.78,45.11,44.28,44.28,39408.0
2010-03-01,44.28,44.61,43.79,43.95,47250.0
2010-03-02,43.62,44.28,43.62,43.95,59970.0
2010-03-03,44.12,44.61,44.12,44.12,64419.0
2010-03-04,43.95,44.45,43.79,44.12,37472.0
2010-03-05,44.45,44.61,44.12,44.45,27851.0
2010-03-08,44.12,44.78,44.12,44.78,65087.0
2010-03-09,44.78,44.94,44.45,44.45,47206.0
2010-03-10,44.78,44.78,44.45,44.45,39299.0
2010-03-11,44.45,44.94,44.45,44.45,33461.0
2010-03-12,44.78,45.44,44.45,44.78,76399.0
2010-03-15,44.78,45.27,44.12,44.45,43295.0
2010-03-16,44.45,44.45,44.12,44.45,22579.0
2010-03-17,44.28,44.45,43.62,44.12,62413.0
2010-03-18,44.12,44.45,43.62,43.95,33408.0
2010-03-19,43.79,44.12,43.46,43.79,40745.0
2010-03-22,43.79,43.79,41.48,43.46,119403.0
2010-03-23,43.3,43.62,42.97,43.62,34696.0
2010-03-24,43.62,43.95,43.13,43.46,58576.0
2010-03-25,43.46,44.12,43.46,43.79,41736.0
2010-03-26,43.79,44.45,43.62,44.45,27371.0
2010-03-29,44.61,44.78,44.12,44.78,37837.0
2010-03-30,45.11,45.11,44.28,44.28,61405.0
2010-03-31,44.12,44.78,43.79,44.12,36742.0
2010-04-01,44.12,44.78,44.12,44.78,26651.0
2010-04-06,44.78,44.78,44.12,44.61,80246.0
2010-04-07,44.12,44.45,43.62,43.95,76590.0
2010-04-08,43.79,44.45,43.62,44.45,43125.0
2010-04-09,44.45,44.45,44.12,44.12,41336.0
2010-04-12,44.12,44.61,44.12,44.61,48120.0
2010-04-13,44.45,44.45,44.12,44.45,30025.0
2010-04-14,43.95,45.76,43.95,45.6,88119.0
2010-04-15,45.6,45.76,45.27,45.6,32795.0
2010-04-16,45.11,45.93,44.94,45.76,48142.0
2010-04-19,45.11,45.76,44.78,45.44,38905.0
2010-04-20,45.44,47.41,45.44,47.25,82901.0
2010-04-21,47.25,47.74,46.75,46.75,106093.0
2010-04-22,46.09,46.75,45.44,46.09,109121.0
2010-04-23,46.6,46.77,46.09,46.6,121625.0
2010-04-26,45.92,46.6,45.92,46.09,96072.0
2010-04-27,46.09,46.09,44.9,45.58,92922.0
2010-04-28,45.41,45.58,44.22,44.39,139930.0
2010-04-29,45.07,45.92,44.9,45.75,37359.0
2010-04-30,45.24,46.26,45.24,46.09,25027.0
2010-05-03,45.92,46.77,45.92,46.77,61131.0
2010-05-04,46.6,46.77,45.24,45.58,36673.0
2010-05-05,44.9,45.41,43.2,44.05,222178.0
2010-05-06,43.37,43.88,41.16,41.67,336817.0
2010-05-07,39.46,39.97,38.1,38.95,258133.0
2010-05-10,39.46,42.18,39.46,42.01,127691.0
2010-05-11,42.01,42.01,40.14,41.84,77681.0
2010-05-12,41.16,43.03,41.16,42.69,27054.0
2010-05-14,42.69,42.69,41.16,42.18,41183.0
2010-05-17,40.31,42.01,40.31,41.5,41898.0
2010-05-18,41.5,42.69,41.5,41.84,17646.0
2010-05-19,41.5,42.35,40.65,41.16,62371.0
2010-05-20,41.16,41.5,40.14,41.16,51000.0
2010-05-21,40.14,46.94,39.8,43.2,255989.0
