Date,Open,High,Low,Close,Volume
2010-08-30,22.58,22.58,18.06,19.19,14283.0
2010-08-31,19.19,19.19,16.63,18.21,6281.0
2010-09-01,17.31,17.61,14.53,14.53,8610.0
2010-09-02,15.13,16.18,15.05,15.05,13639.0
2010-09-03,15.13,16.86,14.83,14.83,19120.0
2010-09-06,14.83,14.83,12.79,13.17,38841.0
2010-09-07,12.64,13.55,12.04,12.79,15971.0
2010-09-08,12.64,15.05,12.42,15.05,19555.0
2010-09-09,15.05,15.65,14.68,14.68,8906.0
2010-09-10,14.98,15.05,14.38,14.38,2527.0
2010-09-13,14.38,14.38,14.0,14.38,6119.0
2010-09-14,14.15,14.53,13.55,14.53,18501.0
2010-09-15,14.6,14.68,14.07,14.45,8450.0
2010-09-16,14.15,14.3,14.07,14.3,2627.0
2010-09-17,14.45,15.28,14.45,14.75,10406.0
2010-09-20,14.53,16.11,14.53,15.58,13060.0
2010-09-21,15.81,18.82,15.81,18.82,57855.0
2010-09-22,18.74,18.74,17.31,17.31,4678.0
2010-09-23,16.93,17.24,16.56,17.24,5316.0
2010-09-24,17.39,17.69,16.86,17.39,18544.0
2010-09-27,17.69,18.82,17.61,18.82,33707.0
2010-09-28,18.82,18.82,18.51,18.59,7729.0
2010-09-29,18.74,18.74,16.93,16.93,21400.0
2010-09-30,17.46,17.69,15.05,16.18,17375.0
2010-10-01,16.56,17.61,16.56,17.61,6274.0
2010-10-04,17.69,17.69,16.93,17.08,9440.0
2010-10-05,17.24,17.24,16.41,16.41,7771.0
2010-10-06,16.41,16.41,15.43,15.81,13677.0
2010-10-07,15.96,17.31,15.96,16.56,22342.0
2010-10-08,16.56,17.31,16.56,16.63,5615.0
2010-10-11,16.93,20.32,16.93,20.32,65176.0
2010-10-12,20.32,20.7,18.89,19.94,22251.0
2010-10-13,20.32,20.4,19.57,19.57,18134.0
2010-10-14,19.34,20.32,19.34,20.32,17473.0
2010-10-15,20.02,21.37,20.02,21.15,43472.0
2010-10-18,21.45,23.26,21.37,21.6,31059.0
2010-10-19,21.6,21.83,21.22,21.22,11667.0
2010-10-20,21.07,21.53,20.7,21.53,16199.0
2010-10-21,21.37,21.53,20.7,21.53,8056.0
2010-10-22,21.45,24.39,21.45,23.71,68677.0
2010-10-25,23.03,23.33,20.7,22.05,38243.0
2010-10-26,21.83,22.35,21.75,22.2,5101.0
