Date,Open,High,Low,Close,Volume
2009-12-03,19.05,19.05,18.91,18.91,6510.0
2009-12-04,18.98,19.05,18.91,19.05,21742.0
2009-12-07,21.13,22.58,20.37,20.44,109017.0
2009-12-08,20.44,20.44,19.74,19.81,27969.0
2009-12-09,19.81,20.09,19.61,19.67,17612.0
2009-12-10,19.74,20.09,19.54,19.74,7855.0
2009-12-11,19.74,20.09,19.4,19.88,13525.0
2009-12-14,19.88,20.02,19.4,19.54,5285.0
2009-12-15,19.47,19.74,19.47,19.61,3280.0
2009-12-16,19.47,19.74,19.47,19.67,4958.0
2009-12-17,19.74,19.74,19.12,19.12,13440.0
2009-12-18,19.12,19.12,18.84,18.91,5350.0
2009-12-21,19.05,19.4,18.84,19.05,5651.0
2009-12-22,18.84,19.05,18.84,18.91,4458.0
2009-12-23,18.91,19.4,18.77,19.05,11019.0
2009-12-28,18.91,19.12,18.57,18.84,18253.0
2009-12-29,18.91,19.05,18.7,18.77,85599.0
2009-12-30,18.64,18.84,18.64,18.64,44904.0
2010-01-04,18.77,19.67,18.77,19.4,23338.0
2010-01-05,19.47,19.74,19.47,19.47,4968.0
2010-01-07,19.54,20.09,19.54,20.09,11834.0
2010-01-08,19.95,20.23,19.95,20.23,11419.0
2010-01-11,20.23,20.37,20.23,20.23,10385.0
2010-01-12,20.23,20.37,19.95,20.3,21635.0
2010-01-13,19.95,20.3,19.95,20.3,3504.0
2010-01-14,20.09,20.64,19.95,20.09,16706.0
2010-01-15,19.95,20.23,19.95,20.23,3975.0
2010-01-18,19.95,20.09,19.74,20.09,5929.0
2010-01-19,20.23,20.58,20.23,20.58,10159.0
2010-01-20,20.58,21.13,20.37,21.06,14083.0
2010-01-21,21.06,21.2,20.64,20.78,9259.0
2010-01-22,20.78,20.85,20.78,20.85,29875.0
2010-01-25,20.78,21.13,20.78,21.13,20871.0
2010-01-26,20.85,21.13,20.64,21.13,10522.0
2010-01-27,21.34,21.48,20.85,21.48,10809.0
2010-01-28,21.48,22.17,21.48,21.82,10888.0
