Date,Open,High,Low,Close,Volume
2009-12-03,61.12,61.58,60.81,61.43,40428.0
2009-12-04,61.58,62.04,61.43,61.58,10484.0
2009-12-07,61.73,62.04,61.43,61.58,8591.0
2009-12-08,62.04,64.04,62.04,62.96,35546.0
2009-12-09,62.96,63.27,61.89,62.04,14721.0
2009-12-10,62.04,62.04,60.97,61.12,21433.0
2009-12-11,61.43,61.73,61.43,61.43,9716.0
2009-12-14,61.73,62.04,60.81,62.04,9765.0
2009-12-15,62.04,62.04,60.35,60.35,19491.0
2009-12-16,60.35,61.43,60.35,60.81,17945.0
2009-12-17,60.81,61.43,60.81,60.81,20900.0
2009-12-18,61.43,62.04,60.97,61.73,12610.0
2009-12-21,61.43,62.04,60.51,60.51,38828.0
2009-12-22,60.35,62.04,60.35,60.51,41828.0
2009-12-23,60.97,61.43,60.51,61.43,10944.0
2009-12-28,61.89,62.35,61.12,61.12,12881.0
2009-12-29,61.43,61.73,60.81,61.73,7320.0
2009-12-30,61.43,61.73,60.66,61.73,22378.0
2010-01-04,61.73,65.11,61.73,64.81,35472.0
2010-01-05,65.27,65.73,64.81,65.11,19883.0
2010-01-07,65.88,68.95,65.88,68.8,51267.0
2010-01-08,69.41,71.26,69.11,69.41,62283.0
2010-01-11,70.64,71.26,69.41,69.41,73473.0
2010-01-12,70.03,70.18,66.5,67.88,75645.0
2010-01-13,67.88,70.03,67.88,69.41,31708.0
2010-01-14,70.49,70.95,69.41,70.95,46489.0
2010-01-15,70.95,72.02,70.8,71.1,21522.0
2010-01-18,71.87,72.48,71.1,71.26,29754.0
2010-01-19,71.1,73.1,69.41,73.1,19562.0
2010-01-20,72.95,72.95,71.26,71.41,34605.0
2010-01-21,72.64,72.64,70.64,71.26,38953.0
2010-01-22,71.26,72.48,69.57,69.57,58745.0
2010-01-25,69.87,70.03,68.8,69.26,26819.0
2010-01-26,70.18,70.18,68.34,68.49,16330.0
2010-01-27,68.18,68.8,68.03,68.65,9211.0
2010-01-28,69.11,69.26,68.49,69.11,10107.0
2010-01-29,69.11,70.33,68.8,70.33,9232.0
2010-02-01,70.33,70.33,68.95,69.41,8378.0
2010-02-02,69.87,70.03,68.95,69.11,11906.0
2010-02-03,69.72,69.72,68.34,68.49,25488.0
2010-02-04,68.49,68.8,67.88,68.65,14166.0
2010-02-05,67.88,68.03,67.42,67.57,20896.0
2010-02-08,66.96,67.26,64.19,64.5,27406.0
2010-02-09,64.35,64.35,62.35,63.58,60605.0
2010-02-10,63.73,64.04,63.27,63.88,31581.0
2010-02-11,64.19,64.5,63.27,63.73,13275.0
2010-02-12,64.5,65.42,63.27,64.04,26974.0
2010-02-15,63.58,63.58,61.43,62.66,24612.0
2010-02-16,62.66,64.81,62.2,64.81,18049.0
2010-02-17,64.81,66.65,64.81,66.65,9145.0
2010-02-18,67.72,68.8,66.65,68.8,36119.0
2010-02-19,68.8,71.26,68.18,70.64,37000.0
2010-02-22,70.8,71.87,69.41,70.95,57613.0
2010-02-23,69.57,70.49,68.95,69.26,18436.0
2010-02-24,70.99,70.99,68.63,69.73,36661.0
2010-02-25,69.26,69.26,66.74,66.74,12883.0
2010-02-26,66.74,68.0,66.74,68.0,8266.0
2010-03-01,66.9,68.95,66.9,68.0,23704.0
2010-03-02,66.74,67.37,66.74,67.06,13426.0
2010-03-03,67.06,67.69,67.06,67.37,11641.0
2010-03-04,68.0,68.95,68.0,68.79,7619.0
2010-03-05,68.63,69.1,67.84,67.84,9518.0
2010-03-08,67.53,68.79,67.53,68.63,8059.0
2010-03-09,68.63,68.63,67.21,67.53,8070.0
2010-03-10,67.53,68.16,67.37,67.84,14502.0
2010-03-11,67.37,68.0,66.27,66.27,16109.0
2010-03-12,66.27,69.42,66.27,67.37,48628.0
2010-03-15,67.37,67.37,66.58,66.58,6816.0
2010-03-16,67.06,68.0,66.58,67.37,8885.0
2010-03-17,67.37,67.84,66.74,67.37,12602.0
2010-03-18,67.37,67.84,66.11,66.27,24148.0
2010-03-19,67.06,68.0,67.06,68.0,12634.0
2010-03-22,68.47,68.47,67.53,68.32,16482.0
2010-03-23,68.32,70.52,68.32,70.52,39997.0
2010-03-24,70.52,70.52,68.79,69.26,7400.0
2010-03-25,69.73,70.52,69.26,70.52,10159.0
2010-03-26,70.36,70.52,69.26,69.26,6410.0
2010-03-29,69.26,69.26,68.16,68.95,10657.0
2010-03-30,68.32,68.79,67.84,68.47,9956.0
2010-03-31,67.69,68.0,67.37,67.84,8077.0
2010-04-01,67.69,68.0,67.21,68.0,4054.0
2010-04-06,67.53,67.84,67.06,67.84,28009.0
2010-04-07,68.16,68.79,67.69,68.0,11411.0
2010-04-08,68.32,68.63,67.69,68.63,6820.0
2010-04-09,68.32,69.26,68.32,68.63,12441.0
2010-04-12,68.63,70.2,68.63,70.05,12241.0
2010-04-13,70.52,70.52,68.0,68.63,13338.0
2010-04-14,68.63,68.63,66.74,66.74,33326.0
2010-04-15,66.74,66.74,65.48,66.43,29611.0
