Date,Open,High,Low,Close,Volume
2016-03-17,41.74,42.67,33.58,34.04,11882595.0
2016-03-18,34.32,36.08,34.32,35.25,1910682.0
2016-03-21,35.62,35.62,34.32,34.97,1081935.0
2016-03-22,34.41,34.6,33.48,34.6,707069.0
2016-03-23,34.6,35.25,34.04,35.25,449092.0
2016-03-24,35.25,35.25,34.6,34.97,159895.0
2016-03-29,35.25,35.25,33.76,34.78,193779.0
2016-03-30,34.78,34.78,33.76,34.32,326465.0
2016-03-31,34.32,34.41,33.76,34.41,357882.0
2016-04-01,34.5,35.15,34.23,34.69,373483.0
2016-04-04,34.32,35.25,34.32,35.25,258071.0
2016-04-05,35.15,35.15,33.86,34.5,809256.0
2016-04-06,34.6,34.69,33.76,33.76,166680.0
2016-04-07,33.86,34.13,33.02,33.21,257621.0
2016-04-08,33.21,33.58,32.83,33.21,226500.0
2016-04-11,33.21,33.3,32.46,32.83,286134.0
2016-04-12,32.46,32.74,31.54,32.19,652479.0
2016-04-13,32.28,32.93,31.81,32.83,215239.0
2016-04-14,32.93,33.21,32.56,33.02,173252.0
2016-04-15,33.21,33.76,32.56,32.56,206762.0
2016-04-18,32.56,32.56,31.91,32.19,150686.0
2016-04-19,32.19,32.56,31.81,31.91,250475.0
2016-04-20,31.63,32.65,31.63,32.19,235160.0
2016-04-21,32.46,32.46,31.17,32.46,317315.0
2016-04-22,32.46,32.46,31.54,32.19,227208.0
2016-04-25,32.37,32.37,31.07,31.54,209869.0
2016-04-26,31.26,31.72,31.17,31.54,105054.0
2016-04-27,32.46,32.93,32.09,32.28,1214959.0
2016-04-28,32.46,33.58,32.0,33.11,353222.0
2016-04-29,33.11,33.67,32.46,33.58,173257.0
2016-05-02,33.76,34.23,33.21,34.13,381624.0
2016-05-03,34.23,34.41,33.86,34.04,139355.0
2016-05-04,33.86,34.23,33.58,33.95,55121.0
2016-05-06,33.95,34.13,33.11,33.48,34431.0
2016-05-09,34.69,34.88,34.04,34.04,255339.0
2016-05-10,34.41,34.69,34.04,34.32,179038.0
2016-05-11,34.78,35.43,34.13,35.15,753606.0
2016-05-12,35.15,36.17,34.6,35.99,412371.0
2016-05-13,35.99,36.73,35.71,36.73,217963.0
2016-05-16,35.52,36.17,35.25,35.71,372765.0
2016-05-17,35.71,35.71,34.6,34.88,205886.0
2016-05-18,34.32,34.5,33.58,33.76,282058.0
2016-05-19,33.48,34.13,33.3,33.95,204682.0
2016-05-20,33.95,33.95,33.48,33.86,78425.0
2016-05-23,33.86,33.86,33.21,33.39,95353.0
2016-05-24,33.3,33.67,33.02,33.48,84277.0
2016-05-25,33.48,34.32,33.02,33.86,246431.0
2016-05-26,33.86,33.95,33.58,33.76,132039.0
2016-05-27,33.48,34.32,33.48,33.86,104092.0
2016-05-30,33.86,33.95,33.39,33.67,59794.0
2016-05-31,33.3,33.48,32.93,33.48,108920.0
2016-06-01,33.39,33.48,32.56,33.02,53179.0
2016-06-02,33.02,33.48,33.02,33.21,127796.0
2016-06-03,33.21,33.21,32.28,32.46,198915.0
2016-06-07,32.46,32.46,31.63,32.09,288381.0
2016-06-08,31.63,32.37,31.63,32.28,183761.0
2016-06-09,32.19,32.37,31.54,32.0,101703.0
2016-06-10,32.0,32.0,31.07,31.54,78174.0
2016-06-13,31.07,31.35,30.52,30.89,72996.0
2016-06-14,30.89,31.17,29.68,30.33,117283.0
2016-06-15,29.87,31.07,29.87,31.07,196182.0
2016-06-16,30.15,30.33,28.94,29.68,114066.0
2016-06-17,30.15,30.52,29.03,29.5,198814.0
2016-06-20,29.87,30.7,29.77,30.42,188046.0
2016-06-21,30.52,30.89,29.96,30.24,45743.0
2016-06-22,30.24,30.98,29.77,30.42,58521.0
2016-06-23,29.96,31.07,29.96,30.89,89019.0
2016-06-27,28.29,29.59,27.92,28.48,274068.0
2016-06-28,28.94,29.4,28.1,28.48,228131.0
2016-06-29,28.57,29.68,28.57,29.22,96257.0
2016-06-30,29.22,30.52,29.22,29.87,70047.0
2016-07-01,29.96,30.61,29.96,30.52,260682.0
2016-07-04,30.61,30.79,30.05,30.7,1718360.0
2016-07-05,30.15,30.61,30.15,30.24,34301.0
2016-07-06,30.24,30.7,29.68,30.61,104610.0
2016-07-07,30.61,30.7,29.96,30.33,67783.0
2016-07-08,30.89,31.17,30.24,30.7,106810.0
2016-07-11,30.61,31.26,30.15,30.24,474675.0
2016-07-12,29.77,30.52,29.77,30.33,34319.0
2016-07-13,30.05,31.07,29.87,30.33,30722.0
2016-07-14,30.33,30.61,30.15,30.61,23638.0
2016-07-15,30.79,30.79,29.68,30.7,258383.0
2016-07-18,30.98,31.26,30.24,31.17,47595.0
2016-07-19,30.79,31.35,30.79,31.17,365441.0
2016-07-20,30.79,31.81,30.79,31.81,45183.0
2016-07-21,31.35,31.81,31.35,31.72,33551.0
2016-07-22,32.0,32.28,31.54,32.09,62234.0
2016-07-25,32.09,32.93,31.72,32.56,98131.0
2016-07-26,31.63,33.39,31.63,33.02,63386.0
2016-07-27,32.0,33.02,31.91,32.83,92778.0
2016-07-28,32.74,32.74,31.91,32.46,36642.0
2016-07-29,31.91,32.37,31.81,32.28,59621.0
2016-08-01,32.37,32.56,32.09,32.37,63696.0
2016-08-02,32.28,32.65,32.0,32.65,59537.0
2016-08-03,32.65,32.74,32.28,32.74,34406.0
2016-08-04,32.74,32.74,32.0,32.65,64303.0
2016-08-05,32.46,32.65,32.19,32.46,16545.0
2016-08-08,32.56,33.39,32.09,32.65,102345.0
2016-08-09,32.46,32.74,32.28,32.56,81791.0
2016-08-10,30.89,32.0,29.77,30.24,733310.0
2016-08-11,30.52,30.61,29.22,30.24,629565.0
2016-08-12,30.52,30.7,30.15,30.52,373430.0
2016-08-15,30.61,30.89,30.61,30.79,200441.0
2016-08-16,30.79,30.79,29.31,29.4,85586.0
2016-08-17,29.4,29.77,28.75,28.94,69090.0
2016-08-18,28.94,30.15,28.66,29.5,366576.0
2016-08-19,29.77,29.96,29.22,29.68,232447.0
2016-08-22,29.68,29.96,29.31,29.68,140764.0
2016-08-23,29.68,30.05,29.4,30.05,75439.0
2016-08-24,30.24,30.24,29.31,29.68,70473.0
2016-08-25,29.68,29.68,28.94,29.4,74305.0
2016-08-26,29.31,29.31,28.85,29.12,59616.0
2016-08-29,29.68,29.68,28.85,29.31,51329.0
2016-08-30,29.31,29.31,28.85,28.94,44275.0
2016-08-31,28.94,28.94,28.38,28.48,76773.0
2016-09-01,28.48,29.03,28.48,28.75,60276.0
2016-09-02,28.75,28.75,27.92,28.2,168440.0
2016-09-05,28.01,28.38,28.01,28.29,50607.0
2016-09-06,28.29,28.48,27.92,28.38,145978.0
2016-09-07,28.48,28.94,28.38,28.66,104864.0
2016-09-08,28.75,28.75,28.29,28.48,37595.0
2016-09-09,28.1,28.48,28.01,28.01,59676.0
2016-09-12,27.83,27.83,27.08,27.46,108492.0
2016-09-13,26.99,27.46,25.88,26.34,652611.0
2016-09-14,26.06,26.99,26.06,26.99,170823.0
2016-09-15,26.99,27.27,26.62,27.08,214677.0
2016-09-16,27.08,27.18,25.97,26.62,205573.0
2016-09-19,26.62,26.9,25.97,26.34,231929.0
2016-09-20,26.34,27.18,26.34,26.71,337438.0
2016-09-21,26.9,28.01,26.81,27.73,677709.0
2016-09-22,28.29,28.66,27.64,28.38,247737.0
2016-09-23,28.1,28.94,27.55,28.75,245965.0
2016-09-26,29.59,29.59,28.01,28.94,517331.0
2016-09-27,28.75,29.87,28.75,29.77,374299.0
2016-09-28,30.15,30.52,29.77,30.42,369981.0
2016-09-29,30.61,30.89,29.5,30.15,180430.0
2016-09-30,30.15,30.33,29.31,30.33,358020.0
2016-10-03,30.52,30.7,29.22,29.68,123129.0
2016-10-04,29.68,30.98,29.59,30.42,1083474.0
2016-10-05,31.44,31.81,30.79,31.26,479771.0
2016-10-06,31.44,31.81,31.17,31.35,153266.0
2016-10-07,31.35,31.54,30.79,31.17,186528.0
2016-10-10,31.54,31.54,30.79,31.07,63225.0
2016-10-11,31.07,31.26,30.79,31.17,77472.0
2016-10-12,31.17,31.17,30.7,30.89,90243.0
2016-10-13,30.61,30.79,30.24,30.52,58363.0
2016-10-14,30.52,31.07,30.52,30.98,40107.0
2016-10-17,30.79,30.98,30.79,30.79,45260.0
