Date,Open,High,Low,Close,Volume
2014-07-31,12.25,13.24,9.87,10.44,357492.0
2014-08-01,10.77,10.77,9.68,9.83,104362.0
2014-08-04,9.87,9.97,9.26,9.3,30832.0
2014-08-05,9.3,9.49,9.3,9.4,73613.0
2014-08-06,9.4,9.49,9.4,9.45,14937.0
2014-08-07,9.45,9.49,9.16,9.49,29560.0
2014-08-08,9.49,9.49,9.02,9.4,33722.0
2014-08-11,9.4,9.64,9.26,9.49,45291.0
2014-08-12,9.49,10.77,9.49,10.02,164538.0
2014-08-13,10.44,10.96,9.97,10.06,311501.0
2014-08-14,10.39,10.39,9.64,9.97,64423.0
2014-08-15,10.02,10.02,9.16,9.35,72765.0
2014-08-18,9.21,9.21,8.5,8.78,63893.0
2014-08-19,8.92,9.49,8.83,9.49,25715.0
2014-08-20,9.49,9.49,9.02,9.07,29138.0
2014-08-21,9.45,9.45,8.78,8.97,48900.0
2014-08-22,9.49,9.49,8.59,8.78,52635.0
2014-08-25,8.78,9.35,8.78,9.3,72382.0
2014-08-26,9.21,9.21,8.73,9.16,46982.0
2014-08-27,8.88,9.35,8.88,9.35,32205.0
2014-08-28,9.4,9.49,8.97,9.16,44608.0
2014-08-29,9.21,9.3,8.97,9.21,28243.0
2014-09-01,9.3,9.4,8.97,9.16,17791.0
2014-09-02,9.02,9.26,9.02,9.26,5296.0
2014-09-03,9.16,9.26,8.92,8.92,8654.0
2014-09-04,9.26,9.26,8.88,9.02,16845.0
2014-09-05,8.88,8.88,8.73,8.88,25285.0
2014-09-08,8.88,8.97,8.64,8.78,30275.0
2014-09-09,8.69,8.69,8.45,8.69,13431.0
2014-09-10,8.69,8.78,8.5,8.59,26756.0
2014-09-11,8.59,8.59,8.54,8.54,8480.0
2014-09-12,8.54,8.73,8.35,8.45,34068.0
2014-09-15,8.26,8.92,8.26,8.54,26343.0
2014-09-16,8.4,8.69,8.35,8.69,15085.0
2014-09-17,8.54,8.73,8.31,8.73,16503.0
2014-09-18,8.88,9.21,8.64,9.21,28398.0
2014-09-19,9.21,9.21,8.73,8.92,12514.0
2014-09-22,8.97,9.16,8.64,9.02,17833.0
2014-09-23,9.02,9.11,8.73,9.11,26674.0
2014-09-24,9.11,9.11,8.97,9.02,18487.0
2014-09-25,9.02,9.02,8.45,8.45,36543.0
2014-09-26,8.45,8.92,8.31,8.92,25458.0
2014-09-29,8.5,8.54,8.45,8.54,33446.0
2014-09-30,8.5,8.88,8.26,8.4,38723.0
2014-10-01,8.4,8.73,8.16,8.26,19120.0
2014-10-02,8.16,8.4,7.83,8.07,40140.0
2014-10-03,7.93,8.21,7.93,8.21,30981.0
2014-10-06,7.97,8.35,7.83,7.93,13669.0
2014-10-07,7.78,7.93,7.12,7.59,31686.0
2014-10-08,7.12,7.5,6.93,7.21,59910.0
2014-10-09,7.21,7.31,6.65,6.83,54655.0
2014-10-10,6.74,7.74,6.65,7.74,59551.0
2014-10-13,6.83,7.31,6.69,6.88,8559.0
2014-10-14,6.98,7.07,6.98,7.07,1896.0
2014-10-15,6.93,6.98,6.88,6.88,3125.0
2014-10-16,6.79,6.83,6.5,6.5,39377.0
2014-10-17,6.6,6.69,6.6,6.65,9286.0
2014-10-20,6.88,6.88,6.65,6.65,13043.0
2014-10-21,6.69,6.93,6.69,6.83,13907.0
2014-10-22,6.93,7.02,6.83,6.83,6837.0
2014-10-23,6.74,6.79,6.69,6.79,3266.0
2014-10-24,6.79,7.17,6.79,7.17,7195.0
2014-10-27,7.4,8.54,7.21,7.88,18728.0
2014-10-28,7.97,8.5,7.69,8.4,30691.0
2014-10-29,8.26,8.54,8.02,8.02,14446.0
2014-10-30,8.16,8.31,8.07,8.31,9805.0
2014-10-31,8.35,8.35,8.21,8.21,10534.0
2014-11-03,8.12,8.5,7.93,8.02,13202.0
2014-11-04,7.93,8.16,7.93,8.16,5873.0
2014-11-05,8.12,8.12,7.69,7.69,27989.0
2014-11-06,7.69,8.12,7.59,7.83,11827.0
2014-11-07,7.97,7.97,7.55,7.55,6020.0
2014-11-10,7.74,8.5,7.74,8.5,17388.0
2014-11-11,8.45,8.45,7.78,8.12,18342.0
2014-11-12,8.4,8.4,7.64,7.97,17045.0
2014-11-13,7.78,7.83,7.69,7.83,5151.0
2014-11-14,7.59,7.78,7.36,7.78,12992.0
2014-11-17,7.88,8.02,7.78,7.78,11377.0
2014-11-18,7.78,7.93,7.59,7.59,18557.0
2014-11-19,7.59,7.88,7.59,7.59,12026.0
2014-11-20,7.59,7.59,7.59,7.59,0.0
2014-11-21,7.55,7.69,7.4,7.59,29756.0
2014-11-24,7.74,7.78,7.64,7.64,13709.0
2014-11-25,7.69,7.69,7.55,7.55,8870.0
2014-11-26,7.4,7.59,7.4,7.5,6268.0
2014-11-27,7.5,7.5,7.31,7.31,6953.0
2014-11-28,7.07,7.07,6.65,6.88,41513.0
2014-12-01,6.83,6.83,6.6,6.6,15955.0
2014-12-02,6.65,6.65,6.22,6.65,17507.0
2014-12-03,6.55,6.74,6.55,6.69,4397.0
2014-12-04,6.69,6.79,6.69,6.79,3160.0
2014-12-05,6.83,6.83,6.69,6.69,2770.0
2014-12-08,6.65,6.65,6.31,6.36,14032.0
2014-12-09,6.65,6.65,6.36,6.5,43730.0
2014-12-10,6.65,7.55,6.6,6.74,13363.0
2014-12-11,6.65,6.65,6.5,6.5,5794.0
2014-12-12,6.41,6.74,6.41,6.74,26214.0
2014-12-15,6.74,6.74,6.22,6.41,27662.0
2014-12-16,6.31,6.31,6.08,6.12,46541.0
2014-12-17,6.08,6.31,6.08,6.31,24361.0
2014-12-18,6.17,6.41,6.08,6.41,81285.0
2014-12-19,6.08,6.5,6.03,6.03,48821.0
2014-12-22,6.03,6.03,5.79,5.89,125860.0
2014-12-23,5.84,6.27,5.79,6.27,64326.0
2014-12-29,6.12,6.31,5.93,6.12,38237.0
2014-12-30,6.12,6.41,5.89,5.98,34558.0
2015-01-02,6.12,6.65,6.12,6.41,23866.0
2015-01-05,6.36,6.93,6.12,6.93,26649.0
2015-01-07,6.46,6.74,6.31,6.36,61325.0
2015-01-08,6.46,6.5,6.17,6.5,24186.0
2015-01-09,6.5,6.88,6.22,6.31,47505.0
2015-01-12,6.27,6.41,6.08,6.12,25544.0
2015-01-13,6.22,6.88,6.22,6.5,17056.0
2015-01-14,7.12,7.12,6.5,6.6,44918.0
2015-01-15,6.69,6.98,6.55,6.69,31493.0
2015-01-16,6.6,7.59,6.55,7.5,41073.0
2015-01-19,7.78,7.83,7.21,7.5,36858.0
2015-01-20,7.59,8.69,7.59,8.59,105070.0
2015-01-21,8.59,8.64,7.97,8.07,27533.0
2015-01-22,8.02,8.21,7.78,8.02,29029.0
2015-01-23,8.26,8.26,7.93,7.93,40841.0
2015-01-26,7.78,8.07,7.64,7.83,22907.0
2015-01-27,7.97,8.07,7.69,7.69,15074.0
2015-01-28,7.93,8.07,7.59,7.93,17356.0
2015-01-29,7.74,8.07,7.74,8.07,7695.0
2015-01-30,7.97,8.02,7.74,7.78,11928.0
2015-02-02,7.97,8.02,7.83,7.97,5479.0
