Date,Open,High,Low,Close,Volume
2014-11-21,102.91,118.34,99.16,115.07,4239774.0
2014-11-24,116.24,118.81,111.33,117.87,719945.0
2014-11-25,119.75,120.45,112.26,112.26,538160.0
2014-11-26,113.43,114.6,112.26,112.73,161736.0
2014-11-27,113.66,113.9,112.03,112.26,361517.0
2014-11-28,111.79,113.43,111.56,112.26,100727.0
2014-12-01,113.2,113.9,112.26,113.43,72328.0
2014-12-02,114.13,115.54,113.66,115.54,131413.0
2014-12-03,115.54,119.98,115.54,119.98,153754.0
2014-12-04,121.38,121.38,117.41,117.87,254586.0
2014-12-05,118.11,122.79,118.11,121.38,99607.0
2014-12-08,122.32,124.42,121.15,123.95,126920.0
2014-12-09,123.95,124.19,121.62,123.95,44361.0
2014-12-10,124.42,124.89,123.95,124.42,128460.0
2014-12-11,124.42,126.06,123.02,123.72,250506.0
2014-12-12,124.19,126.29,122.79,124.19,177630.0
2014-12-15,124.19,125.83,123.25,123.49,22963.0
2014-12-16,123.49,124.42,121.62,123.72,224360.0
2014-12-17,123.49,125.83,121.62,123.95,37851.0
2014-12-18,126.29,127.23,125.12,126.53,39017.0
2014-12-19,127.46,128.16,125.12,126.29,605348.0
2014-12-22,126.29,126.53,122.32,122.55,49003.0
2014-12-23,122.79,124.89,122.79,124.19,75684.0
2014-12-29,124.42,126.29,123.49,124.42,19955.0
2014-12-30,124.42,127.0,124.42,125.83,64481.0
2015-01-02,127.23,130.97,125.55,129.1,26823.0
2015-01-05,131.06,137.99,130.04,132.84,35229.0
2015-01-07,134.71,135.65,131.06,132.37,59709.0
2015-01-08,133.78,133.78,131.44,133.31,34082.0
2015-01-09,133.31,133.68,129.1,129.1,33613.0
2015-01-12,130.04,130.5,125.17,126.29,40314.0
2015-01-13,125.36,125.83,120.68,124.42,172052.0
2015-01-14,123.49,124.42,121.71,122.65,61852.0
2015-01-15,122.65,123.3,121.62,122.55,60329.0
2015-01-16,122.55,123.49,119.18,119.37,81939.0
2015-01-19,119.75,122.46,119.75,121.15,15743.0
2015-01-20,123.77,124.89,122.55,122.55,97398.0
2015-01-21,122.55,122.55,121.34,121.62,149588.0
2015-01-22,121.8,123.02,120.68,121.9,478025.0
2015-01-23,121.8,122.83,120.77,120.77,614688.0
2015-01-26,122.74,123.49,122.08,122.55,134677.0
2015-01-27,123.02,125.36,122.08,123.21,137791.0
2015-01-28,123.49,128.16,123.02,127.6,206452.0
2015-01-29,125.73,129.19,125.73,128.16,43381.0
2015-01-30,128.26,130.22,125.83,126.95,150051.0
2015-02-02,127.23,129.1,126.29,126.48,29510.0
2015-02-03,127.7,128.16,126.48,127.79,38032.0
2015-02-04,129.1,129.1,126.76,127.7,25811.0
2015-02-05,127.7,128.16,126.76,127.32,51959.0
2015-02-06,128.07,130.22,126.29,129.76,56867.0
2015-02-09,129.76,130.5,127.14,128.63,50292.0
2015-02-10,128.63,134.53,128.63,133.31,42759.0
2015-02-11,133.31,133.78,130.5,131.81,102665.0
2015-02-12,130.04,134.71,130.04,132.56,31512.0
2015-02-13,132.56,134.43,131.53,134.15,142600.0
2015-02-16,134.15,134.15,130.78,130.78,99894.0
2015-02-17,130.04,130.04,126.29,127.04,97803.0
2015-02-18,126.95,130.41,126.29,129.76,97706.0
2015-02-19,130.04,130.04,128.16,129.1,31355.0
2015-02-20,133.78,133.78,128.63,129.57,109705.0
2015-02-23,130.97,135.56,130.97,135.56,628702.0
2015-02-24,135.65,146.87,133.78,146.22,100184.0
2015-02-25,145.0,145.94,140.89,144.07,124418.0
2015-02-26,144.07,147.72,142.95,144.91,56402.0
2015-02-27,145.66,147.9,143.13,143.23,33338.0
2015-03-02,143.32,145.75,143.13,145.75,73345.0
2015-03-03,146.5,147.62,142.1,142.1,42694.0
2015-03-04,143.13,143.32,135.65,138.46,79393.0
2015-03-05,140.33,141.54,138.46,141.54,183871.0
2015-03-06,141.54,141.54,137.05,139.77,24807.0
2015-03-09,139.39,140.14,137.24,139.48,63474.0
2015-03-10,139.48,139.48,136.4,136.58,29618.0
2015-03-11,136.12,138.46,135.65,138.08,32677.0
2015-03-12,138.46,140.23,138.27,138.46,15080.0
2015-03-13,138.46,141.26,138.46,141.26,38320.0
2015-03-16,142.01,143.13,137.61,139.02,14681.0
2015-03-17,139.02,141.73,137.61,139.39,111515.0
2015-03-18,139.39,143.23,138.17,140.05,58572.0
2015-03-19,140.05,143.13,140.05,142.29,13457.0
2015-03-20,142.29,145.0,142.29,145.0,16098.0
2015-03-23,144.35,144.35,141.54,143.13,42555.0
2015-03-24,142.67,143.51,141.07,143.51,22531.0
2015-03-25,143.41,144.63,142.29,143.13,15685.0
2015-03-26,141.26,144.07,140.33,141.45,15741.0
2015-03-27,141.26,141.64,140.51,140.61,32209.0
2015-03-30,143.13,143.13,140.98,141.45,24410.0
2015-03-31,142.1,143.6,141.82,142.29,25198.0
2015-04-01,142.2,143.6,142.2,142.76,62638.0
2015-04-02,142.2,143.6,142.2,143.6,9500.0
2015-04-07,143.6,143.6,142.01,142.76,15339.0
2015-04-08,141.45,143.97,141.36,143.97,11861.0
2015-04-09,143.41,143.97,142.67,143.23,14487.0
2015-04-10,142.95,144.91,142.95,144.54,33276.0
