Date,Open,High,Low,Close,Volume
2018-12-06,74.41,79.38,71.43,74.41,344665.0
2018-12-07,74.41,76.39,73.06,74.96,84677.0
2018-12-10,77.39,78.38,74.92,78.38,39276.0
2018-12-11,78.87,78.87,75.76,75.97,14101.0
2018-12-12,78.18,78.77,76.64,77.88,24147.0
2018-12-13,77.88,78.85,76.93,78.38,6496.0
2018-12-14,78.87,79.37,77.98,79.14,11144.0
2018-12-17,79.39,80.84,77.41,78.36,13902.0
2018-12-18,77.41,79.37,77.41,77.43,10140.0
2018-12-19,77.42,79.16,76.89,77.4,1257.0
2018-12-20,77.41,77.41,76.89,76.89,1373.0
2018-12-21,76.65,76.65,73.45,75.38,3550.0
2018-12-27,75.05,76.38,73.94,74.16,3209.0
2018-12-28,74.16,79.37,74.16,78.38,9510.0
2019-01-02,84.28,84.28,76.39,78.87,5414.0
2019-01-03,79.38,79.38,78.87,78.87,1072.0
2019-01-04,80.35,81.35,77.39,80.35,36250.0
2019-01-07,80.35,81.35,77.88,79.37,61544.0
2019-01-08,79.87,81.35,76.39,76.39,5971.0
2019-01-09,76.94,78.38,71.49,75.6,12197.0
2019-01-10,75.4,76.89,75.4,76.1,1352.0
2019-01-11,76.39,76.93,76.39,76.49,2490.0
2019-01-14,76.49,76.6,76.39,76.39,1050.0
2019-01-15,73.67,76.89,73.67,76.89,13524.0
2019-01-16,76.39,77.36,75.4,76.2,6630.0
2019-01-17,77.36,77.36,76.39,76.4,4351.0
2019-01-18,77.36,79.37,76.4,79.37,4983.0
2019-01-21,84.28,84.83,79.38,81.35,21827.0
2019-01-22,81.85,81.85,80.36,81.24,51410.0
2019-01-23,83.82,83.82,79.37,80.36,7209.0
2019-01-24,83.44,83.44,80.57,82.84,2211.0
2019-01-25,82.84,82.84,82.35,82.35,7375.0
2019-01-28,82.83,82.83,80.47,82.3,7389.0
2019-01-29,82.3,82.37,81.05,82.37,1697.0
2019-01-30,82.37,82.37,81.35,81.35,45.0
2019-01-31,82.37,82.53,79.37,79.37,4221.0
2019-02-01,79.37,79.87,74.5,79.87,1298.0
2019-02-04,80.36,84.32,80.36,82.3,25073.0
2019-02-05,82.83,82.83,81.35,82.3,3018.0
2019-02-06,82.83,84.33,82.83,84.08,27845.0
2019-02-07,84.08,84.33,83.34,83.34,14506.0
2019-02-08,83.34,84.83,83.34,84.33,31508.0
2019-02-11,86.31,87.79,83.31,83.32,15837.0
2019-02-12,83.32,84.33,78.97,81.47,12886.0
2019-02-13,84.33,89.29,83.34,85.82,15900.0
2019-02-14,85.82,90.27,85.82,89.29,33086.0
2019-02-15,90.28,94.25,88.31,93.7,10714.0
2019-02-18,96.25,109.13,94.31,98.22,24242.0
2019-02-19,103.18,108.14,99.71,100.9,22007.0
2019-02-20,102.19,104.15,94.25,99.57,10945.0
2019-02-21,99.57,103.16,98.22,98.91,9325.0
2019-02-22,98.91,101.14,97.13,98.22,16893.0
2019-02-25,98.68,102.19,96.24,96.73,30769.0
2019-02-26,96.73,100.9,96.73,98.02,4432.0
2019-02-27,100.2,100.2,97.23,98.12,1727.0
2019-02-28,100.2,110.62,99.21,100.24,5602.0
2019-03-01,100.24,103.16,99.21,99.21,5640.0
2019-03-04,105.17,105.17,100.22,101.2,8521.0
2019-03-05,103.18,114.09,101.91,107.15,37673.0
2019-03-06,107.13,109.13,105.19,108.24,9413.0
2019-03-07,107.33,111.89,106.16,108.14,11116.0
2019-03-08,108.14,108.14,105.66,106.16,8169.0
2019-03-11,106.18,114.07,106.18,108.44,8666.0
2019-03-12,108.46,110.46,107.15,107.15,8482.0
2019-03-13,107.96,111.53,107.96,110.3,4225.0
2019-03-14,110.3,110.66,108.16,110.05,1960.0
2019-03-15,110.05,110.13,108.18,108.94,39698.0
2019-03-18,109.15,109.15,108.54,108.54,9942.0
2019-03-19,108.54,110.11,108.14,110.01,28123.0
2019-03-20,109.99,110.01,107.15,109.17,13782.0
2019-03-21,109.17,114.07,109.15,109.55,3847.0
2019-03-22,110.88,113.08,109.13,109.63,2393.0
2019-03-25,111.12,111.12,102.19,108.14,2854.0
2019-03-26,108.14,109.11,104.17,107.63,16311.0
2019-03-27,107.63,110.13,102.19,107.15,4005.0
2019-03-28,108.62,108.62,99.61,101.63,2532.0
2019-03-29,103.44,103.44,96.24,101.2,6565.0
2019-04-01,100.4,106.75,99.21,106.36,48643.0
2019-04-02,106.16,112.11,106.16,112.11,9539.0
2019-04-03,112.11,112.11,110.13,112.11,4700.0
2019-04-04,113.1,119.06,113.1,118.06,5969.0
