Date,Open,High,Low,Close,Volume
2015-07-02,76.91,76.91,76.91,76.91,150.0
2015-07-03,78.42,78.42,78.42,78.42,151.0
2015-07-06,79.92,81.43,79.92,81.43,158.0
2015-07-07,81.43,81.43,81.43,81.43,0.0
2015-07-08,81.43,83.13,81.43,83.13,312.0
2015-07-09,81.62,81.62,80.11,80.11,148.0
2015-07-10,80.11,80.11,80.11,80.11,0.0
2015-08-28,83.32,83.32,83.32,83.32,20.0
2015-08-31,83.32,83.32,83.32,83.32,0.0
2015-09-07,83.32,83.32,83.32,83.32,6.0
2015-09-08,83.32,83.32,83.32,83.32,10.0
2015-09-25,79.74,79.74,79.74,79.74,142.0
2015-09-28,78.42,78.42,78.42,78.42,63.0
2015-09-29,78.42,78.42,78.42,78.42,0.0
2015-10-08,79.74,79.74,79.74,79.74,63.0
2015-10-09,79.74,79.74,79.74,79.74,0.0
2015-10-26,81.06,81.06,81.06,81.06,200.0
2015-10-27,81.06,81.06,81.06,81.06,0.0
2015-11-03,79.55,79.55,79.55,79.55,143.0
2015-11-04,79.55,79.55,79.55,79.55,0.0
2015-11-30,80.68,80.68,80.68,80.68,2.0
2015-12-01,80.68,80.68,80.68,80.68,0.0
2015-12-03,80.68,80.68,80.68,80.68,5.0
2015-12-09,80.11,80.11,80.11,80.11,9.0
2015-12-15,80.68,80.68,80.68,80.68,1.0
2016-01-14,82.22,82.22,82.22,82.22,0.0
2016-01-15,79.14,79.14,78.57,78.57,92.0
2016-01-18,78.57,78.57,78.57,78.57,0.0
2016-01-28,78.57,78.57,78.57,78.57,4.0
2016-02-09,78.57,78.57,78.57,78.57,2.0
2016-02-23,78.18,78.18,78.18,78.18,5.0
2016-02-24,78.57,78.57,78.57,78.57,3.0
2016-03-03,78.37,78.37,78.37,78.37,2.0
2016-03-04,78.37,78.37,78.37,78.37,0.0
2016-03-07,78.37,78.37,78.37,78.37,22.0
2016-03-10,79.14,79.14,77.99,77.99,6.0
2016-03-11,77.99,77.99,77.99,77.99,0.0
2016-03-14,79.14,79.14,79.14,79.14,1.0
2016-03-15,79.14,79.14,79.14,79.14,0.0
2016-03-21,80.68,80.68,80.68,80.68,8.0
2016-03-30,79.91,79.91,79.91,79.91,200.0
2016-03-31,79.91,79.91,79.91,79.91,0.0
2016-04-04,81.45,81.45,81.45,81.45,11.0
2016-04-05,79.91,79.91,79.91,79.91,4.0
2016-04-06,79.91,79.91,79.14,79.14,3396.0
2016-04-07,80.49,80.49,78.37,78.37,2852.0
