Date,Open,High,Low,Close,Volume
2018-02-23,16.0,16.0,14.5,15.0,36077.0
2018-02-26,15.1,15.1,14.5,14.9,6186.0
2018-02-27,14.79,14.79,14.78,14.78,59.0
2018-02-28,14.85,14.85,14.33,14.5,4317.0
2018-03-01,14.5,14.5,13.5,14.0,1793.0
2018-03-02,13.5,14.0,13.5,13.9,24604.0
2018-03-05,14.0,15.75,14.0,14.89,4657.0
2018-03-06,14.95,15.23,14.4,15.0,8274.0
2018-03-07,15.0,15.0,14.5,14.5,1550.0
2018-03-08,14.5,14.5,14.5,14.5,1814.0
2018-03-09,14.5,15.0,14.5,15.0,14978.0
2018-03-12,15.0,15.3,14.35,14.76,19151.0
2018-03-13,14.3,15.08,14.3,15.06,8378.0
2018-03-14,15.08,15.08,14.7,15.08,3835.0
2018-03-15,14.5,14.6,14.5,14.5,3500.0
2018-03-16,14.5,15.0,14.25,15.0,3824.0
2018-03-19,14.75,14.75,14.43,14.7,2033.0
2018-03-20,14.23,14.5,14.0,14.5,2941.0
2018-03-21,14.56,14.56,14.5,14.5,168.0
2018-03-22,14.0,14.0,14.0,14.0,6509.0
2018-03-23,14.0,14.5,14.0,14.5,200.0
2018-03-26,14.56,14.56,14.56,14.56,34.0
2018-03-27,14.56,14.87,14.0,14.87,3500.0
2018-03-28,14.65,14.65,14.5,14.5,7820.0
2018-03-29,14.5,14.5,13.8,14.5,2160.0
2018-04-03,14.0,14.04,13.8,14.04,3769.0
2018-04-04,14.5,14.5,14.5,14.5,6.0
2018-04-05,13.95,14.5,13.95,14.5,1399.0
2018-04-06,14.5,15.0,14.5,15.0,4583.0
2018-04-09,14.43,14.43,14.43,14.43,491.0
2018-04-10,14.69,14.7,14.2,14.7,7566.0
2018-04-11,14.7,14.7,14.7,14.7,0.0
2018-04-12,14.33,14.9,14.1,14.75,12425.0
2018-04-13,14.85,14.85,14.85,14.85,30.0
2018-04-16,14.85,14.85,14.28,14.28,1172.0
2018-04-17,14.5,15.0,14.0,14.98,70147.0
2018-04-18,15.0,15.0,14.3,14.3,1517.0
2018-04-19,14.2,14.25,14.2,14.2,15483.0
2018-04-20,14.2,14.2,14.2,14.2,0.0
2018-04-23,14.35,14.35,14.35,14.35,1800.0
2018-04-24,14.35,14.35,14.33,14.33,1600.0
2018-04-25,14.33,14.33,14.33,14.33,0.0
2018-04-26,14.0,14.0,14.0,14.0,100.0
2018-04-27,14.3,14.56,14.0,14.0,4332.0
2018-04-30,13.75,14.82,13.75,14.82,2035.0
2018-05-02,14.5,14.5,13.8,13.8,9500.0
2018-05-03,13.8,13.8,13.8,13.8,0.0
2018-05-04,14.24,14.5,14.24,14.4,2400.0
2018-05-07,14.5,14.5,14.5,14.5,2775.0
2018-05-08,14.5,14.5,14.5,14.5,50.0
2018-05-09,14.5,14.5,14.5,14.5,40.0
2018-05-11,14.5,14.5,14.5,14.5,0.0
2018-05-14,14.1,14.1,14.0,14.0,2399.0
2018-05-15,14.0,14.56,14.0,14.56,668.0
2018-05-16,14.0,14.0,14.0,14.0,500.0
2018-05-17,14.35,14.35,13.9,13.9,2020.0
2018-05-18,13.9,13.9,13.9,13.9,500.0
2018-05-21,14.0,14.0,14.0,14.0,5700.0
2018-05-22,14.0,14.0,14.0,14.0,200.0
2018-05-23,14.0,14.0,13.21,13.8,5563.0
2018-05-24,13.8,14.51,13.8,14.51,18100.0
2018-05-25,14.56,14.89,14.56,14.87,7009.0
2018-05-28,14.87,14.87,14.8,14.86,16579.0
2018-05-29,14.86,14.87,14.86,14.86,11698.0
2018-05-30,14.86,15.27,14.86,14.9,6814.0
2018-05-31,15.2,15.5,14.9,15.0,11667.0
2018-06-01,15.0,15.2,14.8,15.0,10724.0
2018-06-04,15.0,15.1,14.85,15.1,25220.0
2018-06-05,15.25,15.45,14.93,15.1,3483.0
2018-06-06,15.1,15.1,15.1,15.1,0.0
2018-06-07,15.2,15.4,15.17,15.4,6800.0
2018-06-08,15.4,15.4,15.1,15.4,1134.0
2018-06-11,15.4,15.4,15.0,15.15,4240.0
2018-06-12,14.8,14.8,14.8,14.8,1000.0
2018-06-13,15.08,15.08,14.9,14.9,4193.0
2018-06-14,14.6,15.2,14.6,15.2,3517.0
2018-06-15,15.28,15.28,14.7,14.7,2649.0
2018-06-18,15.1,15.1,15.1,15.1,450.0
2018-06-19,15.1,15.1,15.1,15.1,1890.0
2018-06-20,14.7,14.7,14.6,14.65,3240.0
2018-06-21,14.65,15.0,14.65,15.0,310.0
2018-06-22,15.0,15.0,15.0,15.0,0.0
2018-06-25,15.0,15.0,15.0,15.0,150.0
2018-06-26,14.5,14.5,14.0,14.25,8690.0
2018-06-27,14.25,14.25,13.84,13.9,2673.0
2018-06-28,13.9,13.9,13.9,13.9,0.0
2018-06-29,13.82,13.82,13.7,13.7,2000.0
2018-07-02,13.4,13.4,13.4,13.4,2000.0
