Date,Open,High,Low,Close,Volume
2009-12-03,57.32,60.23,57.32,58.95,312200.0
2009-12-04,59.5,59.5,58.77,59.5,174100.0
2009-12-07,59.68,60.96,58.95,60.96,123400.0
2009-12-08,60.77,61.68,58.77,58.77,204400.0
2009-12-09,58.95,60.23,58.41,59.68,81600.0
2009-12-10,59.68,59.86,59.14,59.86,76300.0
2009-12-11,60.41,60.77,59.5,59.68,45000.0
2009-12-14,59.68,61.5,59.68,61.32,85900.0
2009-12-15,61.14,61.14,59.32,59.68,156000.0
2009-12-16,59.68,59.68,58.04,58.59,187500.0
2009-12-17,58.23,59.14,58.23,58.23,47900.0
2009-12-18,58.23,58.23,57.5,58.23,76900.0
2009-12-21,58.23,58.59,57.32,58.59,238500.0
2009-12-22,57.68,58.41,57.68,58.41,91600.0
2009-12-23,58.04,58.23,57.5,57.86,67300.0
2009-12-28,58.04,58.23,57.13,57.86,39500.0
2009-12-29,57.5,57.86,56.59,57.68,72901.0
2009-12-30,57.13,57.5,56.59,56.95,81700.0
2010-01-04,57.13,58.95,57.13,58.95,254000.0
2010-01-05,58.41,60.23,58.41,60.05,140300.0
2010-01-07,60.23,62.96,59.86,62.96,501800.0
2010-01-08,63.68,67.51,63.5,66.78,602700.0
2010-01-11,67.32,68.05,65.5,65.5,210000.0
2010-01-12,65.32,65.32,63.87,64.96,154800.0
2010-01-13,64.78,64.78,63.87,64.59,79900.0
2010-01-14,64.41,64.96,63.87,64.05,117500.0
2010-01-15,64.05,64.59,63.87,64.59,69900.0
2010-01-18,64.59,64.78,63.5,64.05,92100.0
2010-01-19,63.87,66.96,63.68,66.96,166300.0
2010-01-20,66.96,66.96,64.96,65.32,124500.0
2010-01-21,66.05,66.23,64.59,64.59,156700.0
2010-01-22,64.41,65.5,62.96,62.96,120800.0
2010-01-25,62.77,64.23,62.77,63.32,41200.0
2010-01-26,62.96,63.32,61.14,62.59,49618.0
2010-01-27,61.86,62.96,61.68,62.96,57344.0
2010-01-28,62.96,63.5,61.86,62.59,160354.0
2010-01-29,62.96,63.5,61.86,62.96,83142.0
2010-02-01,63.14,65.14,62.05,64.96,86924.0
2010-02-02,65.14,65.87,64.05,64.78,413768.0
2010-02-03,64.78,65.5,64.05,65.32,403591.0
2010-02-04,64.78,65.5,62.96,64.05,87078.0
2010-02-05,64.05,64.23,62.05,62.59,234134.0
2010-02-08,62.77,64.05,61.86,63.68,154000.0
2010-02-09,64.23,64.23,63.32,63.68,63700.0
2010-02-10,64.23,64.23,61.86,63.32,73600.0
2010-02-11,63.5,65.5,63.5,64.05,663838.0
2010-02-12,64.41,64.96,62.59,63.5,48600.0
2010-02-15,63.32,63.32,61.86,62.23,36200.0
2010-02-16,61.86,62.77,61.32,61.5,99500.0
2010-02-17,61.5,63.32,60.96,63.32,83239.0
2010-02-18,63.32,64.23,62.05,63.32,203968.0
2010-02-19,63.32,64.23,61.14,62.59,102912.0
2010-02-22,62.59,64.23,62.59,64.05,64114.0
2010-02-23,63.32,65.5,63.14,63.68,148178.0
2010-02-24,62.96,64.78,62.77,63.68,228255.0
2010-02-25,62.96,64.05,62.96,62.96,155616.0
2010-02-26,63.87,64.05,62.77,62.96,204972.0
2010-03-01,62.96,63.5,61.86,62.41,197338.0
2010-03-02,62.96,62.96,61.14,61.68,168712.0
2010-03-03,62.23,62.77,61.32,61.86,156964.0
2010-03-04,62.59,63.87,62.23,63.14,63839.0
2010-03-05,64.05,64.78,63.32,64.41,130164.0
2010-03-08,64.59,64.96,63.14,63.32,460853.0
2010-03-09,63.5,64.41,62.96,64.23,127362.0
2010-03-10,64.78,64.78,63.14,63.68,115514.0
2010-03-11,63.32,63.87,63.14,63.5,367494.0
2010-03-12,63.87,64.59,63.14,63.14,155785.0
2010-03-15,63.14,64.23,63.14,64.05,64551.0
2010-03-16,63.32,64.05,62.96,63.14,133720.0
2010-03-17,63.5,63.5,62.59,63.14,358602.0
2010-03-18,64.23,64.78,63.5,63.68,423201.0
2010-03-19,64.05,64.59,63.68,63.68,90077.0
2010-03-22,63.68,65.14,63.32,65.14,474805.0
2010-03-23,65.5,66.6,64.96,65.14,251439.0
2010-03-24,65.5,65.69,63.68,63.68,242977.0
