Date,Open,High,Low,Close,Volume
2010-01-04,51.28,52.4,51.19,52.22,1272342.0
2010-01-05,52.45,54.11,52.31,54.11,1262105.0
2010-01-07,54.38,54.69,53.75,54.24,2317604.0
2010-01-08,54.38,54.6,53.61,54.15,1284037.0
2010-01-11,54.42,55.54,53.84,53.93,1677459.0
2010-01-12,54.06,54.11,52.58,52.94,1446165.0
2010-01-13,53.88,54.11,53.12,53.84,2059078.0
2010-01-14,54.33,54.51,53.84,54.2,1751352.0
2010-01-15,54.29,54.29,52.71,52.76,1443984.0
2010-01-18,52.85,54.24,52.85,53.43,1020203.0
2010-01-19,53.52,54.78,52.89,54.78,2236296.0
2010-01-20,54.78,55.23,53.57,53.57,2619934.0
2010-01-21,54.02,54.06,53.07,53.3,2371806.0
2010-01-22,53.21,53.25,51.77,52.18,1747445.0
2010-01-25,52.09,52.89,51.46,52.54,1397438.0
2010-01-26,52.22,52.45,51.32,51.73,2309166.0
2010-01-27,51.19,52.18,50.78,51.37,1982646.0
2010-01-28,51.82,52.04,49.84,49.93,2383252.0
2010-01-29,49.75,51.41,49.62,50.92,3136989.0
2010-02-01,50.56,50.96,50.38,50.78,1062776.0
2010-02-02,50.96,52.04,49.84,52.04,3329045.0
2010-02-03,52.18,52.67,51.55,51.73,1685470.0
2010-02-04,51.73,52.04,51.05,51.23,1928490.0
2010-02-05,50.69,50.92,49.75,50.07,2452885.0
2010-02-08,50.47,50.47,48.09,49.39,2157015.0
2010-02-09,49.39,50.29,48.76,49.98,1980119.0
2010-02-10,50.29,50.47,49.39,49.39,1585682.0
2010-02-11,49.62,51.14,49.62,50.56,2253776.0
2010-02-12,50.83,50.96,49.17,49.48,2011969.0
2010-02-15,49.35,49.93,48.31,48.63,1251824.0
2010-02-16,49.35,50.02,48.76,50.02,1286303.0
2010-02-17,47.78,50.11,47.78,49.57,2430237.0
2010-02-18,49.53,49.71,48.4,48.99,1831542.0
2010-02-19,48.72,49.21,48.27,49.12,2135733.0
2010-02-22,49.35,49.71,48.49,48.76,1495293.0
2010-02-23,48.76,49.26,47.73,48.09,1554418.0
2010-02-24,48.4,48.67,47.69,48.49,1813640.0
2010-02-25,48.72,48.72,47.64,48.22,1891024.0
2010-02-26,48.49,48.72,48.18,48.63,1521554.0
2010-03-01,48.63,51.05,48.63,50.74,2761037.0
2010-03-02,50.74,51.5,50.25,51.28,1230508.0
2010-03-03,51.41,52.04,51.14,52.04,1709567.0
2010-03-04,51.68,53.66,51.37,53.03,3527517.0
2010-03-05,53.34,53.66,52.58,53.43,1999997.0
2010-03-08,53.7,53.7,53.07,53.43,1161365.0
2010-03-09,53.88,54.56,53.52,54.15,1699142.0
2010-03-10,54.15,54.56,53.88,54.11,1616194.0
2010-03-11,53.97,54.29,53.57,53.75,1861738.0
2010-03-12,53.93,54.51,53.75,53.97,2670358.0
2010-03-15,54.02,54.56,53.57,54.42,1465462.0
2010-03-16,54.56,55.5,54.56,55.41,2153745.0
2010-03-17,55.54,56.58,55.45,56.08,1756834.0
2010-03-18,55.9,56.13,55.36,55.36,1936360.0
2010-03-19,55.68,56.08,54.92,55.32,1355489.0
2010-03-22,53.97,55.54,53.97,55.23,1636207.0
2010-03-23,55.32,55.81,54.78,55.41,1547896.0
2010-03-24,55.36,55.63,54.56,54.96,1216872.0
2010-03-25,54.96,56.08,54.96,55.81,1760824.0
2010-03-26,55.68,56.31,55.45,56.13,1440860.0
2010-03-29,56.58,56.89,55.63,56.08,1906948.0
2010-03-30,56.08,56.53,54.87,55.14,2753611.0
2010-03-31,55.14,55.68,54.6,54.92,1668910.0
2010-04-01,55.18,56.13,55.18,55.9,1636713.0
2010-04-06,45.8,47.73,43.78,47.69,4458129.0
2010-04-07,47.69,48.05,45.58,45.8,4314001.0
2010-04-08,45.71,45.71,44.59,44.9,2438095.0
2010-04-09,45.44,45.44,44.9,44.9,2022483.0
2010-04-12,44.72,45.98,44.7,45.58,1868103.0
2010-04-13,45.44,45.53,44.0,44.27,2378662.0
2010-04-14,44.3,44.7,44.12,44.7,2081277.0
2010-04-15,44.9,44.99,44.4,44.79,1743725.0
2010-04-16,44.47,44.67,43.39,43.52,1850699.0
2010-04-19,42.93,43.24,42.34,42.98,2765446.0
2010-04-20,43.2,43.28,42.68,43.11,1633242.0
2010-04-21,43.11,43.31,41.57,41.78,3017310.0
2010-04-22,41.79,42.67,41.68,42.21,2440152.0
2010-04-23,42.21,42.84,41.88,42.65,1984954.0
2010-04-26,42.96,43.88,42.78,42.84,2653521.0
2010-04-27,42.85,43.03,41.36,41.41,2793479.0
2010-04-28,41.31,41.58,40.41,40.56,2339201.0
2010-04-29,40.49,41.02,40.04,40.68,1773261.0
2010-04-30,40.94,40.95,39.93,39.94,769702.0
2010-05-03,39.96,40.71,39.71,40.3,1669664.0
2010-05-04,40.41,40.44,38.97,39.04,3154902.0
2010-05-05,38.89,39.0,36.67,37.16,3611775.0
2010-05-06,36.82,38.02,35.87,36.07,4042956.0
2010-05-07,35.02,35.73,33.56,34.01,5228433.0
2010-05-10,35.25,36.01,34.75,35.19,4995180.0
2010-05-11,34.84,34.84,33.29,33.69,3660998.0
2010-05-12,33.75,35.59,33.33,35.41,2643256.0
2010-05-14,35.54,35.65,32.91,32.91,5160681.0
2010-05-17,32.78,33.01,32.06,32.06,3679724.0
2010-05-18,32.54,32.92,32.04,32.52,3446744.0
2010-05-19,32.31,32.37,31.14,31.14,4146977.0
2010-05-20,31.58,32.19,30.29,31.14,4630730.0
2010-05-21,31.06,31.75,30.45,31.48,6023018.0
2010-05-24,31.8,31.92,30.64,31.47,4574705.0
2010-05-25,30.78,30.94,29.96,30.47,5346752.0
2010-05-26,31.22,32.33,30.53,31.96,18146385.0
2010-05-27,32.33,33.12,32.33,32.97,3291718.0
2010-05-28,33.36,33.41,32.37,32.41,2052188.0
2010-05-31,32.42,32.63,31.96,32.15,1084577.0
2010-06-01,32.15,33.14,31.34,32.71,4333808.0
2010-06-02,32.42,32.93,31.89,32.69,3177984.0
2010-06-03,33.53,33.91,33.06,33.42,3106917.0
2010-06-04,33.6,34.04,32.33,32.46,2602450.0
2010-06-07,31.76,32.36,31.28,31.82,2343089.0
2010-06-08,31.84,31.99,31.16,31.59,3316766.0
2010-06-09,31.74,32.19,31.29,32.14,2978772.0
2010-06-10,32.15,32.63,31.53,32.43,3928264.0
2010-06-11,32.47,33.27,32.2,33.02,2692812.0
2010-06-14,33.71,34.08,33.63,33.99,2502200.0
2010-06-15,33.85,34.28,33.42,34.15,2668742.0
2010-06-16,34.27,34.57,33.81,33.95,2613711.0
2010-06-17,33.86,34.57,33.74,34.15,1991683.0
2010-06-18,34.48,34.48,33.83,33.96,1907075.0
2010-06-21,34.46,34.78,34.31,34.75,2389201.0
2010-06-22,34.57,34.58,33.28,33.83,2501226.0
2010-06-23,33.32,33.82,32.79,33.1,1887730.0
2010-06-24,33.16,33.4,31.77,32.01,2695870.0
2010-06-28,32.1,32.19,31.26,31.69,2192311.0
2010-06-29,31.37,31.65,30.49,30.53,3297697.0
2010-06-30,30.43,31.31,30.2,31.1,4052098.0
2010-07-01,30.78,31.02,30.06,30.36,2715020.0
2010-07-02,30.59,31.56,30.59,31.27,2474983.0
2010-07-05,31.41,31.41,30.46,30.8,1417620.0
2010-07-06,31.11,32.32,31.03,32.14,1956881.0
2010-07-07,31.88,33.1,31.31,33.1,1844637.0
2010-07-08,33.48,34.07,32.82,33.84,3434155.0
2010-07-09,34.12,34.53,33.87,34.05,2952618.0
2010-07-12,34.29,34.57,33.81,34.39,1224124.0
2010-07-13,34.22,35.47,34.21,35.47,2439788.0
2010-07-14,35.47,35.87,34.89,35.28,1695432.0
2010-07-15,35.27,35.79,34.91,35.24,1356418.0
2010-07-16,35.55,35.75,34.39,35.02,2241057.0
2010-07-19,34.67,35.36,34.31,34.9,1291418.0
2010-07-20,34.9,35.02,34.16,34.61,2306833.0
2010-07-21,34.81,35.46,34.61,35.0,1509849.0
2010-07-22,34.74,35.9,34.66,35.7,1459890.0
2010-07-23,35.49,36.05,35.25,35.85,1288711.0
2010-07-26,35.94,36.05,35.54,36.04,719403.0
2010-07-27,36.05,36.52,36.05,36.23,1207215.0
2010-07-28,36.22,36.66,35.69,36.0,1466170.0
2010-07-29,36.1,36.59,35.79,36.38,1492293.0
2010-07-30,36.0,36.53,35.75,36.14,1056196.0
2010-08-02,36.1,37.72,36.03,37.62,1676535.0
2010-08-03,37.72,37.72,37.04,37.54,2446387.0
2010-08-04,37.63,39.96,37.58,39.52,5854674.0
2010-08-05,39.69,40.86,39.65,40.4,3957956.0
2010-08-06,40.74,41.58,40.41,40.45,2653137.0
2010-08-09,41.08,42.06,40.69,40.91,3798808.0
2010-08-10,40.95,41.3,40.24,40.45,2303826.0
2010-08-11,40.41,40.41,38.44,38.53,1973831.0
2010-08-12,38.07,39.24,37.61,38.23,2361848.0
2010-08-13,38.3,39.56,38.08,39.24,2081180.0
2010-08-16,39.54,39.98,38.44,38.89,1436775.0
2010-08-17,39.15,39.48,38.62,39.47,954386.0
2010-08-18,39.5,39.55,38.71,38.8,1168664.0
2010-08-19,38.87,39.42,38.28,38.45,1136858.0
2010-08-20,38.44,38.87,37.52,37.73,1379810.0
2010-08-23,37.72,39.38,37.55,38.45,2100277.0
2010-08-24,38.19,38.39,37.0,37.34,2695299.0
2010-08-25,38.15,38.15,36.09,36.65,2252067.0
2010-08-26,36.92,38.05,36.92,37.96,2088584.0
2010-08-27,37.81,38.07,36.95,37.74,1275218.0
2010-08-30,37.99,38.07,37.03,37.43,1234174.0
2010-08-31,37.17,37.17,36.39,37.02,1042505.0
2010-09-01,37.36,38.8,36.94,38.75,2245514.0
2010-09-02,38.71,39.3,38.66,38.99,2728431.0
2010-09-03,39.27,40.01,39.02,39.46,2028850.0
2010-09-06,39.52,40.99,39.52,40.91,2383671.0
2010-09-07,40.82,40.96,40.06,40.11,2091630.0
2010-09-08,39.87,40.76,39.74,40.38,1586940.0
2010-09-09,40.86,41.05,40.3,40.95,1612374.0
2010-09-10,40.94,41.4,40.86,41.29,1200603.0
2010-09-13,41.94,42.15,41.66,41.8,1362393.0
2010-09-14,41.85,42.1,41.64,42.02,1073453.0
2010-09-15,42.03,42.16,41.63,41.75,920057.0
2010-09-16,41.75,42.48,41.56,42.41,1173023.0
2010-09-17,46.7,50.25,46.7,49.89,13199249.0
2010-09-20,50.16,52.45,48.81,49.89,6544382.0
2010-09-21,50.2,50.69,49.66,49.75,2019140.0
2010-09-22,49.75,50.65,48.36,49.93,2926206.0
2010-09-23,50.16,50.47,48.05,48.54,2647395.0
2010-09-24,48.58,50.2,48.36,50.16,1500010.0
2010-09-27,50.29,50.65,49.62,49.84,1167636.0
2010-09-28,49.48,50.47,48.72,49.8,1850028.0
2010-09-29,49.93,50.92,49.57,50.74,1804900.0
2010-09-30,50.65,51.37,50.47,50.96,2100948.0
2010-10-01,51.46,52.22,51.32,51.95,2106383.0
2010-10-04,52.45,52.45,51.32,51.5,1132990.0
2010-10-05,51.5,52.98,51.19,52.85,1462668.0
2010-10-06,53.57,54.29,53.03,53.21,2545268.0
2010-10-07,53.57,54.29,53.07,54.2,1658417.0
2010-10-08,54.33,54.33,53.16,54.29,1619026.0
2010-10-11,54.33,55.41,54.15,55.09,1174243.0
2010-10-12,55.05,55.09,53.88,54.33,1496128.0
2010-10-13,54.78,56.85,54.56,55.86,1671771.0
2010-10-14,55.9,56.26,54.11,54.33,2051819.0
2010-10-15,54.65,55.95,54.33,55.5,2013351.0
2010-10-18,55.5,56.31,54.87,55.23,1709212.0
2010-10-19,55.27,55.63,53.57,53.79,1855386.0
2010-10-20,53.52,54.56,53.48,54.29,1087363.0
2010-10-21,54.42,55.23,54.29,54.96,909209.0
2010-10-22,54.78,56.08,54.42,55.5,1035947.0
2010-10-25,55.86,57.47,55.41,57.21,1798519.0
2010-10-26,57.12,59.18,56.8,57.7,3088401.0
2010-10-27,57.7,58.15,56.53,56.71,1855727.0
2010-10-28,56.67,57.43,54.69,54.87,2606708.0
2010-10-29,54.78,56.89,54.38,56.76,2339574.0
2010-11-01,56.8,57.25,55.86,56.31,1877198.0
2010-11-02,55.99,56.58,55.36,56.58,1818870.0
2010-11-03,57.47,61.52,57.47,61.02,3975147.0
2010-11-04,61.52,63.58,61.52,63.4,2956291.0
2010-11-05,63.76,64.57,62.73,63.18,1406817.0
2010-11-08,62.58,62.58,60.56,61.28,2946644.0
2010-11-09,61.32,61.91,60.96,61.55,1334087.0
2010-11-10,61.55,61.59,60.42,60.92,1059874.0
2010-11-11,61.5,62.45,61.28,62.45,1389203.0
2010-11-12,61.5,61.5,59.61,60.87,1570512.0
2010-11-15,60.87,61.32,60.33,61.28,976681.0
2010-11-16,60.78,61.14,60.02,60.24,1728090.0
2010-11-17,59.97,60.6,58.62,60.06,1201175.0
2010-11-18,60.65,61.19,60.42,61.05,1018475.0
2010-11-19,60.96,60.96,60.02,60.69,882737.0
2010-11-22,61.46,62.27,60.92,61.14,1711558.0
2010-11-23,60.83,61.01,59.7,59.93,1353003.0
2010-11-24,59.93,60.6,59.03,60.29,2053985.0
2010-11-25,60.38,62.09,59.97,62.09,1588445.0
2010-11-26,61.95,62.45,60.74,61.73,2462803.0
2010-11-29,62.13,62.4,61.01,61.19,1724351.0
2010-11-30,61.28,62.31,60.65,62.18,1430277.0
2010-12-01,62.99,66.01,62.72,65.24,3264627.0
2010-12-02,66.1,67.63,65.24,67.04,2119369.0
2010-12-03,67.22,67.49,66.37,67.04,1056339.0
2010-12-06,67.09,69.38,67.09,69.34,1849099.0
2010-12-07,69.7,72.49,69.52,71.81,3306482.0
2010-12-08,71.14,71.14,68.39,68.66,2942665.0
2010-12-09,69.43,69.7,66.91,67.0,2600872.0
2010-12-10,67.49,68.8,66.55,68.48,1667032.0
2010-12-13,68.44,68.89,68.12,68.39,1329497.0
2010-12-14,68.35,69.74,67.94,69.34,1381254.0
2010-12-15,69.34,69.65,68.71,69.65,933310.0
2010-12-16,69.61,69.74,68.35,69.07,1103951.0
2010-12-17,69.29,70.46,68.98,70.46,1618164.0
2010-12-20,70.46,71.14,70.15,70.42,1380641.0
2010-12-21,70.51,73.84,70.42,73.8,2090337.0
2010-12-22,72.94,74.88,72.94,74.2,1358123.0
2010-12-23,74.29,74.65,73.75,74.56,829845.0
2010-12-27,73.98,75.96,73.98,75.91,775111.0
2010-12-28,76.09,76.54,75.01,75.33,1115970.0
2010-12-29,75.64,75.87,75.19,75.55,666242.0
