Date,Open,High,Low,Close,Volume
2017-12-08,44.0,44.3,41.2,41.5,1909837.0
2017-12-11,41.4,41.4,38.4,38.7,306925.0
2017-12-12,38.0,38.0,37.0,37.2,320954.0
2017-12-13,37.4,37.4,36.9,37.0,219097.0
2017-12-14,37.2,37.2,36.4,36.4,91814.0
2017-12-15,36.3,37.0,34.4,37.0,224747.0
2017-12-18,37.0,38.6,37.0,38.0,61704.0
2017-12-19,39.1,39.1,36.2,37.5,25569.0
2017-12-20,37.4,37.9,36.5,37.9,53361.0
2017-12-21,37.9,38.0,37.0,37.8,17929.0
2017-12-22,37.8,38.4,37.0,38.1,20361.0
2017-12-27,37.0,39.5,37.0,39.5,18269.0
2017-12-28,39.5,40.0,37.5,39.3,54338.0
2017-12-29,39.5,39.9,38.5,39.9,61168.0
2018-01-02,39.5,39.5,38.5,39.5,14044.0
2018-01-03,39.44,40.0,38.51,40.0,26531.0
2018-01-04,41.5,42.0,40.0,40.45,24921.0
2018-01-05,40.45,40.45,39.85,40.44,18392.0
2018-01-08,40.44,40.45,38.5,39.95,169313.0
2018-01-09,39.8,39.8,37.95,39.49,35158.0
2018-01-10,39.49,39.49,36.42,36.42,7903.0
2018-01-11,36.0,37.31,35.1,35.75,37365.0
2018-01-12,35.87,36.49,35.2,35.69,41402.0
2018-01-15,35.99,36.0,35.1,35.2,20744.0
2018-01-16,35.2,35.2,33.73,34.1,12342.0
2018-01-17,32.0,32.0,26.3,26.77,296199.0
2018-01-18,26.15,28.95,25.7,27.0,207809.0
2018-01-19,27.97,28.3,27.41,27.5,250914.0
2018-01-22,27.85,27.85,26.4,26.5,77336.0
2018-01-23,27.0,28.0,26.7,26.9,7587.0
2018-01-24,27.0,27.0,26.3,27.0,29221.0
2018-01-25,27.0,27.0,26.5,26.5,27179.0
2018-01-26,26.5,26.9,25.6,26.25,60248.0
2018-01-29,26.0,28.05,25.4,26.6,157842.0
2018-01-30,26.6,26.95,26.2,26.7,28435.0
2018-01-31,26.7,27.05,26.05,26.55,9138.0
2018-02-01,27.0,27.05,26.2,26.4,14461.0
2018-02-02,26.4,26.4,24.9,25.25,20026.0
2018-02-05,24.65,25.95,22.0,24.95,93816.0
2018-02-06,23.3,26.0,23.25,25.45,89048.0
2018-02-07,26.0,26.0,25.0,25.6,30038.0
2018-02-08,25.9,25.9,25.15,25.2,15546.0
2018-02-09,24.1,25.7,24.1,25.5,16932.0
2018-02-12,25.55,27.05,25.5,25.75,14293.0
2018-02-13,26.4,26.4,25.0,25.45,11838.0
2018-02-14,25.45,26.35,25.4,26.0,7682.0
2018-02-15,26.0,28.6,26.0,27.45,40718.0
2018-02-16,28.6,29.55,28.0,28.6,26523.0
2018-02-19,29.5,29.85,28.7,28.8,26928.0
2018-02-20,29.0,29.7,28.8,29.15,15889.0
2018-02-21,29.35,29.35,28.5,28.65,23786.0
2018-02-22,29.4,29.4,28.25,28.8,13130.0
2018-02-23,28.8,29.7,28.65,29.0,20672.0
2018-02-26,29.7,29.7,28.0,29.05,7938.0
2018-02-27,29.55,29.55,28.45,28.9,10735.0
2018-02-28,28.9,28.9,27.85,28.4,19295.0
2018-03-01,28.4,28.4,27.95,28.15,15355.0
2018-03-02,28.0,28.0,27.6,27.8,5235.0
2018-03-05,27.8,27.8,26.0,27.15,16222.0
2018-03-06,28.4,28.4,26.4,27.0,3924.0
2018-03-07,27.0,27.05,26.6,26.75,22618.0
2018-03-08,26.75,28.2,26.0,26.0,61573.0
2018-03-09,26.25,26.8,26.1,26.1,20172.0
2018-03-12,27.6,27.6,25.85,26.0,15611.0
2018-03-13,26.0,26.5,25.2,25.2,12037.0
2018-03-14,25.95,27.4,25.55,27.0,27267.0
2018-03-15,27.2,27.5,26.0,26.7,20237.0
2018-03-16,26.0,26.2,25.2,26.2,8377.0
2018-03-19,26.15,26.2,26.0,26.2,2181.0
2018-03-20,26.95,27.0,25.0,25.2,2539.0
2018-03-21,25.1,25.1,24.15,24.4,9108.0
2018-03-22,24.0,24.0,23.7,24.0,3455.0
2018-03-23,23.9,23.9,22.5,22.9,9857.0
2018-03-26,23.0,23.0,22.8,22.8,2400.0
2018-03-27,22.5,23.0,22.0,22.0,17963.0
2018-03-28,22.0,22.45,20.8,21.6,7070.0
2018-03-29,22.95,23.0,22.45,22.5,38850.0
2018-04-03,22.0,22.5,20.0,22.2,85335.0
2018-04-04,22.2,23.95,22.2,22.5,2689.0
2018-04-05,22.8,23.2,22.8,22.8,1945.0
2018-04-06,22.05,23.05,22.05,23.0,177183.0
2018-04-09,22.4,23.95,22.4,23.85,5666.0
2018-04-10,23.8,23.8,22.7,23.2,4156.0
2018-04-11,22.6,23.45,22.5,22.5,4263.0
2018-04-12,22.65,23.35,22.4,23.2,2896.0
