Date,Open,High,Low,Close,Volume
2013-04-29,3.0,3.2,2.8,3.0,73612.0
2013-04-30,3.0,3.0,2.8,2.8,160700.0
2013-05-02,2.8,3.2,2.8,3.2,240096.0
2013-05-03,3.2,3.2,2.8,3.2,61005.0
2013-05-06,3.0,3.2,3.0,3.0,50550.0
2013-05-07,3.0,3.2,3.0,3.2,73630.0
2013-05-08,3.0,3.2,2.8,2.8,6678.0
2013-05-13,2.8,3.0,2.8,2.8,17300.0
2013-05-14,3.0,3.2,2.8,3.2,105764.0
2013-05-15,3.2,3.2,3.0,3.2,7350.0
2013-05-16,3.0,3.2,2.8,3.2,133610.0
2013-05-17,3.2,4.0,3.2,3.6,617897.0
2013-05-20,3.6,3.8,3.4,3.6,67285.0
2013-05-21,3.6,3.8,3.2,3.8,171391.0
2013-05-22,3.6,3.6,3.2,3.4,171298.0
2013-05-23,3.4,3.4,3.2,3.2,119645.0
2013-05-24,3.2,3.4,3.0,3.2,184800.0
2013-05-27,3.4,3.4,3.0,3.2,121431.0
2013-05-28,3.2,3.4,3.0,3.4,223106.0
2013-05-29,3.4,3.4,3.0,3.0,73850.0
2013-05-30,3.4,3.6,3.2,3.4,318159.0
2013-05-31,3.2,3.4,3.0,3.0,46355.0
2013-06-03,3.4,3.4,3.2,3.2,75471.0
2013-06-04,3.2,3.4,3.0,3.4,61445.0
2013-06-05,3.0,3.2,2.8,3.0,276772.0
2013-06-07,3.0,3.4,3.0,3.2,114035.0
2013-06-10,3.2,3.2,2.8,3.0,194795.0
2013-06-11,3.0,3.2,2.8,3.0,314413.0
2013-06-12,3.2,3.4,3.0,3.2,52220.0
2013-06-13,3.2,3.2,2.8,3.0,344334.0
2013-06-14,3.0,3.2,2.8,3.2,79003.0
2013-06-17,3.0,3.0,2.8,3.0,129185.0
2013-06-18,3.2,3.2,3.0,3.2,42758.0
2013-06-19,3.2,3.2,3.0,3.2,175324.0
2013-06-20,3.2,3.2,2.8,3.0,145520.0
2013-06-24,3.0,3.2,2.8,3.2,131035.0
2013-06-25,3.2,3.2,3.0,3.0,258105.0
2013-06-26,3.2,3.2,3.0,3.2,8835.0
2013-06-27,3.2,3.2,3.0,3.2,71220.0
2013-06-28,3.2,3.2,3.0,3.2,25415.0
2013-07-01,3.2,3.2,2.8,3.0,112750.0
2013-07-02,3.0,3.0,2.8,3.0,4250.0
2013-07-03,3.0,3.0,2.8,3.0,39032.0
2013-07-04,3.0,3.0,2.8,3.0,9925.0
2013-07-05,3.0,3.0,2.8,3.0,9525.0
2013-07-08,2.8,3.2,2.8,3.0,113975.0
2013-07-09,3.0,3.8,3.0,3.2,521400.0
2013-07-10,3.2,3.4,3.0,3.4,61894.0
2013-07-11,3.4,3.8,3.2,3.4,318340.0
2013-07-12,3.4,3.6,3.2,3.4,84902.0
2013-07-15,3.2,3.4,3.0,3.2,245231.0
2013-07-16,3.2,3.8,3.2,3.6,399913.0
2013-07-17,3.4,3.8,3.4,3.8,359248.0
2013-07-18,3.4,4.2,3.4,3.8,599038.0
2013-07-19,3.8,5.0,3.6,4.4,1920311.0
2013-07-22,4.4,4.4,4.0,4.2,299645.0
2013-07-23,4.4,4.4,4.0,4.2,297834.0
2013-07-24,4.2,4.6,4.0,4.6,377702.0
2013-07-25,4.6,5.8,4.6,5.2,1595834.0
2013-07-26,5.4,5.6,5.0,5.2,521342.0
2013-07-29,5.2,5.4,4.8,4.8,387179.0
2013-07-30,5.0,5.0,4.4,4.4,462546.0
2013-07-31,4.6,5.2,4.6,4.8,424071.0
2013-08-01,5.0,5.0,4.6,4.6,363246.0
2013-08-02,4.6,4.8,4.6,4.8,109467.0
2013-08-05,4.6,5.0,4.6,4.8,399954.0
2013-08-06,4.6,4.8,4.4,4.4,279577.0
2013-08-07,4.8,4.8,4.4,4.8,136705.0
2013-08-08,4.8,5.0,4.6,4.8,171389.0
2013-08-09,5.0,5.0,4.6,4.8,89994.0
2013-08-12,4.8,5.0,4.6,5.0,89166.0
2013-08-13,5.0,5.6,5.0,5.4,480248.0
2013-08-14,5.6,5.6,5.2,5.2,199932.0
2013-08-15,5.4,5.4,5.2,5.4,166972.0
2013-08-16,5.4,5.6,5.2,5.4,189861.0
2013-08-19,5.4,5.6,5.2,5.4,307673.0
2013-08-20,5.4,5.4,5.2,5.4,82660.0
2013-08-21,5.4,6.8,5.2,6.4,1888730.0
2013-08-22,6.4,8.0,6.4,7.4,2415942.0
2013-08-23,7.6,7.8,5.4,5.6,3963430.0
2013-08-26,5.6,6.4,5.4,6.0,1109943.0
2013-08-27,6.0,6.2,5.8,5.8,257329.0
2013-08-28,5.8,6.0,5.8,6.0,245886.0
2013-08-29,6.0,6.2,5.8,6.0,549738.0
2013-08-30,6.2,6.2,5.8,6.0,350573.0
2013-09-02,6.2,6.2,5.8,6.0,212405.0
2013-09-03,6.0,6.0,5.0,5.8,773171.0
2013-09-04,6.0,6.2,5.8,6.0,457980.0
2013-09-05,6.0,6.2,5.8,6.2,184745.0
2013-09-06,6.2,6.8,6.2,6.8,438387.0
2013-09-09,7.0,8.0,7.0,8.0,902727.0
2013-09-10,8.0,8.8,7.6,8.0,1058749.0
2013-09-11,8.0,8.4,7.8,8.0,393503.0
2013-09-12,7.8,8.2,7.8,7.8,390659.0
2013-09-13,7.8,8.4,7.2,8.4,1624474.0
2013-09-16,9.4,10.6,9.0,9.2,1474953.0
2013-09-17,9.4,9.8,9.2,9.8,477265.0
2013-09-18,9.8,9.8,9.2,9.4,613450.0
2013-09-19,9.8,10.4,9.6,9.6,898816.0
2013-09-20,9.8,10.0,8.8,9.4,681317.0
2013-09-23,9.6,9.6,8.6,8.6,434098.0
2013-09-24,8.6,9.0,8.2,9.0,649359.0
2013-09-25,9.0,9.2,8.4,8.6,311319.0
2013-09-26,8.8,9.0,8.4,8.6,248593.0
2013-09-27,8.6,9.6,8.6,9.2,556851.0
2013-09-30,9.2,9.4,8.8,9.0,103283.0
2013-10-01,9.0,9.0,8.2,8.6,285596.0
2013-10-02,8.4,8.4,7.2,8.0,518486.0
2013-10-03,8.0,8.0,7.4,7.4,373458.0
2013-10-04,7.4,8.0,7.2,8.0,336934.0
2013-10-07,8.0,8.2,7.2,7.8,559796.0
2013-10-08,7.8,7.8,7.6,7.8,138498.0
2013-10-09,7.8,8.2,7.6,7.8,221589.0
2013-10-10,7.8,8.0,7.4,8.0,345310.0
2013-10-11,7.8,8.0,7.6,8.0,77791.0
2013-10-14,8.0,8.0,7.6,7.8,40486.0
2013-10-15,8.0,8.0,7.4,7.6,239153.0
2013-10-16,7.6,7.6,7.2,7.4,162709.0
2013-10-17,7.4,8.2,7.2,7.6,1083508.0
2013-10-18,7.4,7.6,7.2,7.6,181364.0
2013-10-21,7.4,7.8,7.2,7.6,161841.0
2013-10-22,7.6,8.0,7.4,7.6,344883.0
2013-10-23,7.6,7.6,7.4,7.6,175310.0
