Date,Open,High,Low,Close,Volume
2018-01-02,62.0,62.8,61.2,62.0,108606.0
2018-01-03,62.8,64.3,62.6,64.3,13228.0
2018-01-04,64.0,64.6,63.0,64.4,23456.0
2018-01-05,65.0,67.3,64.8,66.7,30021.0
2018-01-08,67.0,67.5,64.1,66.5,147698.0
2018-01-09,66.5,67.3,65.9,67.3,36668.0
2018-01-10,67.4,69.9,66.8,69.9,53546.0
2018-01-11,70.0,70.5,68.0,69.8,156082.0
2018-01-12,71.9,71.9,67.9,69.7,375486.0
2018-01-15,69.7,70.0,68.0,69.8,33437.0
2018-01-16,69.0,70.4,69.0,70.0,86258.0
2018-01-17,65.4,70.4,65.3,70.3,33237.0
2018-01-18,70.4,70.5,69.7,70.3,38159.0
2018-01-19,70.0,70.8,70.0,70.8,13803.0
2018-01-22,70.0,70.6,67.2,70.0,15873.0
2018-01-23,70.5,71.8,69.2,71.0,31997.0
2018-01-24,70.1,71.9,70.1,71.1,206831.0
2018-01-25,70.9,71.3,69.9,71.3,111955.0
2018-01-26,71.4,71.4,70.4,71.1,18309.0
2018-01-29,71.1,71.1,69.9,70.2,129381.0
2018-01-30,70.0,70.4,69.8,70.1,122254.0
2018-01-31,70.0,70.6,70.0,70.0,60422.0
2018-02-01,71.0,71.1,69.1,69.7,23010.0
2018-02-02,69.7,70.5,67.7,70.1,39649.0
2018-02-05,69.9,69.9,67.0,69.8,324811.0
2018-02-06,65.0,69.0,65.0,69.0,156522.0
2018-02-07,69.0,69.5,68.1,69.0,302356.0
2018-02-08,70.2,71.0,66.0,67.5,22597.0
2018-02-09,69.5,70.9,64.5,65.9,58679.0
2018-02-12,66.0,68.0,65.2,66.4,54671.0
2018-02-13,68.0,68.7,66.6,67.0,66201.0
2018-02-14,67.4,67.4,65.9,67.0,29284.0
2018-02-15,67.2,67.5,66.3,66.9,21826.0
2018-02-16,67.4,68.5,63.1,67.4,38866.0
2018-02-19,67.4,67.7,66.0,67.4,45322.0
2018-02-20,67.5,67.8,65.8,67.1,14859.0
2018-02-21,68.8,68.8,65.6,66.9,29950.0
2018-02-22,67.2,68.4,65.7,67.0,27966.0
2018-02-23,68.6,68.6,65.2,66.1,16429.0
2018-02-26,65.1,66.4,64.1,66.0,16072.0
2018-02-27,66.0,66.0,64.4,65.8,30846.0
2018-02-28,65.6,65.6,63.0,64.5,71402.0
2018-03-01,64.5,65.4,62.7,64.1,12504.0
2018-03-02,63.8,63.8,62.0,63.5,38319.0
