Date,Open,High,Low,Close,Volume
2010-01-11,115.1,121.46,115.1,121.46,50.0
2010-01-19,81.55,121.46,81.55,121.46,258.0
2010-01-20,115.68,121.46,115.68,121.46,173.0
2010-01-26,115.68,115.68,109.89,109.89,30.0
2010-01-27,109.89,109.89,109.89,109.89,406.0
2010-02-02,109.89,109.89,109.89,109.89,86.0
2010-02-04,161.95,161.95,161.95,161.95,4.0
2010-02-05,101.8,101.8,101.8,101.8,35.0
2010-02-08,144.02,144.02,144.02,144.02,0.0
2010-02-10,142.29,142.29,142.29,142.29,1.0
2010-02-11,113.94,113.94,113.94,113.94,30.0
2010-02-24,142.29,142.29,142.29,142.29,17.0
2010-02-25,142.86,142.86,142.86,142.86,86.0
2010-02-26,144.6,182.77,144.6,182.77,62.0
2010-03-01,133.61,196.65,133.61,150.38,553.0
2010-03-02,135.34,135.34,135.34,135.34,7.0
2010-03-08,172.94,172.94,172.94,172.94,86.0
2010-03-09,149.8,167.73,149.23,164.84,1055.0
2010-03-15,150.38,164.84,150.38,164.84,488.0
2010-03-16,156.17,156.17,156.17,156.17,138.0
2010-03-18,138.82,138.82,138.82,138.82,150.0
2010-03-23,149.8,150.38,149.8,150.38,346.0
2010-03-31,133.61,133.61,121.46,121.46,150.0
2010-04-01,7025.35,7025.35,7025.35,7025.35,0.0
2010-04-06,144.6,144.6,144.6,144.6,19.0
2010-04-07,133.03,133.03,133.03,133.03,172.0
2010-04-08,139.39,139.39,136.5,138.82,415.0
2010-04-13,138.82,141.71,138.82,141.71,35.0
2010-04-22,8196.24,8196.24,8196.24,8196.24,0.0
2010-05-05,115.68,121.46,115.68,115.68,46.0
2010-05-07,105.85,105.85,102.95,102.95,90.0
2010-05-18,107.58,108.16,107.58,108.16,83.0
2010-05-20,115.1,115.1,115.1,115.1,0.0
2010-05-21,90.23,101.22,90.23,101.22,43.0
2010-05-24,5854.46,5854.46,5854.46,5854.46,0.0
2010-05-25,111.63,111.63,101.22,101.22,83.0
2010-05-26,86.18,98.33,86.18,98.33,106.0
2010-05-27,98.33,107.0,98.33,98.33,194.0
2010-05-28,107.0,107.0,107.0,107.0,44.0
2010-05-31,107.0,109.89,104.11,109.32,39.0
2010-06-01,107.0,107.0,107.0,107.0,259.0
2010-06-02,104.11,115.1,104.11,115.1,39.0
2010-06-03,101.22,109.89,101.22,109.89,55.0
2010-06-04,109.89,109.89,109.89,109.89,14.0
2010-06-07,109.89,124.36,101.22,124.36,39.0
2010-06-08,120.31,120.31,101.8,119.15,112.0
2010-06-09,104.11,104.11,101.8,104.11,45.0
2010-06-10,113.36,117.99,113.36,115.68,6.0
2010-06-11,117.99,117.99,117.99,117.99,20.0
2010-06-14,117.99,117.99,117.99,117.99,2.0
