Date,Open,High,Low,Close,Volume
2010-01-04,84.75,87.75,84.75,86.11,23158.0
2010-01-05,86.39,86.66,85.57,85.57,15509.0
2010-01-07,85.57,86.93,85.02,85.02,38022.0
2010-01-08,85.57,86.11,82.3,83.39,74063.0
2010-01-11,83.12,83.39,81.75,82.3,56227.0
2010-01-12,82.84,83.39,81.75,81.75,46269.0
2010-01-13,81.75,82.84,81.34,82.84,20374.0
2010-01-14,82.84,83.93,82.84,83.93,17946.0
2010-01-15,83.93,84.48,83.66,84.21,12852.0
2010-01-18,83.39,83.39,81.75,82.57,22283.0
2010-01-19,82.57,82.57,81.34,81.75,25736.0
2010-01-20,82.3,82.3,79.3,79.98,34008.0
2010-01-21,80.53,81.21,77.67,78.48,42610.0
2010-01-22,77.8,79.3,76.3,76.3,67277.0
2010-01-25,76.3,76.98,74.67,75.49,119667.0
2010-01-26,75.35,75.89,74.26,75.76,145737.0
2010-01-27,75.35,78.21,74.94,77.12,50333.0
2010-01-28,77.39,79.03,77.26,77.26,25230.0
2010-01-29,77.67,78.76,77.53,78.48,16689.0
2010-02-01,79.03,81.62,79.03,80.12,44871.0
2010-02-02,81.34,81.34,79.3,79.3,26040.0
2010-02-03,79.57,81.07,79.57,79.98,29089.0
2010-02-04,80.8,80.94,79.98,80.12,18945.0
2010-02-05,79.57,79.57,78.76,79.3,13350.0
2010-02-08,79.03,79.03,75.21,77.39,34452.0
2010-02-09,76.98,79.57,75.49,79.3,28843.0
2010-02-10,79.3,81.21,77.94,80.66,17749.0
2010-02-11,81.75,84.21,81.48,82.84,52438.0
2010-02-12,83.93,83.93,82.3,83.93,34849.0
2010-02-15,84.48,84.48,81.75,82.3,8503.0
2010-02-16,82.3,84.48,82.3,83.93,23845.0
2010-02-17,84.48,84.48,82.57,83.66,36388.0
2010-02-18,84.21,86.11,81.21,82.57,86911.0
2010-02-19,82.57,85.3,82.3,85.02,55042.0
2010-02-22,85.3,85.3,83.93,84.21,21052.0
2010-02-23,85.02,85.02,83.93,83.93,31714.0
2010-02-24,83.39,84.48,82.84,83.12,13988.0
2010-02-25,82.84,83.39,81.21,81.21,43483.0
2010-02-26,81.21,81.75,79.3,80.94,131520.0
2010-03-01,80.94,82.57,80.94,82.3,22165.0
2010-03-02,83.39,84.21,82.3,84.21,30800.0
2010-03-03,83.93,86.66,83.12,86.39,61791.0
2010-03-04,86.39,86.39,85.57,86.11,21359.0
2010-03-05,86.11,87.2,85.57,86.93,34325.0
2010-03-08,86.93,87.75,86.66,86.66,28453.0
2010-03-09,86.66,87.75,86.11,87.2,19958.0
2010-03-10,87.2,87.2,86.11,86.66,24405.0
2010-03-11,86.66,87.2,86.11,86.11,26507.0
2010-03-12,85.57,86.11,85.57,85.57,35163.0
2010-03-15,85.57,86.93,85.3,85.57,220953.0
2010-03-16,85.57,86.39,85.3,85.84,362530.0
2010-03-17,85.57,87.2,85.57,86.93,142443.0
2010-03-18,86.93,86.93,86.11,86.39,633296.0
2010-03-19,86.39,87.2,86.11,87.2,20220.0
2010-03-22,87.2,89.93,87.2,89.93,45967.0
2010-03-23,88.84,91.02,88.84,91.02,54481.0
2010-03-24,89.66,91.29,88.84,88.84,23361.0
2010-03-25,90.2,90.75,88.29,88.29,23378.0
2010-03-26,89.38,91.84,89.11,91.56,30510.0
2010-03-29,90.47,91.56,89.66,91.02,45240.0
2010-03-30,91.02,91.84,88.84,89.66,41289.0
2010-03-31,89.38,91.02,87.75,88.02,49426.0
2010-04-01,88.02,88.57,87.48,88.02,32517.0
2010-04-06,88.29,89.66,88.02,88.02,55303.0
2010-04-07,88.02,88.84,88.02,88.29,16410.0
2010-04-08,88.29,90.47,88.29,90.47,22681.0
2010-04-09,90.75,91.29,89.66,90.47,13534.0
2010-04-12,91.29,92.11,91.02,91.56,16938.0
2010-04-13,92.11,92.11,90.47,90.75,14200.0
2010-04-14,91.02,92.11,91.02,91.29,14603.0
2010-04-15,91.29,92.38,91.02,91.84,9113.0
