Date,Open,High,Low,Close,Volume
2010-01-04,31.42,33.19,31.42,33.19,12434.0
2010-01-05,33.19,33.63,32.39,33.19,3492.0
2010-01-07,34.43,34.43,32.75,33.63,15085.0
2010-01-08,32.75,33.19,32.57,33.19,7430.0
2010-01-11,33.19,33.63,32.75,33.37,16758.0
2010-01-12,33.19,33.19,32.84,32.84,2432.0
2010-01-13,32.75,33.1,32.75,33.1,4556.0
2010-01-14,33.1,34.25,33.1,33.54,11523.0
2010-01-15,33.19,35.23,33.19,34.34,5184.0
2010-01-18,34.87,34.87,34.34,34.34,2710.0
2010-01-19,34.43,34.52,33.63,34.52,9414.0
2010-01-20,33.81,34.52,33.81,34.52,5591.0
2010-01-21,34.96,35.67,34.52,35.23,8677.0
2010-01-22,35.4,36.29,35.4,35.85,3623.0
2010-01-25,35.85,35.85,33.81,35.4,7431.0
2010-01-26,35.14,35.31,34.16,34.52,8949.0
2010-01-27,34.69,34.69,33.63,33.72,5252.0
2010-01-28,32.75,32.75,31.24,32.57,27440.0
2010-01-29,33.01,33.01,31.86,32.57,6370.0
2010-02-01,30.98,32.57,30.98,32.04,21818.0
2010-02-02,31.86,31.86,30.98,31.42,7876.0
2010-02-03,31.51,31.6,31.15,31.51,6667.0
2010-02-04,31.51,31.51,31.15,31.15,4365.0
2010-02-05,30.98,31.42,30.18,30.45,20038.0
2010-02-08,30.27,30.27,28.32,29.21,15300.0
2010-02-09,28.94,29.65,28.94,29.21,4800.0
2010-02-10,29.21,29.38,28.76,28.76,6800.0
2010-02-11,29.21,29.21,29.21,29.21,980.0
2010-02-12,30.45,30.45,29.21,29.21,5000.0
2010-02-15,28.41,29.21,27.44,28.32,10200.0
2010-02-16,28.76,29.21,28.32,29.21,3200.0
2010-02-17,29.21,29.21,27.88,29.21,2100.0
2010-02-18,29.21,29.56,28.32,28.32,5382.0
2010-02-19,28.68,29.38,28.68,29.38,3250.0
2010-02-22,29.56,29.65,29.21,29.21,4024.0
2010-02-23,29.38,29.65,28.32,29.12,9050.0
2010-02-24,29.21,29.21,28.41,28.5,4875.0
2010-02-25,28.76,28.76,28.32,28.41,4800.0
2010-02-26,28.41,29.12,28.32,29.12,1285.0
2010-03-01,28.41,29.12,28.23,29.12,3590.0
2010-03-02,28.76,29.03,28.41,29.03,6230.0
2010-03-03,29.21,29.21,28.5,28.68,9187.0
2010-03-04,28.23,28.94,28.23,28.94,4048.0
2010-03-05,29.03,29.65,29.03,29.65,9689.0
2010-03-08,30.27,30.27,29.74,29.74,6377.0
2010-03-09,29.74,30.09,29.03,29.21,6200.0
2010-03-10,30.09,30.09,29.21,30.0,2850.0
2010-03-11,30.09,30.53,30.09,30.09,7833.0
2010-03-12,30.09,30.36,28.94,30.36,11477.0
2010-03-15,29.65,30.45,29.65,30.09,8477.0
2010-03-16,30.09,30.53,29.65,30.53,3766.0
2010-03-17,30.53,30.89,30.09,30.27,7946.0
2010-03-18,30.45,30.53,30.27,30.27,10479.0
2010-03-19,30.27,30.71,29.65,30.53,3331.0
2010-03-22,30.53,30.53,30.09,30.45,13503.0
2010-03-23,30.45,30.98,30.09,30.18,2758.0
2010-03-24,30.18,30.27,29.65,29.65,10048.0
2010-03-25,30.09,30.09,29.3,29.74,13674.0
2010-03-26,30.09,30.09,29.47,29.47,10499.0
2010-03-29,30.09,30.36,29.65,30.36,6215.0
2010-03-30,30.09,30.09,29.74,29.83,5850.0
2010-03-31,29.92,30.09,29.83,29.83,3189.0
2010-04-01,30.09,30.45,30.09,30.09,3417.0
2010-04-06,30.53,30.53,29.47,29.47,12011.0
2010-04-07,30.36,30.36,29.38,29.47,10649.0
2010-04-08,29.65,30.0,29.65,29.65,6479.0
2010-04-09,29.74,30.09,29.74,30.09,8004.0
2010-04-12,30.09,30.71,30.09,30.62,21346.0
2010-04-13,30.45,30.45,30.09,30.09,3889.0
2010-04-14,30.09,30.09,29.65,30.09,37090.0
2010-04-15,30.09,30.27,29.74,30.27,11638.0
2010-04-16,30.62,30.98,30.36,30.53,15788.0
2010-04-19,30.98,31.42,29.74,31.42,9911.0
2010-04-20,31.42,31.42,30.98,31.42,8316.0
2010-04-21,30.98,31.51,30.62,31.51,4804.0
2010-04-22,30.8,31.77,29.65,30.45,10461.0
2010-04-23,31.63,31.63,29.9,30.08,6168.0
2010-04-26,30.54,31.45,30.54,30.54,15336.0
2010-04-27,30.99,30.99,29.99,29.99,6522.0
2010-04-28,30.54,30.54,30.26,30.26,11695.0
2010-04-29,30.26,30.99,30.08,30.17,5244.0
2010-04-30,30.17,30.9,30.08,30.9,5160.0
2010-05-03,30.81,30.99,30.81,30.99,5133.0
2010-05-04,30.45,30.99,29.99,29.99,8902.0
2010-05-05,30.72,30.72,28.71,28.71,24639.0
2010-05-06,28.44,28.9,27.44,27.89,26924.0
2010-05-07,27.99,27.99,26.44,26.44,20867.0
2010-05-10,27.44,30.17,27.44,27.53,12188.0
2010-05-11,27.62,28.71,27.62,28.44,6788.0
2010-05-12,28.62,29.17,28.62,29.17,3065.0
2010-05-14,29.35,29.53,28.81,28.81,1406.0
2010-05-17,28.71,29.9,27.8,29.08,6704.0
2010-05-18,29.08,29.08,28.35,28.9,1570.0
2010-05-19,28.71,28.71,27.89,27.89,1595.0
2010-05-20,27.53,28.26,27.44,27.44,4130.0
2010-05-21,27.35,28.08,27.35,27.99,3384.0
2010-05-24,28.26,28.26,27.35,27.53,5810.0
2010-05-25,27.8,27.99,26.71,27.35,6167.0
2010-05-26,28.26,28.35,26.44,27.44,11080.0
2010-05-27,27.16,28.08,27.16,28.08,3528.0
2010-05-28,27.53,28.26,27.53,27.99,4110.0
2010-05-31,27.99,27.99,27.62,27.8,1611.0
2010-06-01,27.8,27.8,27.8,27.8,580.0
2010-06-02,27.8,28.35,27.8,27.8,12991.0
2010-06-03,28.26,28.26,27.8,28.26,3340.0
2010-06-04,28.44,28.53,28.26,28.44,3225.0
2010-06-07,28.26,28.26,27.8,27.8,2150.0
2010-06-08,27.8,27.8,26.98,27.53,6667.0
2010-06-09,27.53,27.8,26.98,27.35,6430.0
2010-06-10,26.98,27.8,26.89,27.8,1440.0
2010-06-11,27.8,27.8,27.35,27.71,5500.0
2010-06-14,27.71,27.8,27.35,27.35,10895.0
2010-06-15,27.62,27.8,27.35,27.8,13336.0
2010-06-16,28.26,28.26,27.35,27.8,5456.0
2010-06-17,28.26,28.44,27.53,28.17,13320.0
2010-06-18,27.62,28.26,27.53,27.53,2250.0
2010-06-21,27.99,28.44,27.62,28.44,3733.0
2010-06-22,28.53,28.9,27.62,27.62,2638.0
2010-06-23,28.08,28.08,28.08,28.08,500.0
2010-06-24,27.62,28.53,26.44,28.26,9421.0
2010-06-28,27.35,28.26,27.26,27.71,3454.0
2010-06-29,27.07,28.08,26.89,28.08,4766.0
2010-06-30,27.89,28.08,27.07,27.99,1754.0
2010-07-01,26.89,27.99,26.89,27.53,2395.0
2010-07-02,27.35,27.53,26.53,27.35,4313.0
2010-07-05,27.53,27.8,25.62,27.71,3099.0
2010-07-06,27.44,27.71,27.07,27.71,898.0
