Date,Open,High,Low,Close,Volume
2017-06-21,65.37,74.61,64.91,68.37,1231543.0
2017-06-22,69.76,75.53,69.76,74.84,210165.0
2017-06-23,74.84,74.84,74.84,74.84,0.0
2017-06-26,76.22,79.69,72.99,73.91,299092.0
2017-06-27,73.68,74.38,72.99,73.91,67825.0
2017-06-28,74.84,75.76,73.45,75.76,100370.0
2017-06-29,76.46,76.46,73.91,73.91,59560.0
2017-06-30,73.91,75.76,73.91,75.3,57738.0
2017-07-03,74.61,80.38,74.61,78.77,292194.0
2017-07-04,79.92,82.69,78.53,78.77,41933.0
2017-07-05,79.46,82.46,78.77,80.61,269688.0
2017-07-06,81.77,82.92,79.69,81.31,103393.0
2017-07-07,81.31,83.15,80.61,81.54,51143.0
2017-07-10,80.38,83.62,79.69,83.38,19838.0
2017-07-11,83.62,84.77,81.54,83.85,53959.0
2017-07-12,83.38,84.54,82.23,83.15,97334.0
2017-07-13,83.15,83.62,81.07,82.92,95620.0
2017-07-14,81.31,83.38,80.38,80.84,99832.0
2017-07-17,80.38,82.0,79.92,81.31,12641.0
2017-07-18,81.54,83.38,81.54,83.38,14855.0
2017-07-19,83.38,83.38,82.23,83.15,116399.0
2017-07-20,82.23,82.23,75.99,79.46,86804.0
2017-07-21,78.53,79.69,78.07,78.53,56939.0
2017-07-24,79.46,79.46,78.07,78.53,23946.0
2017-07-25,78.07,78.53,75.99,77.84,16258.0
2017-07-26,76.22,78.53,75.76,77.84,59210.0
2017-07-27,75.99,83.85,75.76,77.61,50623.0
2017-07-28,76.22,78.53,76.22,77.61,9652.0
2017-07-31,77.38,77.61,75.99,76.92,37017.0
2017-08-01,76.69,77.61,76.46,76.69,32661.0
2017-08-02,75.99,77.38,75.76,77.38,31125.0
2017-08-03,76.69,78.53,76.69,78.53,11380.0
2017-08-04,79.0,79.0,76.92,78.53,18562.0
2017-08-07,83.38,85.69,79.92,79.92,71202.0
2017-08-08,80.15,82.46,79.0,79.46,27350.0
2017-08-09,79.46,79.46,78.53,79.46,30970.0
2017-08-10,79.69,79.92,78.53,78.53,20312.0
2017-08-11,78.53,79.69,76.69,79.46,33600.0
2017-08-14,82.0,84.08,81.31,82.92,41451.0
2017-08-15,83.15,84.54,82.69,83.62,33127.0
2017-08-16,85.0,85.0,82.46,83.15,41463.0
2017-08-17,83.38,83.38,80.84,82.69,32768.0
2017-08-18,82.69,83.62,80.61,83.62,18577.0
2017-08-21,83.38,83.38,82.23,83.15,9639.0
2017-08-22,82.92,83.85,81.31,83.15,213908.0
2017-08-23,83.15,83.38,82.0,82.92,13591.0
2017-08-24,82.92,83.38,80.84,82.69,75208.0
2017-08-25,81.31,81.54,80.38,80.84,30363.0
2017-08-28,80.61,82.46,79.46,80.38,16240.0
2017-08-29,80.38,80.38,76.92,79.46,95435.0
2017-08-30,79.92,79.92,78.07,78.53,10720.0
2017-08-31,78.77,79.46,78.3,79.23,13305.0
2017-09-01,79.23,79.23,75.99,75.99,86165.0
2017-09-04,75.99,76.92,73.22,74.15,15224.0
2017-09-05,74.15,75.3,73.22,75.07,14898.0
2017-09-06,75.07,76.22,74.84,75.3,12938.0
2017-09-07,75.3,75.3,72.53,74.15,17048.0
2017-09-08,74.84,76.69,74.84,76.22,11597.0
2017-09-11,76.22,77.84,75.3,76.69,38809.0
2017-09-12,77.15,77.15,75.3,76.69,46608.0
2017-09-13,76.69,76.69,75.07,75.99,31475.0
2017-09-14,76.22,76.69,76.22,76.69,10465.0
2017-09-15,76.69,76.69,75.76,75.76,17215.0
2017-09-18,75.99,76.46,75.76,76.22,11323.0
2017-09-19,76.22,76.22,75.76,75.76,7081.0
2017-09-20,75.76,76.92,75.53,76.92,56864.0
2017-09-21,76.92,77.15,75.76,77.15,66257.0
2017-09-22,77.61,78.3,76.46,77.15,7442.0
2017-09-25,75.76,77.61,75.76,76.92,208035.0
2017-09-26,76.92,78.53,75.99,78.53,17586.0
2017-09-27,78.53,80.84,77.84,79.46,12318.0
2017-09-28,79.46,80.38,79.23,80.38,18250.0
2017-09-29,80.38,81.77,79.92,80.38,32605.0
2017-10-02,80.15,81.31,79.46,81.31,27822.0
2017-10-03,82.23,83.15,80.61,80.84,9019.0
2017-10-04,81.07,82.69,80.84,82.46,7160.0
2017-10-05,82.23,83.38,81.31,83.38,287970.0
2017-10-06,83.38,85.0,83.15,84.31,24677.0
2017-10-09,84.08,85.0,83.15,85.0,10327.0
2017-10-10,83.15,85.93,83.15,85.23,18042.0
2017-10-11,85.23,85.23,84.08,84.54,13681.0
2017-10-12,84.54,87.08,84.08,85.0,20187.0
2017-10-13,85.93,86.62,85.0,85.93,19238.0
2017-10-16,84.77,85.0,83.15,84.08,30057.0
2017-10-17,84.31,84.54,79.69,83.62,10139.0
2017-10-18,81.77,83.62,80.84,83.38,12993.0
2017-10-19,82.23,83.38,81.31,82.69,7827.0
2017-10-20,83.38,83.62,81.07,83.62,10983.0
2017-10-23,83.62,87.77,82.23,86.16,15969.0
2017-10-24,86.85,87.31,86.16,86.85,64313.0
2017-10-25,86.85,88.7,83.15,86.39,37943.0
2017-10-26,86.39,86.62,82.69,85.46,18055.0
2017-10-27,86.16,92.39,86.16,89.62,43104.0
2017-10-30,89.85,92.39,89.85,92.16,18042.0
2017-10-31,92.39,96.09,91.93,95.16,16092.0
2017-11-01,95.16,100.71,94.24,94.24,196028.0
2017-11-02,94.24,97.01,94.24,95.63,19041.0
2017-11-03,96.78,97.01,94.24,96.09,11622.0
2017-11-06,99.78,99.78,96.78,99.32,55758.0
2017-11-07,99.32,102.33,98.4,98.86,30621.0
2017-11-08,98.86,100.25,92.86,93.55,39373.0
2017-11-09,93.55,94.7,88.47,88.93,19375.0
2017-11-10,88.93,91.7,88.93,90.55,11485.0
2017-11-13,90.55,92.62,88.24,88.24,33247.0
2017-11-14,87.77,90.55,86.62,87.08,12811.0
2017-11-15,87.08,89.85,87.08,88.7,9777.0
2017-11-16,88.7,92.39,88.7,91.24,159146.0
2017-11-17,94.24,101.86,88.93,89.16,13774.0
2017-11-20,88.7,91.24,85.93,90.08,11869.0
2017-11-21,94.01,94.01,89.62,89.85,34781.0
2017-11-22,90.78,93.78,90.55,92.39,18998.0
2017-11-23,93.32,93.55,91.47,92.16,5080.0
2017-11-24,92.16,93.78,91.47,92.16,6834.0
2017-11-27,92.39,96.55,90.08,92.16,21263.0
2017-11-28,91.47,91.47,89.39,89.85,14572.0
2017-11-29,90.55,93.32,89.39,93.32,25580.0
2017-11-30,93.32,103.48,91.24,98.86,34288.0
2017-12-01,98.86,98.86,93.78,97.94,9505.0
2017-12-04,96.55,97.01,93.32,96.55,15170.0
2017-12-05,93.55,97.01,93.55,96.55,16923.0
2017-12-06,95.16,96.55,92.39,96.09,20599.0
2017-12-07,96.09,98.86,94.24,96.78,16942.0
2017-12-08,94.47,96.55,94.47,95.63,15327.0
2017-12-11,95.63,97.01,94.24,94.47,23880.0
2017-12-12,94.47,96.09,92.62,95.16,28898.0
2017-12-13,95.16,96.78,94.24,94.7,17050.0
2017-12-14,94.24,96.09,93.55,95.16,21315.0
2017-12-15,96.09,96.55,94.24,95.63,24478.0
2017-12-18,95.63,97.47,94.93,95.63,22444.0
2017-12-19,95.16,100.94,95.16,99.32,519039.0
2017-12-20,100.71,101.63,99.32,100.71,126021.0
2017-12-21,100.71,104.64,95.63,99.78,37675.0
2017-12-22,99.78,100.02,99.09,99.09,18989.0
2017-12-27,97.47,102.56,96.09,102.56,12875.0
2017-12-28,103.48,107.18,100.71,105.1,14827.0
2017-12-29,105.1,107.64,103.48,107.64,18017.0
2018-01-02,107.18,107.18,99.41,99.41,39535.0
2018-01-03,101.45,105.88,100.52,105.7,34915.0
2018-01-04,105.88,105.88,103.48,104.4,15556.0
2018-01-05,104.22,104.77,103.85,104.4,53134.0
2018-01-08,104.22,111.8,103.48,108.1,19991.0
2018-01-09,105.33,110.87,105.33,109.58,12926.0
2018-01-10,109.58,110.32,104.22,104.77,18716.0
2018-01-11,104.77,107.55,104.4,104.4,1329115.0
2018-01-12,106.99,106.99,102.0,102.74,22738.0
2018-01-15,100.71,104.03,100.71,101.26,18727.0
2018-01-16,100.89,103.48,100.15,103.48,11784.0
2018-01-17,103.48,105.14,102.0,103.3,16973.0
2018-01-18,103.3,105.33,102.56,104.4,8326.0
2018-01-19,104.03,104.4,102.56,102.56,8163.0
2018-01-22,102.56,102.74,99.23,100.15,19292.0
2018-01-23,102.19,102.19,97.94,98.49,14155.0
2018-01-24,98.12,98.31,94.61,95.53,30182.0
2018-01-25,95.53,97.38,94.98,95.16,11422.0
2018-01-26,95.53,100.15,95.35,98.31,19520.0
2018-01-29,97.94,101.45,97.94,100.52,16520.0
2018-01-30,99.23,100.15,99.23,99.97,14488.0
2018-01-31,99.97,101.45,98.49,100.15,8120.0
2018-02-01,100.34,101.08,100.15,100.89,17675.0
2018-02-02,100.89,101.08,96.46,96.46,9303.0
2018-02-05,92.39,94.98,90.45,92.39,62963.0
2018-02-06,85.0,95.16,79.46,94.43,36737.0
2018-02-07,95.35,99.78,95.16,99.23,16157.0
2018-02-08,99.05,99.23,95.72,97.2,14622.0
2018-02-09,99.23,102.56,99.05,100.34,51832.0
2018-02-12,102.56,104.77,96.83,100.71,43394.0
2018-02-13,100.71,103.48,99.78,102.0,21873.0
2018-02-14,102.0,103.85,100.89,103.3,6738.0
2018-02-15,103.48,105.33,100.89,105.14,19484.0
2018-02-16,108.28,108.28,102.0,105.88,10719.0
2018-02-19,107.18,108.84,104.03,104.03,62248.0
2018-02-20,104.59,106.25,104.03,105.14,27191.0
2018-02-21,107.18,107.18,102.56,103.48,7325.0
2018-02-22,103.85,104.4,101.63,103.66,13186.0
2018-02-23,104.22,105.14,103.3,103.48,5105.0
2018-02-26,103.48,103.48,100.71,101.45,5511.0
2018-02-27,102.0,102.0,100.52,101.63,5445.0
2018-02-28,100.71,102.56,100.71,101.45,7145.0
2018-03-01,99.97,101.45,98.12,99.41,4442.0
2018-03-02,97.94,100.52,97.38,100.52,9917.0
2018-03-05,98.12,100.71,98.12,100.15,4524.0
2018-03-06,99.23,102.0,99.23,101.08,21924.0
