Date,Open,High,Low,Close,Volume
2011-05-26,31.0,31.0,28.1,28.7,59577.0
2011-05-27,28.4,28.5,28.0,28.2,22214.0
2011-05-30,28.1,28.1,27.3,27.5,17000.0
2011-05-31,27.4,27.4,25.7,25.8,32750.0
2011-06-01,26.5,26.5,25.5,26.3,4099.0
2011-06-03,25.8,25.8,25.1,25.3,9051.0
2011-06-07,24.5,26.0,24.5,26.0,32676.0
2011-06-08,26.0,26.0,24.3,25.0,13374.0
2011-06-09,24.1,24.1,23.5,24.0,16300.0
2011-06-10,25.2,25.2,23.3,24.0,16256.0
2011-06-13,25.0,25.0,24.2,25.0,5420.0
2011-06-14,24.2,24.2,24.2,24.2,600.0
2011-06-15,24.2,24.2,23.8,23.8,4900.0
2011-06-16,24.6,24.6,23.2,23.4,6856.0
2011-06-17,24.0,24.4,24.0,24.0,2690.0
2011-06-20,23.0,23.0,22.0,22.5,20750.0
2011-06-21,21.8,23.0,21.7,23.0,6610.0
2011-06-22,22.2,23.1,21.8,23.1,4955.0
2011-06-23,22.5,22.6,22.5,22.6,2100.0
2011-06-27,22.6,22.6,22.5,22.5,21400.0
2011-06-28,21.8,22.5,21.7,22.5,1988.0
2011-06-29,22.1,22.7,21.7,22.7,5640.0
2011-06-30,22.7,23.9,22.0,23.9,3560.0
2011-07-01,23.5,23.5,23.5,23.5,50.0
2011-07-04,23.5,23.5,22.5,23.4,34420.0
2011-07-05,23.5,23.5,23.5,23.5,400.0
2011-07-06,23.8,23.9,22.7,22.7,5000.0
2011-07-07,22.3,22.3,22.3,22.3,1210.0
2011-07-08,22.3,23.2,22.0,22.0,7173.0
2011-07-11,22.3,22.4,22.2,22.3,15427.0
2011-07-12,23.1,23.1,22.5,22.7,13076.0
2011-07-13,22.4,22.7,22.4,22.5,10000.0
2011-07-14,22.4,23.1,22.4,22.4,9500.0
2011-07-15,22.4,22.4,22.4,22.4,232.0
2011-07-18,22.3,22.3,21.7,21.7,2450.0
2011-07-19,21.7,22.1,21.7,21.7,2005.0
2011-07-20,22.2,22.7,22.2,22.7,137.0
2011-07-22,22.7,22.7,21.8,22.5,1154.0
2011-07-25,23.1,23.1,21.5,21.5,3900.0
2011-07-26,21.7,22.7,21.3,21.3,6013.0
2011-07-27,22.6,22.6,21.0,21.0,17211.0
2011-07-28,20.9,20.9,18.4,20.4,51318.0
2011-07-29,20.2,21.0,19.4,21.0,12576.0
2011-08-01,21.3,21.4,20.2,20.2,9767.0
2011-08-02,20.1,20.1,19.3,20.0,5076.0
2011-08-03,19.9,19.9,18.7,19.1,19205.0
2011-08-04,18.7,19.0,17.9,18.1,6424.0
2011-08-05,18.0,19.0,15.0,19.0,15479.0
2011-08-08,19.8,19.8,16.7,16.7,1855.0
2011-08-09,18.6,18.6,17.0,18.1,7275.0
2011-08-10,18.6,20.8,18.6,19.8,31927.0
2011-08-11,19.9,20.3,19.9,20.1,5851.0
2011-08-12,20.1,20.1,19.6,20.0,15380.0
2011-08-15,20.8,20.8,19.2,20.0,4600.0
2011-08-16,20.0,21.0,19.6,20.0,22460.0
2011-08-17,20.4,20.5,20.0,20.5,7102.0
2011-08-18,20.5,20.5,19.3,20.0,6353.0
2011-08-19,19.4,19.9,18.8,19.8,2390.0
2011-08-22,19.8,20.0,19.8,20.0,3691.0
2011-08-23,20.3,20.3,20.3,20.3,370.0
2011-08-24,20.2,20.2,20.2,20.2,515.0
2011-08-25,20.2,20.2,19.5,20.0,1097.0
2011-08-26,20.2,20.2,19.2,19.2,3225.0
2011-08-29,20.2,20.2,20.2,20.2,10.0
2011-08-31,20.4,21.0,20.2,21.0,6690.0
2011-09-05,21.0,21.0,19.1,19.3,4360.0
2011-09-06,20.0,20.9,19.6,20.7,3810.0
2011-09-07,20.8,20.8,20.8,20.8,30.0
2011-09-09,20.2,20.2,20.1,20.1,1010.0
2011-09-12,20.1,20.1,19.6,19.8,800.0
2011-09-13,19.3,20.0,19.0,19.5,1396.0
2011-09-14,19.9,19.9,19.9,19.9,1010.0
2011-09-15,20.0,20.5,19.3,20.1,5950.0
2011-09-16,20.1,20.5,19.4,19.4,1800.0
2011-09-19,19.6,22.5,19.6,22.5,25233.0
2011-09-20,22.5,22.5,22.0,22.0,1210.0
2011-09-21,22.5,22.5,21.1,21.1,3191.0
2011-09-22,22.4,22.4,21.0,21.1,5802.0
2011-09-23,21.8,21.8,20.1,20.1,10438.0
2011-09-26,20.6,20.6,20.0,20.2,96.0
2011-09-27,21.7,21.7,20.3,20.3,1948.0
2011-09-28,21.5,21.5,20.3,21.1,2650.0
2011-09-29,20.5,21.1,20.5,21.1,2856.0
2011-09-30,21.5,21.7,19.6,20.7,9695.0
2011-10-03,19.8,20.9,19.8,20.9,21.0
2011-10-04,19.6,20.8,19.3,20.7,1020.0
2011-10-06,20.1,20.9,20.1,20.9,1420.0
2011-10-07,20.9,21.3,20.8,21.1,10464.0
2011-10-10,20.2,21.5,20.2,21.5,7025.0
2011-10-11,21.7,21.8,20.6,20.6,1011.0
2011-10-12,21.8,22.4,20.2,22.4,7401.0
2011-10-13,22.0,22.4,22.0,22.4,410.0
2011-10-14,20.7,20.7,20.7,20.7,400.0
2011-10-17,22.3,22.3,20.8,21.5,2638.0
2011-10-18,22.2,22.3,22.2,22.3,1209.0
2011-10-19,22.3,22.4,20.4,20.4,8270.0
2011-10-20,22.3,22.4,22.0,22.4,3820.0
2011-10-21,22.5,22.5,22.4,22.4,20.0
2011-10-24,21.5,22.5,20.6,20.8,641.0
2011-10-25,22.1,22.6,21.0,21.0,6809.0
2011-10-26,22.6,22.6,21.1,21.2,580.0
2011-10-27,22.4,22.5,20.4,21.1,11743.0
2011-10-28,22.8,23.7,22.8,23.0,22693.0
2011-10-31,23.5,23.5,23.4,23.4,210.0
2011-11-01,23.4,23.4,22.8,23.0,3705.0
2011-11-03,23.0,24.5,22.9,24.5,52255.0
2011-11-04,24.5,24.5,24.5,24.5,8540.0
2011-11-07,24.5,24.5,23.7,24.4,1805.0
2011-11-08,23.7,24.0,21.1,23.5,8475.0
2011-11-09,24.0,24.5,23.5,23.5,6471.0
2011-11-10,24.5,24.5,22.5,24.4,2271.0
2011-11-11,24.4,24.4,23.1,24.3,2269.0
2011-11-14,24.5,24.5,23.1,24.5,2455.0
2011-11-15,23.5,24.0,23.0,23.0,5301.0
2011-11-16,22.9,23.5,22.6,23.5,6410.0
2011-11-17,22.6,23.0,22.6,23.0,4366.0
2011-11-18,22.9,24.0,22.8,24.0,2101.0
2011-11-21,23.9,23.9,23.9,23.9,2000.0
2011-11-22,23.9,23.9,23.9,23.9,0.0
2011-11-24,23.0,23.5,23.0,23.5,1552.0
2011-11-25,22.8,23.4,22.8,23.4,1234.0
2011-11-28,23.5,23.5,22.0,22.0,231.0
2011-11-29,22.0,23.4,22.0,22.5,970.0
2011-11-30,22.5,23.5,22.2,22.6,2263.0
2011-12-01,23.4,24.9,23.4,24.9,20139.0
2011-12-02,24.9,24.9,24.5,24.9,2687.0
2011-12-05,24.9,25.0,24.9,25.0,1773.0
2011-12-06,25.0,25.0,25.0,25.0,0.0
2011-12-07,24.0,24.5,23.0,23.0,7001.0
2011-12-08,23.8,24.0,23.5,23.5,4550.0
2011-12-09,24.5,24.5,24.5,24.5,1000.0
2011-12-12,23.8,23.9,23.5,23.9,7510.0
2011-12-13,23.8,23.8,22.0,23.2,21045.0
2011-12-14,22.3,24.3,22.3,24.3,1840.0
2011-12-15,22.0,23.2,22.0,23.1,825.0
2011-12-16,24.4,24.4,22.8,23.2,1510.0
2011-12-19,22.9,22.9,22.6,22.6,3322.0
2011-12-20,22.5,22.5,22.5,22.5,245.0
2011-12-21,22.5,22.5,22.3,22.3,1050.0
2011-12-22,22.5,24.5,21.7,23.5,5250.0
2011-12-23,23.5,23.5,23.5,23.5,0.0
2011-12-27,22.5,22.5,22.5,22.5,997.0
2011-12-28,23.0,24.5,22.2,24.5,3095.0
2011-12-29,22.5,24.5,22.5,24.5,456.0
2011-12-30,24.5,24.5,24.5,24.5,0.0
2012-01-02,23.0,23.5,23.0,23.5,1001.0
2012-01-05,23.0,23.0,23.0,23.0,4000.0
2012-01-09,24.0,24.0,23.5,23.5,1525.0
2012-01-10,23.7,23.7,23.7,23.7,6700.0
2012-01-11,23.0,23.0,23.0,23.0,1700.0
2012-01-12,23.5,23.5,23.5,23.5,1000.0
2012-01-13,22.5,22.5,22.5,22.5,500.0
2012-01-16,22.8,22.8,22.8,22.8,200.0
2012-01-17,24.0,24.0,23.0,23.0,4205.0
2012-01-18,23.8,23.8,23.5,23.5,150.0
2012-01-19,22.7,23.7,22.7,23.0,3950.0
2012-01-20,23.1,23.7,23.0,23.0,1050.0
2012-01-23,23.0,23.0,23.0,23.0,0.0
