Date,Open,High,Low,Close,Volume
2010-06-18,14.84,15.02,14.21,14.3,4874577.0
2010-06-21,14.39,14.48,14.25,14.3,1591408.0
2010-06-22,14.39,14.48,14.21,14.39,957311.0
2010-06-23,14.57,14.61,13.53,13.71,1474590.0
2010-06-24,13.94,13.98,13.53,13.98,463719.0
2010-06-28,14.16,14.39,13.4,14.39,841803.0
2010-06-29,14.12,14.16,13.49,13.62,605925.0
2010-06-30,13.71,13.85,13.58,13.58,480984.0
2010-07-01,13.58,13.58,13.22,13.26,176936.0
2010-07-02,13.26,13.71,13.26,13.49,150584.0
2010-07-05,13.67,13.94,13.31,13.8,54138.0
2010-07-06,13.89,13.94,13.53,13.8,132136.0
2010-07-07,13.8,13.8,13.35,13.58,153015.0
2010-07-08,13.58,13.62,13.26,13.49,109696.0
2010-07-09,13.49,13.76,13.17,13.35,145675.0
2010-07-12,13.13,13.85,13.04,13.85,153423.0
2010-07-13,13.85,13.94,13.44,13.58,106360.0
2010-07-14,13.85,13.85,13.26,13.49,107985.0
2010-07-15,13.44,13.58,13.04,13.49,257226.0
2010-07-16,13.49,13.8,13.35,13.49,124818.0
2010-07-19,13.76,13.76,13.17,13.4,39443.0
2010-07-20,13.62,13.62,12.95,13.17,155354.0
2010-07-21,13.4,13.4,12.95,13.31,98220.0
2010-07-22,13.26,13.44,12.86,13.31,133983.0
2010-07-23,13.31,13.31,12.9,12.99,59923.0
2010-07-26,13.04,13.04,12.77,12.9,42477.0
2010-07-27,12.81,12.95,12.59,12.86,49054.0
2010-07-28,12.95,12.95,12.54,12.72,110753.0
2010-07-29,12.63,12.99,12.41,12.81,40611.0
2010-07-30,12.81,12.99,12.63,12.95,47057.0
2010-08-02,13.31,13.49,13.04,13.35,86338.0
2010-08-03,13.35,13.44,13.17,13.26,34355.0
2010-08-04,13.22,13.4,13.04,13.4,65264.0
2010-08-05,13.4,13.49,13.17,13.35,233042.0
2010-08-06,13.35,13.49,13.17,13.31,46789.0
2010-08-09,13.62,13.94,13.49,13.58,247022.0
2010-08-10,13.53,13.53,13.17,13.49,55064.0
2010-08-11,13.49,13.49,13.04,13.17,73973.0
2010-08-12,13.67,13.67,12.9,12.99,82819.0
2010-08-13,13.04,13.04,12.59,12.81,286897.0
2010-08-16,12.86,12.99,12.5,12.72,114706.0
2010-08-17,12.81,12.99,12.54,12.99,221032.0
2010-08-18,13.13,13.13,12.9,12.99,58405.0
2010-08-19,12.99,12.99,12.86,12.86,24399.0
2010-08-20,12.81,12.86,12.63,12.81,61368.0
2010-08-23,12.59,12.72,12.45,12.59,33333.0
2010-08-24,12.5,12.68,12.19,12.41,120239.0
2010-08-25,12.28,12.37,11.92,12.28,114250.0
2010-08-26,12.54,12.54,12.1,12.28,61074.0
2010-08-27,12.14,12.37,12.05,12.28,145149.0
2010-08-30,12.32,12.32,12.1,12.28,17869.0
2010-08-31,12.28,12.28,11.92,12.05,45368.0
2010-09-01,12.41,12.59,12.19,12.59,188321.0
2010-09-02,12.59,12.77,12.59,12.68,161637.0
2010-09-03,12.77,13.04,12.72,13.04,113159.0
2010-09-06,13.04,13.26,12.99,13.17,99507.0
2010-09-07,13.17,13.17,12.95,13.04,89589.0
