Date,Open,High,Low,Close,Volume
2011-12-27,11.88,11.88,11.35,11.66,5278.0
2011-12-28,11.43,11.81,11.12,11.58,10733.0
2011-12-29,11.35,11.35,11.12,11.28,11039.0
2011-12-30,11.28,11.28,11.28,11.28,0.0
2012-01-02,11.43,12.19,11.43,12.04,6612.0
2012-01-03,12.19,12.19,11.96,11.96,3582.0
2012-01-04,12.11,12.11,11.66,11.81,8170.0
2012-01-05,11.66,11.81,11.66,11.81,4020.0
2012-01-09,11.58,11.58,11.35,11.35,28091.0
2012-01-10,11.5,11.81,11.5,11.81,7746.0
2012-01-11,11.88,11.88,11.5,11.58,27731.0
2012-01-12,11.81,11.81,11.35,11.73,33387.0
2012-01-13,11.66,11.66,11.35,11.58,6596.0
2012-01-16,11.43,11.5,11.12,11.43,12417.0
2012-01-17,11.2,12.95,11.12,12.65,122812.0
2012-01-18,12.72,12.72,12.19,12.19,86915.0
2012-01-19,12.19,12.27,12.04,12.27,19269.0
2012-01-20,12.27,12.42,12.19,12.42,22057.0
2012-01-23,12.19,12.19,12.19,12.19,900.0
2012-01-24,12.27,12.42,12.19,12.42,2800.0
2012-01-25,12.42,13.26,12.34,13.03,142803.0
2012-01-26,13.26,13.48,13.18,13.26,35856.0
2012-01-27,13.56,14.55,13.56,14.55,77609.0
2012-01-30,14.55,14.63,13.71,14.09,56119.0
2012-01-31,14.09,14.25,14.02,14.25,9702.0
2012-02-01,14.25,15.24,14.25,15.24,154092.0
2012-02-02,15.24,15.54,14.78,15.16,64793.0
2012-02-03,13.94,13.94,13.1,13.56,178902.0
2012-02-06,13.64,13.64,13.18,13.41,79494.0
2012-02-07,13.48,13.48,12.95,13.18,31534.0
2012-02-08,13.33,13.33,12.95,13.1,10205.0
2012-02-09,12.95,13.26,12.88,12.95,13806.0
2012-02-10,13.03,13.26,12.95,12.95,8341.0
2012-02-13,12.95,12.95,12.57,12.88,30078.0
2012-02-14,12.72,12.95,12.42,12.88,10148.0
2012-02-15,12.88,13.26,12.72,13.1,11737.0
2012-02-16,13.1,13.1,12.8,13.03,11240.0
2012-02-17,12.72,12.88,12.49,12.72,17852.0
2012-02-20,12.88,13.03,12.65,12.88,16505.0
2012-02-21,12.95,13.1,12.95,13.1,35272.0
2012-02-22,13.18,13.18,12.8,12.88,5526.0
2012-02-23,12.88,12.95,12.8,12.8,3743.0
2012-02-24,12.8,12.95,12.57,12.88,19840.0
2012-02-27,12.88,12.88,12.65,12.65,11500.0
2012-02-28,12.65,12.88,12.49,12.65,19140.0
2012-02-29,12.65,12.8,12.42,12.57,11759.0
2012-03-01,12.42,12.65,12.42,12.65,18989.0
2012-03-02,12.34,12.65,12.34,12.49,23055.0
2012-03-05,12.34,12.57,12.34,12.57,17762.0
2012-03-06,12.34,12.57,11.96,12.27,22160.0
2012-03-07,12.19,12.57,11.81,12.34,14161.0
2012-03-08,12.34,12.49,12.19,12.19,13025.0
2012-03-09,12.42,12.49,12.27,12.42,3089.0
2012-03-12,12.42,12.42,12.19,12.42,5059.0
2012-03-13,12.27,12.88,12.27,12.8,25938.0
2012-03-14,12.8,12.88,12.65,12.88,14960.0
2012-03-15,12.8,12.8,12.42,12.8,9633.0
2012-03-16,12.8,13.18,12.72,12.95,13728.0
2012-03-19,13.18,13.18,12.72,12.72,36321.0
2012-03-20,12.88,13.18,12.88,12.95,47752.0
2012-03-21,13.03,13.26,12.88,12.95,29071.0
2012-03-22,12.95,13.26,12.88,13.18,66591.0
2012-03-23,13.33,13.64,13.03,13.26,3060.0
2012-03-26,13.26,13.56,13.26,13.48,5237.0
2012-03-27,13.48,13.48,12.95,13.48,18031.0
2012-03-28,13.48,13.48,13.1,13.41,17940.0
2012-03-29,13.33,13.41,13.03,13.41,21457.0
2012-03-30,13.41,13.48,13.1,13.1,25125.0
2012-04-02,13.41,13.64,13.33,13.48,5615.0
2012-04-03,13.18,13.33,13.18,13.33,8630.0
2012-04-04,13.03,13.1,12.88,12.88,3940.0
2012-04-05,12.95,12.95,12.95,12.95,1150.0
2012-04-10,12.72,12.8,12.72,12.72,7420.0
2012-04-11,12.65,13.1,12.65,12.8,8350.0
2012-04-12,13.1,13.1,12.88,12.88,6500.0
2012-04-13,13.03,13.1,12.8,12.88,5530.0
2012-04-16,13.1,13.1,12.8,13.1,6140.0
2012-04-17,12.65,13.33,12.65,13.33,126132.0
2012-04-18,13.26,13.41,13.03,13.18,11540.0
2012-04-19,12.95,13.41,12.95,13.1,20705.0
2012-04-20,12.8,13.03,12.49,13.03,37297.0
2012-04-23,12.95,12.95,12.57,12.72,9750.0
2012-04-24,12.88,13.71,12.72,13.18,7150.0
2012-04-25,13.33,13.33,12.88,13.18,34259.0
2012-04-26,13.42,14.15,13.02,14.15,34641.0
2012-04-27,13.75,13.75,13.1,13.75,24522.0
2012-04-30,13.67,14.15,13.42,13.91,8563.0
2012-05-02,13.91,13.99,13.42,13.99,10519.0
2012-05-03,13.99,13.99,13.75,13.91,2758.0
2012-05-04,13.99,14.07,13.75,13.75,31783.0
2012-05-07,13.75,13.99,13.5,13.91,15054.0
2012-05-08,13.83,13.99,13.67,13.99,3713.0
2012-05-09,13.99,13.99,13.75,13.91,12288.0
2012-05-10,13.75,14.07,13.42,13.91,16692.0
2012-05-11,13.91,13.91,13.67,13.91,14752.0
2012-05-14,13.91,13.91,13.67,13.83,86190.0
2012-05-15,13.67,14.96,13.67,13.99,25276.0
2012-05-16,13.75,13.99,13.58,13.75,19215.0
2012-05-18,13.75,13.75,12.94,13.34,132922.0
2012-05-21,13.75,14.47,13.42,14.07,39864.0
2012-05-22,13.99,13.99,13.58,13.75,5280.0
2012-05-23,13.75,13.75,13.34,13.75,5350.0
2012-05-24,13.83,14.07,13.34,13.83,21433.0
2012-05-25,13.5,13.67,13.34,13.67,8055.0
2012-05-28,13.83,13.99,13.58,13.75,4880.0
2012-05-29,13.34,13.75,13.34,13.67,14855.0
2012-05-30,13.34,13.67,13.34,13.67,16800.0
2012-05-31,13.58,13.67,13.42,13.5,6950.0
2012-06-01,13.5,13.67,13.34,13.34,5855.0
2012-06-04,13.34,13.34,12.53,13.1,671.0
2012-06-05,13.26,13.26,12.13,12.86,24820.0
2012-06-07,12.94,13.26,12.53,12.69,9575.0
2012-06-08,12.29,12.69,12.21,12.61,3420.0
2012-06-11,12.29,12.78,11.97,12.69,12351.0
2012-06-12,11.89,12.53,11.89,12.45,3462.0
2012-06-13,12.45,12.53,12.05,12.53,5986.0
2012-06-14,12.13,12.37,11.97,12.21,12290.0
2012-06-15,12.37,12.53,12.37,12.37,660.0
2012-06-18,12.21,12.53,11.72,12.37,9290.0
2012-06-19,11.89,12.45,11.89,12.45,5200.0
2012-06-20,12.13,12.37,12.13,12.37,3510.0
2012-06-21,12.53,12.53,11.97,12.37,373.0
2012-06-25,12.45,12.45,12.29,12.29,525.0
2012-06-27,11.89,12.45,11.32,12.13,6495.0
2012-06-28,12.13,12.45,12.13,12.45,1000.0
2012-06-29,12.21,12.78,12.13,12.78,5810.0
2012-07-02,11.48,12.45,11.48,12.45,2520.0
2012-07-03,11.72,12.37,10.59,12.13,23787.0
2012-07-04,12.13,12.13,12.13,12.13,185.0
2012-07-05,12.05,12.13,12.05,12.13,1880.0
2012-07-06,11.68,12.13,11.48,11.93,5714.0
2012-07-09,12.13,12.94,11.85,12.05,6224.0
2012-07-10,11.93,11.93,11.85,11.93,14300.0
2012-07-11,11.93,12.13,11.93,12.13,4610.0
2012-07-12,12.13,12.13,11.93,11.93,9745.0
2012-07-13,11.93,12.09,11.93,12.09,7808.0
2012-07-16,12.13,12.61,12.13,12.13,33355.0
2012-07-17,12.05,12.21,12.05,12.21,2130.0
2012-07-18,12.13,12.29,11.36,12.29,5400.0
2012-07-19,11.36,12.29,11.36,12.29,1600.0
2012-07-20,11.97,12.13,11.97,12.13,850.0
2012-07-23,11.4,12.13,11.4,12.13,1500.0
2012-07-26,11.44,12.01,11.32,11.44,4225.0
2012-07-27,11.97,12.01,11.97,12.01,400.0
2012-07-30,11.64,11.93,11.64,11.93,965.0
2012-07-31,11.72,12.05,11.4,12.01,4812.0
2012-08-01,11.44,11.97,11.4,11.89,1357.0
2012-08-02,11.72,11.72,11.72,11.72,500.0
2012-08-03,11.72,11.89,11.08,11.89,7650.0
2012-08-06,11.93,12.13,11.93,12.13,500.0
2012-08-07,11.4,11.81,11.4,11.81,1602.0
2012-08-08,11.44,11.81,11.4,11.81,3325.0
2012-08-09,11.4,11.81,11.4,11.81,2865.0
2012-08-10,11.81,11.81,11.36,11.76,642.0
2012-08-13,11.72,12.45,11.72,11.97,1507.0
2012-08-14,11.44,11.89,11.44,11.89,4669.0
2012-08-15,11.93,11.93,11.81,11.81,11216.0
2012-08-16,11.89,11.89,11.64,11.89,1880.0
2012-08-17,11.76,11.76,11.72,11.72,4700.0
2012-08-20,11.81,11.81,11.44,11.72,5185.0
2012-08-21,11.56,11.72,11.56,11.72,26445.0
2012-08-22,11.36,11.36,10.51,11.0,38881.0
2012-08-23,11.0,11.0,10.51,11.0,10511.0
2012-08-24,11.0,11.0,10.59,10.92,8065.0
2012-08-27,11.0,11.64,10.39,11.4,128495.0
2012-08-28,11.72,11.72,11.32,11.32,20491.0
2012-08-29,11.48,11.48,11.08,11.4,8415.0
2012-08-30,11.4,11.4,11.4,11.4,1106.0
2012-08-31,11.56,11.81,11.16,11.44,8000.0
2012-09-03,11.32,11.72,11.16,11.56,22614.0
2012-09-04,11.08,11.4,11.08,11.4,7890.0
2012-09-05,11.16,11.4,11.16,11.32,860.0
2012-09-06,11.32,11.4,11.32,11.4,1100.0
2012-09-07,11.16,11.32,10.92,11.32,5850.0
2012-09-10,10.92,11.16,10.92,11.16,4165.0
2012-09-11,10.92,11.32,10.92,11.28,4972.0
2012-09-12,11.16,11.28,11.08,11.28,3980.0
2012-09-13,11.16,11.28,11.16,11.28,2552.0
2012-09-14,11.32,11.48,11.16,11.48,69725.0
2012-09-17,11.48,11.48,11.28,11.32,7345.0
2012-09-18,11.32,11.48,11.24,11.32,3985.0
2012-09-19,11.32,11.56,11.32,11.52,11037.0
2012-09-20,11.52,11.52,11.32,11.4,2267.0
2012-09-21,11.32,11.4,11.24,11.32,17763.0
2012-09-24,11.32,11.4,11.0,11.4,8350.0
2012-09-25,11.24,11.4,11.08,11.4,2586.0
2012-09-26,11.36,11.4,10.92,11.36,786.0
2012-09-27,11.36,11.44,11.08,11.24,7961.0
2012-09-28,11.32,11.32,11.08,11.32,1570.0
2012-10-01,11.0,11.08,10.71,11.04,7895.0
2012-10-02,10.96,11.0,10.75,10.75,7250.0
2012-10-03,11.24,11.24,10.92,11.0,2655.0
2012-10-04,11.0,11.28,10.92,11.28,3476.0
2012-10-05,11.24,11.64,11.08,11.64,28278.0
2012-10-08,11.64,11.72,11.16,11.72,3700.0
2012-10-09,11.68,11.68,11.16,11.64,7100.0
2012-10-10,11.2,11.64,11.16,11.64,3050.0
2012-10-11,11.2,11.28,10.92,11.28,1745.0
2012-10-12,11.32,11.32,10.92,11.32,2890.0
2012-10-15,11.28,11.48,11.28,11.48,6580.0
2012-10-16,11.48,11.48,11.32,11.32,350.0
2012-10-17,11.44,11.72,11.32,11.64,14020.0
