Date,Open,High,Low,Close,Volume
2010-01-04,13.64,13.64,13.29,13.41,21906.0
2010-01-05,13.41,13.64,13.18,13.18,18651.0
2010-01-07,13.29,13.29,12.83,13.06,24542.0
2010-01-08,13.06,13.41,12.94,12.94,54056.0
2010-01-11,13.06,13.76,13.06,13.76,162472.0
2010-01-12,13.76,13.76,13.29,13.53,8326.0
2010-01-13,13.64,13.76,13.53,13.64,13963.0
2010-01-14,13.64,13.88,13.41,13.88,47583.0
2010-01-15,13.64,13.99,13.41,13.88,42598.0
2010-01-18,13.64,13.88,13.64,13.76,31365.0
2010-01-19,13.76,14.11,13.64,14.11,37996.0
2010-01-20,14.11,14.11,13.76,13.88,17901.0
2010-01-21,13.76,13.88,13.64,13.88,18080.0
2010-01-22,13.88,13.88,13.53,13.88,9372.0
2010-01-25,13.64,13.99,13.64,13.64,18456.0
2010-01-26,13.76,13.99,13.64,13.76,25297.0
2010-01-27,13.76,13.76,13.41,13.76,23712.0
2010-01-28,13.76,13.88,13.41,13.76,27016.0
2010-01-29,13.76,13.88,13.53,13.88,3513.0
2010-02-01,13.76,13.99,13.76,13.76,10091.0
2010-02-02,13.64,13.99,13.53,13.88,8166.0
2010-02-03,13.76,13.76,13.53,13.64,11420.0
2010-02-04,13.64,13.99,13.53,13.76,32444.0
2010-02-05,13.88,13.88,13.41,13.76,9396.0
2010-02-08,13.53,13.88,13.41,13.76,11789.0
2010-02-09,13.41,13.76,13.41,13.76,3551.0
2010-02-10,13.64,13.88,13.64,13.88,17907.0
2010-02-11,13.53,13.76,13.53,13.76,196.0
2010-02-12,13.53,13.88,13.53,13.53,9207.0
2010-02-15,13.53,13.76,13.41,13.76,19548.0
2010-02-16,13.76,13.88,13.53,13.76,109356.0
2010-02-17,13.64,13.88,13.53,13.53,57860.0
2010-02-18,13.06,13.53,13.06,13.53,6590.0
2010-02-19,13.06,13.76,13.06,13.76,45898.0
2010-02-22,13.53,13.76,12.83,13.76,20708.0
2010-02-23,13.29,13.64,13.29,13.64,684.0
2010-02-24,13.06,13.64,13.06,13.53,6483.0
2010-02-25,13.53,13.53,12.83,13.41,4789.0
2010-02-26,13.18,13.53,13.06,13.53,13126.0
2010-03-01,13.41,13.41,12.83,13.06,7651.0
2010-03-02,13.06,13.41,13.06,13.29,4352.0
2010-03-03,13.29,13.53,12.71,13.53,24445.0
2010-03-04,13.41,13.41,13.06,13.41,4427.0
2010-03-05,13.29,13.41,12.94,13.29,12810.0
2010-03-08,12.94,13.41,12.94,13.41,7026.0
2010-03-09,13.41,13.53,13.06,13.41,27614.0
2010-03-10,13.41,13.41,13.06,13.06,6573.0
2010-03-11,12.94,13.41,12.94,13.41,26060.0
2010-03-12,13.06,13.41,13.06,13.29,19718.0
2010-03-15,12.83,13.29,12.83,13.29,3331.0
2010-03-16,13.29,13.29,13.29,13.29,684.0
2010-03-17,13.18,13.29,13.06,13.29,18995.0
2010-03-18,13.29,13.29,13.06,13.06,13569.0
2010-03-19,13.29,13.41,12.83,13.29,16402.0
2010-03-22,13.29,13.29,12.83,13.06,1625.0
2010-03-23,12.94,13.29,12.94,13.06,25894.0
2010-03-24,13.29,13.29,12.94,12.94,4418.0
2010-03-25,12.94,13.18,12.94,13.06,14460.0
2010-03-26,13.06,13.06,12.83,13.06,16275.0
2010-03-29,12.83,13.29,12.83,13.29,82159.0
2010-03-30,13.29,13.29,12.94,13.29,69291.0
2010-03-31,13.29,13.29,12.94,13.18,19320.0
2010-04-01,13.29,13.29,12.94,13.18,23510.0
2010-04-06,13.06,13.18,12.94,13.06,36005.0
2010-04-07,12.83,13.18,12.83,12.83,25866.0
2010-04-08,13.06,13.06,12.71,12.71,9159.0
2010-04-09,12.94,13.29,12.71,13.29,69483.0
2010-04-12,12.83,13.18,12.83,13.18,18842.0
2010-04-13,13.06,13.06,12.59,13.06,16218.0
2010-04-14,13.06,13.06,12.59,12.83,13111.0
2010-04-15,12.83,12.83,12.13,12.59,105154.0
2010-04-16,12.36,12.59,12.01,12.36,73020.0
2010-04-19,12.24,12.83,12.24,12.83,73354.0
