Date,Open,High,Low,Close,Volume
2017-05-19,64.61,69.28,64.61,65.65,14555249.0
2017-05-22,65.45,67.59,64.61,66.25,1050039.0
2017-05-23,66.25,66.25,64.61,65.0,541947.0
2017-05-24,65.1,65.5,64.9,65.35,354783.0
2017-05-26,65.1,66.49,63.96,66.1,454352.0
2017-05-29,66.1,68.58,65.3,68.08,278523.0
2017-05-30,68.08,70.07,67.09,69.92,512669.0
2017-05-31,72.16,72.16,69.63,71.32,366583.0
2017-06-01,71.66,77.03,70.97,76.53,451690.0
2017-06-02,76.48,81.5,75.69,79.56,348964.0
2017-06-05,81.11,81.11,78.32,78.67,46141.0
2017-06-06,78.67,78.67,78.67,78.67,0.0
2017-06-07,79.52,81.5,76.04,76.53,322883.0
2017-06-08,77.03,78.02,76.09,76.83,202272.0
2017-06-09,77.03,80.51,77.03,79.52,352813.0
2017-06-12,79.22,80.01,77.03,78.77,208188.0
2017-06-13,78.97,81.01,78.77,80.51,375361.0
2017-06-14,81.35,84.24,78.12,79.32,302718.0
2017-06-15,79.32,80.41,76.83,78.52,208638.0
2017-06-16,77.73,79.52,77.28,77.63,433116.0
2017-06-19,77.63,79.52,76.78,79.27,353119.0
2017-06-20,79.27,79.52,77.03,78.02,89244.0
2017-06-21,77.78,78.02,75.04,75.29,89832.0
2017-06-22,74.55,77.78,73.85,77.08,66731.0
2017-06-23,77.08,77.08,77.08,77.08,0.0
2017-06-26,78.52,78.52,76.48,77.53,94505.0
2017-06-27,77.38,77.38,73.75,74.55,412616.0
2017-06-28,74.05,74.05,71.76,73.05,205320.0
2017-06-29,73.05,74.05,72.56,73.45,161178.0
2017-06-30,73.15,73.55,71.71,73.15,112769.0
2017-07-03,73.15,73.8,72.06,73.55,144738.0
2017-07-04,73.05,74.3,71.56,72.91,156039.0
2017-07-05,72.26,74.5,71.56,74.05,103665.0
2017-07-06,74.55,74.55,72.81,73.55,19478.0
2017-07-07,73.55,74.79,72.71,73.55,147568.0
2017-07-10,73.55,74.55,72.11,73.55,53886.0
2017-07-11,74.55,75.54,72.56,72.56,69604.0
2017-07-12,72.56,74.5,72.56,73.55,130339.0
2017-07-13,73.55,74.05,71.81,72.51,110552.0
2017-07-14,72.61,74.74,72.61,74.3,39151.0
2017-07-17,74.3,74.55,72.61,74.55,52486.0
2017-07-18,74.55,75.54,72.56,74.55,45930.0
2017-07-19,73.1,74.55,72.36,74.05,33536.0
2017-07-20,74.55,74.55,73.8,74.0,5239.0
2017-07-21,73.35,74.15,73.35,74.15,16498.0
2017-07-24,73.75,74.55,73.75,74.0,40715.0
2017-07-25,73.55,74.05,73.05,73.05,10210.0
2017-07-26,72.56,73.45,72.31,72.76,20623.0
2017-07-27,72.56,72.56,69.48,72.06,128138.0
2017-07-28,70.82,71.91,70.62,71.02,69660.0
2017-07-31,70.57,71.76,69.53,71.56,84193.0
2017-08-01,71.07,71.07,69.08,69.87,151084.0
2017-08-02,69.58,69.58,68.58,68.98,30389.0
2017-08-03,67.89,68.98,67.84,68.28,30657.0
2017-08-04,67.69,69.33,67.69,68.93,30656.0
2017-08-07,68.23,69.58,68.23,68.78,239888.0
2017-08-08,68.68,69.53,68.48,68.93,71809.0
2017-08-09,68.68,69.58,68.23,68.33,292667.0
2017-08-10,68.58,68.78,67.09,67.59,107575.0
2017-08-11,67.14,69.58,66.1,69.33,39141.0
2017-08-14,69.68,70.27,67.04,69.08,82556.0
2017-08-15,69.08,69.53,65.8,67.09,431486.0
2017-08-16,66.1,68.83,64.76,68.58,611336.0
2017-08-17,68.38,69.28,67.59,68.58,931931.0
2017-08-18,68.53,68.63,65.6,65.6,452111.0
2017-08-21,65.6,66.59,63.66,66.59,166848.0
2017-08-22,66.79,69.72,66.79,69.58,245482.0
2017-08-23,71.22,71.22,68.88,69.58,121798.0
2017-08-24,69.58,70.32,69.38,69.68,212105.0
2017-08-25,70.07,71.07,69.58,69.58,96116.0
2017-08-28,69.58,71.17,69.28,70.92,14990.0
2017-08-29,68.58,70.12,68.58,69.58,45198.0
2017-08-30,70.07,70.62,68.88,70.57,40254.0
2017-08-31,70.57,71.71,69.87,71.51,507406.0
2017-09-01,71.46,71.46,69.97,70.07,288967.0
2017-09-04,68.63,71.02,68.63,69.23,86565.0
2017-09-05,68.58,70.22,67.14,67.14,142767.0
2017-09-06,66.89,67.89,65.5,67.59,713314.0
2017-09-07,66.49,69.53,66.0,68.18,234667.0
2017-09-08,68.18,69.13,67.59,67.59,17529.0
2017-09-11,68.58,69.03,67.84,68.08,41255.0
2017-09-12,68.08,68.63,67.64,68.43,192311.0
2017-09-13,68.13,69.82,68.13,69.82,131641.0
2017-09-14,69.82,70.07,68.13,69.82,45718.0
2017-09-15,69.08,70.07,69.08,69.08,57047.0
2017-09-18,69.08,70.07,69.08,69.58,37325.0
2017-09-19,70.57,70.57,69.08,69.58,148165.0
2017-09-20,69.58,69.77,68.58,69.28,81127.0
2017-09-21,68.98,69.77,68.58,69.08,61770.0
2017-09-22,68.58,69.58,68.58,69.13,91131.0
2017-09-25,68.58,69.58,68.58,68.73,13294.0
2017-09-26,68.58,69.58,68.58,68.78,54520.0
2017-09-27,68.78,70.47,68.78,69.53,732525.0
2017-09-28,69.87,70.57,69.68,70.32,275907.0
2017-09-29,70.32,70.57,69.58,70.42,71074.0
2017-10-02,70.57,71.46,69.87,70.82,26624.0
2017-10-03,70.82,72.11,70.67,71.32,947814.0
2017-10-04,71.12,72.11,70.57,71.51,821311.0
2017-10-05,71.56,71.76,70.02,70.47,33718.0
2017-10-06,69.87,70.82,68.83,69.58,63796.0
2017-10-09,69.28,70.47,69.08,69.87,98025.0
2017-10-10,71.07,71.56,69.08,69.18,39228.0
2017-10-11,71.12,71.71,69.08,69.08,48097.0
2017-10-12,69.08,69.68,68.13,69.23,143440.0
2017-10-13,68.33,70.67,68.28,68.58,88218.0
2017-10-16,69.58,69.58,67.94,69.23,101340.0
2017-10-17,69.23,69.33,68.04,68.58,171356.0
2017-10-18,69.58,69.58,67.39,67.54,57994.0
2017-10-19,67.29,67.89,65.9,67.04,87021.0
2017-10-20,66.4,67.64,66.2,67.19,38867.0
2017-10-23,67.59,68.38,65.9,68.23,315950.0
2017-10-24,67.59,68.68,67.59,68.04,44279.0
2017-10-25,67.84,68.33,67.69,67.69,252559.0
2017-10-26,68.63,71.56,67.59,70.72,231372.0
2017-10-27,71.61,71.61,70.37,70.82,52267.0
2017-10-30,70.82,71.17,68.88,69.58,35623.0
2017-10-31,68.78,69.58,68.23,68.93,44626.0
2017-11-01,68.93,70.47,68.43,69.58,131915.0
2017-11-02,70.57,70.57,69.28,69.97,78612.0
2017-11-03,69.63,70.97,69.63,70.22,37283.0
2017-11-06,73.2,73.55,70.52,70.87,405426.0
2017-11-07,71.17,71.36,69.33,69.77,83459.0
2017-11-08,69.63,70.42,66.89,68.58,290326.0
