Date,Open,High,Low,Close,Volume
2009-12-01,69.38,70.96,68.7,70.96,17748
2009-12-02,71.19,72.1,70.28,71.64,33207
2009-12-03,71.64,72.55,70.74,72.55,24532
2009-12-04,72.55,74.82,72.55,73.46,34352
2009-12-07,73.91,76.86,73.91,75.27,39868
2009-12-08,75.27,76.63,74.37,75.27,22182
2009-12-09,75.27,76.63,74.59,75.73,11370
2009-12-10,75.73,75.73,73.91,75.27,3896
2009-12-11,75.5,76.18,74.14,74.82,21803
2009-12-14,74.59,75.27,73.91,74.37,30775
2009-12-15,73.46,76.18,73.46,76.18,23878
2009-12-16,74.37,77.09,74.37,76.18,153469
2009-12-17,76.18,77.09,75.05,75.73,30164
2009-12-18,75.73,75.73,74.59,74.59,15755
2009-12-21,74.37,75.27,73.46,74.37,42418
2009-12-22,75.05,75.27,73.46,74.14,38535
2009-12-23,72.78,74.14,72.78,73.46,17014
2009-12-28,73.01,73.91,72.78,73.46,39580
2009-12-29,73.46,73.91,73.23,73.46,18943
2009-12-30,73.01,74.14,72.33,73.01,30581
2010-01-04,73.46,75.27,73.46,74.82,42780
2010-01-05,76.86,80.71,75.73,80.71,57493
2010-01-07,80.71,85.25,79.35,81.62,104505
2010-01-08,82.07,82.07,80.26,81.39,19304
2010-01-11,81.62,81.62,78.9,79.35,25872
2010-01-12,79.35,79.81,77.31,78.9,15265
2010-01-13,78.67,80.94,77.31,80.94,16479
2010-01-14,81.62,83.89,81.17,82.98,80534
2010-01-15,83.43,85.25,82.53,84.34,58431
2010-01-18,84.79,85.25,83.43,84.11,16452
2010-01-19,84.34,85.25,83.89,85.25,17608
2010-01-20,86.61,86.61,84.57,86.61,36120
2010-01-21,86.61,94.32,85.25,91.6,291879
2010-01-22,89.78,91.6,88.42,89.33,12265
2010-01-25,89.78,91.6,89.33,90.24,14823
2010-01-26,90.69,94.09,90.24,92.96,64425
2010-01-27,92.96,93.86,90.92,93.86,28660
2010-01-28,93.64,93.86,92.5,93.41,64874
2010-01-29,93.41,94.32,91.14,93.41,51205
2010-02-01,93.41,93.41,89.78,90.01,13645
2010-02-02,90.69,91.6,88.88,90.69,22014
2010-02-03,92.5,95.22,91.6,92.5,61236
2010-02-04,94.09,96.13,92.5,95.22,186679
2010-02-05,93.64,96.13,92.73,95.9,136090
2010-02-08,100.67,100.67,96.13,98.63,97573
2010-02-09,98.85,98.85,96.13,97.04,252854
2010-02-10,96.81,97.94,95.22,96.13,50451
2010-02-11,95.22,95.68,90.69,90.92,43647
2010-02-12,93.41,93.41,89.1,90.69,85992
2010-02-15,90.69,93.18,86.16,90.92,95962
