Date,Open,High,Low,Close,Volume
2019-03-28,211.6,231.49,204.3,213.44,1482345.0
2019-03-29,217.63,217.92,209.21,212.08,813379.0
2019-04-01,219.86,227.65,214.03,221.81,996774.0
2019-04-02,223.76,225.7,219.86,221.81,1018413.0
2019-04-03,221.81,223.76,217.92,221.81,505813.0
2019-04-04,221.81,221.81,215.97,215.97,280960.0
2019-04-05,215.97,217.92,214.03,214.03,174745.0
2019-04-08,214.03,217.92,212.08,214.03,266525.0
2019-04-09,212.08,214.03,208.19,214.03,425979.0
2019-04-10,212.08,214.03,212.08,214.03,197680.0
2019-04-11,214.03,215.97,208.19,210.14,417228.0
2019-04-12,208.19,212.08,208.19,212.08,138424.0
2019-04-15,212.08,212.08,208.19,212.08,317169.0
2019-04-16,212.08,212.08,206.24,210.14,396313.0
2019-04-17,208.19,210.14,208.19,210.14,196381.0
2019-04-18,210.14,217.92,208.19,217.92,156908.0
2019-04-23,215.97,223.76,210.14,223.76,351308.0
2019-04-24,223.76,225.7,210.14,221.81,780681.0
2019-04-25,217.92,225.7,217.92,221.81,303921.0
2019-04-26,219.86,225.7,219.86,225.7,126480.0
2019-04-29,225.7,235.43,223.76,235.43,192320.0
2019-04-30,237.38,239.32,235.43,235.43,157668.0
2019-05-02,233.48,241.27,233.48,239.32,189088.0
2019-05-03,237.38,239.32,231.54,233.48,174296.0
2019-05-06,229.59,231.54,223.76,225.7,168514.0
2019-05-07,231.54,235.43,229.59,233.48,192890.0
2019-05-08,233.48,233.48,229.59,231.54,466277.0
2019-05-09,229.59,229.59,223.76,227.65,179715.0
2019-05-10,227.65,227.65,225.7,225.7,653772.0
2019-05-13,223.76,225.7,215.97,219.86,219291.0
2019-05-14,219.86,229.59,219.86,229.59,242213.0
2019-05-15,231.54,233.48,229.59,233.48,144983.0
2019-05-16,233.48,235.43,229.59,233.48,170905.0
2019-05-17,233.48,233.48,231.54,233.48,61925.0
2019-05-20,233.48,235.43,231.54,233.48,92707.0
2019-05-21,235.43,239.32,233.48,239.32,83193.0
2019-05-22,239.32,241.27,237.38,241.27,87451.0
2019-05-23,240.53,248.41,240.53,246.44,152047.0
2019-05-24,246.44,246.44,240.53,246.44,86366.0
2019-05-27,246.44,248.41,242.5,246.44,90807.0
2019-05-28,246.44,246.44,236.58,238.56,145298.0
2019-05-29,234.61,236.58,228.7,228.7,166916.0
2019-05-31,226.73,228.7,218.84,220.81,1130963.0
2019-06-03,224.76,226.73,222.78,224.76,148858.0
2019-06-04,224.76,240.53,222.78,236.58,330664.0
2019-06-05,236.58,236.58,230.67,232.64,186159.0
2019-06-07,232.64,236.58,230.67,230.67,197058.0
2019-06-11,232.64,236.58,232.64,232.64,145082.0
2019-06-12,230.67,232.64,224.76,226.73,317369.0
2019-06-13,224.76,226.73,220.81,224.76,289728.0
2019-06-14,224.76,230.67,220.81,224.76,191874.0
2019-06-18,222.78,226.73,222.78,224.76,150154.0
2019-06-19,226.73,226.73,218.84,218.84,214032.0
2019-06-20,220.81,220.81,214.9,216.87,431569.0
2019-06-24,214.9,220.81,214.9,218.84,75050.0
2019-06-25,218.84,222.78,214.9,214.9,137159.0
