Date,Open,High,Low,Close,Volume
2010-01-04,3.54,3.63,3.54,3.63,273330
2010-01-05,3.64,3.7,3.64,3.66,106386
2010-01-07,3.72,3.75,3.66,3.66,254124
2010-01-08,3.73,3.76,3.69,3.73,535206
2010-01-11,3.73,3.76,3.63,3.66,438684
2010-01-12,3.6,3.75,3.6,3.69,866202
2010-01-13,3.72,3.75,3.69,3.75,1086288
2010-01-14,3.79,3.8,3.76,3.79,449376
2010-01-15,3.79,3.86,3.79,3.86,890460
2010-01-18,3.88,4.01,3.88,3.93,723000
2010-01-19,3.98,3.98,3.9,3.96,271464
2010-01-20,3.93,3.93,3.8,3.86,330114
2010-01-21,3.86,4.03,3.8,3.98,930234
2010-01-22,4.01,4.03,3.95,3.99,173796
2010-01-25,3.98,3.99,3.86,3.96,402072
2010-01-26,3.99,4.09,3.99,4.03,1924218
2010-01-27,4.03,4.03,3.9,3.93,355782
2010-01-28,3.98,4.08,3.95,4.02,493302
2010-01-29,4.05,4.12,3.99,4.12,313032
2010-02-01,4.12,4.15,4.01,4.15,562410
2010-02-02,4.18,4.21,4.09,4.15,395718
2010-02-03,4.18,4.18,3.98,4.06,197532
2010-02-04,4.09,4.09,3.93,3.95,262140
2010-02-05,3.98,4.24,3.75,4.09,1081722
2010-02-08,4.18,4.48,4.18,4.48,1240200
2010-02-09,4.49,4.49,4.34,4.42,273000
2010-02-10,4.48,4.49,4.44,4.48,387600
2010-02-11,4.49,4.71,4.48,4.62,577800
2010-02-12,4.64,4.71,4.44,4.52,150600
2010-02-15,4.52,4.52,4.39,4.45,234600
2010-02-16,4.49,4.78,4.44,4.78,285000
2010-02-17,4.71,4.84,4.7,4.74,279942
2010-02-18,4.74,4.77,4.58,4.73,287910
2010-02-19,4.7,4.77,4.61,4.67,588456
2010-02-22,4.61,4.71,4.55,4.55,282984
2010-02-23,4.55,4.61,4.55,4.6,209232
2010-02-24,4.55,4.55,4.44,4.51,150984
2010-02-25,4.51,4.52,4.44,4.48,331872
2010-02-26,4.48,4.49,4.44,4.47,82434
2010-03-01,4.45,4.7,4.44,4.64,258246
2010-03-02,4.64,4.73,4.61,4.71,106980
2010-03-03,4.62,4.73,4.61,4.7,117192
2010-03-04,4.67,4.7,4.58,4.6,91374
2010-03-05,4.6,4.7,4.6,4.62,122262
2010-03-08,4.67,4.67,4.51,4.52,165330
2010-03-09,4.52,4.61,4.48,4.52,104514
2010-03-10,4.61,4.61,4.49,4.52,83748
2010-03-11,4.52,4.6,4.49,4.6,176580
2010-03-12,4.57,4.58,4.48,4.52,373764
2010-03-15,4.52,4.62,4.52,4.62,162738
2010-03-16,4.64,4.8,4.64,4.74,384234
2010-03-17,4.78,4.78,4.62,4.74,567810
2010-03-18,4.61,4.75,4.61,4.7,155016
2010-03-19,4.73,4.73,4.62,4.68,17892
2010-03-22,4.65,4.81,4.62,4.78,816780
2010-03-23,4.78,4.84,4.73,4.78,282696
2010-03-24,4.86,4.87,4.68,4.73,139686
2010-03-25,4.73,4.75,4.67,4.75,349446
2010-03-26,4.74,4.75,4.67,4.68,142566
2010-03-29,4.68,4.73,4.68,4.7,26658
2010-03-30,4.64,4.73,4.64,4.67,128982
2010-03-31,4.73,4.96,4.73,4.93,762954
2010-04-01,4.86,4.98,4.73,4.98,293826
2010-04-06,4.98,5.06,4.86,5.04,161754
2010-04-07,5.06,5.1,4.84,4.91,304782
2010-04-08,4.96,5.01,4.84,4.97,102984
2010-04-09,4.98,5.0,4.9,4.93,92436
2010-04-12,5.04,5.04,4.9,4.94,38094
2010-04-13,4.9,4.93,4.77,4.86,135552
2010-04-14,4.93,4.96,4.9,4.96,54822
2010-04-15,4.93,4.94,4.78,4.87,193704
2010-04-16,4.8,4.93,4.8,4.81,527250
2010-04-19,4.74,4.83,4.73,4.74,134886
2010-04-20,5.53,5.62,5.53,5.55,161196
2010-04-21,5.53,5.55,5.41,5.43,364476
2010-04-22,5.55,5.67,5.48,5.52,620574
2010-04-23,5.52,5.62,5.43,5.48,267360
2010-04-26,5.5,5.57,5.2,5.43,352014
2010-04-27,5.43,5.43,5.2,5.2,386586
2010-04-28,5.11,5.36,5.09,5.25,435234
2010-04-29,5.26,5.6,5.26,5.43,332976
2010-04-30,5.55,5.55,5.4,5.4,29094
2010-05-03,5.4,5.47,5.28,5.47,224940
2010-05-04,5.47,5.47,5.21,5.41,115692
2010-05-05,5.26,5.31,5.14,5.21,369108
2010-05-06,5.11,5.26,4.96,4.99,444636
2010-05-07,4.76,4.93,4.5,4.66,785712
2010-05-10,4.69,5.28,4.69,5.08,493794
2010-05-11,5.21,5.23,4.89,4.99,354282
2010-05-12,4.89,5.23,4.89,5.23,74094
2010-05-14,5.26,5.26,4.91,5.06,97680
2010-05-17,5.09,5.09,4.77,5.09,131700
2010-05-18,4.96,5.26,4.87,5.18,204516
2010-05-19,5.16,5.26,4.93,4.96,166752
2010-05-20,4.99,5.03,4.79,4.89,358320
2010-05-21,4.86,5.13,4.82,5.06,1274784
2010-05-24,5.25,5.26,4.99,4.99,125412
2010-05-25,4.93,4.94,4.52,4.79,193938
2010-05-26,4.82,5.13,4.82,5.06,306486
2010-05-27,5.03,5.06,4.94,5.06,74250
2010-05-28,5.06,5.06,4.91,4.91,103122
2010-05-31,5.06,5.06,4.99,5.03,23268
2010-06-01,5.09,5.09,5.04,5.06,48810
2010-06-02,5.06,5.06,4.72,4.96,124902
2010-06-03,4.89,5.06,4.89,5.06,74694
2010-06-04,5.06,5.06,4.82,4.82,97224
2010-06-07,4.89,5.04,4.66,4.91,107904
2010-06-08,5.06,5.06,4.93,4.98,64632
2010-06-09,4.99,4.99,4.87,4.89,25092
2010-06-10,4.93,5.11,4.93,5.09,70590
2010-06-11,5.09,5.09,4.87,5.03,25230
2010-06-14,5.08,5.08,4.87,4.94,75852
2010-06-15,4.94,4.94,4.86,4.91,138006
2010-06-16,4.93,4.93,4.89,4.93,25230
2010-06-17,4.86,4.93,4.86,4.89,59490
2010-06-18,4.89,4.93,4.86,4.91,36960
2010-06-21,4.91,4.91,4.79,4.82,36750
2010-06-22,4.94,4.94,4.72,4.87,100116
2010-06-23,4.86,4.98,4.82,4.87,70098
2010-06-24,4.93,4.93,4.74,4.79,105120
2010-06-28,4.79,4.79,4.57,4.66,189648
2010-06-29,4.66,4.66,4.57,4.59,33768
2010-06-30,4.54,4.72,4.52,4.59,207378
2010-07-01,4.59,4.6,4.39,4.39,162864
2010-07-02,4.59,4.59,4.4,4.52,24174
2010-07-05,4.59,4.66,4.55,4.59,51624
2010-07-06,4.5,4.62,4.5,4.57,55164
2010-07-07,4.47,4.59,4.47,4.57,38994
2010-07-08,4.59,4.59,4.42,4.49,93258
2010-07-09,4.45,4.62,4.44,4.49,45612
2010-07-12,4.49,4.64,4.25,4.32,237330
2010-07-13,4.32,4.62,4.28,4.55,145530
2010-07-14,4.52,4.66,4.45,4.47,231408
2010-07-15,4.44,4.5,4.39,4.5,66312
2010-07-16,4.5,4.5,4.34,4.34,40416
2010-07-19,4.39,4.45,4.35,4.44,58248
2010-07-20,4.44,4.45,4.25,4.25,7812
2010-07-21,4.45,4.45,4.15,4.22,106674
2010-07-22,4.35,4.35,4.05,4.2,115290
2010-07-23,4.12,4.12,3.98,3.98,116514
2010-07-26,4.12,4.22,4.08,4.13,336858
2010-07-27,4.18,4.28,4.18,4.28,210954
2010-07-28,4.3,4.35,4.3,4.35,46014
2010-07-29,4.35,4.45,4.28,4.42,191340
2010-07-30,4.42,4.42,4.27,4.35,112314
2010-08-02,4.27,4.35,4.25,4.32,75000
