Date,Open,High,Low,Close,Volume
2010-01-04,1.14,1.14,1.14,1.14,12073.0
2010-01-12,1.14,1.14,1.14,1.14,11.0
2010-01-14,1.23,1.23,1.23,1.23,6532.0
2010-01-19,1.31,1.31,1.31,1.31,1714.0
2010-01-22,1.31,1.31,1.31,1.31,8571.0
2010-01-28,0.79,1.31,0.79,1.31,2473.0
2010-01-29,1.05,1.31,1.05,1.31,7183.0
2010-02-01,1.31,1.31,1.31,1.31,6173.0
2010-02-09,1.23,1.23,1.23,1.23,13943.0
2010-02-17,0.88,0.88,0.88,0.88,1486.0
2010-02-24,1.05,1.14,0.96,1.14,14903.0
2010-03-02,1.05,1.05,0.96,0.96,17143.0
2010-03-15,0.88,0.88,0.88,0.88,114.0
2010-03-17,0.88,0.88,0.88,0.88,1143.0
2010-03-24,1.05,1.05,1.05,1.05,3143.0
2010-03-25,1.05,1.23,1.05,1.23,2286.0
2010-03-26,1.23,1.23,1.23,1.23,7029.0
2010-03-29,1.23,1.31,1.23,1.31,3257.0
2010-03-30,1.31,1.4,1.05,1.05,13074.0
2010-03-31,1.05,1.31,1.05,1.05,2872.0
2010-04-12,1.31,1.31,1.31,1.31,7085.0
2010-04-13,1.31,1.31,1.31,1.31,2286.0
2010-04-14,1.4,1.4,1.4,1.4,4000.0
2010-04-21,1.31,1.31,1.31,1.31,560.0
2010-04-23,1.14,1.14,1.14,1.14,2286.0
2010-04-26,0.96,0.96,0.88,0.88,8571.0
2010-04-27,1.23,1.23,1.23,1.23,11440.0
2010-04-28,1.23,1.23,1.23,1.23,2857.0
2010-04-29,1.23,1.23,0.96,1.23,5979.0
2010-04-30,1.23,1.31,1.23,1.31,8571.0
2010-05-04,1.31,1.31,1.31,1.31,114.0
2010-05-14,1.23,1.23,1.23,1.23,434.0
2010-05-17,0.88,0.88,0.88,0.88,329.0
2010-05-20,1.05,1.14,1.05,1.14,25143.0
2010-05-21,0.88,0.88,0.88,0.88,4000.0
2010-05-28,0.7,0.7,0.7,0.7,265.0
