Date,Open,High,Low,Close,Volume
2009-12-03,19.63,19.95,19.48,19.63,156975
2009-12-04,19.71,19.79,19.17,19.48,214770
2009-12-07,19.4,19.48,19.09,19.32,149362
2009-12-08,19.32,19.48,18.78,19.24,179820
2009-12-09,19.24,19.24,18.7,18.85,135358
2009-12-10,18.93,19.09,18.39,19.01,187781
2009-12-11,19.01,19.24,18.54,18.85,93329
2009-12-14,18.93,19.09,18.39,18.62,125334
2009-12-15,18.7,19.79,18.62,19.63,444416
2009-12-16,19.71,19.87,19.17,19.48,226458
2009-12-17,19.79,19.79,19.09,19.24,179766
2009-12-18,19.32,19.71,19.24,19.32,170809
2009-12-21,19.71,19.71,18.85,19.09,182973
2009-12-22,19.17,19.63,18.93,19.09,495756
2009-12-23,19.24,20.88,19.09,20.8,564963
2009-12-28,21.04,21.43,20.49,20.96,405178
2009-12-29,20.8,21.27,20.49,20.8,196962
2009-12-30,20.88,21.89,20.49,21.43,766368
2010-01-04,21.82,23.37,21.82,23.37,728028
2010-01-05,24.0,25.32,23.76,25.32,890280
2010-01-07,25.87,26.02,24.62,25.48,829975
2010-01-08,25.71,26.33,25.55,25.87,488541
2010-01-11,25.94,26.1,24.39,24.93,535235
2010-01-12,24.93,25.01,23.76,24.7,398423
2010-01-13,24.78,25.4,24.39,25.24,206847
2010-01-14,25.32,25.48,24.93,25.01,225125
2010-01-15,25.09,25.48,24.93,25.32,270643
2010-01-18,25.63,26.49,25.55,26.49,598183
2010-01-19,26.65,27.5,26.65,27.19,809714
2010-01-20,27.35,27.66,26.26,26.33,453629
2010-01-21,26.88,26.88,25.87,25.94,280765
2010-01-22,25.94,26.18,25.24,25.55,235782
2010-01-25,25.87,26.8,25.87,26.33,351365
2010-01-26,26.49,26.65,25.87,26.26,279943
2010-01-27,26.26,26.88,25.79,26.1,360371
2010-01-28,26.65,26.72,25.17,25.24,277752
2010-01-29,25.48,26.41,25.01,26.02,258353
2010-02-01,26.02,26.02,25.48,25.94,144590
2010-02-02,25.94,26.02,25.48,25.48,158930
2010-02-03,25.55,25.94,25.48,25.55,216707
2010-02-04,25.32,25.71,24.15,25.09,185272
