Date,Open,High,Low,Close,Volume
2015-06-15,40.06,40.06,37.27,38.09,102240.0
2015-06-16,37.44,38.83,37.03,38.42,36259.0
2015-06-17,38.42,39.4,37.85,39.24,33826.0
2015-06-18,38.75,39.49,37.11,38.01,31606.0
2015-06-22,38.5,38.5,37.52,37.93,29573.0
2015-06-23,38.26,38.5,38.01,38.09,23057.0
2015-06-24,38.01,38.17,37.03,37.19,72953.0
2015-06-25,37.36,38.09,36.95,37.68,19951.0
2015-06-26,37.68,38.09,37.27,38.09,21064.0
2015-06-29,36.7,37.27,35.39,36.62,39374.0
2015-06-30,36.62,36.86,36.13,36.86,6129.0
2015-07-01,36.45,37.93,36.13,37.27,17185.0
2015-07-02,36.95,37.52,36.78,37.11,10194.0
2015-07-03,36.95,37.03,36.78,36.78,8634.0
2015-07-06,36.45,36.7,36.13,36.62,14626.0
2015-07-07,36.37,37.68,35.88,35.96,21380.0
2015-07-08,36.95,36.95,35.63,36.13,16687.0
2015-07-09,36.13,36.78,36.13,36.37,7990.0
2015-07-10,36.62,38.09,36.45,37.27,25267.0
2015-07-13,37.27,38.09,36.78,37.85,9131.0
2015-07-14,37.68,38.26,37.44,38.26,3148.0
2015-07-15,37.52,38.09,37.52,37.68,4500.0
2015-07-16,37.68,38.09,37.68,37.68,3319.0
2015-07-17,38.34,38.34,38.09,38.09,1064.0
2015-07-20,38.09,38.91,38.09,38.91,12615.0
2015-07-21,38.91,38.91,37.76,38.5,4665.0
2015-07-22,37.52,38.5,37.52,38.26,6682.0
2015-07-23,37.27,37.68,37.27,37.68,1090.0
2015-07-24,37.44,37.68,37.27,37.68,2030.0
2015-07-27,37.68,37.68,36.7,36.95,3354.0
2015-07-28,36.86,37.19,36.86,37.19,5480.0
2015-07-29,37.19,37.68,37.19,37.68,3920.0
2015-07-30,37.93,37.93,37.52,37.52,1470.0
2015-07-31,38.01,38.01,38.01,38.01,200.0
2015-08-03,37.68,37.68,37.19,37.68,2753.0
2015-08-04,37.36,37.36,37.27,37.27,5115.0
2015-08-05,37.27,38.17,36.95,37.68,10113.0
2015-08-06,37.68,38.83,37.68,38.83,9892.0
2015-08-07,38.75,39.32,38.42,38.42,3259.0
2015-08-10,38.5,38.5,37.76,38.5,2938.0
2015-08-11,37.76,38.75,37.76,38.67,2725.0
2015-08-12,38.67,38.75,37.68,38.34,7460.0
2015-08-13,37.85,38.75,37.85,38.75,310.0
2015-08-14,38.09,38.67,38.09,38.17,1230.0
2015-08-17,38.17,38.42,38.17,38.17,3591.0
2015-08-18,37.93,38.5,37.93,38.09,1572.0
2015-08-19,37.93,38.42,37.68,38.42,13603.0
2015-08-20,37.68,38.09,37.19,37.93,6710.0
2015-08-21,37.19,38.5,34.41,34.82,121126.0
2015-08-24,34.32,34.82,31.7,34.41,69907.0
2015-08-25,34.41,35.06,34.41,34.49,89254.0
2015-08-26,34.32,35.31,34.32,35.31,59305.0
2015-08-27,35.31,35.31,34.41,35.23,20375.0
2015-08-28,35.23,35.63,34.9,35.23,7772.0
2015-08-31,34.57,35.47,34.57,35.14,4130.0
2015-09-01,35.14,35.14,34.0,34.41,11653.0
2015-09-02,34.41,34.82,33.59,33.91,5023.0
2015-09-03,33.91,34.73,33.91,34.73,5350.0
2015-09-04,34.41,35.31,33.51,35.31,38302.0
2015-09-07,36.7,36.7,35.47,35.47,34413.0
2015-09-08,35.96,35.96,34.57,35.55,37470.0
2015-09-09,35.55,35.96,34.65,34.73,13024.0
2015-09-10,34.82,34.98,34.73,34.82,4330.0
2015-09-11,34.98,35.14,34.82,34.82,3096.0
2015-09-14,35.06,35.06,34.49,34.49,4318.0
2015-09-15,34.49,34.57,34.0,34.32,12146.0
2015-09-16,34.24,34.9,34.24,34.9,3195.0
2015-09-17,34.73,34.98,34.32,34.49,5075.0
2015-09-18,34.41,35.14,34.32,35.06,54940.0
2015-09-21,35.14,35.14,34.49,35.14,3938.0
2015-09-22,34.73,34.82,34.41,34.57,2681.0
2015-09-23,34.73,34.73,34.49,34.49,5865.0
2015-09-24,34.57,35.06,34.57,34.57,6368.0
2015-09-25,34.82,34.9,34.57,34.73,9265.0
2015-09-28,34.41,34.41,33.75,34.32,5107.0
2015-09-29,34.24,34.57,33.75,34.41,4563.0
2015-09-30,34.82,35.14,34.49,34.57,2761.0
2015-10-01,34.73,35.06,34.65,34.82,2726.0
2015-10-02,34.82,35.14,34.82,35.14,3225.0
2015-10-05,35.14,35.31,34.82,35.23,5078.0
2015-10-06,34.82,35.72,34.82,35.55,4749.0
2015-10-07,35.88,36.54,35.06,35.47,7515.0
2015-10-08,35.47,35.47,34.82,35.14,4227.0
2015-10-09,35.88,35.88,35.23,35.63,2845.0
2015-10-12,35.63,36.29,35.63,36.21,7089.0
2015-10-13,36.21,36.21,35.47,35.47,2840.0
2015-10-14,35.55,35.8,35.06,35.55,5330.0
2015-10-15,35.63,35.96,35.39,35.88,2497.0
2015-10-16,35.88,35.88,35.31,35.63,77540.0
2015-10-19,35.55,35.8,35.55,35.55,3000.0
