Date,Open,High,Low,Close,Volume
2015-12-11,27.55,27.55,24.79,25.68,34161.0
2015-12-14,25.87,26.76,23.71,24.1,19851.0
2015-12-15,23.81,25.19,21.64,24.59,11758.0
2015-12-16,23.41,24.59,23.41,24.1,4540.0
2015-12-17,24.59,24.59,23.81,24.1,5225.0
2015-12-18,24.1,24.69,23.61,23.81,6682.0
2015-12-21,23.81,24.79,23.41,24.79,9890.0
2015-12-22,24.2,24.2,23.51,24.0,6325.0
2015-12-23,24.5,25.09,23.71,24.89,9837.0
2015-12-29,24.5,24.5,23.32,24.1,4443.0
2015-12-30,24.1,24.59,24.0,24.59,3623.0
2016-01-04,24.1,24.59,23.61,23.81,6088.0
2016-01-05,24.59,24.59,24.59,24.59,249.0
2016-01-07,23.41,23.61,23.32,23.61,1442.0
2016-01-08,23.51,23.81,23.02,23.81,2185.0
2016-01-11,24.1,24.1,22.63,24.0,7001.0
2016-01-12,24.0,24.0,22.73,23.61,2216.0
2016-01-13,22.53,23.61,22.53,22.63,1273.0
2016-01-14,22.53,22.82,22.04,22.82,2073.0
2016-01-15,22.14,23.12,22.04,23.12,887.0
2016-01-18,23.12,23.12,23.12,23.12,20.0
2016-01-19,24.5,24.59,24.5,24.5,823.0
2016-01-20,24.5,24.5,24.5,24.5,610.0
2016-01-21,24.5,24.5,24.5,24.5,36.0
2016-01-22,24.5,24.59,22.63,23.61,11573.0
2016-01-25,24.5,24.5,23.61,24.3,712.0
2016-01-26,24.3,24.3,23.12,24.1,382.0
2016-01-27,24.1,24.1,24.1,24.1,0.0
2016-01-29,23.81,23.81,23.61,23.61,344.0
2016-02-01,23.61,23.61,22.82,23.61,477.0
2016-02-02,23.61,23.61,23.61,23.61,0.0
2016-02-04,22.63,23.61,22.63,23.61,3405.0
2016-02-05,22.63,23.61,22.63,23.61,261.0
2016-02-09,22.63,23.51,22.63,23.51,203.0
2016-02-10,22.63,22.63,22.63,22.63,71.0
2016-02-11,22.53,22.63,22.23,22.23,813.0
2016-02-12,22.14,22.73,21.84,22.73,13442.0
2016-02-15,21.64,22.04,21.64,22.04,257.0
2016-02-16,22.53,22.53,21.64,22.53,4187.0
2016-02-17,23.51,23.51,22.63,22.63,712.0
2016-02-18,23.12,23.12,21.55,21.55,2297.0
2016-02-19,21.64,23.02,21.64,23.02,1442.0
2016-02-22,21.55,21.74,21.55,21.74,112.0
2016-02-23,21.84,21.84,21.64,21.64,476.0
2016-02-24,21.64,21.64,21.64,21.64,735.0
2016-02-25,22.53,22.53,22.53,22.53,5.0
2016-02-26,22.53,22.53,22.53,22.53,0.0
2016-02-29,21.64,21.74,21.64,21.64,8942.0
2016-03-01,22.53,22.53,22.53,22.53,7.0
2016-03-02,21.64,22.53,21.64,21.64,142.0
2016-03-03,21.64,21.74,19.87,20.76,6344.0
2016-03-04,21.35,21.35,21.05,21.05,2777.0
2016-03-07,21.55,21.64,21.55,21.64,798.0
2016-03-08,21.64,21.64,21.64,21.64,0.0
2016-03-09,20.76,22.14,20.76,21.84,7760.0
2016-03-10,21.84,21.84,21.84,21.84,0.0
2016-03-11,21.84,21.84,21.84,21.84,508.0
2016-03-14,21.64,21.74,21.45,21.55,3822.0
2016-03-15,21.15,21.35,21.15,21.35,396.0
2016-03-16,21.74,22.63,21.35,21.45,6505.0
2016-03-17,21.84,21.84,21.35,21.64,3102.0
2016-03-18,21.64,21.64,21.15,21.25,964.0
2016-03-21,21.25,21.25,21.25,21.25,0.0
2016-03-22,22.53,22.53,22.14,22.14,225.0
2016-03-23,21.64,22.33,21.64,21.64,1969.0
2016-03-30,21.84,21.84,21.84,21.84,1779.0
2016-03-31,22.63,22.63,22.63,22.63,41.0
2016-04-01,22.63,22.63,22.63,22.63,0.0
2016-04-04,22.63,23.61,21.15,21.64,1037.0
2016-04-05,21.64,21.64,21.64,21.64,224.0
2016-04-06,22.92,23.02,22.92,23.02,305.0
