Date,Open,High,Low,Close,Volume
2010-01-04,13.23,13.23,12.66,13.13,6669.0
2010-01-05,13.23,13.42,13.23,13.33,12150.0
2010-01-07,13.71,14.28,13.71,14.28,96507.0
2010-01-08,14.56,15.23,14.28,14.28,47439.0
2010-01-11,15.13,15.13,14.28,14.28,24753.0
2010-01-12,14.09,14.28,13.9,14.28,12270.0
2010-01-13,14.09,14.09,14.09,14.09,1200.0
2010-01-14,13.9,14.28,13.66,14.28,16203.0
2010-01-15,14.28,14.28,14.09,14.28,6474.0
2010-01-18,14.28,14.28,14.18,14.28,4500.0
2010-01-19,13.99,14.28,13.99,14.28,4623.0
2010-01-20,14.09,14.28,13.94,14.28,7842.0
2010-01-21,14.23,14.23,13.9,13.99,10200.0
2010-01-22,14.04,14.04,13.99,13.99,3315.0
2010-01-25,13.99,14.09,13.9,14.09,1614.0
2010-01-26,14.18,14.18,13.33,13.52,10107.0
2010-01-27,13.71,13.71,13.52,13.71,1170.0
2010-01-28,13.71,13.8,13.71,13.71,9933.0
2010-01-29,14.04,14.09,13.61,13.71,5973.0
2010-02-01,13.71,13.71,13.37,13.37,648.0
2010-02-02,13.52,13.52,13.33,13.33,21927.0
2010-02-03,13.33,13.66,13.33,13.33,28656.0
2010-02-04,13.33,13.33,12.85,13.13,5043.0
2010-02-05,12.8,13.33,12.8,13.33,2400.0
2010-02-08,13.33,13.33,12.85,13.18,8874.0
2010-02-09,12.94,13.09,12.9,12.94,21255.0
2010-02-10,12.9,12.94,12.9,12.94,7800.0
2010-02-11,13.33,13.33,12.9,12.94,6720.0
2010-02-12,12.9,12.9,12.9,12.9,1200.0
2010-02-15,12.71,13.09,12.71,13.09,8340.0
2010-02-16,12.66,13.33,12.66,13.23,50373.0
2010-02-17,13.23,13.23,12.56,13.09,15978.0
2010-02-18,13.13,13.13,12.37,12.56,12180.0
2010-02-19,12.56,12.94,12.37,12.94,21522.0
2010-02-22,12.94,12.94,12.94,12.94,10728.0
2010-02-23,12.75,12.94,12.66,12.94,12000.0
2010-02-24,12.47,12.47,12.42,12.42,1365.0
2010-02-25,12.47,12.47,12.42,12.42,3150.0
2010-02-26,12.66,12.66,12.66,12.66,300.0
2010-03-01,12.14,12.66,12.09,12.66,17550.0
2010-03-02,12.66,12.85,12.52,12.85,11817.0
2010-03-03,12.85,12.85,12.85,12.85,381.0
2010-03-04,12.52,12.66,12.52,12.56,9492.0
2010-03-05,12.42,12.56,12.42,12.52,14700.0
2010-03-08,12.52,12.71,12.52,12.71,5562.0
2010-03-09,12.47,12.71,12.47,12.71,7275.0
2010-03-10,12.75,12.75,12.47,12.56,6450.0
2010-03-11,12.56,12.56,12.37,12.56,98190.0
2010-03-12,12.66,12.85,12.47,12.85,20982.0
2010-03-15,12.56,12.56,12.47,12.47,6645.0
2010-03-16,12.56,12.9,12.47,12.9,27000.0
2010-03-17,12.9,12.94,12.9,12.9,3435.0
2010-03-18,12.9,12.94,12.61,12.75,18690.0
2010-03-19,12.85,13.28,12.85,13.09,38868.0
2010-03-22,13.13,13.33,12.85,13.33,6690.0
2010-03-23,13.47,13.8,12.94,13.8,17151.0
2010-03-24,13.8,13.8,13.61,13.61,3819.0
2010-03-25,13.52,14.09,13.23,13.9,72882.0
2010-03-26,13.33,16.13,13.33,15.85,180510.0
2010-03-29,15.99,16.09,15.04,15.8,68982.0
2010-03-30,15.61,15.7,15.47,15.47,69405.0
2010-03-31,15.61,15.8,15.42,15.8,136860.0
2010-04-01,15.75,15.9,15.61,15.9,35022.0
2010-04-06,15.8,15.99,15.61,15.8,63783.0
2010-04-07,15.99,16.09,15.9,15.94,13182.0
2010-04-08,15.99,15.99,15.85,15.99,24066.0
2010-04-09,15.99,17.28,15.99,16.85,65136.0
2010-04-12,16.85,17.47,16.75,17.42,53088.0
2010-04-13,17.42,17.51,16.47,16.47,37401.0
2010-04-14,16.47,16.85,16.37,16.37,21225.0
2010-04-15,16.37,16.37,16.23,16.23,402108.0
2010-04-16,16.23,16.7,16.23,16.7,13665.0
2010-04-19,16.56,16.7,16.04,16.7,11295.0
2010-04-20,16.47,17.13,16.47,17.13,60342.0
2010-04-21,16.61,16.89,16.61,16.66,10050.0
2010-04-22,16.56,16.94,16.51,16.51,16614.0
2010-04-23,16.61,16.8,16.56,16.56,21141.0
2010-04-26,16.56,16.99,16.56,16.99,35265.0
2010-04-27,16.89,16.94,16.66,16.66,56712.0
2010-04-28,16.56,16.85,16.09,16.75,27042.0
2010-04-29,16.51,16.75,16.09,16.28,14136.0
2010-04-30,16.94,16.94,16.61,16.61,327.0
2010-05-03,16.56,16.85,16.18,16.85,10941.0
2010-05-04,16.13,16.42,16.13,16.18,14619.0
2010-05-05,15.99,15.99,14.56,15.51,43386.0
2010-05-06,14.66,16.32,14.66,15.13,30345.0
2010-05-07,14.66,14.94,13.9,14.18,65067.0
2010-05-10,14.47,15.04,14.47,14.8,8916.0
2010-05-11,14.8,14.8,14.56,14.75,22533.0
2010-05-12,14.85,15.18,14.47,14.56,25695.0
2010-05-14,15.37,15.37,14.47,14.47,2298.0
2010-05-17,14.47,15.13,14.47,14.75,9000.0
2010-05-18,14.75,14.9,14.66,14.85,2835.0
2010-05-19,14.47,14.47,14.28,14.28,6750.0
2010-05-20,15.18,15.28,14.47,14.66,7140.0
2010-05-21,14.28,14.47,14.28,14.28,5160.0
2010-05-24,14.18,15.18,14.13,15.04,2904.0
2010-05-25,15.8,15.8,14.56,14.56,3249.0
2010-05-26,14.28,14.99,14.28,14.99,1821.0
2010-05-28,14.47,14.75,14.09,14.32,55410.0
2010-05-31,14.66,14.66,14.28,14.47,6930.0
2010-06-01,14.47,14.47,14.37,14.47,23400.0
2010-06-02,14.47,14.85,14.37,14.85,25284.0
2010-06-03,14.32,14.94,14.32,14.94,24024.0
2010-06-04,14.85,14.85,14.66,14.66,642.0
2010-06-07,15.04,15.04,14.71,14.71,4800.0
2010-06-08,14.71,14.71,14.42,14.42,7500.0
2010-06-09,14.52,14.56,14.52,14.52,16506.0
2010-06-10,14.37,14.47,14.37,14.42,2886.0
2010-06-11,14.52,14.52,14.52,14.52,1800.0
2010-06-14,14.51,14.75,14.51,14.75,6855.0
2010-06-15,14.85,14.94,14.8,14.94,4110.0
2010-06-16,15.04,15.04,14.85,14.94,10101.0
2010-06-17,14.9,15.42,14.9,15.42,23403.0
2010-06-18,15.09,15.42,15.09,15.42,11910.0
2010-06-21,15.56,16.04,15.42,15.61,8100.0
2010-06-22,15.37,15.51,15.37,15.42,303081.0
2010-06-23,15.37,15.37,15.23,15.23,300.0
2010-06-24,15.23,15.23,15.23,15.23,300.0
2010-06-28,15.23,15.23,14.75,14.94,19500.0
2010-06-29,14.85,14.85,14.71,14.71,6300.0
2010-06-30,44.26,44.26,42.69,42.69,0.0
2010-07-01,14.28,14.28,14.18,14.18,1494.0
2010-07-02,14.28,14.47,14.28,14.47,2700.0
2010-07-05,43.97,43.97,42.4,42.4,0.0
2010-07-06,14.32,14.32,14.28,14.28,1800.0
2010-07-07,14.32,14.32,14.32,14.32,300.0
2010-07-08,14.13,14.13,14.09,14.09,1200.0
2010-07-09,14.13,14.28,14.13,14.18,2958.0
2010-07-12,14.23,14.23,14.23,14.23,150.0
2010-07-13,14.28,14.28,14.28,14.28,300.0
2010-07-14,14.85,14.85,14.28,14.47,4974.0
2010-07-15,14.66,14.66,14.13,14.13,2106.0
2010-07-16,14.28,14.28,14.09,14.09,600.0
2010-07-19,42.83,42.83,42.26,42.26,0.0
2010-07-20,42.83,42.83,41.97,41.97,0.0
2010-07-22,14.28,14.28,14.18,14.18,390.0
2010-07-23,14.23,14.85,14.23,14.85,1104.0
2010-07-26,14.51,14.8,14.51,14.8,630.0
2010-07-27,14.75,15.8,14.75,15.42,5736.0
2010-07-28,15.23,15.8,15.23,15.23,1767.0
2010-07-29,15.23,15.23,14.94,14.94,1971.0
2010-07-30,15.04,15.04,14.9,14.9,900.0
2010-08-02,14.94,14.94,14.94,14.94,900.0
2010-08-03,47.97,47.97,45.26,45.26,0.0
2010-08-04,15.04,15.04,14.94,14.94,5160.0
2010-08-05,15.32,15.32,15.32,15.32,6.0
2010-08-06,14.94,15.23,14.94,15.04,1620.0
2010-08-09,14.85,15.23,14.85,15.23,7950.0
2010-08-10,15.23,15.23,15.23,15.23,1800.0
2010-08-11,15.23,15.23,15.13,15.13,16458.0
2010-08-12,15.13,15.23,14.85,15.23,9540.0
2010-08-13,15.42,15.7,15.32,15.42,17511.0
2010-08-16,15.8,15.8,15.61,15.61,19575.0
2010-08-17,15.8,15.85,15.61,15.85,17820.0
2010-08-18,15.61,15.85,15.61,15.8,295548.0
2010-08-19,15.61,15.8,15.42,15.42,3000.0
2010-08-20,15.61,15.61,15.23,15.23,7950.0
2010-08-23,15.8,15.8,15.42,15.42,6249.0
2010-08-24,15.61,15.61,15.42,15.42,6945.0
2010-08-25,15.13,15.13,14.47,14.85,5400.0
2010-08-26,15.13,15.56,15.13,15.13,6570.0
2010-08-27,15.23,15.23,15.23,15.23,6.0
2010-08-30,14.85,14.85,14.37,14.85,17550.0
2010-08-31,14.85,14.94,14.85,14.85,6912.0
2010-09-01,14.75,14.85,14.47,14.66,6675.0
2010-09-02,14.66,14.94,14.66,14.94,306.0
2010-09-03,15.04,15.23,15.04,15.13,11100.0
2010-09-06,15.13,15.13,14.85,14.85,2103.0
2010-09-07,14.66,15.61,14.66,15.56,624597.0
2010-09-08,15.23,15.51,15.23,15.32,15600.0
2010-09-09,15.51,15.61,15.23,15.37,16905.0
2010-09-10,15.37,15.8,15.23,15.8,23112.0
2010-09-13,15.8,15.8,15.47,15.47,3153.0
2010-09-14,15.51,15.51,15.42,15.42,3690.0
2010-09-15,15.8,16.09,15.8,15.8,10560.0
2010-09-16,15.85,15.85,15.47,15.47,12822.0
2010-09-17,15.42,15.42,15.32,15.42,9300.0
2010-09-20,15.42,15.47,15.42,15.42,3090.0
2010-09-21,15.42,15.8,15.42,15.8,24231.0
2010-09-22,15.8,15.8,15.7,15.7,1575.0
2010-09-23,16.09,16.09,15.7,15.7,450.0
2010-09-24,15.8,15.8,15.7,15.7,2475.0
2010-09-27,15.61,15.8,15.61,15.8,4500.0
2010-09-28,15.8,16.18,15.61,16.18,13200.0
2010-09-29,16.32,16.32,15.42,15.8,30615.0
2010-09-30,16.13,16.13,15.8,16.13,16500.0
2010-10-01,15.99,16.56,15.85,16.56,46671.0
2010-10-04,16.56,16.85,16.23,16.75,11385.0
2010-10-05,16.94,16.94,16.56,16.7,10785.0
2010-10-06,16.94,17.13,16.75,16.75,26751.0
2010-10-07,16.75,17.13,16.56,17.13,7530.0
2010-10-08,16.8,17.42,16.8,17.42,19737.0
2010-10-11,17.42,17.42,16.61,17.28,849.0
2010-10-12,16.75,17.08,16.7,16.75,6030.0
2010-10-13,16.66,16.66,16.37,16.66,22185.0
2010-10-14,16.56,16.61,16.42,16.56,2625.0
2010-10-15,16.51,16.51,16.51,16.51,9099.0
2010-10-18,16.56,17.13,16.56,17.13,20622.0
2010-10-19,17.13,17.32,16.75,16.75,5472.0
2010-10-20,16.94,17.04,16.61,16.61,15549.0
2010-10-21,16.66,16.94,16.66,16.75,23790.0
2010-10-22,16.56,16.56,15.99,16.56,22860.0
2010-10-25,16.09,16.89,15.8,16.09,9366.0
2010-10-26,15.85,16.09,15.8,15.99,1815.0
2010-10-27,15.8,16.18,15.8,16.04,5700.0
2010-10-28,16.28,16.28,16.23,16.23,4737.0
2010-10-29,16.18,16.18,16.09,16.09,3150.0
2010-11-01,16.37,16.75,16.37,16.75,5586.0
2010-11-02,16.75,16.94,16.75,16.94,7812.0
2010-11-03,16.89,16.89,16.75,16.75,26166.0
2010-11-04,16.75,16.94,16.75,16.94,21510.0
2010-11-05,16.94,16.94,16.94,16.94,4809.0
2010-11-08,16.94,17.13,16.94,17.13,34434.0
2010-11-09,16.56,17.32,16.47,16.94,354678.0
2010-11-10,17.13,18.13,17.13,17.85,41700.0
2010-11-11,17.89,18.18,17.89,17.99,18282.0
2010-11-12,17.99,18.04,17.51,17.51,20094.0
2010-11-15,17.85,17.85,17.28,17.28,8310.0
2010-11-16,17.13,17.7,17.13,17.7,29439.0
2010-11-17,17.7,17.7,17.13,17.61,9279.0
2010-11-18,17.61,17.99,17.32,17.61,14505.0
2010-11-19,17.61,17.61,17.32,17.61,3744.0
2010-11-22,17.7,17.85,17.51,17.8,6927.0
2010-11-23,17.13,17.18,17.13,17.13,3177.0
2010-11-24,17.23,17.51,17.13,17.51,4650.0
2010-11-25,17.37,17.37,17.23,17.23,4815.0
2010-11-26,17.23,17.23,16.75,16.85,3600.0
2010-11-29,16.8,17.08,16.75,16.75,281808.0
2010-11-30,17.13,17.13,16.75,17.04,6138.0
2010-12-01,16.85,16.85,16.61,16.7,27795.0
2010-12-02,16.75,16.99,16.37,16.8,21372.0
