Date,Open,High,Low,Close,Volume
2010-01-04,15.14,15.73,15.14,15.63,4471.0
2010-01-05,15.73,15.73,15.53,15.53,1200.0
2010-01-07,15.53,15.53,15.24,15.24,405.0
2010-01-08,15.53,15.53,15.53,15.53,795.0
2010-01-11,16.02,16.52,16.02,16.52,16696.0
2010-01-12,16.42,18.88,16.22,18.88,26291.0
2010-01-13,18.88,18.97,18.19,18.97,4695.0
2010-01-15,18.58,18.78,17.7,17.79,6281.0
2010-01-18,18.19,18.19,18.19,18.19,1000.0
2010-01-19,18.19,18.58,17.7,18.58,2500.0
2010-01-20,18.58,18.58,18.19,18.19,1420.0
2010-01-21,18.48,18.48,17.7,17.7,1200.0
2010-01-22,18.29,18.68,17.89,17.89,2600.0
2010-01-25,18.58,18.68,18.58,18.68,3000.0
2010-01-26,18.68,18.68,18.68,18.68,300.0
2010-01-27,18.19,18.19,18.19,18.19,300.0
2010-01-28,18.68,18.68,18.68,18.68,400.0
2010-01-29,17.89,18.09,17.89,18.09,3225.0
2010-02-01,18.19,18.19,18.19,18.19,1157.0
2010-02-03,18.19,18.38,17.7,18.38,1975.0
2010-02-04,18.19,18.19,17.99,17.99,1900.0
2010-02-08,17.7,17.7,17.7,17.7,1000.0
2010-02-11,17.6,17.6,17.5,17.5,800.0
2010-02-12,17.3,17.3,17.2,17.2,1800.0
2010-02-15,17.11,17.11,17.11,17.11,900.0
2010-02-16,16.91,17.6,16.91,17.6,2000.0
2010-02-22,16.91,16.91,16.91,16.91,100.0
2010-02-23,16.91,16.91,16.91,16.91,2000.0
2010-02-24,16.91,17.01,16.81,17.01,1941.0
2010-02-25,17.6,17.6,17.4,17.4,1238.0
2010-02-26,17.4,17.4,16.22,16.91,13622.0
2010-03-01,16.42,16.42,12.39,14.75,30018.0
2010-03-02,13.86,14.75,13.86,14.55,7817.0
2010-03-03,14.55,15.24,14.45,14.94,10157.0
2010-03-04,14.35,15.04,14.35,15.04,7200.0
2010-03-08,14.75,15.83,14.75,15.83,1100.0
2010-03-11,15.44,16.22,15.44,16.22,1056.0
2010-03-12,15.73,15.93,15.63,15.63,4820.0
2010-03-15,15.24,15.24,14.75,14.75,6862.0
