Date,Open,High,Low,Close,Volume
2010-01-04,33.03,34.21,32.63,33.82,824809.0
2010-01-05,34.05,35.08,33.97,35.08,225850.0
2010-01-07,34.92,35.71,34.53,35.55,1160351.0
2010-01-08,35.4,36.19,35.4,35.79,266998.0
2010-01-11,35.79,36.74,35.79,36.34,734801.0
2010-01-12,36.34,37.13,35.4,35.63,1410252.0
2010-01-13,35.32,35.71,34.61,35.32,200348.0
2010-01-14,35.08,35.63,35.0,35.32,258057.0
2010-01-15,35.0,35.47,34.61,35.16,588403.0
2010-01-18,35.24,35.47,35.0,35.24,223020.0
2010-01-19,35.16,35.55,34.76,35.55,320232.0
2010-01-20,35.55,35.55,34.61,34.92,193648.0
2010-01-21,34.76,35.16,34.53,34.76,359330.0
2010-01-22,34.76,34.76,33.03,33.58,304130.0
2010-01-25,34.37,34.37,33.34,33.34,264005.0
2010-01-26,33.5,33.66,32.39,33.18,1178512.0
2010-01-27,32.95,34.68,32.79,34.45,390909.0
2010-01-28,35.4,35.4,33.1,33.1,224918.0
2010-01-29,33.58,33.82,32.63,33.18,260782.0
2010-02-01,33.34,33.97,32.87,33.89,95685.0
2010-02-02,33.97,35.47,33.97,35.16,575436.0
2010-02-03,34.84,35.16,34.29,34.61,185872.0
2010-02-04,34.76,34.76,33.74,33.89,261263.0
2010-02-05,33.26,34.76,32.16,32.79,445950.0
2010-02-08,33.34,33.34,30.81,31.92,213512.0
2010-02-09,32.24,32.79,31.45,32.31,229818.0
2010-02-10,31.68,33.42,31.68,32.47,340263.0
2010-02-11,32.95,33.34,31.45,32.55,248399.0
2010-02-12,32.63,32.63,29.0,29.55,2951661.0
2010-02-15,29.31,29.71,28.84,29.23,545995.0
2010-02-16,29.31,29.55,28.21,28.52,1374774.0
2010-02-17,29.0,30.02,28.28,29.55,2123474.0
2010-02-18,29.55,29.55,29.0,29.23,709459.0
2010-02-19,29.23,29.79,28.84,29.47,243548.0
2010-02-22,29.47,29.55,28.92,29.0,485019.0
2010-02-23,29.0,29.15,25.68,28.6,908992.0
2010-02-24,28.36,29.0,27.81,28.44,749704.0
2010-02-25,28.44,28.92,27.89,28.28,511787.0
