Date,Open,High,Low,Close,Volume
2009-12-03,41.66,41.66,40.78,40.78,6686.0
2009-12-04,40.78,41.13,40.78,40.95,9531.0
2009-12-07,40.6,41.13,40.07,40.95,22678.0
2009-12-08,40.78,41.84,40.78,41.31,12979.0
2009-12-09,41.31,41.31,40.6,41.31,30223.0
2009-12-10,40.95,41.66,40.95,41.66,10224.0
2009-12-11,40.95,41.66,40.95,41.66,24149.0
2009-12-14,41.13,41.66,40.25,40.25,6398.0
2009-12-15,41.48,41.48,40.42,41.31,6206.0
2009-12-16,40.95,40.95,40.25,40.25,22695.0
2009-12-17,40.25,40.95,40.07,40.25,18984.0
2009-12-18,40.25,40.78,39.36,39.36,14354.0
2009-12-21,39.54,40.07,38.48,40.07,62238.0
2009-12-22,40.07,40.78,39.89,40.42,16221.0
2009-12-23,40.42,41.66,40.42,41.66,8614.0
2009-12-28,41.84,42.72,41.66,41.66,56289.0
2009-12-29,42.37,42.37,41.31,42.37,14014.0
2009-12-30,42.01,42.01,41.31,41.66,8936.0
2010-01-04,41.66,42.37,40.95,40.95,36094.0
2010-01-05,41.66,42.72,41.66,42.72,6783.0
2010-01-07,42.37,42.37,41.84,41.84,5524.0
2010-01-08,42.72,42.72,42.01,42.37,6480.0
2010-01-11,42.72,42.72,40.78,40.78,27937.0
2010-01-12,41.66,41.66,40.6,40.78,17487.0
2010-01-13,40.42,42.01,40.42,42.01,225661.0
2010-01-14,42.72,43.95,42.72,43.25,46646.0
2010-01-15,43.78,44.13,42.89,43.95,61577.0
2010-01-18,43.95,44.48,42.89,44.48,58120.0
2010-01-19,44.31,44.66,42.72,44.48,77399.0
2010-01-20,44.48,44.84,43.6,43.6,15267.0
2010-01-21,43.95,43.95,43.25,43.78,5929.0
2010-01-22,43.78,43.78,42.72,43.07,9368.0
2010-01-25,42.37,43.42,42.37,42.54,31565.0
2010-01-26,43.95,43.95,41.66,42.37,17195.0
2010-01-27,42.01,42.72,41.66,41.66,55267.0
2010-01-28,44.13,44.13,42.19,42.72,19270.0
2010-01-29,42.72,43.78,42.54,43.78,28864.0
2010-02-01,43.78,46.6,43.78,46.25,218626.0
2010-02-02,47.31,50.13,47.13,49.07,277395.0
2010-02-03,50.13,50.84,49.07,49.25,81696.0
2010-02-04,49.43,49.43,48.37,48.37,40382.0
2010-02-05,48.54,48.54,47.66,48.01,38471.0
2010-02-08,49.6,49.6,48.01,48.37,56200.0
2010-02-09,48.9,49.07,48.37,48.54,20100.0
2010-02-10,49.25,49.25,48.37,48.37,34400.0
2010-02-11,48.72,49.07,48.37,48.72,44800.0
2010-02-12,48.72,50.31,47.66,49.43,50200.0
2010-02-15,50.13,50.13,48.72,49.43,13300.0
2010-02-16,49.43,49.43,48.72,49.43,25000.0
2010-02-17,49.6,49.78,48.9,49.6,79234.0
2010-02-18,50.13,50.13,48.19,48.72,30248.0
2010-02-19,48.72,48.72,47.84,48.01,59168.0
2010-02-22,48.9,48.9,47.84,48.19,28016.0
2010-02-23,48.72,49.07,47.66,48.37,81106.0
2010-02-24,49.25,49.25,48.37,48.72,17772.0
