Date,Open,High,Low,Close,Volume
2010-01-04,7.2,7.23,7.0,7.2,87080.0
2010-01-05,7.0,7.27,6.9,7.2,112280.0
2010-01-07,7.4,7.4,7.17,7.23,68644.0
2010-01-08,7.37,7.61,7.23,7.51,164743.0
2010-01-11,7.57,7.71,7.51,7.71,97594.0
2010-01-12,7.78,7.78,7.44,7.57,97648.0
2010-01-13,7.61,7.91,7.61,7.74,134737.0
2010-01-14,7.81,7.81,7.64,7.67,93692.0
2010-01-15,7.61,7.74,7.57,7.74,54618.0
2010-01-18,7.81,7.84,7.67,7.71,49605.0
2010-01-19,7.78,7.81,7.61,7.78,35865.0
2010-01-20,7.78,7.88,7.44,7.74,61199.0
2010-01-21,7.61,7.78,7.37,7.44,75365.0
2010-01-22,7.44,7.44,7.17,7.17,69786.0
2010-01-25,7.23,7.3,6.93,7.23,70903.0
2010-01-26,7.1,7.1,6.86,7.07,55311.0
2010-01-27,6.93,7.1,6.93,6.93,31514.0
2010-01-28,6.9,7.1,6.8,6.8,121978.0
2010-01-29,6.8,6.93,6.76,6.76,37944.0
2010-02-01,6.9,6.96,6.76,6.76,45408.0
2010-02-02,6.96,7.13,6.86,6.86,50415.0
2010-02-03,7.23,7.23,6.86,6.93,42473.0
2010-02-04,6.93,7.0,6.83,6.83,46308.0
2010-02-05,6.76,6.83,6.59,6.69,80580.0
2010-02-08,6.69,6.86,6.59,6.69,10024.0
2010-02-09,6.73,6.86,6.56,6.8,43285.0
2010-02-10,6.56,6.56,5.44,5.48,458579.0
2010-02-11,5.58,5.65,5.21,5.31,150679.0
2010-02-12,5.54,5.54,4.99,5.04,222628.0
2010-02-15,5.07,5.34,4.77,4.77,114702.0
2010-02-16,4.77,5.41,4.77,5.38,164960.0
2010-02-17,5.58,5.58,5.24,5.41,66063.0
2010-02-18,5.24,5.24,4.75,5.17,123811.0
2010-02-19,5.17,5.17,4.92,5.07,105467.0
2010-02-22,5.0,5.24,5.0,5.07,2017803.0
2010-02-23,5.07,5.92,5.07,5.65,1031629.0
2010-02-24,5.78,5.78,5.48,5.71,134054.0
2010-02-25,5.71,6.39,5.71,5.85,385612.0
2010-02-26,6.36,6.36,5.75,5.78,241308.0
2010-03-01,6.32,6.32,5.88,5.92,140787.0
2010-03-02,6.15,6.15,5.85,5.95,133296.0
2010-03-03,6.02,6.15,5.95,6.09,50467.0
2010-03-04,6.15,6.15,5.85,6.05,85961.0
2010-03-05,5.95,6.02,5.85,6.02,106261.0
2010-03-08,5.98,6.02,5.75,5.92,184926.0
2010-03-09,5.88,5.88,5.61,5.78,150389.0
2010-03-10,5.75,5.92,5.61,5.92,90435.0
2010-03-11,5.98,6.36,5.98,6.36,154774.0
2010-03-12,6.36,6.73,6.36,6.69,123682.0
2010-03-15,6.69,6.76,6.46,6.63,163883.0
2010-03-16,6.63,6.83,6.59,6.69,60687.0
2010-03-17,6.69,6.8,6.36,6.42,166610.0
2010-03-18,6.42,6.52,6.29,6.42,98579.0
2010-03-19,6.39,6.42,6.36,6.39,24227.0
2010-03-22,6.36,6.46,6.12,6.32,132924.0
2010-03-23,6.42,6.49,6.36,6.42,70807.0
2010-03-24,6.56,6.56,6.36,6.42,33727.0
2010-03-25,6.42,6.59,6.42,6.42,125893.0
2010-03-26,6.42,6.42,6.29,6.42,106526.0
2010-03-29,6.42,6.46,6.39,6.42,68107.0
2010-03-30,6.42,6.42,6.29,6.29,31251.0
2010-03-31,6.42,6.42,6.22,6.29,178997.0
2010-04-01,6.36,6.42,6.19,6.29,157738.0
2010-04-06,6.29,7.0,6.29,6.8,296772.0
2010-04-07,6.93,7.23,6.86,6.96,852699.0
2010-04-08,7.38,7.38,6.78,7.13,165689.0
2010-04-09,7.27,8.08,7.27,7.76,151102.0
2010-04-12,7.76,7.76,7.38,7.62,56093.0
2010-04-13,7.8,7.8,7.48,7.76,80213.0
2010-04-14,8.05,8.08,7.76,7.87,54029.0
2010-04-15,7.87,7.91,7.48,7.48,72585.0
2010-04-16,7.48,7.73,7.41,7.48,84573.0
2010-04-19,7.16,7.34,7.06,7.06,17589.0
2010-04-20,7.06,7.62,7.06,7.34,44500.0
2010-04-21,7.34,7.34,7.06,7.16,35750.0
2010-04-22,7.34,7.34,6.85,6.88,106511.0
2010-04-23,6.99,7.09,6.78,6.85,99185.0
2010-04-26,6.85,7.06,6.71,6.92,80830.0
2010-04-27,6.71,6.92,6.46,6.49,37085.0
