Date,Open,High,Low,Close,Volume
2014-12-04,28.06,28.46,26.43,27.49,1708164.0
2014-12-05,27.49,27.49,26.59,27.0,585327.0
2014-12-08,27.0,27.0,26.51,26.59,349951.0
2014-12-09,26.59,27.08,26.35,26.51,253468.0
2014-12-10,26.84,26.84,26.51,26.76,70005.0
2014-12-11,26.76,26.76,26.43,26.67,455401.0
2014-12-12,26.76,26.84,26.27,26.27,242300.0
2014-12-15,26.51,26.84,26.43,26.67,146077.0
2014-12-16,26.67,26.76,26.27,26.51,63895.0
2014-12-17,26.59,26.59,26.1,26.51,132261.0
2014-12-18,26.43,26.76,26.35,26.76,100495.0
2014-12-19,26.76,27.41,26.67,27.16,209128.0
2014-12-22,27.16,27.57,27.08,27.41,606553.0
2014-12-23,27.57,27.57,27.16,27.24,113693.0
2014-12-29,27.24,28.06,27.24,28.06,76085.0
2014-12-30,28.06,28.46,27.73,28.14,79504.0
2015-01-02,28.38,28.38,28.14,28.14,83187.0
2015-01-05,28.14,28.38,27.89,27.89,64616.0
2015-01-07,27.98,28.3,27.49,27.98,121632.0
2015-01-08,27.98,30.41,27.98,29.28,461494.0
2015-01-09,29.36,29.93,29.36,29.76,80969.0
2015-01-12,30.01,30.5,29.93,30.5,136157.0
2015-01-13,30.82,31.07,29.76,30.17,95961.0
2015-01-14,30.33,30.5,29.85,30.09,97196.0
2015-01-15,30.82,30.9,30.17,30.5,76988.0
2015-01-16,30.66,31.96,30.58,30.9,317225.0
2015-01-19,31.39,32.12,31.39,31.72,260663.0
2015-01-20,32.12,32.12,31.47,31.63,185905.0
2015-01-21,31.63,31.63,30.33,30.9,71927.0
2015-01-22,30.9,31.55,30.58,30.98,104544.0
2015-01-23,31.31,31.31,30.9,30.98,929104.0
2015-01-26,31.63,31.72,30.66,31.15,164432.0
2015-01-27,31.47,31.55,30.98,31.07,124812.0
2015-01-28,31.23,31.47,31.07,31.07,88230.0
2015-01-29,31.39,31.39,30.82,30.9,179372.0
2015-01-30,30.9,31.31,30.9,31.31,59418.0
2015-02-02,31.15,31.47,30.9,31.47,76328.0
2015-02-03,31.15,31.72,31.15,31.55,157691.0
2015-02-04,31.72,31.88,31.55,31.72,34996.0
2015-02-05,31.8,32.29,31.39,31.88,28788.0
2015-02-06,31.88,32.29,31.55,31.8,34545.0
2015-02-09,31.96,32.37,31.47,31.63,52863.0
2015-02-10,31.8,32.45,31.55,31.96,78298.0
2015-02-11,32.2,32.29,31.96,32.04,46408.0
2015-02-12,32.04,32.53,31.88,32.53,120536.0
2015-02-13,33.34,36.6,33.34,34.81,230188.0
2015-02-16,37.08,38.14,35.54,36.92,264086.0
2015-02-17,37.41,37.41,34.97,36.68,111962.0
2015-02-18,36.68,37.41,36.6,37.16,1328652.0
2015-02-19,37.25,37.33,36.19,36.43,82388.0
2015-02-20,36.76,37.33,35.54,36.43,128027.0
2015-02-23,36.27,36.35,34.97,35.7,117056.0
2015-02-24,35.38,35.78,34.07,35.46,236444.0
2015-02-25,35.7,35.86,35.13,35.54,57721.0
2015-02-26,35.29,35.78,35.21,35.21,41367.0
2015-02-27,35.05,36.43,35.05,36.43,72723.0
2015-03-02,35.78,36.35,35.38,35.78,88387.0
2015-03-03,35.78,35.78,34.4,35.21,78990.0
2015-03-04,34.97,34.97,33.83,34.89,192513.0
2015-03-05,34.24,34.89,34.24,34.64,47716.0
2015-03-06,35.13,35.13,32.12,32.53,349770.0
2015-03-09,32.53,33.34,32.2,33.18,192782.0
2015-03-10,33.18,33.91,32.04,32.69,87050.0
2015-03-11,32.53,33.1,32.2,33.02,54412.0
2015-03-12,32.94,33.34,32.61,32.69,81734.0
2015-03-13,32.69,33.59,32.61,32.69,74037.0
2015-03-16,32.77,33.18,32.37,32.45,125205.0
2015-03-17,32.53,32.53,32.04,32.2,109453.0
2015-03-18,31.96,33.02,31.88,32.53,111657.0
2015-03-19,32.77,33.67,32.53,32.61,65305.0
2015-03-20,32.61,33.02,32.53,32.94,56055.0
2015-03-23,32.85,32.94,32.61,32.77,47713.0
2015-03-24,32.69,32.94,32.37,32.94,78029.0
2015-03-25,32.94,33.02,32.61,32.85,46181.0
2015-03-26,32.53,32.85,31.88,32.69,76804.0
2015-03-27,32.53,32.77,32.2,32.2,16773.0
2015-03-30,32.29,32.53,32.2,32.53,32494.0
2015-03-31,32.53,32.53,32.37,32.53,12495.0
2015-04-01,33.02,33.1,32.53,32.85,71734.0
2015-04-02,33.02,34.07,32.85,33.67,57657.0
2015-04-07,34.16,34.16,32.53,33.59,70406.0
2015-04-08,33.67,33.67,33.26,33.26,47239.0
2015-04-09,33.42,33.67,33.42,33.67,35057.0
2015-04-10,33.75,33.91,33.51,33.51,48320.0
2015-04-13,33.51,33.99,33.42,33.67,46889.0
2015-04-14,33.99,34.16,33.75,34.16,89043.0
2015-04-15,34.16,34.48,34.16,34.48,22013.0
2015-04-16,34.48,35.38,34.32,35.13,81414.0
2015-04-17,35.21,35.78,34.4,35.13,86412.0
2015-04-20,34.97,35.54,34.32,34.97,92444.0
2015-04-21,35.29,35.78,34.32,35.38,111175.0
2015-04-22,34.56,35.38,34.56,35.38,82413.0
2015-04-23,34.72,35.78,34.64,34.89,28998.0
2015-04-24,34.97,35.38,34.72,35.38,70369.0
2015-04-27,36.2,36.53,35.96,36.45,135301.0
2015-04-28,36.62,36.62,35.46,35.79,41787.0
2015-04-29,36.37,36.37,34.97,35.05,33332.0
2015-04-30,35.13,35.38,34.15,34.72,43319.0
2015-05-04,34.89,35.3,34.64,34.64,50044.0
2015-05-05,34.64,35.87,34.56,34.56,49738.0
2015-05-06,34.15,35.38,34.15,34.97,185355.0
2015-05-07,35.3,35.3,32.09,33.49,580616.0
2015-05-08,33.41,34.23,33.32,34.15,65184.0
2015-05-11,34.06,34.97,33.41,34.23,94782.0
2015-05-12,34.15,34.15,33.49,33.74,47517.0
2015-05-13,33.74,33.98,33.57,33.74,28331.0
2015-05-15,33.82,34.31,33.32,33.57,17123.0
2015-05-18,33.74,33.9,33.16,33.16,25307.0
2015-05-19,33.98,33.98,33.24,33.49,23335.0
2015-05-20,33.16,33.74,32.91,33.74,16677.0
2015-05-21,33.16,33.57,33.16,33.57,27817.0
2015-05-22,33.41,33.65,33.16,33.41,11358.0
2015-05-25,33.32,33.41,33.08,33.08,28931.0
2015-05-26,33.41,33.49,32.91,33.08,35631.0
2015-05-27,33.16,33.16,32.17,32.91,42569.0
2015-05-28,32.42,32.67,32.17,32.67,17153.0
2015-05-29,32.5,32.5,32.17,32.25,23870.0
2015-06-01,32.09,32.75,32.01,32.5,35660.0
2015-06-02,32.5,32.5,31.68,31.84,26676.0
2015-06-03,31.76,32.09,31.6,32.01,16200.0
2015-06-04,31.93,31.93,31.43,31.84,90581.0
2015-06-05,31.6,31.76,30.03,31.27,80223.0
2015-06-08,31.27,31.27,30.53,30.53,42358.0
2015-06-09,30.44,30.44,29.87,30.44,39086.0
2015-06-10,30.28,30.61,29.79,30.28,32721.0
2015-06-11,30.2,31.27,30.12,31.27,39491.0
2015-06-12,31.84,31.84,30.53,30.53,21085.0
2015-06-15,30.12,30.12,29.62,29.62,24187.0
2015-06-16,29.62,29.62,28.72,29.46,38090.0
2015-06-17,29.46,29.62,29.21,29.21,56996.0
2015-06-18,29.29,29.54,29.21,29.54,27010.0
2015-06-22,29.54,30.03,29.29,29.62,11162.0
2015-06-23,29.87,30.36,29.62,30.2,5833.0
2015-06-24,30.44,30.44,30.03,30.03,9005.0
2015-06-25,29.79,30.44,29.79,30.03,3628.0
2015-06-26,29.79,30.12,29.29,29.62,3035.0
2015-06-29,28.8,29.21,28.8,29.05,20034.0
2015-06-30,28.96,29.95,28.8,29.13,32542.0
2015-07-01,29.54,29.62,28.96,29.54,8859.0
2015-07-02,29.21,30.44,29.21,30.2,58127.0
2015-07-03,30.36,30.36,29.87,29.87,7287.0
2015-07-06,29.05,29.79,28.88,29.46,19915.0
2015-07-07,30.03,30.36,29.62,30.2,3846.0
2015-07-08,29.62,30.2,29.62,29.79,6659.0
2015-07-09,30.36,30.77,30.12,30.36,51349.0
2015-07-10,30.94,31.18,30.44,31.1,16310.0
2015-07-13,31.1,31.68,31.1,31.6,15903.0
2015-07-14,31.27,31.6,31.02,31.02,13502.0
2015-07-15,31.43,31.68,31.02,31.43,6797.0
2015-07-16,31.6,31.68,30.44,31.6,7326.0
2015-07-17,30.53,31.6,30.53,30.94,3988.0
2015-07-20,31.18,31.6,31.02,31.6,10602.0
2015-07-21,31.02,31.6,31.02,31.35,8935.0
2015-07-22,31.27,31.35,31.1,31.35,2688.0
2015-07-23,30.94,31.35,30.94,30.94,4386.0
2015-07-24,30.86,31.27,30.86,30.86,7420.0
2015-07-27,31.27,31.27,29.95,30.2,19155.0
2015-07-28,30.03,30.94,30.03,30.44,7735.0
2015-07-29,31.18,31.18,30.28,30.77,3143.0
2015-07-30,30.44,31.02,30.03,30.36,5973.0
2015-07-31,30.2,30.94,30.12,30.44,6617.0
2015-08-03,30.69,31.27,30.69,31.18,25657.0
2015-08-04,30.77,31.1,30.77,31.1,2200.0
2015-08-05,31.18,32.42,30.86,31.84,25398.0
2015-08-06,31.18,31.35,31.18,31.27,2257.0
2015-08-07,31.68,31.68,31.02,31.02,3218.0
2015-08-10,31.27,31.68,30.94,31.51,6151.0
2015-08-11,31.1,31.6,31.1,31.51,6174.0
2015-08-12,31.27,31.76,30.69,31.68,14930.0
2015-08-13,31.6,31.68,31.1,31.6,2700.0
2015-08-14,31.18,31.68,31.18,31.27,7220.0
2015-08-17,31.27,31.84,31.27,31.68,47140.0
2015-08-18,32.67,32.91,31.84,32.01,92609.0
2015-08-19,32.17,32.17,31.35,31.35,26147.0
2015-08-20,31.51,31.51,30.86,31.43,29448.0
2015-08-21,30.94,31.84,30.86,31.27,34185.0
2015-08-24,30.44,30.44,28.96,30.44,87382.0
2015-08-25,29.79,31.1,29.79,30.77,46869.0
2015-08-26,31.27,31.27,30.12,30.77,9773.0
2015-08-27,30.53,31.18,29.95,30.94,12428.0
2015-08-28,31.02,31.02,30.03,30.12,42204.0
2015-08-31,30.77,31.1,30.12,30.53,19511.0
2015-09-01,30.2,30.28,29.95,29.95,14597.0
2015-09-02,29.87,30.28,29.7,30.12,36365.0
2015-09-03,30.03,30.44,29.95,30.44,30496.0
2015-09-04,30.28,30.28,29.7,30.2,20749.0
2015-09-07,30.53,30.61,30.03,30.2,12538.0
2015-09-08,29.7,30.61,29.7,30.44,33905.0
2015-09-09,30.61,30.86,30.44,30.77,29629.0
2015-09-10,30.69,31.68,30.36,30.61,36305.0
2015-09-11,31.27,31.93,30.53,30.86,17528.0
2015-09-14,30.69,30.86,30.2,30.36,5282.0
2015-09-15,30.77,30.77,30.03,30.12,8103.0
2015-09-16,30.28,30.61,30.28,30.44,330637.0
2015-09-17,30.44,30.44,29.87,30.44,7601.0
2015-09-18,30.28,30.86,30.2,30.53,38188.0
2015-09-21,30.69,30.69,30.03,30.61,2545.0
2015-09-22,30.28,30.44,30.03,30.44,8833.0
2015-09-23,30.03,30.44,30.03,30.44,6382.0
2015-09-24,30.12,30.28,29.7,29.79,26565.0
2015-09-25,29.79,30.36,29.79,30.03,19635.0
2015-09-28,30.12,30.12,29.62,29.62,8336.0
2015-09-29,29.37,30.03,29.37,29.62,42018.0
2015-09-30,29.95,29.95,29.79,29.87,24377.0
2015-10-01,29.7,30.03,29.7,29.79,20916.0
2015-10-02,29.95,30.12,29.87,30.03,17007.0
2015-10-05,29.95,30.44,29.21,30.12,58923.0
2015-10-06,30.44,30.86,30.12,30.36,15294.0
2015-10-07,29.95,31.51,29.95,30.69,45590.0
2015-10-08,31.27,31.27,30.44,30.86,57205.0
2015-10-09,31.18,31.27,30.36,31.18,26987.0
2015-10-12,31.27,31.6,31.27,31.27,57186.0
2015-10-13,31.27,31.93,30.77,31.84,12934.0
2015-10-14,31.76,31.84,31.68,31.76,16427.0
2015-10-15,31.76,32.5,31.68,31.93,172909.0
2015-10-16,32.09,32.5,31.84,32.01,55370.0
2015-10-19,31.84,32.01,31.68,31.76,40383.0
2015-10-20,31.68,31.93,31.02,31.18,7982.0
2015-10-21,31.68,31.68,30.77,30.77,48702.0
2015-10-22,31.18,31.6,30.36,30.94,49504.0
2015-10-23,31.93,31.93,30.94,31.43,31967.0
2015-10-26,31.43,32.42,31.43,31.93,106488.0
2015-10-27,31.93,32.5,31.93,32.25,19154.0
2015-10-28,32.34,32.34,32.01,32.01,14098.0
2015-10-29,32.42,32.67,32.09,32.67,43189.0
2015-10-30,32.67,34.15,32.5,34.15,27656.0
2015-11-02,34.06,34.06,32.91,33.08,60171.0
2015-11-03,34.15,34.89,33.98,34.89,290107.0
2015-11-04,34.81,35.13,34.23,34.39,91625.0
2015-11-05,34.89,34.89,34.23,34.39,24157.0
2015-11-06,34.48,34.56,34.15,34.15,15620.0
2015-11-09,35.55,35.55,34.72,35.05,100466.0
2015-11-10,35.05,35.05,34.15,34.31,47798.0
2015-11-11,34.48,34.89,34.15,34.48,44568.0
