Date,Open,High,Low,Close,Volume
2010-01-04,5.96,5.96,5.96,5.96,0.0
2010-01-05,6.26,6.48,6.26,6.42,16155.0
2010-01-07,6.4,6.4,6.12,6.4,11635.0
2010-01-08,5.99,6.42,5.99,6.26,5820.0
2010-01-11,6.37,6.37,5.91,6.26,1770.0
2010-01-12,5.82,5.91,5.82,5.88,2600.0
2010-01-13,5.88,6.21,5.82,5.82,14100.0
2010-01-14,6.15,6.15,6.15,6.15,100.0
2010-01-15,6.15,6.15,5.96,5.96,0.0
2010-01-18,6.15,6.15,5.99,6.01,560.0
2010-01-19,6.26,6.26,6.21,6.26,2235.0
2010-01-20,6.21,6.42,6.21,6.34,3333.0
2010-01-21,5.99,6.37,5.99,6.34,12110.0
2010-01-22,5.99,6.31,5.99,6.31,1810.0
2010-01-25,6.34,6.34,5.82,6.1,5110.0
2010-01-26,5.99,5.99,5.88,5.88,0.0
2010-01-27,5.91,6.1,5.91,5.99,2972.0
2010-01-28,5.96,6.15,5.93,6.15,2220.0
2010-01-29,6.04,6.04,5.91,5.91,180.0
2010-02-01,5.99,5.99,5.88,5.88,1300.0
2010-02-02,5.99,6.23,5.99,6.21,2572.0
2010-02-03,6.21,6.34,6.15,6.15,28763.0
2010-02-04,6.15,6.31,6.15,6.15,926.0
2010-02-05,6.12,6.15,6.1,6.15,6778.0
2010-02-08,5.93,5.93,5.93,5.93,1800.0
2010-02-09,5.99,5.99,5.99,5.99,200.0
2010-02-10,6.4,6.4,5.85,5.85,0.0
2010-02-11,5.85,5.91,5.85,5.91,500.0
2010-02-12,5.91,5.91,5.91,5.91,2130.0
2010-02-15,5.93,6.12,5.93,6.12,999.0
2010-02-16,6.12,6.23,6.12,6.23,1503.0
2010-02-17,6.23,6.23,5.96,6.21,1962.0
2010-02-18,6.4,6.4,5.99,6.23,8849.0
2010-02-19,6.23,6.23,6.23,6.23,1000.0
2010-02-22,6.15,6.15,6.15,6.15,57.0
2010-02-23,5.99,5.99,5.91,5.91,3200.0
2010-02-24,5.99,5.99,5.99,5.99,10.0
2010-02-25,6.12,6.15,5.91,5.91,14000.0
2010-02-26,5.93,6.12,5.93,6.12,4012.0
2010-03-01,6.21,6.21,6.21,6.21,3000.0
2010-03-02,5.96,6.12,5.93,6.1,2970.0
2010-03-03,6.15,6.21,5.99,5.99,2155.0
2010-03-04,5.99,5.99,5.99,5.99,50.0
2010-03-05,6.15,6.42,6.12,6.31,812459.0
2010-03-08,6.37,6.5,6.15,6.45,41757.0
2010-03-09,6.23,6.48,6.23,6.4,28475.0
2010-03-10,6.42,6.42,6.4,6.4,2000.0
2010-03-11,6.4,6.4,6.15,6.37,11498.0
2010-03-12,6.37,6.4,6.23,6.37,6700.0
2010-03-15,6.45,6.69,6.42,6.69,19918.0
2010-03-16,6.69,6.69,6.64,6.69,3800.0
2010-03-17,6.59,6.69,6.31,6.53,10867.0
2010-03-18,6.64,6.78,6.53,6.69,32400.0
2010-03-19,6.53,6.53,6.53,6.53,1436.0
2010-03-22,6.48,6.78,6.26,6.69,4015.0
2010-03-23,6.75,6.75,6.53,6.53,855.0
2010-03-24,6.59,6.78,6.53,6.78,1950.0
2010-03-25,6.78,6.78,6.72,6.72,3100.0
2010-03-26,6.78,6.78,6.75,6.78,3050.0
2010-03-29,6.72,6.72,6.59,6.59,0.0
2010-03-30,6.72,6.75,6.67,6.75,192000.0
2010-03-31,6.75,6.75,6.59,6.64,2105.0
2010-04-01,6.78,6.78,6.69,6.78,11977.0
2010-04-06,6.8,6.8,6.8,6.8,7243.0
2010-04-07,6.64,6.64,6.64,6.64,2150.0
2010-04-08,6.8,6.8,6.8,6.8,757.0
2010-04-09,6.8,6.8,6.8,6.8,500.0
2010-04-12,6.89,6.91,6.89,6.91,5680.0
2010-04-13,6.72,6.91,6.69,6.91,4500.0
2010-04-14,6.91,6.91,6.8,6.8,3000.0
2010-04-15,6.91,7.08,6.91,7.08,18257.0
2010-04-16,7.02,7.08,6.69,7.08,3700.0
2010-04-19,6.8,6.8,6.75,6.75,8000.0
2010-04-20,6.91,7.13,6.91,7.08,8117.0
2010-04-21,7.08,7.08,7.08,7.08,4875.0
2010-04-22,7.57,7.62,7.27,7.54,553542.0
2010-04-23,7.62,7.78,7.46,7.51,250093.0
2010-04-26,8.16,8.27,7.62,8.06,108075.0
2010-04-27,8.06,8.06,7.76,7.84,36439.0
2010-04-28,8.11,8.11,7.62,7.73,30038.0
2010-04-29,7.89,7.89,7.76,7.89,24440.0
2010-04-30,7.87,7.87,7.78,7.78,7404.0
2010-05-03,7.78,7.81,7.18,7.51,25690.0
2010-05-04,7.67,7.78,7.51,7.62,20600.0
2010-05-05,7.51,7.73,7.21,7.48,17510.0
2010-05-06,7.48,7.48,6.98,7.04,32150.0
2010-05-07,7.33,8.14,6.4,6.69,36170.0
2010-05-10,7.04,8.14,7.04,7.47,32737.0
2010-05-11,7.04,7.39,6.98,7.27,17474.0
2010-05-12,7.27,7.27,7.27,7.27,2000.0
2010-05-14,7.42,8.08,7.27,8.08,7050.0
2010-05-17,8.0,8.0,7.33,7.44,12767.0
2010-05-18,7.5,7.56,7.3,7.56,6745.0
2010-05-19,7.21,7.5,7.21,7.5,2880.0
2010-05-20,7.68,7.68,6.98,7.5,4314.0
2010-05-21,7.39,7.39,6.8,6.98,3510.0
2010-05-24,7.27,7.27,6.98,7.27,6700.0
2010-05-25,7.27,7.27,6.92,7.27,7777.0
2010-05-26,6.98,6.98,6.98,6.98,955.0
2010-05-27,6.98,7.44,6.98,7.44,13750.0
2010-05-28,7.44,7.44,7.27,7.27,1855.0
2010-05-31,7.27,7.44,7.27,7.44,1010.0
2010-06-01,7.04,7.04,7.04,7.04,100.0
2010-06-02,7.1,7.56,7.1,7.56,2292.0
2010-06-03,7.56,7.56,7.18,7.18,1850.0
2010-06-04,7.27,7.5,6.98,6.98,2530.0
2010-06-07,6.98,7.27,6.98,7.27,2928.0
2010-06-08,7.04,7.27,7.04,7.27,3161.0
2010-06-09,7.27,7.27,7.21,7.21,4190.0
2010-06-10,7.3,7.3,7.07,7.07,6242.0
2010-06-11,7.07,7.3,7.07,7.07,6905.0
2010-06-14,7.04,7.07,6.69,7.07,4623.0
2010-06-15,7.04,7.15,6.95,6.95,3720.0
2010-06-16,6.86,6.86,6.54,6.54,11770.0
2010-06-17,6.57,6.8,6.57,6.69,3818.0
2010-06-18,6.69,6.75,6.69,6.75,4199.0
2010-06-21,6.57,6.98,6.54,6.98,14361.0
2010-06-22,6.4,6.51,6.4,6.48,1550.0
2010-06-23,6.48,6.95,6.48,6.95,5771.0
2010-06-24,6.48,6.98,6.48,6.92,7500.0
2010-06-28,6.46,6.48,6.46,6.48,13800.0
2010-06-29,6.92,6.92,6.43,6.92,9700.0
2010-06-30,6.92,6.92,6.69,6.69,5230.0
2010-07-01,6.46,6.69,6.46,6.69,3632.0
2010-07-02,6.51,6.51,6.51,6.51,1550.0
2010-07-05,6.69,6.75,6.69,6.69,2010.0
2010-07-06,6.75,6.75,6.75,6.75,1000.0
2010-07-07,6.69,6.75,6.51,6.51,1610.0
2010-07-08,6.51,6.51,6.51,6.51,4000.0
2010-07-09,6.51,6.89,6.51,6.69,4643.0
2010-07-12,6.69,6.69,6.69,6.69,100.0
2010-07-13,6.51,6.75,6.51,6.75,1200.0
2010-07-14,6.69,6.69,6.51,6.51,0.0
2010-07-16,6.54,6.54,6.54,6.54,250.0
2010-07-19,6.57,6.57,6.57,6.57,5290.0
2010-07-20,6.51,6.51,6.4,6.4,31604.0
2010-07-21,6.46,6.46,6.46,6.46,1000.0
2010-07-22,6.8,6.8,6.57,6.57,1300.0
2010-07-23,6.57,6.57,6.57,6.57,20.0
2010-07-26,6.57,7.04,6.57,7.04,4100.0
2010-07-27,6.95,6.95,6.63,6.63,1850.0
2010-07-28,6.69,6.69,6.57,6.57,9000.0
2010-07-29,6.57,6.57,6.51,6.51,6300.0
2010-07-30,6.54,6.69,6.48,6.48,18200.0
2010-08-02,6.95,6.95,6.69,6.92,12600.0
2010-08-03,6.98,7.01,6.72,6.98,18250.0
2010-08-04,6.92,6.92,6.66,6.66,0.0
2010-08-05,6.8,6.8,6.72,6.72,6790.0
2010-08-06,6.69,6.69,6.69,6.69,10.0
2010-08-09,6.69,6.86,6.69,6.86,790.0
2010-08-10,6.69,6.89,6.69,6.89,2100.0
2010-08-11,6.89,6.89,6.63,6.63,1945.0
2010-08-12,6.54,6.86,6.43,6.86,24880.0
2010-08-13,6.86,6.86,6.51,6.86,6810.0
2010-08-16,6.54,6.69,6.54,6.69,2690.0
2010-08-17,6.83,6.83,6.63,6.63,1400.0
2010-08-18,6.63,6.63,6.54,6.54,6029.0
2010-08-19,6.63,6.63,6.54,6.63,1965.0
2010-08-20,6.63,6.63,6.48,6.48,0.0
2010-08-23,6.48,6.48,5.82,5.82,35175.0
