Date,Open,High,Low,Close,Volume
2010-01-04,6.65,7.18,6.65,7.05,30211.0
2010-01-05,7.18,7.65,7.18,7.52,13973.0
2010-01-07,7.98,9.98,7.98,9.71,85001.0
2010-01-08,9.31,9.31,8.61,8.98,34852.0
2010-01-11,9.31,9.98,9.28,9.64,79168.0
2010-01-12,9.35,9.35,9.31,9.31,9772.0
2010-01-13,9.78,9.78,9.31,9.58,23904.0
2010-01-14,9.64,9.78,9.58,9.64,10098.0
2010-01-15,9.64,9.64,8.75,9.51,15590.0
2010-01-18,9.84,13.3,9.84,12.11,124482.0
2010-01-19,12.17,14.63,12.17,13.57,204026.0
2010-01-20,13.9,14.17,12.77,13.17,132443.0
2010-01-21,13.64,16.63,12.84,14.9,182726.0
2010-01-22,14.97,15.7,14.17,15.63,133563.0
2010-01-25,15.23,15.23,13.64,14.9,124950.0
2010-01-26,14.5,14.5,13.57,13.97,34840.0
2010-01-27,13.64,15.3,12.64,14.83,66950.0
2010-01-28,14.97,15.37,14.3,15.17,40882.0
2010-01-29,15.17,15.17,14.1,15.03,29371.0
2010-02-01,16.1,17.43,16.03,16.23,113017.0
2010-02-02,16.63,17.16,15.1,16.03,121341.0
2010-02-03,16.63,17.56,16.16,17.56,88160.0
2010-02-04,18.56,21.28,17.96,19.36,159854.0
2010-02-05,19.09,19.22,17.29,18.96,159540.0
2010-02-08,19.95,21.28,18.16,18.62,123133.0
2010-02-09,18.62,18.62,17.16,17.69,52957.0
2010-02-10,17.49,18.16,16.3,17.16,99486.0
2010-02-11,17.29,18.16,15.83,16.3,40890.0
2010-02-12,17.03,18.49,15.96,18.49,64460.0
2010-02-15,19.22,19.22,17.76,18.49,29016.0
2010-02-16,18.49,19.22,17.63,19.02,45779.0
2010-02-17,19.69,20.15,18.96,19.95,65543.0
2010-02-18,19.42,19.49,18.29,19.29,49264.0
2010-02-19,19.89,19.89,19.02,19.16,33246.0
2010-02-22,18.62,20.29,18.62,19.95,44669.0
2010-02-23,20.62,20.62,19.29,20.02,62915.0
2010-02-24,19.95,19.95,19.36,19.89,35413.0
2010-02-25,19.95,20.89,19.95,20.82,23480.0
2010-02-26,20.82,21.48,20.82,21.48,21682.0
2010-03-01,21.28,26.61,21.28,24.68,197321.0
2010-03-02,25.14,27.07,24.15,24.88,139683.0
2010-03-03,25.87,25.94,21.95,23.48,120316.0
2010-03-04,23.68,25.14,21.28,24.28,57732.0
2010-03-05,25.21,25.28,23.28,24.15,54924.0
2010-03-08,24.54,24.54,22.62,23.21,51123.0
2010-03-09,23.21,23.88,22.22,23.28,30841.0
2010-03-10,23.28,23.88,22.55,22.95,38819.0
2010-03-11,22.02,23.28,22.02,23.28,79294.0
2010-03-12,23.81,23.88,22.68,23.88,70328.0
2010-03-15,23.88,24.48,23.08,23.75,23029.0
2010-03-16,23.28,23.55,22.68,23.08,19042.0
2010-03-17,23.75,23.75,21.28,22.42,90795.0
2010-03-18,21.95,22.35,21.35,22.08,36988.0
2010-03-19,21.95,23.95,21.68,23.55,34663.0
2010-03-22,23.48,26.41,23.48,25.94,68841.0
2010-03-23,26.61,28.87,26.61,28.14,119010.0
2010-03-24,29.27,30.6,27.6,28.73,86922.0
2010-03-25,28.6,29.07,27.67,28.67,31627.0
2010-03-26,28.93,28.93,27.34,28.27,41278.0
2010-03-29,27.27,29.27,27.27,28.2,30892.0
2010-03-30,30.6,31.06,26.94,27.8,352610.0
2010-03-31,27.67,27.67,24.34,25.28,209706.0
2010-04-01,24.94,25.87,23.81,25.48,108120.0
2010-04-06,26.01,29.87,26.01,29.73,200744.0
2010-04-07,29.93,32.86,29.93,32.86,213154.0
2010-04-08,33.26,36.08,32.66,34.75,352699.0
2010-04-09,33.92,34.59,30.73,34.26,413826.0
2010-04-12,33.92,39.91,33.26,39.91,329187.0
2010-04-13,40.24,43.24,36.92,37.58,512247.0
2010-04-14,38.26,42.05,35.51,39.52,250656.0
2010-04-15,40.24,41.51,36.99,38.8,126460.0
2010-04-16,39.34,39.88,36.09,37.18,97704.0
2010-04-19,36.02,36.02,31.04,31.4,308743.0
2010-04-20,30.68,33.57,29.09,32.92,254089.0
2010-04-21,33.57,35.01,32.84,34.5,128928.0
2010-04-22,34.5,35.15,33.57,34.43,110702.0
2010-04-23,34.65,34.65,33.21,33.57,58530.0
2010-04-26,33.13,33.21,28.51,29.31,269132.0
2010-04-27,29.16,29.31,25.63,28.44,135114.0
2010-04-28,28.08,28.37,25.99,27.86,102415.0
2010-04-29,27.43,30.9,26.92,30.32,146949.0
2010-04-30,31.54,32.7,29.96,31.04,71059.0
2010-05-03,31.4,31.4,26.13,28.8,251772.0
2010-05-04,29.6,29.6,26.78,27.57,72063.0
2010-05-05,27.57,27.65,25.84,26.2,95502.0
2010-05-06,25.99,28.08,25.84,27.21,67906.0
2010-05-07,26.35,26.35,23.24,24.18,142595.0
2010-05-10,24.4,28.15,24.4,28.08,104921.0
2010-05-11,28.66,30.39,26.64,27.43,64951.0
2010-05-12,28.01,28.87,27.43,27.57,55530.0
2010-05-14,28.22,28.66,27.29,28.08,50276.0
2010-05-17,28.3,28.87,26.42,27.14,58881.0
2010-05-18,27.14,27.94,21.94,25.99,91728.0
2010-05-19,25.91,25.91,24.47,25.19,35333.0
2010-05-20,24.98,26.71,23.89,24.54,30814.0
2010-05-21,24.54,24.98,23.46,24.83,52522.0
2010-05-24,26.71,27.07,25.7,26.71,38622.0
2010-05-25,26.64,26.64,24.98,25.63,41941.0
2010-05-26,26.71,27.0,25.84,26.71,32367.0
2010-05-27,26.64,26.78,25.99,26.78,25224.0
2010-05-28,26.71,28.01,26.2,27.36,33446.0
2010-05-31,27.14,27.72,25.99,26.71,19082.0
2010-06-01,26.64,27.07,25.26,26.28,22613.0
2010-06-02,26.49,26.49,25.26,25.84,18993.0
2010-06-03,25.91,25.99,25.12,25.99,38821.0
2010-06-04,25.99,25.99,24.9,24.9,44825.0
2010-06-07,24.76,24.76,23.46,23.89,45056.0
2010-06-08,23.89,24.4,23.68,24.04,31646.0
2010-06-09,24.11,24.33,23.68,24.33,14367.0
2010-06-10,23.82,24.54,23.82,24.11,31833.0
2010-06-11,24.11,24.33,23.1,23.68,56009.0
2010-06-14,24.33,24.33,23.68,24.18,19935.0
2010-06-15,24.18,26.49,24.18,25.63,96746.0
2010-06-16,25.99,26.56,25.41,25.91,36106.0
2010-06-17,25.41,25.99,24.18,24.9,34491.0
2010-06-18,25.19,25.34,24.69,25.26,21578.0
2010-06-21,25.34,25.48,24.69,25.34,9097.0
2010-06-22,25.63,25.63,23.89,24.54,42611.0
2010-06-23,24.54,24.83,23.82,24.69,11692.0
2010-06-24,24.69,25.05,24.4,24.62,10358.0
2010-06-28,24.18,24.54,21.29,23.89,64389.0
2010-06-29,23.1,24.69,22.38,23.03,17224.0
2010-06-30,21.66,23.1,17.4,22.02,40393.0
2010-07-01,21.66,22.74,21.01,22.23,9908.0
2010-07-02,22.23,22.23,20.93,21.66,11126.0
2010-07-05,22.02,22.02,21.08,21.66,22165.0
2010-07-06,22.02,22.74,21.15,22.74,18802.0
2010-07-07,22.74,22.81,21.66,22.16,17545.0
2010-07-08,22.16,22.38,21.66,22.38,4781.0
2010-07-09,21.66,23.1,21.66,23.1,3142.0
2010-07-12,23.1,24.54,22.02,23.03,8892.0
2010-07-13,23.1,24.11,22.23,23.03,12532.0
2010-07-14,23.03,23.03,21.66,22.45,18913.0
2010-07-15,22.45,22.67,21.73,22.52,12318.0
2010-07-16,22.38,22.38,21.94,22.38,6562.0
2010-07-19,22.16,22.23,21.87,22.23,6185.0
2010-07-20,22.23,22.23,21.44,21.66,20659.0
2010-07-21,21.73,23.75,21.51,23.53,127109.0
2010-07-22,23.82,24.11,22.38,23.1,39019.0
2010-07-23,22.74,23.39,22.59,23.1,25622.0
2010-07-26,22.74,23.1,22.31,22.67,40036.0
2010-07-27,22.67,23.1,22.59,22.74,20864.0
2010-07-28,22.88,22.88,22.45,22.74,17594.0
2010-07-29,22.74,22.88,22.45,22.67,29448.0
2010-07-30,22.74,22.81,22.38,22.45,28701.0
2010-08-02,22.74,23.03,22.38,22.67,39758.0
2010-08-03,22.67,22.67,21.73,22.31,49355.0
2010-08-04,22.23,22.31,21.73,22.16,13533.0
2010-08-05,21.8,22.02,21.08,21.22,39722.0
2010-08-06,21.58,21.66,19.56,20.0,70565.0
2010-08-09,19.49,21.8,19.49,21.58,34718.0
2010-08-10,21.51,22.45,20.5,20.79,51619.0
2010-08-11,20.72,21.08,20.43,21.01,18570.0
2010-08-12,20.5,22.38,20.5,21.15,21784.0
2010-08-13,21.15,22.38,20.93,21.37,3272.0
2010-08-16,21.29,21.37,20.21,21.15,23661.0
2010-08-17,20.93,21.37,20.86,21.22,16383.0
2010-08-18,21.08,21.51,20.93,21.29,9966.0
2010-08-19,21.29,22.95,21.15,21.58,54358.0
2010-08-20,21.94,22.74,21.08,21.58,39432.0
2010-08-23,21.58,21.66,21.01,21.37,7909.0
2010-08-24,21.22,21.22,20.43,20.86,13479.0
2010-08-25,20.93,20.93,19.63,20.21,88944.0
2010-08-26,20.07,20.43,19.13,20.28,37256.0
2010-08-27,20.28,20.57,19.92,20.28,14121.0
2010-08-30,20.93,21.01,20.36,20.93,15079.0
2010-08-31,20.86,20.86,20.0,20.5,18777.0
2010-09-01,20.5,21.66,20.5,21.58,34308.0
2010-09-02,21.51,21.51,20.21,21.29,40790.0
2010-09-03,20.93,21.15,19.2,20.93,76060.0
2010-09-06,21.15,21.15,20.5,21.08,22901.0
2010-09-07,20.57,21.66,20.36,21.66,12683.0
2010-09-08,21.29,21.58,20.5,20.93,16916.0
2010-09-09,20.93,20.93,20.57,20.64,11311.0
2010-09-10,20.79,21.01,20.64,21.01,11389.0
2010-09-13,21.01,21.8,20.57,21.8,15283.0
2010-09-14,21.58,21.58,20.64,21.08,16562.0
2010-09-15,21.87,24.83,21.66,24.47,97182.0
2010-09-16,24.47,27.14,24.18,26.06,100320.0
2010-09-17,25.99,26.35,25.7,26.2,31710.0
2010-09-20,26.2,27.0,25.99,26.35,47010.0
2010-09-21,26.42,26.64,25.7,25.7,22266.0
2010-09-22,25.63,26.35,24.54,25.26,30208.0
2010-09-23,25.26,25.63,24.69,25.26,17885.0
2010-09-24,24.98,26.78,24.98,25.99,47970.0
2010-09-27,26.06,26.71,25.99,25.99,21725.0
2010-09-28,25.99,26.06,25.26,25.84,51602.0
2010-09-29,26.28,26.35,25.26,25.99,86310.0
2010-09-30,26.2,26.2,25.34,25.99,68161.0
2010-10-01,25.99,26.35,25.63,26.35,52165.0
2010-10-04,25.99,25.99,23.97,23.97,136855.0
2010-10-05,24.54,25.91,23.17,25.26,52167.0
2010-10-06,24.54,25.19,24.11,24.83,21690.0
2010-10-07,25.77,25.77,24.18,25.26,12800.0
2010-10-08,25.12,25.26,23.46,24.54,33337.0
2010-10-11,25.7,26.49,25.26,25.77,114276.0
2010-10-12,25.99,26.71,25.41,25.77,17376.0
2010-10-13,26.49,26.49,24.25,25.77,29009.0
2010-10-14,25.63,25.63,24.47,24.9,47137.0
2010-10-15,24.9,24.9,23.75,24.47,73751.0
2010-10-18,24.18,24.9,23.53,24.47,50459.0
2010-10-19,24.18,24.18,23.24,24.04,36214.0
2010-10-20,23.24,23.68,22.38,23.46,24292.0
2010-10-21,23.82,25.26,23.53,24.04,17008.0
2010-10-22,24.04,24.54,23.82,24.33,23977.0
2010-10-25,24.69,26.64,24.54,25.48,94089.0
2010-10-26,25.26,25.26,23.89,23.89,47204.0
2010-10-27,24.54,24.69,23.97,24.54,29524.0
2010-10-28,24.18,24.54,21.66,23.17,67838.0
2010-10-29,23.24,23.24,16.6,17.76,504066.0
2010-11-01,18.19,19.71,17.76,18.26,135336.0
2010-11-02,17.83,17.9,15.01,17.9,215361.0
2010-11-03,18.05,20.21,18.05,18.55,91908.0
2010-11-04,19.06,19.71,17.25,17.9,46616.0
