Date,Open,High,Low,Close,Volume
2010-06-24,15.74,16.04,15.14,15.5,130001.0
2010-06-28,15.8,15.8,14.67,15.02,28160.0
2010-06-29,14.61,14.67,14.19,14.49,10288.0
2010-06-30,14.49,15.32,14.31,15.2,22496.0
2010-07-01,15.2,15.2,14.31,14.31,18312.0
2010-07-02,14.49,14.73,14.37,14.49,10682.0
2010-07-05,14.73,14.73,14.37,14.67,7495.0
2010-07-06,14.61,14.73,14.31,14.73,43951.0
2010-07-07,14.67,14.67,14.49,14.49,2370.0
2010-07-08,14.49,14.79,14.25,14.79,9711.0
2010-07-09,14.79,14.79,14.31,14.55,19457.0
2010-07-12,14.49,14.85,14.49,14.79,8173.0
2010-07-13,14.85,14.85,14.85,14.85,3.0
2010-07-14,14.79,14.79,14.79,14.79,1426.0
2010-07-15,14.79,14.79,14.37,14.73,16552.0
2010-07-16,14.43,14.73,14.43,14.67,7883.0
2010-07-19,14.67,14.73,14.31,14.31,18644.0
2010-07-20,14.37,14.55,13.77,14.01,20799.0
2010-07-21,13.83,14.01,13.53,13.77,17805.0
2010-07-22,14.01,14.61,13.95,14.25,37038.0
2010-07-23,14.25,14.25,13.77,14.01,10099.0
2010-07-26,13.83,13.83,13.42,13.65,21629.0
2010-07-27,13.71,13.83,13.65,13.71,21348.0
2010-07-28,13.71,13.83,13.65,13.83,10313.0
2010-07-29,13.83,14.01,13.77,14.01,21056.0
2010-07-30,14.07,14.13,13.65,14.13,25804.0
2010-08-02,14.13,14.13,13.71,13.77,11573.0
2010-08-03,14.01,14.01,13.77,14.01,12017.0
2010-08-04,14.01,14.31,13.77,14.31,23062.0
2010-08-05,14.01,14.31,14.01,14.25,6643.0
2010-08-06,14.19,14.19,13.71,13.95,8886.0
2010-08-09,14.01,14.37,13.95,14.37,14513.0
2010-08-10,14.31,14.31,13.83,13.83,8487.0
2010-08-11,13.95,14.01,13.83,14.01,10164.0
2010-08-12,14.07,14.25,13.71,14.25,21878.0
2010-08-13,14.19,14.19,14.19,14.19,1342.0
2010-08-16,14.19,14.19,13.59,13.83,15984.0
2010-08-17,13.83,14.19,13.83,14.13,9465.0
2010-08-18,14.19,14.19,13.71,14.13,13975.0
2010-08-19,14.13,14.13,13.65,13.89,9329.0
2010-08-20,14.13,14.13,13.89,14.01,3279.0
2010-08-23,14.01,14.01,13.59,13.71,23402.0
2010-08-24,13.71,13.71,13.24,13.42,10338.0
2010-08-25,13.3,13.47,12.52,12.82,40691.0
2010-08-26,13.24,13.24,11.63,12.64,46321.0
2010-08-27,12.76,13.71,12.76,13.47,29640.0
2010-08-30,13.47,13.95,13.3,13.71,23650.0
2010-08-31,13.65,13.71,13.36,13.65,19288.0
2010-09-01,13.53,13.65,13.24,13.3,30193.0
2010-09-02,13.3,13.95,12.58,13.95,75245.0
2010-09-03,13.95,14.01,13.71,14.01,21329.0
2010-09-06,14.01,14.01,13.77,13.89,6011.0
2010-09-07,13.53,14.01,13.53,13.65,21582.0
2010-09-08,13.59,13.59,13.3,13.59,3141.0
2010-09-09,13.65,13.65,12.64,13.06,35027.0
2010-09-10,13.18,13.65,12.58,13.18,113319.0
2010-09-13,13.18,14.13,13.12,14.01,75097.0
2010-09-14,14.13,14.13,13.53,13.71,4431.0
2010-09-15,13.53,14.01,13.53,14.01,13549.0
2010-09-16,13.95,14.01,13.77,13.77,5216.0
2010-09-17,13.89,14.01,13.53,13.65,15560.0
2010-09-20,13.65,13.65,13.24,13.24,12465.0
2010-09-21,13.36,13.42,12.88,13.18,47403.0
2010-09-22,12.88,13.18,12.82,13.12,19691.0
2010-09-23,13.12,13.12,13.12,13.12,840.0
2010-09-24,13.12,13.12,12.64,12.82,4861.0
2010-09-27,13.77,14.31,13.59,14.13,239895.0
2010-09-28,14.13,14.13,13.77,14.01,57272.0
2010-09-29,14.01,14.01,13.71,13.95,33167.0
2010-09-30,14.01,14.01,13.42,13.59,17960.0
2010-10-01,13.18,13.71,13.18,13.65,18168.0
2010-10-04,13.71,13.71,13.24,13.42,5174.0
2010-10-05,13.24,13.42,12.76,13.42,42459.0
2010-10-06,13.53,13.53,13.12,13.36,25641.0
2010-10-07,13.06,13.36,12.76,13.24,38147.0
2010-10-08,13.12,13.24,12.88,12.94,17527.0
2010-10-11,12.88,13.0,12.64,13.0,12447.0
2010-10-12,12.64,12.94,12.64,12.64,18359.0
2010-10-13,12.64,13.12,12.64,13.0,23686.0
2010-10-14,12.76,13.24,12.76,13.24,23966.0
2010-10-15,13.18,13.24,13.0,13.12,9647.0
2010-10-18,13.24,13.3,13.06,13.12,20380.0
2010-10-19,13.12,13.12,11.57,11.75,156075.0
2010-10-20,11.69,11.69,10.43,10.73,184002.0
2010-10-21,10.67,10.73,10.43,10.67,78450.0
2010-10-22,10.67,10.67,10.43,10.61,11288.0
2010-10-25,10.67,10.67,10.49,10.61,40027.0
2010-10-26,10.83,10.83,10.47,10.47,22065.0
2010-10-27,10.47,10.71,10.47,10.71,8494.0
2010-10-28,10.65,10.77,10.47,10.47,9560.0
2010-10-29,10.47,10.89,9.98,10.65,83553.0
