Date,Open,High,Low,Close,Volume
2017-02-22,45.9,45.9,42.0,43.0,3366264.0
2017-02-23,43.4,43.5,41.8,41.9,996972.0
2017-02-24,41.7,44.5,41.5,44.3,858891.0
2017-02-27,45.2,46.1,44.4,46.1,391719.0
2017-02-28,46.2,46.5,45.6,46.5,267064.0
2017-03-01,46.5,46.9,45.5,46.0,359356.0
2017-03-02,45.8,46.3,45.7,46.0,155581.0
2017-03-03,46.0,46.0,44.6,46.0,152942.0
2017-03-06,45.5,45.5,44.2,45.0,128462.0
2017-03-07,45.0,45.0,43.8,43.8,109605.0
2017-03-08,44.4,44.8,43.8,44.0,54339.0
2017-03-09,44.0,44.0,43.0,43.6,97560.0
2017-03-10,43.9,44.5,43.4,44.2,53053.0
2017-03-13,44.6,44.6,43.7,44.5,66308.0
2017-03-14,43.9,44.5,43.7,44.3,132547.0
2017-03-15,43.7,45.0,43.2,44.0,75230.0
2017-03-16,43.6,44.3,43.6,44.0,106199.0
2017-03-17,44.2,44.2,43.3,44.0,45743.0
2017-03-20,44.0,44.0,43.0,43.5,37991.0
2017-03-21,43.6,43.8,42.4,42.5,108202.0
2017-03-22,42.4,42.6,41.2,42.6,51205.0
2017-03-23,41.9,43.0,41.9,42.4,18649.0
2017-03-24,42.2,43.0,41.5,42.0,53836.0
2017-03-27,41.9,42.0,41.1,41.2,31445.0
2017-03-28,41.3,42.8,41.3,42.3,80786.0
2017-03-29,42.9,43.0,41.6,41.6,158451.0
2017-03-30,42.0,42.9,41.5,42.5,567212.0
2017-03-31,44.0,44.0,42.3,42.3,45817.0
2017-04-03,43.0,43.0,42.0,42.3,20599.0
2017-04-04,43.0,44.0,42.5,43.0,459921.0
2017-04-05,43.2,43.9,42.9,43.2,74123.0
2017-04-06,43.2,44.0,42.5,43.8,137410.0
2017-04-07,43.9,45.2,42.8,44.2,44529.0
2017-04-10,44.3,45.4,44.2,44.9,54233.0
2017-04-11,45.0,45.3,44.3,44.5,44892.0
2017-04-12,44.5,45.0,43.8,43.8,29079.0
2017-04-13,45.0,45.3,44.0,44.3,4569.0
2017-04-18,44.4,44.5,43.1,43.5,15502.0
2017-04-19,43.6,44.4,43.3,44.3,10671.0
2017-04-20,44.8,45.0,44.0,44.0,13345.0
2017-04-21,44.0,44.9,43.5,44.2,9849.0
2017-04-24,45.0,45.9,44.9,45.2,273117.0
2017-04-25,45.4,47.9,45.4,46.7,102710.0
2017-04-26,46.9,47.1,45.8,45.8,33823.0
2017-04-27,45.8,46.7,45.8,45.8,13986.0
2017-04-28,45.9,46.6,44.5,46.0,20418.0
2017-05-02,46.0,49.5,46.0,47.0,28072.0
2017-05-03,46.6,47.7,46.6,46.8,23205.0
2017-05-04,46.8,49.0,46.8,47.8,132168.0
2017-05-05,48.0,48.0,47.0,47.3,42859.0
2017-05-08,47.5,47.5,46.0,46.7,20641.0
2017-05-09,46.4,47.5,45.8,46.6,32944.0
2017-05-10,46.0,46.9,45.4,46.6,13792.0
2017-05-11,46.5,46.6,45.3,45.5,16695.0
2017-05-12,45.6,45.6,44.0,44.6,42533.0
2017-05-15,46.0,46.0,44.3,44.5,51402.0
2017-05-16,44.6,44.6,43.0,44.3,38121.0
2017-05-17,44.3,44.7,43.5,43.7,21582.0
2017-05-18,42.6,45.0,42.0,44.8,32446.0
2017-05-19,44.9,45.0,43.1,45.0,26077.0
2017-05-22,45.0,46.9,44.6,46.8,31153.0
2017-05-23,46.9,46.9,45.6,46.4,20284.0
2017-05-24,46.6,46.7,45.3,45.3,19196.0
2017-05-26,44.7,45.9,44.0,44.0,11936.0
2017-05-29,44.0,45.6,43.6,45.6,69792.0
2017-05-30,45.7,45.7,45.5,45.5,22942.0
2017-05-31,47.3,47.5,46.6,46.6,223299.0
2017-06-01,46.9,47.3,46.6,47.2,131017.0
2017-06-02,47.3,48.8,47.0,48.2,411773.0
2017-06-05,48.1,49.7,47.5,49.5,101256.0
2017-06-06,49.5,49.5,49.5,49.5,0.0
2017-06-07,49.8,51.0,49.5,49.7,87235.0
2017-06-08,50.5,50.75,49.1,49.6,95419.0
2017-06-09,49.7,49.9,48.7,49.8,38806.0
2017-06-12,50.0,50.75,48.1,50.75,45119.0
2017-06-13,50.5,50.75,49.4,50.75,136757.0
2017-06-14,50.75,51.0,49.0,50.0,165320.0
2017-06-15,50.25,50.75,49.9,50.0,18483.0
2017-06-16,50.0,53.5,50.0,52.75,50899.0
2017-06-19,53.25,57.25,53.25,56.0,124301.0
2017-06-20,56.5,57.25,54.0,55.75,80072.0
2017-06-21,55.75,59.0,54.5,58.0,44599.0
2017-06-22,58.5,59.0,55.75,59.0,59832.0
2017-06-23,59.0,59.0,59.0,59.0,0.0
2017-06-26,60.0,65.5,60.0,63.0,143139.0
2017-06-27,65.0,65.5,60.25,64.5,53197.0
2017-06-28,64.5,70.0,62.25,69.0,36605.0
2017-06-29,70.0,71.75,68.0,69.5,85789.0
2017-06-30,71.0,78.25,69.5,76.0,110674.0
2017-07-03,77.0,84.0,76.0,81.0,85434.0
2017-07-04,82.0,82.0,73.25,74.0,120341.0
2017-07-05,74.0,74.0,63.5,68.0,203203.0
2017-07-06,68.0,69.0,63.0,67.0,90678.0
2017-07-07,67.0,68.0,61.25,64.25,75739.0
2017-07-10,64.5,67.75,64.5,67.0,35302.0
2017-07-11,67.75,67.75,64.25,64.75,28216.0
2017-07-12,64.75,66.0,62.5,66.0,28864.0
2017-07-13,66.0,67.25,64.25,65.25,21054.0
2017-07-14,64.0,64.75,62.5,64.0,19801.0
2017-07-17,64.0,64.0,60.0,63.0,39446.0
2017-07-18,62.25,62.25,60.25,61.25,26556.0
2017-07-19,60.5,64.5,60.5,64.25,25406.0
2017-07-20,64.25,65.75,62.0,64.25,30535.0
2017-07-21,64.25,66.25,62.75,64.75,24411.0
2017-07-24,63.5,66.75,63.0,63.5,7727.0
2017-07-25,62.25,64.25,61.5,63.0,14224.0
2017-07-26,63.0,63.5,62.0,63.25,11003.0
2017-07-27,63.0,63.5,62.25,63.0,7436.0
2017-07-28,63.25,63.5,62.0,63.0,5060.0
2017-07-31,62.5,63.0,61.5,62.0,16761.0
2017-08-01,62.0,62.0,58.0,60.5,60777.0
2017-08-02,60.5,60.5,58.25,59.75,20320.0
2017-08-03,59.0,59.5,57.75,58.5,18072.0
2017-08-04,58.5,58.5,56.0,58.0,22173.0
2017-08-07,57.75,58.5,56.0,57.0,16436.0
2017-08-08,57.0,57.0,55.5,56.5,11886.0
2017-08-09,55.75,57.0,54.0,57.0,59647.0
2017-08-10,57.0,62.75,57.0,58.75,23896.0
2017-08-11,57.75,61.75,57.25,58.0,20433.0
2017-08-14,58.0,59.25,57.25,59.25,15605.0
2017-08-15,59.25,59.25,57.5,58.5,4709.0
2017-08-16,58.5,58.75,56.0,57.25,8612.0
2017-08-17,57.25,57.25,54.5,56.0,29450.0
2017-08-18,55.0,56.75,54.0,56.25,11371.0
2017-08-21,60.75,61.75,59.75,60.75,86725.0
2017-08-22,61.75,63.0,60.0,60.75,58568.0
2017-08-23,61.0,61.25,60.0,60.5,14711.0
2017-08-24,61.0,62.5,58.0,58.25,50043.0
2017-08-25,58.25,58.75,57.0,58.0,36265.0
2017-08-28,62.25,65.75,60.0,65.75,189374.0
