Date,Open,High,Low,Close,Volume
2014-02-17,12.79,13.2,12.57,12.57,1891612.0
2014-02-18,12.71,13.34,12.57,13.09,781254.0
2014-02-19,14.27,14.27,13.23,13.34,347167.0
2014-02-20,13.34,13.34,12.79,13.16,303195.0
2014-02-21,13.27,13.53,12.97,13.38,656110.0
2014-02-24,13.38,13.42,13.2,13.27,225589.0
2014-02-25,13.34,13.34,13.12,13.16,222516.0
2014-02-26,13.2,13.2,12.9,12.94,84417.0
2014-02-27,12.97,12.97,12.49,12.71,143531.0
2014-02-28,12.71,12.97,12.6,12.6,118325.0
2014-03-03,12.6,12.6,12.2,12.42,509090.0
2014-03-04,12.42,12.68,12.23,12.64,64176.0
2014-03-05,12.64,12.75,12.46,12.68,61405.0
2014-03-06,12.68,12.68,12.46,12.49,189954.0
2014-03-07,12.6,12.64,12.49,12.49,358811.0
2014-03-10,12.71,12.71,12.42,12.6,492130.0
2014-03-11,12.6,12.6,12.42,12.57,119576.0
2014-03-12,12.49,12.53,12.42,12.53,196810.0
2014-03-13,12.42,12.53,12.42,12.42,63288.0
2014-03-14,12.46,12.6,12.42,12.49,528749.0
2014-03-17,12.49,12.49,12.23,12.38,83764.0
2014-03-18,12.42,12.46,12.27,12.38,65141.0
2014-03-19,12.27,12.38,12.27,12.27,250739.0
2014-03-20,12.27,12.38,12.27,12.27,30564.0
2014-03-21,12.16,12.46,12.16,12.46,478802.0
2014-03-24,12.31,12.49,12.2,12.2,11109.0
2014-03-25,12.2,12.31,12.05,12.05,180334.0
2014-03-26,11.97,12.27,11.97,12.16,47875.0
2014-03-27,12.23,12.23,11.68,11.79,40188.0
2014-03-28,11.86,11.9,11.75,11.86,119326.0
2014-03-31,12.05,12.05,11.71,11.79,63835.0
2014-04-01,12.05,12.34,12.05,12.12,996429.0
2014-04-02,12.53,12.79,12.38,12.46,246529.0
2014-04-03,12.64,12.75,12.46,12.75,84376.0
2014-04-04,12.75,12.97,12.6,12.75,175076.0
2014-04-07,13.05,13.05,12.75,12.86,49098.0
2014-04-08,13.05,13.05,12.79,12.79,73776.0
2014-04-09,13.05,13.05,12.79,13.01,64021.0
2014-04-10,13.05,13.05,12.68,12.68,50122.0
2014-04-11,12.68,12.83,12.49,12.49,38393.0
2014-04-14,12.6,12.97,12.6,12.9,26143.0
2014-04-15,13.05,13.05,12.42,12.9,46187.0
2014-04-16,13.01,13.01,12.6,12.79,48503.0
2014-04-17,12.97,12.97,12.64,12.68,11106.0
2014-04-22,12.97,12.97,12.79,12.83,19457.0
2014-04-23,12.83,12.83,12.68,12.68,5932.0
2014-04-24,12.75,12.94,12.68,12.79,26042.0
2014-04-25,12.79,12.86,12.79,12.79,8209.0
2014-04-28,12.86,12.86,12.64,12.79,41469.0
2014-04-29,12.97,13.01,12.79,12.94,591666.0
2014-04-30,13.05,13.09,12.71,12.75,32850.0
2014-05-02,13.01,13.01,12.79,12.86,121868.0
2014-05-05,12.97,12.97,12.79,12.79,145975.0
2014-05-06,12.79,12.9,12.79,12.86,25699.0
2014-05-07,12.83,12.9,12.68,12.71,49238.0
2014-05-08,12.68,12.79,12.68,12.75,55202.0
2014-05-09,12.83,12.86,12.71,12.83,41851.0
2014-05-12,12.94,12.97,12.42,12.42,138169.0
2014-05-13,12.42,12.6,12.27,12.42,48965.0
2014-05-14,12.42,12.6,12.34,12.46,70984.0
2014-05-15,12.46,12.57,12.38,12.42,20332.0
2014-05-16,12.46,12.46,12.2,12.42,76501.0
2014-05-19,12.2,12.42,12.05,12.23,37563.0
2014-05-20,12.49,12.6,12.34,12.34,125020.0
2014-05-21,12.49,12.49,12.08,12.34,52813.0
2014-05-22,12.27,12.49,12.16,12.34,49937.0
2014-05-23,12.42,12.42,12.16,12.23,208054.0
2014-05-26,11.83,12.42,11.83,12.42,70677.0
2014-05-27,12.6,12.6,12.34,12.38,69758.0
2014-05-28,12.57,12.6,12.27,12.53,27032.0
2014-05-30,12.57,12.57,12.16,12.46,33418.0
2014-06-02,12.2,12.34,12.2,12.34,59696.0
2014-06-03,12.23,12.34,12.2,12.2,33741.0
2014-06-04,12.23,12.46,12.23,12.46,75285.0
2014-06-05,12.53,12.53,12.16,12.23,32366.0
2014-06-09,12.27,12.68,12.2,12.23,71016.0
2014-06-10,12.42,12.42,12.23,12.23,25811.0
2014-06-11,12.23,12.34,12.08,12.12,49146.0
2014-06-12,12.23,12.31,12.05,12.08,10765.0
2014-06-13,12.05,12.05,11.83,11.86,29336.0
2014-06-16,12.05,12.05,11.6,11.71,44904.0
2014-06-17,11.6,11.9,11.49,11.49,43063.0
2014-06-18,11.75,12.01,11.57,11.75,41654.0
2014-06-19,11.83,12.05,11.75,11.94,77273.0
2014-06-23,11.75,11.9,11.75,11.86,36897.0
2014-06-24,12.05,12.16,11.79,12.05,60754.0
2014-06-25,11.86,12.05,11.86,12.01,26890.0
2014-06-26,12.16,12.16,11.97,11.97,20426.0
2014-06-27,12.05,12.05,12.05,12.05,7788.0
2014-06-30,12.31,12.31,11.86,11.86,7100.0
2014-07-01,11.86,12.12,11.86,12.12,24989.0
2014-07-02,12.16,12.16,11.86,11.86,33317.0
2014-07-03,11.9,12.23,11.9,12.2,55108.0
2014-07-04,12.27,12.27,12.08,12.16,8415.0
2014-07-07,12.2,12.2,12.16,12.16,10348.0
2014-07-08,11.9,12.05,11.9,12.01,7914.0
2014-07-09,12.16,12.16,11.86,11.97,16033.0
2014-07-10,12.16,12.16,11.94,11.97,6351.0
2014-07-11,11.86,11.94,11.6,11.6,15300.0
2014-07-14,11.97,11.97,11.75,11.86,5841.0
2014-07-15,11.68,11.86,11.49,11.75,33457.0
2014-07-16,11.68,11.75,11.49,11.6,42832.0
2014-07-17,11.6,11.86,11.49,11.68,66297.0
2014-07-18,11.6,11.75,11.49,11.75,24542.0
2014-07-21,11.83,11.83,11.42,11.57,9047.0
2014-07-22,11.42,11.49,11.16,11.42,23221.0
2014-07-23,11.34,11.49,11.19,11.19,13285.0
2014-07-24,11.53,11.53,10.71,10.82,30726.0
2014-07-25,11.31,11.31,11.05,11.23,26336.0
2014-07-28,11.68,11.68,11.31,11.31,7804.0
2014-07-29,11.68,11.68,11.34,11.49,7572.0
2014-07-30,11.31,11.49,11.31,11.49,4482.0
2014-07-31,11.38,11.38,11.38,11.38,2290.0
2014-08-01,11.38,11.38,10.79,11.12,14455.0
2014-08-04,11.12,11.31,10.64,11.27,48590.0
2014-08-05,10.79,11.23,10.79,11.12,7272.0
2014-08-06,10.97,11.12,10.82,11.12,40140.0
2014-08-07,10.94,11.16,10.75,11.12,10307.0
2014-08-08,10.94,10.94,10.94,10.94,72873.0
2014-08-11,10.94,11.12,10.94,11.12,4833.0
2014-08-12,11.12,11.12,11.05,11.12,5202.0
2014-08-13,10.94,10.94,10.94,10.94,3983.0
2014-08-14,11.12,11.12,10.94,11.05,8049.0
2014-08-15,11.08,11.08,10.16,10.94,18550.0
2014-08-18,10.56,10.94,10.53,10.94,40901.0
2014-08-19,11.12,11.12,10.94,10.94,11528.0
2014-08-20,10.9,10.9,10.38,10.82,12575.0
2014-08-21,10.38,10.94,10.38,10.94,15513.0
2014-08-22,10.75,11.12,10.53,10.56,31125.0
2014-08-25,9.16,11.05,9.16,10.42,28743.0
2014-08-26,10.38,11.05,10.31,10.9,70015.0
2014-08-27,11.01,11.05,10.38,11.01,20044.0
2014-08-28,10.97,11.01,10.71,10.9,12584.0
2014-08-29,10.79,10.79,10.45,10.56,10307.0
2014-09-01,10.86,11.01,10.56,10.75,21338.0
2014-09-02,10.53,10.75,10.38,10.56,19893.0
2014-09-03,10.75,10.94,10.56,10.75,11546.0
2014-09-04,10.79,11.05,10.79,11.01,84541.0
2014-09-05,10.97,10.97,10.79,10.97,48203.0
2014-09-08,10.97,10.97,10.79,10.97,11862.0
2014-09-09,10.79,10.97,10.79,10.79,22646.0
2014-09-10,10.86,10.94,10.64,10.94,2609.0
2014-09-11,10.75,10.75,10.75,10.75,12673.0
2014-09-12,10.75,10.97,10.56,10.97,22907.0
2014-09-15,10.64,10.9,10.64,10.71,2909.0
2014-09-16,10.71,10.94,9.82,10.71,34197.0
2014-09-17,10.71,10.79,10.71,10.75,6317.0
2014-09-18,10.75,10.94,10.42,10.82,37018.0
2014-09-19,10.64,10.94,10.64,10.68,13285.0
2014-09-22,10.75,10.9,10.56,10.9,33129.0
2014-09-23,10.94,10.94,10.75,10.75,1649.0
2014-09-24,10.79,10.79,10.6,10.64,13972.0
2014-09-25,10.6,10.9,10.56,10.6,13878.0
2014-09-26,10.42,10.79,10.42,10.71,4695.0
2014-09-29,10.71,10.71,9.9,10.68,8921.0
2014-09-30,10.42,10.71,10.42,10.68,5957.0
2014-10-01,10.42,10.45,10.34,10.45,4547.0
2014-10-02,10.6,10.6,10.05,10.34,6945.0
2014-10-03,10.16,10.38,9.93,10.27,8404.0
2014-10-06,9.93,10.27,9.9,10.27,5325.0
2014-10-07,9.82,10.16,9.3,9.6,45931.0
2014-10-08,9.38,9.42,9.27,9.38,29469.0
2014-10-09,9.49,9.68,9.42,9.42,6097.0
2014-10-10,9.42,9.42,8.71,8.75,24164.0
2014-10-13,8.75,8.75,8.16,8.6,57454.0
2014-10-14,8.53,8.6,8.53,8.6,9075.0
2014-10-15,8.71,8.71,8.6,8.6,23111.0
2014-10-16,8.53,8.6,8.49,8.53,28104.0
2014-10-17,8.53,8.9,8.53,8.71,9963.0
2014-10-20,8.97,9.3,8.93,9.27,6001.0
2014-10-21,9.3,9.64,9.3,9.34,11452.0
2014-10-22,9.75,9.79,9.64,9.79,10758.0
2014-10-23,9.82,10.01,9.82,9.86,13477.0
2014-10-24,9.64,10.45,9.64,10.45,42438.0
2014-10-27,10.56,10.56,10.31,10.42,15538.0
2014-10-28,10.53,10.53,10.12,10.23,45129.0
2014-10-29,10.38,10.42,10.16,10.42,50779.0
2014-10-30,10.19,10.42,10.16,10.19,10483.0
2014-10-31,10.31,10.45,10.23,10.23,16723.0
2014-11-03,10.71,10.71,10.27,10.49,6532.0
2014-11-04,10.82,10.82,10.34,10.42,16033.0
2014-11-05,10.42,10.42,10.16,10.19,22550.0
2014-11-06,10.01,10.19,9.64,9.82,57209.0
2014-11-07,10.01,10.31,9.86,10.12,15445.0
2014-11-10,10.34,10.34,10.19,10.23,9643.0
2014-11-11,10.05,10.19,9.82,10.01,549338.0
2014-11-12,10.23,10.23,9.97,9.97,9141.0
2014-11-13,10.05,10.08,9.82,9.9,28074.0
2014-11-14,9.82,9.93,9.79,9.93,17064.0
2014-11-17,10.01,10.01,9.71,9.93,31382.0
2014-11-18,9.9,10.45,9.9,10.19,519242.0
2014-11-19,10.42,10.45,10.19,10.27,131717.0
2014-11-20,10.38,10.38,10.23,10.27,14370.0
2014-11-21,9.82,10.56,9.82,10.31,85968.0
2014-11-24,10.31,10.56,10.27,10.38,48878.0
2014-11-25,10.42,10.42,10.38,10.42,4808.0
2014-11-26,10.38,10.6,10.38,10.42,16331.0
2014-11-27,10.38,10.56,10.12,10.56,25314.0
2014-11-28,10.49,10.56,10.49,10.53,11452.0
2014-12-01,10.42,10.42,10.16,10.16,18688.0
2014-12-02,10.53,10.53,10.16,10.16,24263.0
2014-12-03,10.19,10.31,10.16,10.31,36620.0
2014-12-04,10.31,10.34,9.9,10.01,30005.0
2014-12-05,10.01,10.42,10.01,10.38,41224.0
2014-12-08,10.23,10.34,10.23,10.34,15919.0
2014-12-09,10.16,10.31,10.12,10.12,22261.0
2014-12-10,10.12,10.34,10.05,10.08,16571.0
2014-12-11,10.08,10.12,10.08,10.08,37275.0
2014-12-12,10.08,10.19,9.93,9.93,24668.0
2014-12-15,9.82,10.16,9.82,10.01,30747.0
2014-12-16,10.05,10.05,9.97,9.97,21959.0
2014-12-17,9.71,9.86,9.64,9.68,37834.0
2014-12-18,9.71,9.93,9.64,9.93,61902.0
2014-12-19,9.97,10.12,9.71,10.05,62529.0
2014-12-22,10.56,10.56,10.01,10.38,60903.0
2014-12-23,10.31,10.38,10.31,10.38,17366.0
2014-12-29,10.31,10.34,9.71,10.16,139493.0
2014-12-30,10.16,10.16,9.82,10.12,34925.0
2015-01-02,10.16,10.27,10.08,10.23,8933.0
2015-01-05,10.38,10.42,10.27,10.31,25564.0
2015-01-07,10.27,10.27,10.08,10.27,12559.0
2015-01-08,10.27,10.27,9.86,9.97,80789.0
2015-01-09,10.01,10.05,9.86,9.86,14134.0
2015-01-12,10.12,10.23,10.05,10.16,43191.0
2015-01-13,10.16,10.27,10.08,10.08,23967.0
2015-01-14,10.08,10.12,9.82,9.82,24451.0
2015-01-15,9.82,10.23,9.82,10.19,20083.0
2015-01-16,10.19,10.34,10.12,10.23,15062.0
2015-01-19,10.01,10.08,9.79,9.9,18878.0
2015-01-20,9.82,10.31,9.82,10.27,16100.0
2015-01-21,10.08,10.12,10.01,10.01,24455.0
2015-01-22,10.19,11.12,10.19,11.12,170435.0
2015-01-23,11.08,11.57,10.75,11.34,90503.0
2015-01-26,11.86,11.86,11.45,11.45,121477.0
2015-01-27,11.49,11.6,11.34,11.49,50937.0
