Date,Open,High,Low,Close,Volume
2010-01-04,0.85,0.85,0.81,0.84,285667.0
2010-01-05,0.85,0.87,0.8,0.82,360318.0
2010-01-07,0.82,0.89,0.82,0.89,256394.0
2010-01-08,0.88,0.91,0.86,0.91,147769.0
2010-01-11,0.91,0.91,0.87,0.89,95104.0
2010-01-12,0.88,0.88,0.85,0.86,278703.0
2010-01-13,0.88,0.88,0.86,0.87,16869.0
2010-01-14,0.84,0.91,0.84,0.91,671284.0
2010-01-15,0.9,0.9,0.88,0.89,78203.0
2010-01-18,0.9,0.9,0.77,0.85,424177.0
2010-01-19,0.83,0.86,0.82,0.85,88146.0
2010-01-20,0.83,0.85,0.77,0.84,257542.0
2010-01-21,0.82,1.08,0.82,0.87,537804.0
2010-01-22,0.88,0.91,0.88,0.88,153025.0
2010-01-25,0.86,0.87,0.83,0.87,85174.0
2010-01-26,0.86,0.89,0.86,0.89,128588.0
2010-01-27,0.88,0.88,0.86,0.86,11730.0
2010-01-28,0.83,0.85,0.83,0.85,51055.0
2010-01-29,0.86,0.91,0.86,0.9,527407.0
2010-02-01,0.97,1.13,0.93,0.93,2145557.0
2010-02-02,0.95,0.98,0.9,0.93,839863.0
2010-02-03,0.91,0.95,0.91,0.94,176656.0
2010-02-04,0.95,0.97,0.92,0.94,936111.0
2010-02-05,0.94,0.95,0.9,0.94,619554.0
2010-02-08,0.93,0.94,0.9,0.9,130197.0
2010-02-09,0.92,0.92,0.87,0.9,365851.0
2010-02-10,0.9,0.93,0.86,0.93,407197.0
2010-02-11,0.91,0.91,0.89,0.91,120919.0
2010-02-12,0.91,0.91,0.87,0.89,281904.0
2010-02-15,0.89,0.9,0.87,0.9,298819.0
2010-02-16,0.9,0.9,0.86,0.9,105306.0
2010-02-17,0.86,0.88,0.82,0.87,251537.0
2010-02-18,0.86,0.88,0.85,0.88,19439.0
2010-02-19,0.88,0.89,0.86,0.89,84281.0
2010-02-22,0.9,0.91,0.85,0.89,230111.0
2010-02-23,0.93,0.95,0.89,0.9,847293.0
2010-02-24,0.91,0.91,0.84,0.9,337399.0
2010-02-25,0.9,0.92,0.83,0.88,218521.0
2010-02-26,0.85,0.91,0.83,0.88,88806.0
2010-03-01,0.88,0.9,0.87,0.87,244720.0
2010-03-02,0.87,0.9,0.85,0.89,96350.0
2010-03-03,0.89,0.89,0.88,0.88,25695.0
2010-03-04,0.9,0.9,0.88,0.88,61653.0
2010-03-05,0.88,0.88,0.82,0.86,377570.0
2010-03-08,0.84,0.86,0.84,0.86,247456.0
2010-03-09,0.86,0.88,0.84,0.88,760552.0
2010-03-10,0.87,0.9,0.87,0.9,211530.0
2010-03-11,0.91,0.91,0.87,0.9,70606.0
2010-03-12,0.89,0.9,0.86,0.87,601955.0
2010-03-15,0.85,0.87,0.85,0.87,145346.0
2010-03-16,0.84,0.86,0.84,0.86,335596.0
2010-03-17,0.84,0.86,0.84,0.86,34633.0
2010-03-18,0.83,0.85,0.83,0.85,179411.0
2010-03-19,0.87,0.91,0.87,0.9,617729.0
2010-03-22,0.86,0.89,0.86,0.89,52805.0
2010-03-23,0.86,0.89,0.86,0.89,50608.0
2010-03-24,0.9,0.9,0.86,0.89,62356.0
2010-03-25,0.88,1.02,0.88,0.93,2411251.0
2010-03-26,0.94,0.98,0.94,0.95,212028.0
2010-03-29,0.91,0.95,0.86,0.9,384684.0
2010-03-30,0.9,0.91,0.88,0.91,51491.0
2010-03-31,0.91,0.91,0.88,0.9,102200.0
